time,Milwaukee,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Henson (T. Snell gains possession),,,,Jump ball: P. Gasol vs. J. Henson (T. Snell gains possession)
11:40.0,M. Brogdon misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by P. Gasol
11:21.0,,,0-0,,K. Leonard misses 2-pt shot from 15 ft
11:20.0,,,0-0,,Offensive rebound by D. Lee
11:15.0,,,0-2,2,K. Leonard makes 2-pt shot from 18 ft (assist by D. Lee)
11:01.0,J. Parker makes 2-pt shot from 20 ft (assist by J. Henson),2,2-2,,
10:37.0,,,2-2,,D. Green misses 2-pt shot from 3 ft
10:34.0,,,2-2,,Offensive rebound by D. Lee
10:31.0,,,2-4,2,D. Lee makes 2-pt shot from 2 ft
10:14.0,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,5-4,,
9:59.0,,,5-4,,P. Gasol misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
9:57.0,Defensive rebound by G. Antetokounmpo,,5-4,,
9:54.0,Offensive charge foul by G. Antetokounmpo,,5-4,,
9:54.0,Turnover by G. Antetokounmpo (offensive foul),,5-4,,
9:29.0,,,5-7,3,D. Green makes 3-pt shot from 25 ft (assist by P. Gasol)
9:11.0,J. Parker makes 2-pt shot from 9 ft,2,7-7,,
8:56.0,,,7-9,2,D. Lee makes 2-pt shot from 7 ft (assist by T. Parker)
8:40.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,7-9,,
8:39.0,,,7-9,,Defensive rebound by D. Lee
8:30.0,,,7-9,,P. Gasol misses 2-pt shot from 16 ft
8:29.0,Defensive rebound by G. Antetokounmpo,,7-9,,
8:22.0,T. Snell misses 3-pt shot from 26 ft,,7-9,,
8:21.0,,,7-9,,Defensive rebound by P. Gasol
8:10.0,,,7-9,,K. Leonard misses 2-pt shot from 20 ft
