time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: N. Noel vs. H. Whiteside (L. Babbitt gains possession)
11:43.0,,,0-0,,Turnover by H. Whiteside (lost ball; steal by N. Noel)
11:30.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by N. Stauskas),3,3-0,,
11:08.0,,,3-3,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Waiters)
10:41.0,N. Stauskas misses 3-pt shot from 25 ft,,3-3,,
10:40.0,,,3-3,,Defensive rebound by G. Dragic
10:33.0,,,3-3,,G. Dragic misses 2-pt shot from 13 ft
10:32.0,Defensive rebound by N. Noel,,3-3,,
10:25.0,G. Henderson makes 2-pt shot from 1 ft (assist by T. McConnell),2,5-3,,
10:04.0,,,5-6,3,D. Waiters makes 3-pt shot from 24 ft (assist by G. Dragic)
9:49.0,N. Stauskas misses 2-pt shot from 5 ft,,5-6,,
9:48.0,,,5-6,,Defensive rebound by H. Whiteside
9:40.0,,,5-6,,L. Babbitt misses 3-pt shot from 25 ft
9:39.0,,,5-6,,Offensive rebound by H. Whiteside
9:38.0,,,5-8,2,H. Whiteside makes 2-pt shot at rim
9:28.0,G. Henderson makes 2-pt shot from 14 ft,2,7-8,,
9:15.0,,,7-8,,H. Whiteside misses 2-pt shot from 3 ft
9:14.0,,,7-8,,Offensive rebound by H. Whiteside
9:14.0,,,7-8,,Shooting foul by N. Noel (drawn by H. Whiteside)
9:14.0,,,7-9,1,H. Whiteside makes free throw 1 of 2
9:14.0,,,7-9,,H. Whiteside misses free throw 2 of 2
9:13.0,Defensive rebound by N. Noel,,7-9,,
9:02.0,Turnover by N. Noel (bad pass; steal by D. Waiters),,7-9,,
8:56.0,,,7-11,2,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters)
8:43.0,E. Ilyasova misses 2-pt shot from 6 ft,,7-11,,
8:42.0,,,7-11,,Defensive rebound by H. Whiteside
8:29.0,,,7-11,,R. McGruder misses 2-pt shot from 1 ft
8:28.0,,,7-11,,Offensive rebound by H. Whiteside
8:26.0,,,7-13,2,H. Whiteside makes 2-pt shot from 5 ft
8:07.0,Shooting foul by L. Babbitt (drawn by E. Ilyasova),,7-13,,
8:07.0,E. Ilyasova misses free throw 1 of 2,,7-13,,
8:07.0,Offensive rebound by Team,,7-13,,
8:07.0,E. Ilyasova makes free throw 2 of 2,1,8-13,,
7:55.0,,,8-13,,G. Dragic misses 2-pt shot from 1 ft
7:54.0,,,8-13,,Offensive rebound by H. Whiteside
7:53.0,,,8-13,,H. Whiteside misses 2-pt shot from 1 ft
7:52.0,,,8-13,,Offensive rebound by H. Whiteside
7:51.0,,,8-15,2,H. Whiteside makes 2-pt shot from 1 ft
7:34.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. McConnell),2,10-15,,
7:22.0,,,10-15,,Turnover by D. Waiters (bad pass; steal by G. Henderson)
7:12.0,G. Henderson misses 2-pt shot from 7 ft (block by H. Whiteside),,10-15,,
7:11.0,,,10-15,,Defensive rebound by Team
7:10.0,R. Holmes enters the game for N. Noel,,10-15,,
6:57.0,,,10-17,2,H. Whiteside makes 2-pt shot from 4 ft (assist by L. Babbitt)
6:57.0,Philadelphia full timeout,,10-17,,
6:47.0,Turnover by N. Stauskas (bad pass),,10-17,,
6:37.0,,,10-17,,Shooting foul by T. McConnell (drawn by L. Babbitt)
6:37.0,,,10-18,1,L. Babbitt makes free throw 1 of 2
6:37.0,,,10-19,1,L. Babbitt makes free throw 2 of 2
6:24.0,N. Stauskas makes 2-pt shot from 14 ft,2,12-19,,
6:01.0,,,12-19,,Turnover by R. McGruder (bad pass; steal by R. Holmes)
5:56.0,Turnover by E. Ilyasova (step out of bounds),,12-19,,
5:41.0,,,12-21,2,H. Whiteside makes 2-pt shot from 4 ft
5:31.0,Turnover by T. McConnell (lost ball),,12-21,,
5:31.0,,,12-21,,T. Johnson enters the game for G. Dragic
5:31.0,D. Saric enters the game for E. Ilyasova,,12-21,,
5:12.0,,,12-24,3,D. Waiters makes 3-pt shot from 24 ft (assist by T. Johnson)
4:59.0,Turnover by T. McConnell (bad pass; steal by T. Johnson),,12-24,,
4:47.0,,,12-26,2,H. Whiteside makes 2-pt shot from 7 ft (assist by T. Johnson)
4:33.0,D. Saric misses 3-pt shot from 25 ft,,12-26,,
4:32.0,,,12-26,,Defensive rebound by Team
4:32.0,S. Rodriguez enters the game for T. McConnell,,12-26,,
4:32.0,T. Luwawu-Cabarrot enters the game for G. Henderson,,12-26,,
4:32.0,,,12-26,,J. Johnson enters the game for L. Babbitt
4:10.0,,,12-26,,R. McGruder misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by R. Holmes,,12-26,,
3:49.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by R. Holmes),3,15-26,,
3:40.0,,,15-26,,Miami full timeout
3:40.0,,,15-26,,W. Ellington enters the game for R. McGruder
3:30.0,,,15-28,2,H. Whiteside makes 2-pt shot from 8 ft (assist by T. Johnson)
3:02.0,T. Luwawu-Cabarrot misses 2-pt shot from 15 ft (block by D. Waiters),,15-28,,
3:01.0,,,15-28,,Defensive rebound by H. Whiteside
2:53.0,,,15-28,,T. Johnson misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by R. Holmes,,15-28,,
2:46.0,R. Holmes misses 2-pt shot from 2 ft,,15-28,,
2:44.0,,,15-28,,Defensive rebound by H. Whiteside
2:35.0,,,15-30,2,D. Waiters makes 2-pt shot from 2 ft
2:21.0,N. Stauskas misses 2-pt shot from 17 ft,,15-30,,
2:20.0,,,15-30,,Defensive rebound by H. Whiteside
2:09.0,,,15-30,,W. Ellington misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by D. Saric,,15-30,,
2:01.0,Turnover by R. Holmes (lost ball; steal by W. Ellington),,15-30,,
1:56.0,,,15-30,,Turnover by W. Ellington (lost ball; steal by T. Luwawu-Cabarrot)
1:49.0,D. Saric misses 2-pt shot from 2 ft,,15-30,,
1:48.0,,,15-30,,Defensive rebound by H. Whiteside
1:31.0,,,15-30,,Turnover by H. Whiteside (traveling)
1:31.0,,,15-30,,G. Dragic enters the game for D. Waiters
1:31.0,,,15-30,,W. Reed enters the game for H. Whiteside
1:31.0,C. Randle enters the game for N. Stauskas,,15-30,,
1:17.0,Turnover by D. Saric (lost ball; steal by J. Johnson),,15-30,,
