time,LA Clippers,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. D. Jordan (A. Rivers gains possession),,,,Jump ball: A. Johnson vs. D. Jordan (A. Rivers gains possession)
11:43.0,P. Pierce misses 2-pt shot from 18 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Horford
11:25.0,,,0-3,3,J. Crowder makes 3-pt shot from 24 ft
11:01.0,Turnover by A. Rivers (lost ball; steal by A. Horford),,0-3,,
10:52.0,,,0-3,,Shooting foul by A. Rivers (drawn by I. Thomas)
10:52.0,,,0-4,1,I. Thomas makes free throw 1 of 3
10:52.0,,,0-5,1,I. Thomas makes free throw 2 of 3
10:52.0,,,0-6,1,I. Thomas makes free throw 3 of 3
10:40.0,J. Redick misses 2-pt shot from 23 ft,,0-6,,
10:39.0,Offensive rebound by D. Jordan,,0-6,,
10:39.0,D. Jordan misses 2-pt shot from 2 ft,,0-6,,
10:38.0,Offensive rebound by D. Jordan,,0-6,,
10:38.0,D. Jordan makes 2-pt shot from 2 ft,2,2-6,,
10:25.0,,,2-6,,J. Crowder misses 3-pt shot from 26 ft
10:24.0,Defensive rebound by D. Jordan,,2-6,,
10:12.0,B. Griffin makes 2-pt shot from 10 ft,2,4-6,,
9:53.0,,,4-9,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
9:37.0,Turnover by B. Griffin (bad pass; steal by J. Brown),,4-9,,
9:32.0,,,4-9,,Shooting foul by J. Redick (drawn by J. Brown)
9:32.0,,,4-10,1,J. Brown makes free throw 1 of 2
9:32.0,,,4-10,,J. Brown misses free throw 2 of 2
9:32.0,Defensive rebound by B. Griffin,,4-10,,
9:18.0,B. Griffin misses 2-pt shot from 19 ft,,4-10,,
9:17.0,,,4-10,,Defensive rebound by J. Crowder
9:06.0,,,4-10,,J. Crowder misses 2-pt shot from 19 ft
9:05.0,Defensive rebound by B. Griffin,,4-10,,
8:55.0,D. Jordan misses 2-pt shot from 4 ft,,4-10,,
8:54.0,,,4-10,,Defensive rebound by J. Crowder
8:36.0,,,4-10,,J. Crowder misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by D. Jordan,,4-10,,
8:31.0,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan),2,6-10,,
8:11.0,,,6-10,,A. Horford misses 2-pt shot from 5 ft
8:10.0,Defensive rebound by D. Jordan,,6-10,,
7:49.0,A. Rivers misses 2-pt shot from 11 ft,,6-10,,
7:47.0,,,6-10,,Defensive rebound by J. Brown
7:41.0,,,6-10,,I. Thomas misses 3-pt shot from 26 ft
7:40.0,,,6-10,,Offensive rebound by A. Horford
7:36.0,,,6-10,,J. Brown misses 2-pt shot from 4 ft
7:35.0,,,6-10,,Offensive rebound by A. Johnson
7:33.0,,,6-12,2,A. Johnson makes 2-pt shot from 2 ft
7:19.0,A. Rivers misses 2-pt shot from 2 ft,,6-12,,
7:18.0,,,6-12,,Defensive rebound by A. Johnson
7:11.0,,,6-15,3,I. Thomas makes 3-pt shot from 25 ft
7:03.0,LA Clippers full timeout,,6-15,,
7:03.0,L. Mbah a Moute enters the game for P. Pierce,,6-15,,
6:55.0,J. Redick misses 3-pt shot from 25 ft,,6-15,,
6:54.0,,,6-15,,Defensive rebound by J. Crowder
6:43.0,,,6-15,,J. Crowder misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by B. Griffin,,6-15,,
6:16.0,A. Rivers misses 3-pt shot from 31 ft,,6-15,,
6:15.0,,,6-15,,Defensive rebound by A. Horford
6:02.0,,,6-18,3,A. Johnson makes 3-pt shot from 24 ft (assist by I. Thomas)
5:51.0,B. Griffin makes 2-pt shot from 19 ft,2,8-18,,
5:35.0,,,8-20,2,I. Thomas makes 2-pt shot from 23 ft
