time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Thompson (I. Shumpert gains possession),,,,Jump ball: R. Lopez vs. T. Thompson (I. Shumpert gains possession)
11:45.0,,,0-0,,I. Shumpert misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by J. Grant,,0-0,,
11:33.0,D. Wade misses 2-pt shot from 18 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by K. Irving
11:24.0,,,0-3,3,C. Frye makes 3-pt shot from 25 ft (assist by R. Jefferson)
11:07.0,J. Butler misses 3-pt shot from 25 ft,,0-3,,
11:07.0,,,0-3,,Defensive rebound by K. Irving
10:50.0,,,0-3,,C. Frye misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by J. Butler,,0-3,,
10:41.0,B. Portis misses 2-pt shot from 17 ft,,0-3,,
10:41.0,,,0-3,,Defensive rebound by T. Thompson
10:30.0,,,0-3,,K. Irving misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by J. Butler,,0-3,,
10:13.0,R. Lopez misses 2-pt shot from 16 ft,,0-3,,
10:12.0,,,0-3,,Defensive rebound by C. Frye
9:59.0,,,0-3,,R. Jefferson misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by J. Butler,,0-3,,
9:52.0,J. Butler misses 2-pt shot from 20 ft,,0-3,,
9:51.0,,,0-3,,Defensive rebound by K. Irving
9:41.0,,,0-5,2,K. Irving makes 2-pt shot from 10 ft
9:20.0,R. Lopez makes 2-pt shot from 18 ft (assist by D. Wade),2,2-5,,
8:58.0,,,2-5,,K. Irving misses 2-pt shot from 17 ft
8:57.0,Defensive rebound by J. Butler,,2-5,,
8:43.0,R. Lopez misses 2-pt shot from 11 ft,,2-5,,
8:41.0,,,2-5,,Defensive rebound by C. Frye
8:29.0,,,2-5,,C. Frye misses 2-pt shot from 5 ft
8:27.0,Defensive rebound by J. Grant,,2-5,,
8:21.0,J. Grant makes 3-pt shot from 27 ft (assist by J. Butler),3,5-5,,
8:03.0,,,5-5,,I. Shumpert misses 2-pt shot from 17 ft
8:02.0,Defensive rebound by B. Portis,,5-5,,
7:52.0,Shooting foul by I. Shumpert (drawn by D. Wade),,5-5,,
7:52.0,D. Wade misses free throw 1 of 2,,5-5,,
7:52.0,Offensive rebound by Team,,5-5,,
7:52.0,D. Wade misses free throw 2 of 2,,5-5,,
7:51.0,,,5-5,,Defensive rebound by I. Shumpert
7:30.0,,,5-8,3,C. Frye makes 3-pt shot from 25 ft (assist by R. Jefferson)
7:09.0,R. Lopez misses 2-pt shot from 20 ft,,5-8,,
7:09.0,Offensive rebound by Team,,5-8,,
7:04.0,J. Butler misses 3-pt shot from 23 ft,,5-8,,
7:04.0,Offensive rebound by B. Portis,,5-8,,
6:57.0,D. Wade makes 2-pt shot from 1 ft (assist by B. Portis),2,7-8,,
6:37.0,,,7-8,,I. Shumpert misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by J. Grant,,7-8,,
6:27.0,J. Grant misses 2-pt shot from 16 ft,,7-8,,
6:26.0,,,7-8,,Defensive rebound by T. Thompson
6:19.0,,,7-8,,Shooting foul by J. Butler (drawn by K. Irving)
6:19.0,,,7-9,1,K. Irving makes free throw 1 of 2
6:19.0,,,7-10,1,K. Irving makes free throw 2 of 2
6:01.0,B. Portis makes 3-pt shot from 25 ft (assist by J. Grant),3,10-10,,
5:56.0,Violation by Team (jump ball),,10-10,,
5:36.0,,,10-10,,Turnover by I. Shumpert (lost ball; steal by R. Lopez)
5:30.0,D. Wade makes 2-pt shot from 2 ft,2,12-10,,
5:19.0,,,12-10,,K. Irving misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by J. Butler,,12-10,,
5:11.0,B. Portis misses 3-pt shot from 26 ft,,12-10,,
5:10.0,,,12-10,,Defensive rebound by R. Jefferson
5:03.0,,,12-12,2,K. Irving makes 2-pt shot from 2 ft
4:43.0,B. Portis misses 3-pt shot from 23 ft,,12-12,,
4:42.0,,,12-12,,Defensive rebound by K. Irving
4:34.0,,,12-14,2,I. Shumpert makes 2-pt shot from 17 ft (assist by K. Irving)
4:34.0,Chicago full timeout,,12-14,,
4:34.0,N. Mirotic enters the game for B. Portis,,12-14,,
4:34.0,D. Valentine enters the game for D. Wade,,12-14,,
4:34.0,R. Rondo enters the game for J. Grant,,12-14,,
4:17.0,R. Lopez misses 2-pt shot from 7 ft,,12-14,,
4:15.0,,,12-14,,Defensive rebound by K. Irving
4:07.0,,,12-16,2,K. Irving makes 2-pt shot from 13 ft
3:48.0,R. Lopez makes 2-pt shot from 13 ft (assist by J. Butler),2,14-16,,
3:24.0,,,14-18,2,I. Shumpert makes 2-pt shot from 16 ft
3:13.0,N. Mirotic misses 3-pt shot from 27 ft,,14-18,,
3:13.0,,,14-18,,Defensive rebound by R. Jefferson
2:57.0,,,14-18,,Offensive foul by I. Shumpert
2:57.0,,,14-18,,Turnover by I. Shumpert (offensive foul)
2:57.0,,,14-18,,Cleveland full timeout
2:57.0,,,14-18,,D. Williams enters the game for R. Jefferson
2:57.0,,,14-18,,J. Jones enters the game for T. Thompson
2:57.0,,,14-18,,K. Korver enters the game for I. Shumpert
2:37.0,J. Butler misses 2-pt shot from 2 ft,,14-18,,
2:35.0,,,14-18,,Defensive rebound by K. Irving
2:31.0,,,14-20,2,K. Irving makes 2-pt shot from 2 ft
2:13.0,R. Rondo misses 3-pt shot from 24 ft,,14-20,,
2:12.0,,,14-20,,Defensive rebound by K. Irving
2:01.0,,,14-20,,D. Williams misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by J. Butler,,14-20,,
1:53.0,J. Butler misses 2-pt shot from 15 ft (block by K. Irving),,14-20,,
1:53.0,Offensive rebound by N. Mirotic,,14-20,,
1:53.0,Shooting foul by J. Jones (drawn by N. Mirotic),,14-20,,
1:53.0,N. Mirotic misses free throw 1 of 2,,14-20,,
1:53.0,Offensive rebound by Team,,14-20,,
1:53.0,N. Mirotic misses free throw 2 of 2,,14-20,,
1:53.0,C. Felicio enters the game for R. Lopez,,14-20,,
1:53.0,,,14-20,,K. Felder enters the game for K. Irving
1:52.0,,,14-20,,Defensive rebound by J. Jones
