time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (N. Mirotic gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (N. Mirotic gains possession)
11:47.0,J. Butler makes 2-pt shot from 16 ft (assist by R. Rondo),2,2-0,,
11:25.0,,,2-0,,I. Thomas misses 2-pt shot from 3 ft (block by R. Rondo)
11:24.0,,,2-0,,Offensive rebound by Team
11:23.0,,,2-0,,Shooting foul by R. Lopez (drawn by I. Thomas)
11:23.0,,,2-0,,I. Thomas misses free throw 1 of 2
11:23.0,,,2-0,,Offensive rebound by Team
11:23.0,,,2-1,1,I. Thomas makes free throw 2 of 2
11:01.0,J. Butler misses 3-pt shot from 26 ft,,2-1,,
11:00.0,,,2-1,,Defensive rebound by I. Thomas
10:53.0,,,2-1,,Offensive foul by A. Johnson
10:53.0,,,2-1,,Turnover by A. Johnson (offensive foul)
10:38.0,N. Mirotic misses 3-pt shot from 25 ft,,2-1,,
10:37.0,,,2-1,,Defensive rebound by A. Horford
10:27.0,,,2-1,,Turnover by A. Bradley (bad pass; steal by D. Wade)
10:21.0,D. Wade makes 2-pt shot from 10 ft,2,4-1,,
10:04.0,,,4-4,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford)
9:45.0,Jump ball: J. Butler vs. A. Johnson (R. Lopez gains possession),,,,Jump ball: J. Butler vs. A. Johnson (R. Lopez gains possession)
9:43.0,R. Lopez makes 2-pt shot from 7 ft (assist by J. Butler),2,6-4,,
9:28.0,,,6-4,,Shooting foul by R. Rondo (drawn by I. Thomas)
9:28.0,,,6-5,1,I. Thomas makes free throw 1 of 3
9:28.0,,,6-6,1,I. Thomas makes free throw 2 of 3
9:28.0,,,6-6,,I. Thomas misses free throw 3 of 3
9:28.0,Defensive rebound by R. Lopez,,6-6,,
9:14.0,R. Rondo misses 3-pt shot from 25 ft,,6-6,,
9:13.0,Offensive rebound by J. Butler,,6-6,,
8:55.0,Turnover by N. Mirotic (bad pass; steal by I. Thomas),,6-6,,
8:49.0,,,6-9,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
8:43.0,Turnover by R. Rondo (bad pass; steal by A. Johnson),,6-9,,
8:34.0,,,6-12,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Bradley)
8:34.0,Chicago full timeout,,6-12,,
8:22.0,Shooting foul by J. Crowder (drawn by J. Butler),,6-12,,
8:22.0,J. Butler makes free throw 1 of 2,1,7-12,,
8:22.0,J. Butler makes free throw 2 of 2,1,8-12,,
8:07.0,,,8-12,,Turnover by A. Horford (bad pass)
