time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (D. DeRozan gains possession)
11:45.0,,,0-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by A. Drummond,,0-0,,
11:30.0,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,2-0,,
11:10.0,,,2-3,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
10:39.0,M. Morris misses 3-pt shot from 25 ft,,2-3,,
10:38.0,,,2-3,,Defensive rebound by K. Lowry
10:28.0,Personal foul by A. Drummond (drawn by J. Valanciunas),,2-3,,
10:22.0,,,2-3,,J. Valanciunas misses 2-pt shot from 3 ft
10:21.0,Defensive rebound by M. Morris,,2-3,,
10:13.0,Turnover by R. Jackson (bad pass; steal by J. Poeltl),,2-3,,
10:01.0,,,2-3,,Turnover by D. DeRozan (bad pass; steal by R. Jackson)
9:58.0,Shooting foul by K. Lowry (drawn by R. Jackson),,2-3,,
9:58.0,R. Jackson makes free throw 1 of 2,1,3-3,,
9:58.0,R. Jackson makes free throw 2 of 2,1,4-3,,
9:34.0,,,4-3,,K. Lowry misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by A. Drummond,,4-3,,
9:23.0,J. Leuer misses 3-pt shot from 26 ft,,4-3,,
9:21.0,,,4-3,,Defensive rebound by Team
9:12.0,,,4-5,2,D. DeRozan makes 2-pt shot from 15 ft
9:00.0,J. Leuer makes 2-pt shot from 12 ft,2,6-5,,
8:36.0,,,6-7,2,J. Poeltl makes 2-pt shot at rim (assist by D. DeRozan)
8:20.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,6-7,,
8:20.0,Offensive rebound by A. Drummond,,6-7,,
8:18.0,A. Drummond misses 2-pt shot from 3 ft,,6-7,,
8:17.0,Offensive rebound by A. Drummond,,6-7,,
8:17.0,A. Drummond misses 2-pt shot from 2 ft,,6-7,,
8:17.0,Offensive rebound by A. Drummond,,6-7,,
8:17.0,Shooting foul by D. Carroll (drawn by A. Drummond),,6-7,,
8:17.0,A. Drummond misses free throw 1 of 2,,6-7,,
8:17.0,Offensive rebound by Team,,6-7,,
8:17.0,A. Drummond makes free throw 2 of 2,1,7-7,,
8:03.0,,,7-7,,Shooting foul by A. Drummond (drawn by J. Valanciunas)
8:03.0,,,7-7,,J. Valanciunas misses free throw 1 of 2
8:03.0,,,7-7,,Offensive rebound by Team
8:03.0,,,7-8,1,J. Valanciunas makes free throw 2 of 2
8:03.0,A. Baynes enters the game for A. Drummond,,7-7,,
7:52.0,J. Leuer misses 2-pt shot from 16 ft,,7-8,,
7:52.0,,,7-8,,Defensive rebound by K. Lowry
7:41.0,,,7-8,,Turnover by K. Lowry (bad pass; steal by M. Morris)
7:37.0,Turnover by M. Morris (bad pass; steal by D. Carroll),,7-8,,
7:31.0,,,7-11,3,K. Lowry makes 3-pt shot from 25 ft (assist by D. Carroll)
7:12.0,Turnover by J. Leuer (bad pass; steal by K. Lowry),,7-11,,
6:59.0,,,7-11,,J. Poeltl misses 2-pt shot from 3 ft (block by A. Baynes)
6:57.0,Defensive rebound by M. Morris,,7-11,,
6:42.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,9-11,,
6:33.0,,,9-11,,Toronto full timeout
6:16.0,,,9-11,,Turnover by Team (shot clock)
5:55.0,R. Jackson makes 2-pt shot from 17 ft,2,11-11,,
5:43.0,,,11-14,3,D. Carroll makes 3-pt shot from 22 ft (assist by K. Lowry)
5:31.0,,,11-14,,Shooting block foul by J. Poeltl (drawn by R. Jackson)
5:31.0,R. Jackson makes free throw 1 of 2,1,12-14,,
5:31.0,R. Jackson makes free throw 2 of 2,1,13-14,,
5:19.0,,,13-14,,Shooting foul by R. Jackson (drawn by D. Carroll)
5:19.0,,,13-14,,D. Carroll misses free throw 1 of 2
5:19.0,,,13-14,,Offensive rebound by Team
5:19.0,,,13-15,1,D. Carroll makes free throw 2 of 2
5:19.0,,,13-14,,L. Nogueira enters the game for J. Poeltl
5:19.0,,,13-14,,C. Joseph enters the game for K. Lowry
5:04.0,M. Morris makes 2-pt shot from 17 ft (assist by R. Jackson),2,15-15,,
4:41.0,,,15-17,2,D. DeRozan makes 2-pt shot from 17 ft
4:27.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,15-17,,
4:27.0,,,15-17,,Defensive rebound by L. Nogueira
4:20.0,,,15-17,,Turnover by C. Joseph (lost ball; steal by R. Jackson)
4:12.0,J. Leuer misses 2-pt shot from 14 ft,,15-17,,
4:12.0,,,15-17,,Defensive rebound by C. Joseph
3:59.0,,,15-19,2,D. DeRozan makes 2-pt shot at rim
3:50.0,Detroit full timeout,,15-19,,
3:50.0,T. Harris enters the game for J. Leuer,,15-19,,
3:50.0,S. Johnson enters the game for K. Caldwell-Pope,,15-19,,
3:50.0,I. Smith enters the game for R. Jackson,,15-19,,
3:50.0,,,15-19,,T. Ross enters the game for J. Valanciunas
3:40.0,M. Morris misses 2-pt shot from 23 ft,,15-19,,
3:40.0,,,15-19,,Defensive rebound by T. Ross
3:31.0,,,15-19,,D. DeRozan misses 2-pt shot from 6 ft
3:30.0,Defensive rebound by I. Smith,,15-19,,
3:24.0,T. Harris makes 3-pt shot from 25 ft (assist by I. Smith),3,18-19,,
3:05.0,,,18-19,,Shooting foul by T. Harris (drawn by D. Carroll)
3:05.0,,,18-19,,D. Carroll misses free throw 1 of 2
3:05.0,,,18-19,,Offensive rebound by Team
3:05.0,,,18-19,,D. Carroll misses free throw 2 of 2
3:05.0,Defensive rebound by A. Baynes,,18-19,,
2:48.0,I. Smith misses 3-pt shot from 23 ft,,18-19,,
2:47.0,,,18-19,,Defensive rebound by D. DeRozan
2:39.0,,,18-19,,Turnover by D. DeRozan (bad pass; steal by M. Morris)
2:34.0,Shooting foul by T. Ross (drawn by M. Morris),,18-19,,
2:34.0,M. Morris misses free throw 1 of 2,,18-19,,
2:34.0,Offensive rebound by Team,,18-19,,
2:34.0,M. Morris makes free throw 2 of 2,1,19-19,,
2:22.0,,,19-19,,C. Joseph misses 2-pt shot from 8 ft
2:20.0,,,19-19,,Offensive rebound by L. Nogueira
2:20.0,,,19-19,,Shooting foul by I. Smith (drawn by L. Nogueira)
2:20.0,,,19-20,1,L. Nogueira makes free throw 1 of 2
2:20.0,,,19-21,1,L. Nogueira makes free throw 2 of 2
2:06.0,I. Smith makes 2-pt shot from 16 ft,2,21-21,,
1:48.0,,,21-23,2,D. Carroll makes 2-pt shot from 11 ft (assist by T. Ross)
1:35.0,I. Smith makes 2-pt shot from 1 ft,2,23-23,,
1:13.0,,,23-25,2,D. DeRozan makes 2-pt shot from 11 ft
0:46.0,M. Morris misses 3-pt shot from 26 ft,,23-25,,
0:45.0,,,23-25,,Defensive rebound by D. DeRozan
0:38.0,,,23-25,,C. Joseph misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by I. Smith,,23-25,,
0:31.0,,,23-25,,Personal foul by C. Joseph (drawn by I. Smith)
0:31.0,I. Smith misses free throw 1 of 2,,23-25,,
0:31.0,Offensive rebound by Team,,23-25,,
0:31.0,I. Smith misses free throw 2 of 2,,23-25,,
0:30.0,Offensive rebound by A. Baynes,,23-25,,
0:30.0,A. Baynes makes 2-pt shot from 2 ft,2,25-25,,
0:09.0,,,25-27,2,D. DeRozan makes 2-pt shot from 13 ft
0:00.0,M. Morris misses 3-pt shot from 26 ft,,25-27,,
0:00.0,Offensive rebound by Team,,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,T. Harris makes 2-pt shot from 1 ft (assist by A. Baynes),2,27-27,,
11:28.0,,,27-27,,T. Ross misses 2-pt shot from 21 ft
11:27.0,Defensive rebound by T. Harris,,27-27,,
11:19.0,S. Johnson makes 3-pt shot from 23 ft (assist by I. Smith),3,30-27,,
11:05.0,,,30-27,,Turnover by N. Powell (bad pass)
10:51.0,K. Caldwell-Pope makes 2-pt shot from 7 ft (assist by T. Harris),2,32-27,,
10:35.0,,,32-29,2,L. Nogueira makes 2-pt shot at rim (assist by T. Ross)
10:15.0,,,32-29,,Personal foul by N. Powell (drawn by T. Harris)
10:03.0,I. Smith makes 2-pt shot from 3 ft,2,34-29,,
9:43.0,,,34-32,3,T. Ross makes 3-pt shot from 24 ft
9:30.0,I. Smith makes 2-pt shot from 2 ft,2,36-32,,
9:21.0,,,36-32,,Toronto full timeout
9:21.0,A. Drummond enters the game for A. Baynes,,36-32,,
9:21.0,,,36-32,,J. Valanciunas enters the game for C. Joseph
9:07.0,,,36-32,,T. Ross misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by A. Drummond,,36-32,,
8:57.0,I. Smith misses 2-pt shot from 6 ft,,36-32,,
