time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. B. Wright (M. Conley gains possession),,,,Jump ball: N. Noel vs. B. Wright (M. Conley gains possession)
11:36.0,,,0-0,,B. Wright misses 2-pt shot from 8 ft
11:34.0,Defensive rebound by D. Nowitzki,,0-0,,
11:14.0,H. Barnes misses 2-pt shot from 14 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by M. Conley
11:00.0,,,0-0,,V. Carter misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by D. Nowitzki,,0-0,,
10:42.0,Turnover by W. Matthews (lost ball; steal by V. Carter),,0-0,,
10:41.0,Personal take foul by S. Curry (drawn by V. Carter),,0-0,,
10:27.0,,,0-2,2,M. Conley makes 2-pt shot from 19 ft (assist by J. Ennis)
10:08.0,D. Nowitzki misses 2-pt shot from 2 ft (block by B. Wright),,0-2,,
10:07.0,,,0-2,,Defensive rebound by M. Conley
9:52.0,,,0-2,,M. Conley misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by D. Nowitzki,,0-2,,
9:41.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,3-2,,
9:28.0,,,3-2,,Shooting foul by S. Curry (drawn by M. Conley)
9:28.0,,,3-3,1,M. Conley makes free throw 1 of 2
9:28.0,,,3-4,1,M. Conley makes free throw 2 of 2
9:28.0,Y. Ferrell enters the game for S. Curry,,3-3,,
9:06.0,W. Matthews misses 2-pt shot from 15 ft,,3-4,,
9:04.0,,,3-4,,Defensive rebound by V. Carter
8:56.0,,,3-6,2,B. Wright makes 2-pt shot at rim (assist by V. Carter)
8:33.0,D. Nowitzki misses 2-pt shot from 10 ft,,3-6,,
8:31.0,Offensive rebound by Team,,3-6,,
8:31.0,Turnover by Team (shot clock),,3-6,,
8:13.0,,,3-6,,T. Allen misses 2-pt shot from 5 ft
8:11.0,Defensive rebound by N. Noel,,3-6,,
8:07.0,Offensive foul by N. Noel,,3-6,,
8:07.0,Turnover by N. Noel (offensive foul),,3-6,,
7:55.0,,,3-9,3,J. Ennis makes 3-pt shot from 26 ft (assist by M. Conley)
7:40.0,Y. Ferrell misses 2-pt shot from 15 ft,,3-9,,
7:39.0,,,3-9,,Defensive rebound by J. Ennis
7:23.0,,,3-9,,M. Conley misses 2-pt shot from 14 ft
7:21.0,,,3-9,,Offensive rebound by B. Wright
7:05.0,,,3-11,2,M. Conley makes 2-pt shot from 1 ft
7:05.0,Dallas full timeout,,3-11,,
6:41.0,D. Nowitzki misses 3-pt shot from 26 ft,,3-11,,
6:41.0,,,3-11,,Defensive rebound by J. Ennis
6:21.0,,,3-11,,V. Carter misses 3-pt shot from 28 ft
6:20.0,,,3-11,,Offensive rebound by T. Allen
6:05.0,,,3-14,3,M. Conley makes 3-pt shot from 25 ft (assist by V. Carter)
5:54.0,D. Nowitzki makes 2-pt shot from 21 ft (assist by W. Matthews),2,5-14,,
5:39.0,,,5-14,,Turnover by M. Conley (bad pass)
5:39.0,S. Mejri enters the game for N. Noel,,5-14,,
5:39.0,D. Harris enters the game for D. Nowitzki,,5-14,,
5:25.0,Y. Ferrell misses 3-pt shot from 25 ft,,5-14,,
5:24.0,,,5-14,,Defensive rebound by B. Wright
5:05.0,,,5-14,,V. Carter misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by S. Mejri,,5-14,,
4:53.0,S. Mejri makes 2-pt shot from 2 ft (assist by W. Matthews),2,7-14,,
4:44.0,,,7-14,,Memphis full timeout
4:44.0,,,7-14,,Z. Randolph enters the game for V. Carter
4:44.0,,,7-14,,T. Daniels enters the game for T. Allen
4:34.0,,,7-14,,T. Daniels misses 3-pt shot from 25 ft
4:34.0,Defensive rebound by W. Matthews,,7-14,,
4:19.0,H. Barnes misses 2-pt shot from 18 ft,,7-14,,
4:16.0,,,7-14,,Defensive rebound by Z. Randolph
4:12.0,,,7-14,,Shooting foul by S. Mejri (drawn by B. Wright)
4:12.0,,,7-15,1,B. Wright makes free throw 1 of 2
4:12.0,,,7-16,1,B. Wright makes free throw 2 of 2
3:58.0,H. Barnes misses 2-pt shot at rim (block by B. Wright),,7-16,,
3:57.0,Offensive rebound by H. Barnes,,7-16,,
3:51.0,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell),3,10-16,,
3:31.0,,,10-16,,M. Conley misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by S. Mejri,,10-16,,
3:08.0,H. Barnes misses 3-pt shot from 25 ft,,10-16,,
3:08.0,,,10-16,,Defensive rebound by J. Ennis
3:07.0,Loose ball foul by S. Mejri (drawn by J. Ennis),,10-16,,
3:07.0,,,10-16,,W. Baldwin enters the game for M. Conley
3:07.0,N. Noel enters the game for S. Mejri,,10-16,,
3:07.0,D. Finney-Smith enters the game for W. Matthews,,10-16,,
3:07.0,J. Barea enters the game for Y. Ferrell,,10-16,,
2:51.0,,,10-16,,Turnover by T. Daniels (step out of bounds)
2:34.0,D. Harris misses 3-pt shot from 25 ft,,10-16,,
2:34.0,,,10-16,,Defensive rebound by Z. Randolph
2:24.0,,,10-16,,J. Ennis misses 2-pt shot from 3 ft
2:23.0,,,10-16,,Offensive rebound by J. Ennis
2:23.0,,,10-16,,J. Ennis misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by D. Harris,,10-16,,
2:16.0,Shooting foul by Z. Randolph (drawn by N. Noel),,10-16,,
2:16.0,N. Noel makes free throw 1 of 2,1,11-16,,
2:16.0,N. Noel makes free throw 2 of 2,1,12-16,,
2:16.0,,,11-16,,W. Selden enters the game for J. Ennis
2:16.0,,,11-16,,D. Davis enters the game for B. Wright
2:06.0,,,12-19,3,T. Daniels makes 3-pt shot from 26 ft (assist by W. Baldwin)
1:48.0,,,12-19,,Personal foul by W. Baldwin (drawn by N. Noel)
1:48.0,D. Nowitzki enters the game for H. Barnes,,12-19,,
1:48.0,N. Brussino enters the game for N. Noel,,12-19,,
1:44.0,,,12-19,,Personal foul by W. Baldwin
1:44.0,J. Barea misses free throw 1 of 2,,12-19,,
1:44.0,Offensive rebound by Team,,12-19,,
1:44.0,J. Barea makes free throw 2 of 2,1,13-19,,
1:28.0,,,13-19,,Turnover by W. Selden (bad pass; steal by D. Harris)
1:25.0,D. Harris makes 2-pt shot from 1 ft,2,15-19,,
1:14.0,,,15-19,,Turnover by W. Baldwin (traveling)
1:04.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by J. Barea),2,17-19,,
0:58.0,,,17-19,,Memphis full timeout
0:47.0,,,17-21,2,Z. Randolph makes 2-pt shot from 8 ft
0:41.0,Shooting foul by D. Davis (drawn by D. Harris),,17-21,,
0:41.0,D. Harris makes free throw 1 of 2,1,18-21,,
0:41.0,D. Harris makes free throw 2 of 2,1,19-21,,
0:16.0,,,19-21,,W. Baldwin misses 2-pt shot from 1 ft
0:14.0,Defensive rebound by D. Nowitzki,,19-21,,
0:01.0,J. Barea misses 3-pt shot from 28 ft,,19-21,,
0:00.0,Offensive rebound by Team,,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Barea misses 3-pt shot from 25 ft,,19-21,,
11:36.0,,,19-21,,Defensive rebound by Team
11:21.0,,,19-23,2,Z. Randolph makes 2-pt shot from 22 ft (assist by T. Daniels)
11:12.0,,,19-23,,Personal foul by M. Conley (drawn by D. Harris)
11:04.0,D. Nowitzki misses 3-pt shot from 25 ft,,19-23,,
11:04.0,,,19-23,,Defensive rebound by W. Baldwin
10:54.0,,,19-23,,T. Daniels misses 3-pt shot from 26 ft
10:53.0,,,19-23,,Offensive rebound by D. Davis
10:53.0,,,19-25,2,D. Davis makes 2-pt shot at rim
10:35.0,D. Nowitzki misses 2-pt shot from 14 ft,,19-25,,
10:35.0,,,19-25,,Defensive rebound by Team
10:19.0,,,19-28,3,T. Daniels makes 3-pt shot from 26 ft (assist by Z. Randolph)
10:07.0,D. Nowitzki misses 2-pt shot from 21 ft,,19-28,,
10:06.0,,,19-28,,Defensive rebound by M. Conley
9:58.0,,,19-30,2,M. Conley makes 2-pt shot from 1 ft
9:58.0,Dallas full timeout,,19-30,,
9:39.0,J. Barea misses 2-pt shot from 1 ft (block by M. Conley),,19-30,,
9:36.0,,,19-30,,Defensive rebound by D. Davis
9:19.0,,,19-30,,Z. Randolph misses 2-pt shot from 14 ft
9:18.0,Defensive rebound by D. Nowitzki,,19-30,,
9:08.0,J. Barea misses 3-pt shot from 26 ft,,19-30,,
9:07.0,Offensive rebound by N. Brussino,,19-30,,
9:05.0,Turnover by N. Brussino (bad pass; steal by M. Conley),,19-30,,
8:58.0,,,19-32,2,W. Baldwin makes 2-pt shot from 1 ft (assist by M. Conley)
8:56.0,Dallas full timeout,,19-32,,
8:56.0,Y. Ferrell enters the game for D. Nowitzki,,19-32,,
8:56.0,S. Curry enters the game for D. Harris,,19-32,,
8:56.0,W. Matthews enters the game for D. Finney-Smith,,19-32,,
8:56.0,N. Noel enters the game for J. Barea,,19-32,,
8:56.0,H. Barnes enters the game for N. Brussino,,19-32,,
8:44.0,,,19-32,,Personal foul by D. Davis (drawn by H. Barnes)
8:34.0,H. Barnes makes 2-pt shot at rim,2,21-32,,
8:14.0,,,21-32,,Turnover by Z. Randolph (traveling)
7:51.0,Y. Ferrell misses 3-pt shot from 26 ft,,21-32,,
7:50.0,,,21-32,,Defensive rebound by Z. Randolph
7:38.0,,,21-32,,J. Ennis enters the game for D. Davis
7:38.0,,,21-32,,T. Allen enters the game for W. Baldwin
7:38.0,S. Mejri enters the game for N. Noel,,21-32,,
7:28.0,,,21-32,,Z. Randolph misses 2-pt shot from 7 ft (block by S. Mejri)
7:27.0,,,21-32,,Offensive rebound by Z. Randolph
7:27.0,,,21-32,,Shooting foul by S. Mejri (drawn by Z. Randolph)
7:27.0,,,21-33,1,Z. Randolph makes free throw 1 of 2
7:27.0,,,21-34,1,Z. Randolph makes free throw 2 of 2
7:14.0,W. Matthews misses 3-pt shot from 26 ft,,21-34,,
7:13.0,,,21-34,,Defensive rebound by Z. Randolph
6:57.0,,,21-37,3,T. Daniels makes 3-pt shot from 25 ft (assist by Z. Randolph)
6:39.0,Shooting foul by T. Allen (drawn by S. Mejri),,21-37,,
6:39.0,S. Mejri makes free throw 1 of 2,1,22-37,,
6:39.0,S. Mejri makes free throw 2 of 2,1,23-37,,
6:39.0,N. Brussino enters the game for S. Curry,,22-37,,
6:39.0,,,22-37,,V. Carter enters the game for M. Conley
6:21.0,,,23-39,2,Z. Randolph makes 2-pt shot from 20 ft (assist by J. Ennis)
6:09.0,S. Mejri misses 2-pt shot from 1 ft,,23-39,,
6:07.0,,,23-39,,Defensive rebound by T. Daniels
5:57.0,,,23-39,,T. Allen misses 2-pt shot from 14 ft
5:55.0,Defensive rebound by H. Barnes,,23-39,,
5:33.0,Turnover by W. Matthews (bad pass; steal by T. Allen),,23-39,,
