time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Valanciunas (C. Joseph gains possession),,,,Jump ball: M. Turner vs. J. Valanciunas (C. Joseph gains possession)
11:37.0,,,0-0,,D. Carroll misses 3-pt shot from 26 ft
11:37.0,Defensive rebound by P. George,,0-0,,
11:26.0,P. George makes 2-pt shot from 12 ft,2,2-0,,
11:14.0,,,2-0,,Turnover by D. DeRozan (bad pass)
11:02.0,Turnover by P. George (bad pass),,2-0,,
10:46.0,,,2-0,,Shooting foul by T. Young (drawn by D. DeRozan)
10:46.0,,,2-1,1,D. DeRozan makes free throw 1 of 2
10:46.0,,,2-2,1,D. DeRozan makes free throw 2 of 2
10:29.0,J. Teague makes 3-pt shot from 25 ft (assist by M. Ellis),3,5-2,,
10:20.0,,,5-2,,Turnover by D. DeRozan (bad pass)
10:10.0,T. Young misses 2-pt shot from 3 ft (block by S. Ibaka),,5-2,,
10:09.0,Offensive rebound by M. Turner,,5-2,,
10:04.0,M. Turner misses 2-pt shot from 20 ft,,5-2,,
10:03.0,Offensive rebound by T. Young,,5-2,,
10:02.0,T. Young makes 2-pt shot from 1 ft,2,7-2,,
9:43.0,,,7-2,,C. Joseph misses 3-pt shot from 26 ft
9:42.0,Defensive rebound by P. George,,7-2,,
9:36.0,J. Teague makes 2-pt shot from 2 ft (assist by P. George),2,9-2,,
9:32.0,,,9-2,,Toronto full timeout
9:24.0,,,9-2,,D. DeRozan misses 2-pt shot from 18 ft
9:24.0,,,9-2,,Offensive rebound by D. Carroll
9:19.0,,,9-5,3,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Carroll)
9:09.0,T. Young misses 2-pt shot from 20 ft,,9-5,,
9:09.0,,,9-5,,Defensive rebound by J. Valanciunas
8:53.0,,,9-7,2,D. DeRozan makes 2-pt shot from 19 ft (assist by D. Carroll)
8:38.0,Shooting foul by C. Joseph (drawn by J. Teague),,9-7,,
8:38.0,J. Teague misses free throw 1 of 2,,9-7,,
8:38.0,Offensive rebound by Team,,9-7,,
8:38.0,J. Teague makes free throw 2 of 2,1,10-7,,
8:18.0,,,10-7,,D. Carroll misses 3-pt shot from 26 ft
8:18.0,Defensive rebound by T. Young,,10-7,,
7:55.0,M. Turner makes 2-pt shot from 4 ft (assist by T. Young),2,12-7,,
7:30.0,,,12-7,,D. DeRozan misses 2-pt shot from 5 ft
7:30.0,Defensive rebound by Team,,12-7,,
7:30.0,,,12-7,,Loose ball foul by S. Ibaka (drawn by P. George)
7:13.0,M. Ellis misses 2-pt shot from 5 ft,,12-7,,
7:13.0,Offensive rebound by M. Turner,,12-7,,
7:12.0,M. Turner misses 2-pt shot from 2 ft,,12-7,,
7:11.0,,,12-7,,Defensive rebound by J. Valanciunas
7:03.0,,,12-9,2,D. DeRozan makes 2-pt shot from 4 ft (assist by C. Joseph)
6:50.0,T. Young misses 2-pt shot from 4 ft,,12-9,,
6:48.0,,,12-9,,Defensive rebound by J. Valanciunas
6:28.0,,,12-9,,Shooting foul by M. Turner (drawn by J. Valanciunas)
6:28.0,,,12-9,,J. Valanciunas misses free throw 1 of 2
6:28.0,,,12-9,,Offensive rebound by Team
6:28.0,,,12-9,,J. Valanciunas misses free throw 2 of 2
6:27.0,Defensive rebound by T. Young,,12-9,,
6:13.0,T. Young makes 2-pt shot from 6 ft (assist by J. Teague),2,14-9,,
6:03.0,,,14-9,,D. DeRozan misses 2-pt shot from 6 ft
6:02.0,,,14-9,,Offensive rebound by D. DeRozan
6:01.0,,,14-9,,D. DeRozan misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by T. Young,,14-9,,
5:54.0,P. George makes 3-pt shot from 25 ft,3,17-9,,
5:54.0,Violation by Team (delay of game),,17-9,,
5:34.0,,,17-11,2,J. Valanciunas makes 2-pt shot from 18 ft (assist by D. DeRozan)
5:26.0,Turnover by M. Ellis (lost ball; steal by D. DeRozan),,17-11,,
