time,Indiana,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Turner (J. Teague gains possession),,,,Jump ball: T. Mozgov vs. M. Turner (J. Teague gains possession)
11:43.0,M. Turner misses 2-pt shot from 20 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by B. Ingram
11:17.0,,,0-2,2,J. Randle makes 2-pt shot from 5 ft
11:03.0,P. George misses 3-pt shot from 27 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by T. Mozgov
10:52.0,,,0-2,,Turnover by D. Russell (lost ball; steal by T. Young)
10:48.0,,,0-2,,LA Lakers full timeout
10:48.0,,,0-2,,J. Calderon enters the game for D. Russell
10:33.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,2-2,,
10:19.0,,,2-4,2,J. Randle makes 2-pt shot from 9 ft (assist by T. Mozgov)
9:55.0,G. Robinson makes 3-pt shot from 24 ft (assist by J. Teague),3,5-4,,
9:31.0,,,5-4,,J. Calderon misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by T. Young,,5-4,,
9:24.0,P. George misses 3-pt shot from 26 ft,,5-4,,
9:19.0,,,5-4,,Defensive rebound by J. Randle
9:18.0,Personal foul by M. Turner (drawn by T. Mozgov),,5-4,,
9:15.0,Personal foul by G. Robinson (drawn by B. Ingram),,5-4,,
9:07.0,,,5-4,,Turnover by B. Ingram (lost ball; steal by M. Turner)
9:01.0,T. Young misses 2-pt shot from 2 ft,,5-4,,
8:57.0,,,5-4,,Defensive rebound by T. Mozgov
8:50.0,,,5-6,2,T. Mozgov makes 2-pt shot from 2 ft (assist by J. Calderon)
8:47.0,Turnover by J. Teague (bad pass),,5-6,,
8:38.0,,,5-6,,B. Ingram misses 2-pt shot from 16 ft
8:38.0,Defensive rebound by Team,,5-6,,
8:23.0,Turnover by M. Turner (bad pass),,5-6,,
8:13.0,,,5-6,,Turnover by T. Mozgov (bad pass; steal by T. Young)
8:02.0,Turnover by J. Teague (bad pass; steal by N. Young),,5-6,,
7:55.0,,,5-6,,N. Young misses 2-pt shot from 17 ft
7:52.0,,,5-6,,Offensive rebound by T. Mozgov
7:46.0,,,5-8,2,T. Mozgov makes 2-pt shot from 4 ft (assist by J. Calderon)
7:29.0,P. George makes 2-pt shot from 13 ft,2,7-8,,
7:17.0,,,7-8,,J. Randle misses 2-pt shot from 21 ft
7:16.0,Defensive rebound by M. Turner,,7-8,,
7:09.0,Turnover by P. George (lost ball),,7-8,,
6:54.0,,,7-8,,J. Calderon misses 3-pt shot from 23 ft (block by J. Teague)
6:52.0,Defensive rebound by P. George,,7-8,,
6:46.0,P. George makes 2-pt shot from 2 ft,2,9-8,,
6:36.0,,,9-11,3,N. Young makes 3-pt shot from 27 ft (assist by J. Calderon)
6:25.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,12-11,,
6:12.0,,,12-14,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
5:58.0,J. Teague misses 2-pt shot from 5 ft,,12-14,,
5:54.0,,,12-14,,Defensive rebound by T. Mozgov
5:47.0,,,12-14,,B. Ingram misses 2-pt shot from 4 ft (block by T. Young)
5:45.0,Defensive rebound by G. Robinson,,12-14,,
5:35.0,J. Teague makes 3-pt shot from 27 ft (assist by G. Robinson),3,15-14,,
5:28.0,,,15-14,,LA Lakers full timeout
5:28.0,,,15-14,,T. Black enters the game for T. Mozgov
5:20.0,,,15-14,,B. Ingram misses 2-pt shot from 2 ft
5:19.0,,,15-14,,Offensive rebound by J. Randle
5:19.0,,,15-14,,J. Randle misses 2-pt shot from 1 ft
5:16.0,,,15-14,,Offensive rebound by T. Black
5:11.0,,,15-14,,N. Young misses 3-pt shot from 28 ft
5:10.0,Defensive rebound by T. Young,,15-14,,
4:59.0,T. Young misses 2-pt shot from 2 ft (block by J. Randle),,15-14,,
4:55.0,Offensive rebound by J. Teague,,15-14,,
4:54.0,J. Teague misses 3-pt shot from 26 ft,,15-14,,
4:52.0,,,15-14,,Defensive rebound by T. Black
