time,Minnesota,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (L. Babbitt gains possession)
11:34.0,,,0-2,2,H. Whiteside makes 2-pt shot from 5 ft (assist by D. Waiters)
11:13.0,K. Towns makes 2-pt shot from 16 ft,2,2-2,,
10:56.0,,,2-2,,L. Babbitt misses 3-pt shot from 23 ft
10:55.0,Defensive rebound by K. Towns,,2-2,,
10:39.0,A. Wiggins misses 2-pt shot from 2 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by D. Waiters
10:25.0,,,2-4,2,R. McGruder makes 2-pt shot from 1 ft (assist by H. Whiteside)
10:06.0,A. Wiggins misses 2-pt shot from 17 ft,,2-4,,
10:04.0,Offensive rebound by G. Dieng,,2-4,,
10:02.0,G. Dieng misses 2-pt shot from 4 ft,,2-4,,
10:01.0,,,2-4,,Defensive rebound by H. Whiteside
9:55.0,Personal foul by R. Rubio (drawn by H. Whiteside),,2-4,,
9:46.0,,,2-6,2,D. Waiters makes 2-pt shot from 16 ft (assist by G. Dragic)
9:31.0,,,2-6,,Def 3 sec tech foul by H. Whiteside
9:31.0,R. Rubio makes technical free throw,1,3-6,,
9:31.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,5-6,,
9:14.0,,,5-6,,G. Dragic misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by G. Dieng,,5-6,,
9:05.0,R. Rubio misses 2-pt shot from 17 ft,,5-6,,
9:04.0,,,5-6,,Defensive rebound by H. Whiteside
8:56.0,,,5-8,2,G. Dragic makes 2-pt shot at rim
8:39.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,7-8,,
8:14.0,,,7-10,2,L. Babbitt makes 2-pt shot from 12 ft (assist by R. McGruder)
8:01.0,B. Rush misses 3-pt shot from 24 ft,,7-10,,
8:00.0,,,7-10,,Defensive rebound by H. Whiteside
7:53.0,,,7-10,,G. Dragic misses 2-pt shot from 2 ft (block by R. Rubio)
7:50.0,,,7-10,,Offensive rebound by Team
7:43.0,,,7-10,,R. McGruder misses 3-pt shot from 23 ft
7:42.0,,,7-10,,Offensive rebound by H. Whiteside
7:38.0,,,7-12,2,H. Whiteside makes 2-pt shot from 6 ft
7:20.0,G. Dieng misses 2-pt shot from 10 ft,,7-12,,
7:19.0,,,7-12,,Defensive rebound by L. Babbitt
7:13.0,,,7-14,2,R. McGruder makes 2-pt shot from 1 ft (assist by D. Waiters)
6:52.0,G. Dieng misses 2-pt shot from 6 ft,,7-14,,
