time,Toronto,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. J. Valanciunas (D. Collison gains possession),,,,Jump ball: D. Cousins vs. J. Valanciunas (D. Collison gains possession)
11:42.0,,,0-0,,R. Gay misses 2-pt shot from 9 ft
11:41.0,,,0-0,,Offensive rebound by Team
11:24.0,,,0-0,,T. Lawson misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by K. Lowry,,0-0,,
11:07.0,D. Carroll makes 2-pt shot from 3 ft (assist by J. Valanciunas),2,2-0,,
10:53.0,,,2-3,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Collison)
10:26.0,K. Lowry misses 3-pt shot from 28 ft,,2-3,,
10:25.0,,,2-3,,Defensive rebound by R. Gay
10:17.0,,,2-3,,D. Cousins misses 2-pt shot from 19 ft
10:16.0,Defensive rebound by P. Siakam,,2-3,,
10:04.0,J. Valanciunas makes 2-pt shot from 4 ft,2,4-3,,
9:53.0,,,4-3,,M. Barnes misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by J. Valanciunas,,4-3,,
9:41.0,D. DeRozan makes 2-pt shot from 13 ft,2,6-3,,
9:16.0,,,6-6,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
9:02.0,Turnover by D. DeRozan (lost ball; steal by T. Lawson),,6-6,,
8:59.0,,,6-8,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
8:43.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,8-8,,
8:31.0,,,8-10,2,D. Cousins makes 2-pt shot from 5 ft
8:17.0,D. DeRozan makes 2-pt shot from 2 ft,2,10-10,,
8:17.0,Shooting foul by M. Barnes (drawn by D. DeRozan),,10-10,,
8:17.0,D. DeRozan makes free throw 1 of 1,1,11-10,,
7:59.0,,,11-10,,D. Cousins misses 2-pt shot from 5 ft (block by P. Siakam)
7:59.0,,,11-10,,Offensive rebound by Team
7:56.0,,,11-10,,Turnover by D. Cousins (lost ball; steal by K. Lowry)
7:53.0,Turnover by K. Lowry (bad pass; steal by T. Lawson),,11-10,,
7:49.0,,,11-10,,Turnover by M. Barnes (bad pass)
7:43.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,14-10,,
7:32.0,Def 3 sec tech foul by J. Valanciunas,,14-10,,
7:32.0,,,14-10,,D. Collison misses technical free throw
7:32.0,,,14-10,,Offensive rebound by Team
7:25.0,,,14-10,,M. Barnes misses 2-pt shot from 13 ft (block by P. Siakam)
7:25.0,,,14-10,,Offensive rebound by Team
7:22.0,,,14-10,,Shooting foul by K. Lowry (drawn by D. Collison)
7:22.0,,,14-10,,D. Collison misses free throw 1 of 2
7:22.0,,,14-10,,Offensive rebound by Team
7:22.0,,,14-11,1,D. Collison makes free throw 2 of 2
7:04.0,Shooting foul by D. Cousins (drawn by J. Valanciunas),,14-11,,
7:04.0,J. Valanciunas makes free throw 1 of 2,1,15-11,,
7:04.0,J. Valanciunas makes free throw 2 of 2,1,16-11,,
6:48.0,,,16-11,,M. Barnes misses 2-pt shot from 7 ft
6:48.0,Defensive rebound by D. DeRozan,,16-11,,
6:29.0,D. Carroll misses 3-pt shot from 24 ft,,16-11,,
6:29.0,,,16-11,,Defensive rebound by D. Cousins
6:23.0,,,16-11,,Shooting foul by P. Siakam (drawn by D. Collison)
6:23.0,,,16-12,1,D. Collison makes free throw 1 of 2
6:23.0,,,16-13,1,D. Collison makes free throw 2 of 2
6:23.0,,,16-12,,K. Koufos enters the game for T. Lawson
5:59.0,K. Lowry makes 2-pt shot from 3 ft (assist by J. Valanciunas),2,18-13,,
