time,Detroit,pts.away,score,pts.home,Boston
1:25.0,Jump ball: K. Caldwell-Pope vs. M. Smart,,,,Jump ball: K. Caldwell-Pope vs. M. Smart
1:22.0,D. Hilliard enters the game for K. Caldwell-Pope,,27-23,,
1:16.0,I. Smith makes 2-pt shot from 16 ft,2,29-23,,
1:06.0,Def 3 sec tech foul by M. Morris,,29-23,,
1:06.0,,,29-24,1,I. Thomas makes technical free throw
0:58.0,,,29-26,2,K. Olynyk makes 2-pt shot from 17 ft (assist by I. Thomas)
0:47.0,D. Hilliard misses 2-pt shot from 16 ft,,29-26,,
0:46.0,Offensive rebound by Team,,29-26,,
0:46.0,,,29-26,,Loose ball foul by M. Smart (drawn by A. Baynes)
0:46.0,,,29-26,,T. Rozier enters the game for I. Thomas
0:31.0,M. Morris misses 2-pt shot from 16 ft,,29-26,,
0:30.0,,,29-26,,Defensive rebound by J. Jerebko
0:08.0,,,29-28,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Brown)
0:01.0,I. Smith makes 2-pt shot from 14 ft,2,31-28,,
0:00.0,,,31-28,,T. Rozier misses 3-pt shot from 74 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,31-30,2,J. Jerebko makes 2-pt shot from 2 ft (assist by M. Smart)
11:22.0,J. Leuer makes 3-pt shot from 24 ft (assist by D. Hilliard),3,34-30,,
11:07.0,,,34-30,,T. Rozier misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by A. Baynes,,34-30,,
10:55.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Udrih),3,37-30,,
10:38.0,,,37-30,,J. Brown misses 2-pt shot from 2 ft (block by M. Morris)
10:37.0,Defensive rebound by B. Udrih,,37-30,,
10:21.0,Shooting foul by K. Olynyk (drawn by A. Baynes),,37-30,,
10:21.0,A. Baynes makes free throw 1 of 2,1,38-30,,
10:21.0,A. Baynes makes free throw 2 of 2,1,39-30,,
10:21.0,,,38-30,,A. Bradley enters the game for J. Brown
10:21.0,,,38-30,,A. Horford enters the game for J. Jerebko
10:00.0,,,39-33,3,M. Smart makes 3-pt shot from 27 ft (assist by T. Rozier)
9:45.0,B. Udrih misses 2-pt shot from 20 ft,,39-33,,
9:44.0,,,39-33,,Defensive rebound by A. Horford
9:34.0,,,39-33,,M. Smart misses 3-pt shot from 23 ft
9:33.0,Defensive rebound by J. Leuer,,39-33,,
9:25.0,Shooting foul by K. Olynyk (drawn by A. Baynes),,39-33,,
9:25.0,A. Baynes makes free throw 1 of 2,1,40-33,,
9:25.0,A. Baynes makes free throw 2 of 2,1,41-33,,
9:25.0,,,40-33,,A. Johnson enters the game for K. Olynyk
9:10.0,,,41-33,,Shooting foul by A. Baynes (drawn by A. Johnson)
9:10.0,,,41-34,1,A. Johnson makes free throw 1 of 2
9:10.0,,,41-35,1,A. Johnson makes free throw 2 of 2
9:10.0,A. Drummond enters the game for A. Baynes,,41-34,,
8:51.0,J. Leuer misses 3-pt shot from 26 ft (block by A. Horford),,41-35,,
8:50.0,,,41-35,,Defensive rebound by A. Horford
8:49.0,,,41-35,,Shooting foul by D. Hilliard (drawn by A. Horford)
8:49.0,Official timeout,,41-35,,
8:49.0,,,41-36,1,A. Horford makes free throw 1 of 2
8:49.0,,,41-37,1,A. Horford makes free throw 2 of 2
8:35.0,M. Morris makes 2-pt shot from 12 ft (assist by B. Udrih),2,43-37,,
8:17.0,,,43-37,,M. Smart misses 3-pt shot from 23 ft
8:16.0,Defensive rebound by D. Hilliard,,43-37,,
8:11.0,Turnover by B. Udrih (bad pass; steal by A. Bradley),,43-37,,
8:05.0,,,43-40,3,M. Smart makes 3-pt shot from 23 ft (assist by T. Rozier)
7:41.0,D. Hilliard misses 3-pt shot from 25 ft,,43-40,,
7:40.0,,,43-40,,Defensive rebound by T. Rozier
7:29.0,,,43-40,,M. Smart misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by A. Drummond,,43-40,,
7:19.0,B. Udrih misses 2-pt shot from 3 ft,,43-40,,
7:18.0,Offensive rebound by A. Drummond,,43-40,,
7:02.0,M. Morris makes 2-pt shot from 21 ft,2,45-40,,
6:45.0,,,45-42,2,A. Horford makes 2-pt shot from 8 ft (assist by T. Rozier)
6:32.0,T. Harris enters the game for J. Leuer,,45-42,,
6:32.0,,,45-42,,J. Crowder enters the game for M. Smart
6:28.0,,,45-42,,Personal block foul by T. Rozier (drawn by B. Udrih)
6:22.0,,,45-42,,Personal foul by A. Johnson (drawn by A. Drummond)
6:15.0,B. Udrih misses 2-pt shot from 16 ft,,45-42,,
6:14.0,,,45-42,,Defensive rebound by J. Crowder
6:13.0,Personal foul by A. Drummond (drawn by J. Crowder),,45-42,,
5:59.0,,,45-44,2,A. Johnson makes 2-pt shot from 6 ft (assist by T. Rozier)
5:40.0,M. Morris makes 2-pt shot from 12 ft,2,47-44,,
5:25.0,,,47-44,,A. Bradley misses 3-pt shot from 23 ft
5:24.0,Defensive rebound by A. Drummond,,47-44,,
5:14.0,T. Harris misses 2-pt shot from 5 ft,,47-44,,
5:13.0,,,47-44,,Defensive rebound by T. Rozier
5:05.0,,,47-44,,T. Rozier misses 2-pt shot from 2 ft (block by D. Hilliard)
5:04.0,Defensive rebound by A. Drummond,,47-44,,
4:57.0,T. Harris makes 2-pt shot from 3 ft (assist by A. Drummond),2,49-44,,
4:57.0,,,49-44,,Boston full timeout
4:57.0,,,49-44,,I. Thomas enters the game for A. Johnson
4:57.0,,,49-44,,K. Olynyk enters the game for A. Horford
4:57.0,,,49-44,,T. Zeller enters the game for T. Rozier
4:57.0,K. Caldwell-Pope enters the game for D. Hilliard,,49-44,,
4:57.0,I. Smith enters the game for B. Udrih,,49-44,,
4:46.0,Personal foul by M. Morris (drawn by K. Olynyk),,49-44,,
4:32.0,,,49-44,,Turnover by Team (shot clock)
4:10.0,M. Morris misses 3-pt shot from 25 ft,,49-44,,
4:09.0,,,49-44,,Defensive rebound by Team
4:01.0,,,49-44,,Turnover by K. Olynyk (bad pass)
3:45.0,T. Harris makes 2-pt shot from 15 ft (assist by I. Smith),2,51-44,,
3:25.0,,,51-46,2,I. Thomas makes 2-pt shot from 2 ft
3:19.0,,,51-46,,Personal take foul by T. Zeller (drawn by A. Drummond)
3:19.0,A. Drummond makes free throw 1 of 2,1,52-46,,
3:19.0,A. Drummond misses free throw 2 of 2,,52-46,,
3:19.0,,,52-46,,Defensive rebound by J. Crowder
3:06.0,,,52-49,3,I. Thomas makes 3-pt shot from 25 ft
3:01.0,,,52-49,,Personal take foul by T. Zeller (drawn by A. Drummond)
3:01.0,A. Drummond misses free throw 1 of 2,,52-49,,
3:01.0,Offensive rebound by Team,,52-49,,
3:01.0,A. Drummond makes free throw 2 of 2,1,53-49,,
2:51.0,,,53-49,,J. Crowder misses 3-pt shot from 25 ft
2:50.0,,,53-49,,Offensive rebound by T. Zeller
2:31.0,,,53-52,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder)
2:03.0,T. Harris misses 2-pt shot from 15 ft,,53-52,,
2:02.0,,,53-52,,Defensive rebound by A. Bradley
1:42.0,,,53-52,,A. Bradley misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by Team,,53-52,,
1:41.0,Detroit full timeout,,53-52,,
1:41.0,,,53-52,,A. Horford enters the game for K. Olynyk
1:41.0,A. Baynes enters the game for M. Morris,,53-52,,
1:41.0,J. Leuer enters the game for A. Drummond,,53-52,,
1:22.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,55-52,,
1:03.0,,,55-52,,Shooting foul by A. Baynes (drawn by T. Zeller)
1:03.0,,,55-53,1,T. Zeller makes free throw 1 of 2
1:03.0,,,55-53,,T. Zeller misses free throw 2 of 2
1:03.0,Defensive rebound by T. Harris,,55-53,,
0:49.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by A. Baynes),2,57-53,,
0:34.0,,,57-53,,I. Thomas misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by K. Caldwell-Pope,,57-53,,
0:22.0,T. Harris makes 2-pt shot from 10 ft,2,59-53,,
0:01.0,,,59-53,,I. Thomas misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by J. Leuer,,59-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
