time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (T. Harris gains possession)
11:37.0,R. Jackson misses 3-pt shot from 23 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by N. Batum
11:26.0,,,0-0,,C. Zeller misses 2-pt shot from 1 ft (block by R. Jackson)
11:24.0,Defensive rebound by M. Morris,,0-0,,
11:19.0,R. Jackson makes 2-pt shot from 2 ft (assist by M. Morris),2,2-0,,
11:02.0,,,2-0,,C. Zeller misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by A. Drummond,,2-0,,
10:52.0,Turnover by R. Jackson (bad pass),,2-0,,
10:41.0,,,2-3,3,K. Walker makes 3-pt shot from 24 ft
10:23.0,M. Morris misses 3-pt shot from 25 ft,,2-3,,
10:22.0,,,2-3,,Defensive rebound by M. Williams
10:11.0,,,2-5,2,M. Williams makes 2-pt shot from 9 ft
9:44.0,A. Drummond misses 2-pt shot from 9 ft,,2-5,,
9:43.0,,,2-5,,Defensive rebound by N. Batum
9:30.0,,,2-5,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by A. Drummond)
9:28.0,,,2-5,,Offensive rebound by M. Kidd-Gilchrist
9:28.0,,,2-5,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
9:26.0,Defensive rebound by A. Drummond,,2-5,,
9:15.0,K. Caldwell-Pope makes 2-pt shot from 16 ft,2,4-5,,
9:02.0,,,4-5,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
9:00.0,Defensive rebound by A. Drummond,,4-5,,
8:48.0,T. Harris misses 3-pt shot from 24 ft,,4-5,,
8:47.0,,,4-5,,Defensive rebound by K. Walker
8:40.0,,,4-5,,M. Williams misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by R. Jackson,,4-5,,
8:33.0,R. Jackson misses 3-pt shot from 25 ft,,4-5,,
8:32.0,,,4-5,,Defensive rebound by N. Batum
8:25.0,,,4-7,2,N. Batum makes 2-pt shot at rim
8:16.0,Detroit full timeout,,4-7,,
8:16.0,J. Leuer enters the game for M. Morris,,4-7,,
8:06.0,J. Leuer misses 3-pt shot from 23 ft,,4-7,,
8:05.0,,,4-7,,Defensive rebound by M. Williams
7:56.0,,,4-7,,K. Walker misses 2-pt shot from 21 ft
7:54.0,Defensive rebound by A. Drummond,,4-7,,
7:38.0,A. Drummond misses 2-pt shot at rim,,4-7,,
7:37.0,,,4-7,,Defensive rebound by N. Batum
7:28.0,,,4-7,,M. Kidd-Gilchrist misses 2-pt shot from 11 ft
7:27.0,,,4-7,,Offensive rebound by M. Kidd-Gilchrist
7:20.0,,,4-9,2,M. Williams makes 2-pt shot from 1 ft (assist by N. Batum)
7:06.0,R. Jackson makes 3-pt shot from 24 ft (assist by J. Leuer),3,7-9,,
6:50.0,,,7-9,,M. Williams misses 2-pt shot from 9 ft
6:48.0,Defensive rebound by R. Jackson,,7-9,,
6:41.0,T. Harris misses 3-pt shot from 24 ft,,7-9,,
6:40.0,,,7-9,,Defensive rebound by M. Kidd-Gilchrist
6:28.0,,,7-9,,C. Zeller misses 2-pt shot from 7 ft
6:27.0,Defensive rebound by A. Drummond,,7-9,,
6:14.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,9-9,,
6:05.0,,,9-9,,Charlotte full timeout
5:54.0,,,9-9,,N. Batum misses 2-pt shot from 14 ft
5:53.0,Defensive rebound by T. Harris,,9-9,,
5:46.0,,,9-9,,Violation by M. Williams (kicked ball)
5:39.0,Shooting foul by C. Zeller (drawn by A. Drummond),,9-9,,
5:39.0,A. Drummond makes free throw 1 of 2,1,10-9,,
5:39.0,A. Drummond makes free throw 2 of 2,1,11-9,,
5:27.0,,,11-9,,K. Walker misses 2-pt shot from 22 ft
5:26.0,Defensive rebound by J. Leuer,,11-9,,
5:21.0,Turnover by R. Jackson (traveling),,11-9,,
5:21.0,,,11-9,,M. Belinelli enters the game for M. Kidd-Gilchrist
5:21.0,,,11-9,,F. Kaminsky enters the game for M. Williams
5:10.0,,,11-9,,Turnover by N. Batum (bad pass; steal by K. Caldwell-Pope)
5:04.0,J. Leuer makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,13-9,,
4:51.0,,,13-11,2,C. Zeller makes 2-pt shot from 6 ft (assist by K. Walker)
4:35.0,J. Leuer misses 2-pt shot from 13 ft,,13-11,,
4:34.0,,,13-11,,Defensive rebound by N. Batum
4:17.0,,,13-13,2,K. Walker makes 2-pt shot at rim
4:06.0,Turnover by R. Jackson (bad pass; steal by K. Walker),,13-13,,
4:00.0,,,13-15,2,K. Walker makes 2-pt shot from 1 ft
3:47.0,Turnover by R. Jackson (bad pass; steal by F. Kaminsky),,13-15,,
3:38.0,,,13-15,,Shooting foul by A. Drummond (drawn by C. Zeller)
3:38.0,,,13-16,1,C. Zeller makes free throw 1 of 2
3:38.0,,,13-17,1,C. Zeller makes free throw 2 of 2
3:38.0,,,13-16,,R. Sessions enters the game for K. Walker
3:38.0,I. Smith enters the game for R. Jackson,,13-16,,
3:22.0,A. Drummond makes 2-pt shot from 6 ft (assist by J. Leuer),2,15-17,,
3:07.0,,,15-17,,F. Kaminsky misses 2-pt shot from 13 ft
3:06.0,Defensive rebound by A. Drummond,,15-17,,
2:41.0,J. Leuer makes 2-pt shot from 1 ft (assist by T. Harris),2,17-17,,
2:28.0,,,17-17,,Shooting foul by J. Leuer (drawn by F. Kaminsky)
2:28.0,,,17-18,1,F. Kaminsky makes free throw 1 of 2
2:28.0,,,17-18,,F. Kaminsky misses free throw 2 of 2
2:28.0,,,17-18,,R. Hibbert enters the game for C. Zeller
2:28.0,M. Morris enters the game for T. Harris,,17-18,,
2:27.0,Defensive rebound by A. Drummond,,17-18,,
2:14.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Drummond),3,20-18,,
2:01.0,,,20-21,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Belinelli)
1:46.0,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by J. Leuer),2,22-21,,
1:32.0,,,22-21,,R. Hibbert misses 2-pt shot from 6 ft
1:31.0,Defensive rebound by A. Drummond,,22-21,,
1:21.0,A. Drummond makes 2-pt shot from 6 ft (assist by I. Smith),2,24-21,,
1:00.0,,,24-21,,R. Sessions misses 2-pt shot from 6 ft
1:00.0,,,24-21,,Offensive rebound by Team
1:00.0,A. Baynes enters the game for A. Drummond,,24-21,,
0:48.0,,,24-21,,R. Sessions misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by J. Leuer,,24-21,,
0:41.0,Turnover by I. Smith (bad pass),,24-21,,
0:28.0,,,24-21,,R. Sessions misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by K. Caldwell-Pope,,24-21,,
0:20.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,24-21,,
0:19.0,,,24-21,,Defensive rebound by R. Hibbert
0:15.0,,,24-21,,Shooting foul by I. Smith (drawn by R. Sessions)
0:15.0,,,24-22,1,R. Sessions makes free throw 1 of 2
0:15.0,,,24-23,1,R. Sessions makes free throw 2 of 2
0:04.0,I. Smith misses 2-pt shot from 19 ft,,24-23,,
0:03.0,,,24-23,,Defensive rebound by M. Belinelli
0:00.0,,,24-23,,M. Belinelli misses 3-pt shot from 71 ft
0:00.0,,,24-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,24-25,2,F. Kaminsky makes 2-pt shot from 17 ft (assist by R. Hibbert)
11:20.0,M. Morris misses 2-pt shot from 18 ft,,24-25,,
11:19.0,,,24-25,,Defensive rebound by Team
11:05.0,,,24-25,,M. Belinelli misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by D. Hilliard,,24-25,,
10:56.0,A. Baynes misses 2-pt shot from 17 ft,,24-25,,
10:55.0,,,24-25,,Defensive rebound by F. Kaminsky
10:46.0,,,24-25,,Shooting foul by D. Hilliard (drawn by M. Belinelli)
10:46.0,,,24-26,1,M. Belinelli makes free throw 1 of 2
10:46.0,,,24-27,1,M. Belinelli makes free throw 2 of 2
10:33.0,,,24-27,,Personal foul by J. Lamb (drawn by M. Morris)
10:25.0,J. Leuer misses 2-pt shot from 18 ft,,24-27,,
10:22.0,,,24-27,,Defensive rebound by R. Hibbert
10:04.0,,,24-27,,R. Hibbert misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by M. Morris,,24-27,,
9:54.0,J. Leuer misses 3-pt shot from 24 ft,,24-27,,
9:53.0,,,24-27,,Defensive rebound by R. Hibbert
9:46.0,,,24-27,,Turnover by J. Lamb (bad pass; steal by A. Baynes)
9:45.0,,,24-27,,Personal foul by R. Hibbert (drawn by A. Baynes)
9:45.0,T. Harris enters the game for J. Leuer,,24-27,,
9:33.0,I. Smith misses 2-pt shot from 6 ft,,24-27,,
9:32.0,,,24-27,,Defensive rebound by R. Hibbert
9:22.0,,,24-27,,J. Lamb misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by D. Hilliard,,24-27,,
9:10.0,M. Morris misses 2-pt shot from 16 ft,,24-27,,
9:09.0,,,24-27,,Defensive rebound by F. Kaminsky
9:02.0,,,24-27,,F. Kaminsky misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by A. Baynes,,24-27,,
8:54.0,T. Harris makes 2-pt shot from 1 ft,2,26-27,,
8:30.0,,,26-27,,J. Lamb misses 3-pt shot from 24 ft
8:29.0,,,26-27,,Offensive rebound by F. Kaminsky
8:22.0,,,26-27,,R. Hibbert misses 2-pt shot from 5 ft
8:22.0,,,26-27,,Offensive rebound by Team
8:22.0,Official timeout,,26-27,,
8:22.0,,,26-27,,K. Walker enters the game for R. Sessions
8:22.0,,,26-27,,C. Zeller enters the game for R. Hibbert
8:16.0,,,26-27,,J. Lamb misses 2-pt shot from 1 ft (block by A. Baynes)
8:14.0,Defensive rebound by D. Hilliard,,26-27,,
8:08.0,T. Harris misses 2-pt shot from 1 ft,,26-27,,
8:06.0,,,26-27,,Defensive rebound by C. Zeller
8:00.0,,,26-27,,K. Walker misses 2-pt shot from 14 ft
7:59.0,Defensive rebound by I. Smith,,26-27,,
7:44.0,T. Harris misses 2-pt shot from 13 ft,,26-27,,
7:43.0,Offensive rebound by A. Baynes,,26-27,,
7:43.0,A. Baynes misses 2-pt shot from 1 ft,,26-27,,
7:39.0,Offensive rebound by M. Morris,,26-27,,
7:33.0,Turnover by D. Hilliard (lost ball; steal by K. Walker),,26-27,,
7:28.0,,,26-29,2,J. Lamb makes 2-pt shot from 1 ft (assist by K. Walker)
7:06.0,T. Harris makes 2-pt shot from 6 ft,2,28-29,,
6:40.0,,,28-29,,Turnover by K. Walker (bad pass; steal by D. Hilliard)
6:34.0,Turnover by A. Baynes (bad pass; steal by M. Belinelli),,28-29,,
6:29.0,,,28-31,2,M. Belinelli makes 2-pt shot at rim
6:02.0,I. Smith misses 2-pt shot from 13 ft,,28-31,,
6:02.0,Offensive rebound by Team,,28-31,,
6:02.0,Turnover by Team (shot clock),,28-31,,
6:02.0,A. Drummond enters the game for A. Baynes,,28-31,,
6:02.0,R. Jackson enters the game for I. Smith,,28-31,,
5:42.0,,,28-31,,F. Kaminsky misses 2-pt shot from 8 ft
5:41.0,Defensive rebound by A. Drummond,,28-31,,
5:31.0,D. Hilliard makes 2-pt shot from 11 ft,2,30-31,,
5:31.0,Shooting foul by M. Belinelli (drawn by D. Hilliard),,30-31,,
5:31.0,,,30-31,,Charlotte full timeout
5:31.0,D. Hilliard makes free throw 1 of 1,1,31-31,,
5:31.0,,,30-31,,M. Kidd-Gilchrist enters the game for M. Belinelli
5:31.0,,,30-31,,M. Williams enters the game for F. Kaminsky
5:31.0,,,30-31,,N. Batum enters the game for J. Lamb
5:14.0,,,31-31,,M. Williams misses 2-pt shot from 8 ft
5:13.0,Defensive rebound by T. Harris,,31-31,,
4:54.0,M. Morris misses 2-pt shot from 1 ft,,31-31,,
4:53.0,,,31-31,,Defensive rebound by M. Williams
4:46.0,,,31-34,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
4:23.0,D. Hilliard makes 2-pt shot from 17 ft (assist by M. Morris),2,33-34,,
4:10.0,,,33-34,,K. Walker misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by A. Drummond,,33-34,,
3:58.0,A. Drummond makes 2-pt shot from 9 ft (assist by T. Harris),2,35-34,,
3:44.0,,,35-34,,Shooting foul by R. Jackson (drawn by C. Zeller)
3:44.0,,,35-35,1,C. Zeller makes free throw 1 of 2
3:44.0,,,35-36,1,C. Zeller makes free throw 2 of 2
3:44.0,J. Leuer enters the game for M. Morris,,35-35,,
3:44.0,K. Caldwell-Pope enters the game for D. Hilliard,,35-35,,
3:27.0,T. Harris makes 2-pt shot from 1 ft (assist by J. Leuer),2,37-36,,
3:13.0,,,37-36,,N. Batum misses 2-pt shot from 13 ft
3:12.0,Defensive rebound by T. Harris,,37-36,,
2:56.0,Detroit full timeout,,37-36,,
2:53.0,R. Jackson misses 3-pt shot from 23 ft,,37-36,,
2:52.0,,,37-36,,Defensive rebound by M. Kidd-Gilchrist
2:38.0,,,37-36,,K. Walker misses 2-pt shot from 1 ft
2:38.0,Defensive rebound by A. Drummond,,37-36,,
2:38.0,,,37-36,,Personal foul by K. Walker (drawn by A. Drummond)
2:25.0,R. Jackson misses 2-pt shot from 1 ft (block by C. Zeller),,37-36,,
2:23.0,,,37-36,,Defensive rebound by C. Zeller
2:15.0,,,37-36,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
2:14.0,,,37-36,,Offensive rebound by C. Zeller
2:10.0,,,37-36,,K. Walker misses 3-pt shot from 24 ft
2:09.0,Defensive rebound by A. Drummond,,37-36,,
1:50.0,J. Leuer misses 2-pt shot from 10 ft,,37-36,,
1:48.0,,,37-36,,Defensive rebound by C. Zeller
1:41.0,,,37-36,,C. Zeller misses 2-pt shot from 6 ft
1:40.0,Defensive rebound by A. Drummond,,37-36,,
1:26.0,T. Harris misses 2-pt shot from 11 ft,,37-36,,
1:23.0,Offensive rebound by T. Harris,,37-36,,
1:23.0,T. Harris makes 2-pt shot from 4 ft,2,39-36,,
1:10.0,,,39-38,2,N. Batum makes 2-pt shot at rim (assist by K. Walker)
0:42.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,39-38,,
0:41.0,,,39-38,,Defensive rebound by N. Batum
0:27.0,,,39-38,,M. Williams misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by Team,,39-38,,
0:07.0,R. Jackson misses 3-pt shot from 24 ft,,39-38,,
0:05.0,,,39-38,,Defensive rebound by M. Williams
0:00.0,,,39-38,,K. Walker misses 2-pt shot from 20 ft
0:00.0,,,39-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,39-40,2,C. Zeller makes 2-pt shot at rim
11:50.0,,,39-40,,Shooting foul by A. Drummond (drawn by C. Zeller)
11:50.0,,,39-41,1,C. Zeller makes free throw 1 of 1
11:25.0,T. Harris makes 2-pt shot from 18 ft,2,41-41,,
11:10.0,,,41-41,,N. Batum misses 2-pt shot from 17 ft
11:09.0,Defensive rebound by M. Morris,,41-41,,
10:49.0,R. Jackson makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,44-41,,
10:36.0,,,44-43,2,K. Walker makes 2-pt shot at rim
10:23.0,A. Drummond misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,44-43,,
10:23.0,Offensive rebound by M. Morris,,44-43,,
