time,Washington,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. M. Gortat (R. Jackson gains possession)
11:45.0,,,0-0,,Turnover by T. Harris (bad pass; steal by O. Porter)
11:39.0,O. Porter misses 2-pt shot from 1 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by M. Morris
11:37.0,,,0-0,,Turnover by M. Morris (dbl dribble)
11:21.0,M. Gortat makes 2-pt shot from 6 ft,2,2-0,,
10:59.0,,,2-0,,R. Jackson misses 2-pt shot from 16 ft
10:58.0,Defensive rebound by M. Gortat,,2-0,,
10:47.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,4-0,,
10:32.0,,,4-0,,R. Jackson misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by B. Beal,,4-0,,
10:15.0,J. Wall makes 2-pt shot from 1 ft,2,6-0,,
9:58.0,,,6-0,,M. Morris misses 2-pt shot from 7 ft
9:57.0,Defensive rebound by M. Gortat,,6-0,,
9:51.0,B. Beal misses 3-pt shot from 27 ft,,6-0,,
9:50.0,Offensive rebound by M. Gortat,,6-0,,
9:44.0,M. Morris makes 3-pt shot from 25 ft (assist by M. Gortat),3,9-0,,
9:37.0,,,9-0,,Detroit full timeout
9:28.0,,,9-2,2,R. Jackson makes 2-pt shot from 6 ft
9:12.0,Shooting foul by M. Morris (drawn by M. Morris),,9-2,,
9:12.0,M. Morris makes free throw 1 of 2,1,10-2,,
9:12.0,M. Morris makes free throw 2 of 2,1,11-2,,
9:02.0,,,11-2,,R. Bullock misses 3-pt shot from 26 ft
9:01.0,Defensive rebound by M. Gortat,,11-2,,
8:53.0,Turnover by J. Wall (bad pass; steal by A. Drummond),,11-2,,
8:51.0,Personal foul by J. Wall (drawn by A. Drummond),,11-2,,
8:38.0,,,11-2,,Turnover by T. Harris (bad pass; steal by M. Morris)
8:37.0,Turnover by M. Morris (bad pass; steal by A. Drummond),,11-2,,
8:22.0,,,11-2,,T. Harris misses 2-pt shot from 7 ft
