time,LA Lakers,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Mozgov (C. Paul gains possession)
11:29.0,,,0-2,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick)
11:19.0,T. Mozgov makes 2-pt shot at rim (assist by J. Randle),2,2-2,,
11:08.0,,,2-2,,J. Redick misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by J. Randle,,2-2,,
10:59.0,N. Young misses 3-pt shot from 25 ft,,2-2,,
10:58.0,,,2-2,,Defensive rebound by D. Jordan
10:49.0,,,2-4,2,C. Paul makes 2-pt shot from 14 ft
10:34.0,Turnover by L. Williams (bad pass; steal by D. Jordan),,2-4,,
10:28.0,,,2-6,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
10:08.0,J. Randle misses 2-pt shot from 17 ft,,2-6,,
10:07.0,,,2-6,,Defensive rebound by D. Jordan
10:00.0,,,2-6,,C. Paul misses 3-pt shot from 25 ft
9:59.0,Defensive rebound by D. Russell,,2-6,,
9:50.0,N. Young misses 3-pt shot from 24 ft,,2-6,,
9:48.0,,,2-6,,Defensive rebound by C. Paul
9:42.0,,,2-8,2,A. Rivers makes 2-pt shot from 2 ft (assist by C. Paul)
9:26.0,L. Williams makes 2-pt shot from 2 ft,2,4-8,,
9:13.0,,,4-10,2,A. Rivers makes 2-pt shot from 13 ft
9:03.0,Turnover by Team (back court),,4-10,,
8:57.0,,,4-10,,C. Paul misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by D. Russell,,4-10,,
8:45.0,,,4-10,,Personal foul by J. Redick (drawn by D. Russell)
8:36.0,D. Russell misses 2-pt shot from 13 ft,,4-10,,
8:34.0,,,4-10,,Defensive rebound by D. Jordan
8:32.0,Personal block foul by T. Mozgov (drawn by C. Paul),,4-10,,
8:17.0,,,4-10,,Turnover by C. Paul (bad pass)
8:05.0,,,4-10,,Personal foul by L. Mbah a Moute (drawn by J. Randle)
7:50.0,Turnover by J. Randle (traveling),,4-10,,
7:41.0,,,4-10,,J. Redick misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by D. Russell,,4-10,,
7:25.0,L. Williams misses 2-pt shot from 2 ft,,4-10,,
7:25.0,Offensive rebound by Team,,4-10,,
7:25.0,,,4-10,,Loose ball foul by C. Paul (drawn by T. Mozgov)
7:16.0,D. Russell misses 2-pt shot from 14 ft,,4-10,,
7:14.0,,,4-10,,Defensive rebound by D. Jordan
7:13.0,,,4-10,,Turnover by C. Paul (bad pass)
7:01.0,T. Mozgov makes 2-pt shot at rim (assist by D. Russell),2,6-10,,
6:46.0,,,6-10,,A. Rivers misses 2-pt shot from 9 ft
6:46.0,,,6-10,,Offensive rebound by Team
6:46.0,Loose ball foul by J. Randle (drawn by D. Jordan),,6-10,,
6:35.0,,,6-10,,Turnover by C. Paul (bad pass; steal by N. Young)
6:30.0,N. Young makes 2-pt shot from 1 ft,2,8-10,,
6:17.0,,,8-13,3,A. Rivers makes 3-pt shot from 24 ft
6:00.0,Turnover by D. Russell (lost ball),,8-13,,
5:49.0,,,8-13,,L. Mbah a Moute misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by L. Williams,,8-13,,
5:40.0,L. Williams misses 2-pt shot from 12 ft,,8-13,,
5:37.0,,,8-13,,Defensive rebound by D. Jordan
5:23.0,,,8-16,3,C. Paul makes 3-pt shot from 23 ft
5:23.0,LA Lakers full timeout,,8-16,,
5:23.0,Violation by Team (jump ball),,8-16,,
5:16.0,Offensive foul by T. Mozgov,,8-16,,
5:16.0,Turnover by T. Mozgov (offensive foul),,8-16,,
5:01.0,,,8-16,,J. Redick misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by J. Randle,,8-16,,
4:52.0,N. Young misses 2-pt shot from 1 ft,,8-16,,
4:51.0,,,8-16,,Defensive rebound by D. Jordan
4:51.0,Personal foul by L. Williams,,8-16,,
4:51.0,J. Clarkson enters the game for L. Williams,,8-16,,
4:38.0,,,8-16,,C. Paul misses 2-pt shot from 15 ft
4:36.0,Defensive rebound by J. Clarkson,,8-16,,
4:14.0,T. Mozgov misses 2-pt shot from 20 ft,,8-16,,
4:13.0,,,8-16,,Defensive rebound by A. Rivers
4:03.0,,,8-18,2,A. Rivers makes 2-pt shot from 8 ft
3:47.0,D. Russell misses 2-pt shot from 8 ft,,8-18,,
3:46.0,,,8-18,,Defensive rebound by D. Jordan
3:24.0,,,8-18,,L. Mbah a Moute misses 2-pt shot from 17 ft
3:22.0,Defensive rebound by J. Clarkson,,8-18,,
3:12.0,J. Randle misses 2-pt shot from 14 ft,,8-18,,
3:08.0,Offensive rebound by T. Mozgov,,8-18,,
3:08.0,T. Mozgov misses 2-pt shot from 1 ft,,8-18,,
3:08.0,,,8-18,,Defensive rebound by D. Jordan
3:03.0,,,8-18,,A. Rivers misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by T. Mozgov,,8-18,,
2:56.0,Offensive charge foul by J. Clarkson,,8-18,,
2:56.0,Turnover by J. Clarkson (offensive foul),,8-18,,
2:56.0,,,8-18,,LA Clippers full timeout
2:56.0,B. Ingram enters the game for J. Randle,,8-18,,
2:56.0,T. Black enters the game for T. Mozgov,,8-18,,
2:56.0,T. Robinson enters the game for D. Russell,,8-18,,
2:56.0,,,8-18,,J. Crawford enters the game for J. Redick
2:56.0,,,8-18,,R. Felton enters the game for C. Paul
2:42.0,Personal foul by N. Young (drawn by A. Rivers),,8-18,,
2:35.0,,,8-21,3,R. Felton makes 3-pt shot from 25 ft (assist by A. Rivers)
2:16.0,J. Clarkson makes 2-pt shot from 11 ft,2,10-21,,
2:03.0,,,10-21,,A. Rivers misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by T. Robinson,,10-21,,
1:53.0,J. Clarkson misses 2-pt shot from 2 ft,,10-21,,
1:46.0,,,10-21,,Defensive rebound by L. Mbah a Moute
1:44.0,,,10-21,,J. Crawford misses 2-pt shot from 18 ft
1:43.0,Defensive rebound by T. Black,,10-21,,
1:36.0,,,10-21,,Personal foul by J. Crawford (drawn by B. Ingram)
1:36.0,,,10-21,,W. Johnson enters the game for L. Mbah a Moute
1:36.0,,,10-21,,M. Speights enters the game for D. Jordan
1:36.0,,,10-21,,B. Bass enters the game for A. Rivers
1:24.0,B. Ingram misses 2-pt shot from 14 ft,,10-21,,
1:22.0,,,10-21,,Defensive rebound by W. Johnson
1:18.0,,,10-23,2,M. Speights makes 2-pt shot from 1 ft (assist by J. Crawford)
1:03.0,J. Clarkson makes 3-pt shot from 25 ft (assist by B. Ingram),3,13-23,,
0:59.0,Away from play foul by T. Robinson (drawn by M. Speights),,13-23,,
0:59.0,,,13-24,1,M. Speights makes free throw 1 of 1
0:47.0,,,13-26,2,B. Bass makes 2-pt shot from 9 ft (assist by J. Crawford)
0:36.0,T. Robinson makes 2-pt shot from 8 ft (assist by J. Clarkson),2,15-26,,
0:28.0,,,15-26,,J. Crawford misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by B. Ingram,,15-26,,
0:06.0,T. Robinson misses 2-pt shot from 1 ft,,15-26,,
0:05.0,,,15-26,,Defensive rebound by Team
0:05.0,,,15-26,,C. Paul enters the game for B. Bass
0:05.0,D. Russell enters the game for T. Black,,15-26,,
0:01.0,,,15-26,,R. Felton misses 2-pt shot from 20 ft
0:00.0,,,15-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,B. Ingram makes 2-pt shot from 1 ft,2,17-26,,
11:31.0,,,17-29,3,M. Speights makes 3-pt shot from 23 ft (assist by J. Crawford)
11:16.0,T. Black misses 2-pt shot at rim (block by W. Johnson),,17-29,,
11:16.0,Offensive rebound by Team,,17-29,,
11:10.0,L. Williams makes 3-pt shot from 24 ft,3,20-29,,
10:45.0,,,20-29,,J. Crawford misses 2-pt shot from 18 ft
10:43.0,Defensive rebound by T. Robinson,,20-29,,
10:37.0,Shooting foul by M. Speights (drawn by T. Robinson),,20-29,,
10:37.0,,,20-29,,LA Clippers full timeout
