time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:34.0,T. Hardaway misses 2-pt shot from 3 ft,,0-0,,
12:00.0,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession),,,,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession)
11:33.0,,,0-0,,Defensive rebound by J. Wall
11:09.0,,,0-2,2,M. Morris makes 2-pt shot from 19 ft (assist by O. Porter)
10:51.0,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder),2,2-2,,
10:51.0,Shooting foul by M. Morris (drawn by P. Millsap),,2-2,,
10:51.0,P. Millsap misses free throw 1 of 1,,2-2,,
10:50.0,,,2-2,,Defensive rebound by M. Morris
10:37.0,,,2-2,,B. Beal misses 2-pt shot from 20 ft
10:36.0,Defensive rebound by P. Millsap,,2-2,,
10:21.0,Turnover by P. Millsap (bad pass),,2-2,,
10:11.0,,,2-2,,Washington full timeout
10:11.0,,,2-2,,J. Smith enters the game for M. Morris
9:58.0,,,2-2,,M. Gortat misses 2-pt shot from 1 ft
9:57.0,Defensive rebound by D. Howard,,2-2,,
9:50.0,D. Howard makes 2-pt shot at rim (assist by D. Schroder),2,4-2,,
9:36.0,,,4-2,,Turnover by J. Wall (back court)
9:36.0,,,4-2,,M. Morris enters the game for J. Smith
9:22.0,P. Millsap misses 2-pt shot from 12 ft,,4-2,,
9:21.0,,,4-2,,Defensive rebound by O. Porter
9:14.0,,,4-2,,M. Morris misses 3-pt shot from 27 ft
9:13.0,Defensive rebound by D. Schroder,,4-2,,
8:49.0,D. Schroder misses 3-pt shot from 27 ft,,4-2,,
8:48.0,,,4-2,,Defensive rebound by B. Beal
8:40.0,,,4-2,,B. Beal misses 3-pt shot from 26 ft
8:38.0,Defensive rebound by T. Waller-Prince,,4-2,,
8:30.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder),2,6-2,,
8:21.0,Personal foul by D. Schroder (drawn by J. Wall),,6-2,,
8:13.0,,,6-4,2,B. Beal makes 2-pt shot from 5 ft
8:04.0,T. Waller-Prince misses 2-pt shot from 1 ft,,6-4,,
8:03.0,,,6-4,,Defensive rebound by M. Morris
7:57.0,,,6-6,2,J. Wall makes 2-pt shot from 21 ft
7:42.0,D. Schroder misses 2-pt shot from 17 ft,,6-6,,
7:42.0,,,6-6,,Defensive rebound by Team
7:42.0,Loose ball foul by D. Howard (drawn by M. Gortat),,6-6,,
7:25.0,,,6-9,3,J. Wall makes 3-pt shot from 29 ft (assist by M. Morris)
7:06.0,T. Waller-Prince misses 2-pt shot from 1 ft (block by M. Gortat),,6-9,,
7:06.0,Offensive rebound by Team,,6-9,,
7:06.0,,,6-9,,Inbound foul by M. Morris
7:06.0,D. Schroder misses free throw 1 of 1,,6-9,,
7:06.0,Offensive rebound by Team,,6-9,,
7:06.0,,,6-9,,J. Smith enters the game for M. Morris
7:05.0,Turnover by T. Hardaway (bad pass; steal by B. Beal),,6-9,,
7:05.0,,,6-9,,Turnover by B. Beal (bad pass)
7:02.0,,,6-9,,Personal foul by O. Porter (drawn by T. Waller-Prince)
6:52.0,D. Howard misses 2-pt shot from 1 ft (block by M. Gortat),,6-9,,
6:50.0,,,6-9,,Defensive rebound by J. Wall
6:44.0,,,6-12,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
6:23.0,D. Howard misses 2-pt shot from 2 ft (block by M. Gortat),,6-12,,
6:21.0,,,6-12,,Defensive rebound by J. Smith
6:12.0,,,6-12,,J. Smith misses 2-pt shot from 19 ft (block by P. Millsap)
6:10.0,,,6-12,,Offensive rebound by M. Gortat
6:03.0,,,6-14,2,J. Wall makes 2-pt shot from 11 ft (assist by M. Gortat)
6:03.0,Atlanta full timeout,,6-14,,
5:56.0,T. Hardaway misses 3-pt shot from 24 ft,,6-14,,
5:55.0,Offensive rebound by D. Howard,,6-14,,
5:43.0,T. Hardaway misses 2-pt shot from 20 ft,,6-14,,
5:42.0,,,6-14,,Defensive rebound by O. Porter
5:24.0,,,6-16,2,B. Beal makes 2-pt shot from 16 ft (assist by M. Gortat)
5:00.0,D. Schroder makes 2-pt shot from 13 ft (assist by T. Waller-Prince),2,8-16,,
4:51.0,,,8-16,,Offensive foul by O. Porter
4:51.0,,,8-16,,Turnover by O. Porter (offensive foul)
4:51.0,M. Dunleavy enters the game for T. Waller-Prince,,8-16,,
4:51.0,E. Ilyasova enters the game for D. Howard,,8-16,,
4:51.0,K. Bazemore enters the game for T. Hardaway,,8-16,,
4:51.0,,,8-16,,K. Oubre enters the game for O. Porter
4:36.0,P. Millsap makes 2-pt shot from 8 ft,2,10-16,,
4:25.0,Shooting block foul by E. Ilyasova (drawn by J. Wall),,10-16,,
4:25.0,,,10-16,,J. Wall misses free throw 1 of 2
4:25.0,,,10-16,,Offensive rebound by Team
4:25.0,,,10-17,1,J. Wall makes free throw 2 of 2
4:14.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,12-17,,
3:55.0,,,12-17,,Turnover by M. Gortat (lost ball; steal by P. Millsap)
3:47.0,P. Millsap misses 2-pt shot at rim,,12-17,,
3:46.0,,,12-17,,Defensive rebound by J. Smith
3:40.0,,,12-17,,Turnover by J. Wall (bad pass; steal by E. Ilyasova)
3:31.0,Offensive foul by P. Millsap,,12-17,,
3:31.0,Turnover by P. Millsap (offensive foul),,12-17,,
3:31.0,,,12-17,,Washington full timeout
3:31.0,,,12-17,,B. Jennings enters the game for B. Beal
3:31.0,M. Muscala enters the game for P. Millsap,,12-17,,
3:22.0,,,12-17,,J. Wall misses 2-pt shot from 8 ft
3:21.0,Defensive rebound by Team,,12-17,,
3:21.0,,,12-17,,Loose ball foul by M. Gortat (drawn by E. Ilyasova)
3:21.0,,,12-17,,B. Bogdanovic enters the game for M. Gortat
3:09.0,D. Schroder makes 2-pt shot from 1 ft,2,14-17,,
2:52.0,,,14-17,,Shooting foul by M. Muscala (drawn by J. Wall)
