time,Cleveland,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. T. Thompson (J. Holiday gains possession),,,,Jump ball: T. Jones vs. T. Thompson (J. Holiday gains possession)
11:45.0,,,0-2,2,T. Jones makes 2-pt shot from 6 ft (assist by J. Holiday)
11:32.0,I. Shumpert misses 2-pt shot from 1 ft,,0-2,,
11:31.0,Offensive rebound by K. Love,,0-2,,
11:30.0,K. Love misses 2-pt shot from 2 ft (block by T. Jones),,0-2,,
11:29.0,Offensive rebound by K. Love,,0-2,,
11:28.0,K. Love makes 2-pt shot from 2 ft,2,2-2,,
11:18.0,,,2-2,,Shooting foul by T. Thompson (drawn by T. Jones)
11:18.0,,,2-3,1,T. Jones makes free throw 1 of 2
11:18.0,,,2-4,1,T. Jones makes free throw 2 of 2
11:06.0,K. Love misses 2-pt shot from 2 ft (block by S. Hill),,2-4,,
11:05.0,Offensive rebound by K. Love,,2-4,,
11:04.0,K. Love makes 2-pt shot from 3 ft,2,4-4,,
10:43.0,,,4-6,2,J. Holiday makes 2-pt shot from 2 ft (assist by S. Hill)
10:32.0,K. Irving misses 3-pt shot from 25 ft,,4-6,,
10:31.0,Offensive rebound by T. Thompson,,4-6,,
10:21.0,I. Shumpert misses 3-pt shot from 25 ft,,4-6,,
10:18.0,,,4-6,,Defensive rebound by S. Hill
10:09.0,,,4-9,3,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday)
9:54.0,K. Love misses 2-pt shot from 16 ft,,4-9,,
9:53.0,,,4-9,,Defensive rebound by T. Jones
9:43.0,,,4-11,2,J. Holiday makes 2-pt shot from 15 ft
9:23.0,T. Thompson makes 2-pt shot from 6 ft (assist by K. Irving),2,6-11,,
9:03.0,,,6-11,,Shooting foul by L. James (drawn by T. Jones)
9:03.0,,,6-12,1,T. Jones makes free throw 1 of 2
9:03.0,,,6-13,1,T. Jones makes free throw 2 of 2
8:43.0,Turnover by L. James (lost ball; steal by T. Jones),,6-13,,
8:33.0,,,6-13,,Turnover by B. Hield (lost ball)
8:29.0,,,6-13,,Personal foul by S. Hill (drawn by K. Love)
8:23.0,,,6-13,,Def 3 sec tech foul by B. Hield
8:23.0,K. Irving makes technical free throw,1,7-13,,
8:09.0,L. James misses 3-pt shot from 28 ft,,7-13,,
8:07.0,,,7-13,,Defensive rebound by T. Jones
7:53.0,,,7-16,3,T. Jones makes 3-pt shot from 24 ft (assist by J. Holiday)
7:53.0,Cleveland full timeout,,7-16,,
7:39.0,I. Shumpert misses 3-pt shot from 25 ft,,7-16,,
7:38.0,,,7-16,,Defensive rebound by T. Jones
7:26.0,,,7-18,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday)
7:11.0,Turnover by L. James (bad pass; steal by T. Jones),,7-18,,
7:04.0,,,7-18,,Shooting foul by K. Irving (drawn by D. Cunningham)
7:04.0,,,7-18,,D. Cunningham misses free throw 1 of 2
7:04.0,,,7-18,,Offensive rebound by Team
7:04.0,,,7-19,1,D. Cunningham makes free throw 2 of 2
6:52.0,L. James makes 2-pt shot from 18 ft (assist by K. Irving),2,9-19,,
6:36.0,,,9-19,,J. Holiday misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by L. James,,9-19,,
6:32.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,11-19,,
6:07.0,,,11-19,,D. Cunningham misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by T. Thompson,,11-19,,
5:56.0,L. James misses 2-pt shot from 7 ft,,11-19,,
5:56.0,,,11-19,,Defensive rebound by J. Holiday
5:46.0,,,11-19,,S. Hill misses 2-pt shot from 3 ft
5:45.0,,,11-19,,Offensive rebound by T. Jones
5:44.0,,,11-21,2,T. Jones makes 2-pt shot from 2 ft
5:25.0,K. Irving makes 3-pt shot from 27 ft (assist by I. Shumpert),3,14-21,,
5:15.0,,,14-21,,Turnover by J. Holiday (bad pass; steal by L. James)
5:08.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,17-21,,
5:01.0,,,17-21,,New Orleans full timeout
5:01.0,,,17-21,,E. Moore enters the game for B. Hield
5:01.0,Violation by Team (jump ball),,17-21,,
4:53.0,,,17-21,,S. Hill misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by T. Thompson,,17-21,,
4:49.0,,,17-21,,Personal foul by S. Hill (drawn by L. James)
4:49.0,,,17-21,,D. Motiejunas enters the game for S. Hill
4:42.0,L. James misses 2-pt shot from 2 ft,,17-21,,
4:41.0,,,17-21,,Defensive rebound by D. Cunningham
4:26.0,,,17-21,,E. Moore misses 3-pt shot from 27 ft
4:25.0,Defensive rebound by K. Love,,17-21,,
4:12.0,,,17-21,,Shooting block foul by J. Holiday (drawn by K. Love)
4:12.0,K. Love makes free throw 1 of 2,1,18-21,,
4:12.0,K. Love makes free throw 2 of 2,1,19-21,,
3:58.0,Personal foul by T. Thompson (drawn by D. Motiejunas),,19-21,,
3:58.0,,,19-21,,S. Hill enters the game for D. Cunningham
3:58.0,R. Jefferson enters the game for T. Thompson,,19-21,,
3:54.0,,,19-23,2,E. Moore makes 2-pt shot from 1 ft (assist by S. Hill)
3:40.0,,,19-23,,Personal foul by E. Moore (drawn by L. James)
3:40.0,,,19-23,,L. Galloway enters the game for S. Hill
3:28.0,L. James misses 2-pt shot from 5 ft (block by E. Moore),,19-23,,
3:26.0,Offensive rebound by L. James,,19-23,,
3:26.0,Turnover by Team (shot clock),,19-23,,
3:12.0,,,19-25,2,T. Jones makes 2-pt shot from 4 ft
2:53.0,K. Irving misses 2-pt shot from 17 ft,,19-25,,
2:51.0,,,19-25,,Defensive rebound by J. Holiday
2:47.0,,,19-27,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Holiday)
2:39.0,I. Shumpert misses 3-pt shot from 26 ft,,19-27,,
2:36.0,,,19-27,,Defensive rebound by D. Motiejunas
2:29.0,,,19-30,3,J. Holiday makes 3-pt shot from 26 ft (assist by D. Motiejunas)
2:26.0,Cleveland full timeout,,19-30,,
2:26.0,Technical foul by Team,,19-30,,
2:26.0,,,19-31,1,J. Holiday makes technical free throw
2:26.0,K. Korver enters the game for L. James,,19-30,,
2:16.0,K. Irving makes 2-pt shot from 2 ft,2,21-31,,
1:59.0,,,21-31,,L. Galloway misses 3-pt shot from 26 ft
1:59.0,Defensive rebound by I. Shumpert,,21-31,,
1:51.0,K. Irving makes 3-pt shot from 25 ft,3,24-31,,
1:39.0,,,24-31,,L. Galloway misses 2-pt shot from 22 ft
1:38.0,Defensive rebound by K. Love,,24-31,,
1:31.0,R. Jefferson misses 3-pt shot from 26 ft,,24-31,,
1:28.0,,,24-31,,Defensive rebound by J. Holiday
1:24.0,,,24-33,2,E. Moore makes 2-pt shot from 3 ft (assist by J. Holiday)
1:09.0,K. Irving misses 2-pt shot from 14 ft,,24-33,,
