time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (D. Green gains possession)
11:42.0,,,0-0,,K. Durant misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by J. Smith,,0-0,,
11:33.0,L. James makes 2-pt shot from 1 ft,2,2-0,,
11:23.0,,,2-3,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
11:12.0,K. Love makes 2-pt shot from 3 ft (assist by L. James),2,4-3,,
11:12.0,Shooting foul by K. Durant (drawn by K. Love),,4-3,,
11:12.0,K. Love makes free throw 1 of 1,1,5-3,,
10:54.0,,,5-3,,D. Green misses 2-pt shot from 11 ft
10:53.0,,,5-3,,Offensive rebound by Z. Pachulia
10:50.0,,,5-3,,D. Green misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by K. Love,,5-3,,
10:41.0,L. James makes 2-pt shot from 2 ft,2,7-3,,
10:27.0,,,7-3,,Turnover by S. Curry (lost ball; steal by K. Irving)
10:26.0,,,7-3,,Personal foul by D. Green (drawn by L. James)
10:17.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,9-3,,
10:11.0,,,9-3,,Shooting foul by J. Smith (drawn by S. Curry)
10:11.0,,,9-4,1,S. Curry makes free throw 1 of 3
10:11.0,,,9-5,1,S. Curry makes free throw 2 of 3
10:11.0,,,9-6,1,S. Curry makes free throw 3 of 3
9:57.0,K. Love makes 2-pt shot from 17 ft (assist by L. James),2,11-6,,
9:44.0,,,11-6,,Z. Pachulia misses 2-pt shot from 3 ft
9:44.0,Defensive rebound by L. James,,11-6,,
9:38.0,L. James misses 2-pt shot from 4 ft,,11-6,,
9:38.0,,,11-6,,Defensive rebound by D. Green
9:32.0,,,11-6,,K. Thompson misses 3-pt shot from 25 ft
9:32.0,,,11-6,,Offensive rebound by K. Thompson
9:28.0,,,11-8,2,K. Thompson makes 2-pt shot from 10 ft
9:15.0,K. Irving misses 3-pt shot from 27 ft,,11-8,,
9:15.0,,,11-8,,Defensive rebound by K. Thompson
9:09.0,,,11-8,,Shooting foul by K. Love (drawn by K. Thompson)
9:09.0,,,11-10,2,K. Thompson makes 2-pt shot from 2 ft
9:09.0,,,11-11,1,K. Thompson makes free throw 1 of 1
8:56.0,K. Love makes 2-pt shot from 12 ft (assist by K. Irving),2,13-11,,
8:40.0,,,13-11,,Turnover by K. Durant (lost ball; steal by L. James)
8:35.0,L. James misses 2-pt shot from 11 ft,,13-11,,
8:35.0,,,13-11,,Defensive rebound by Team
8:35.0,Loose ball foul by T. Thompson (drawn by Z. Pachulia),,13-11,,
8:19.0,,,13-13,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
8:08.0,K. Love misses 3-pt shot from 25 ft,,13-13,,
8:07.0,,,13-13,,Defensive rebound by K. Durant
7:54.0,,,13-13,,Turnover by D. Green (bad pass; steal by T. Thompson)
7:54.0,Shooting foul by K. Thompson (drawn by L. James),,13-13,,
7:54.0,L. James makes free throw 1 of 2,1,14-13,,
7:54.0,L. James misses free throw 2 of 2,,14-13,,
7:53.0,,,14-13,,Defensive rebound by K. Durant
7:47.0,,,14-13,,Golden State full timeout
7:38.0,,,14-16,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
7:11.0,K. Irving misses 2-pt shot from 9 ft,,14-16,,
7:09.0,Offensive rebound by T. Thompson,,14-16,,
7:01.0,K. Love misses 3-pt shot from 24 ft,,14-16,,
7:01.0,,,14-16,,Defensive rebound by K. Thompson
6:51.0,,,14-16,,Turnover by K. Thompson (bad pass; steal by T. Thompson)
6:46.0,,,14-16,,Personal foul by S. Curry
6:43.0,Turnover by L. James (bad pass),,14-16,,
6:33.0,,,14-16,,S. Curry misses 3-pt shot from 27 ft
6:33.0,Defensive rebound by T. Thompson,,14-16,,
6:24.0,T. Thompson misses 2-pt shot from 8 ft,,14-16,,
6:23.0,,,14-16,,Defensive rebound by K. Durant
6:13.0,,,14-19,3,D. Green makes 3-pt shot from 26 ft (assist by K. Durant)
5:54.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,16-19,,
5:36.0,,,16-21,2,Z. Pachulia makes 2-pt shot from 3 ft (assist by D. Green)
5:25.0,Turnover by K. Irving (bad pass; steal by K. Durant),,16-21,,
5:19.0,,,16-23,2,S. Curry makes 2-pt shot from 12 ft (assist by K. Durant)
5:19.0,Cleveland full timeout,,16-23,,
5:00.0,K. Irving misses 2-pt shot from 11 ft (block by K. Durant),,16-23,,
4:59.0,,,16-23,,Defensive rebound by S. Curry
4:53.0,,,16-26,3,K. Durant makes 3-pt shot from 26 ft
4:41.0,Turnover by L. James (lost ball; steal by K. Durant),,16-26,,
4:31.0,,,16-26,,S. Curry misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by K. Love,,16-26,,
4:20.0,K. Irving makes 3-pt shot from 23 ft,3,19-26,,
4:06.0,,,19-26,,Offensive charge foul by Z. Pachulia
4:06.0,,,19-26,,Turnover by Z. Pachulia (offensive foul)
4:06.0,,,19-26,,A. Iguodala enters the game for D. Green
4:06.0,,,19-26,,J. McGee enters the game for Z. Pachulia
4:06.0,C. Frye enters the game for T. Thompson,,19-26,,
3:52.0,C. Frye misses 2-pt shot from 3 ft (block by K. Durant),,19-26,,
3:52.0,,,19-26,,Defensive rebound by Team
3:42.0,,,19-28,2,J. McGee makes 2-pt shot at rim (assist by K. Durant)
3:33.0,K. Love misses 2-pt shot from 6 ft,,19-28,,
3:32.0,,,19-28,,Defensive rebound by J. McGee
3:25.0,,,19-28,,S. Livingston enters the game for K. Thompson
3:25.0,R. Jefferson enters the game for K. Love,,19-28,,
3:25.0,,,19-28,,Turnover by S. Curry (bad pass; steal by L. James)
3:20.0,L. James makes 2-pt shot at rim,2,21-28,,
3:01.0,,,21-28,,S. Curry misses 2-pt shot from 9 ft
3:01.0,,,21-28,,Offensive rebound by J. McGee
3:01.0,,,21-28,,J. McGee misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by K. Irving,,21-28,,
2:52.0,Turnover by K. Irving (bad pass; steal by K. Durant),,21-28,,
2:51.0,Personal foul by R. Jefferson (drawn by S. Curry),,21-28,,
2:51.0,,,21-29,1,S. Curry makes free throw 1 of 3
2:51.0,,,21-30,1,S. Curry makes free throw 2 of 3
2:51.0,,,21-31,1,S. Curry makes free throw 3 of 3
2:51.0,K. Korver enters the game for J. Smith,,21-30,,
2:37.0,R. Jefferson makes 3-pt shot from 27 ft (assist by L. James),3,24-31,,
2:29.0,,,24-31,,Turnover by S. Curry (bad pass)
2:21.0,L. James makes 2-pt shot from 2 ft,2,26-31,,
2:21.0,Shooting foul by J. McGee (drawn by L. James),,26-31,,
2:21.0,L. James makes free throw 1 of 1,1,27-31,,
2:21.0,,,26-31,,D. Green enters the game for K. Durant
2:21.0,D. Williams enters the game for K. Irving,,26-31,,
2:11.0,Personal foul by D. Williams (drawn by S. Curry),,27-31,,
2:11.0,,,27-32,1,S. Curry makes free throw 1 of 2
2:11.0,,,27-33,1,S. Curry makes free throw 2 of 2
1:51.0,D. Williams misses 3-pt shot from 25 ft,,27-33,,
1:51.0,,,27-33,,Defensive rebound by J. McGee
1:39.0,,,27-33,,D. Green misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by C. Frye,,27-33,,
1:30.0,C. Frye makes 2-pt shot from 22 ft (assist by L. James),2,29-33,,
1:20.0,Personal foul by D. Williams (drawn by S. Curry),,29-33,,
1:20.0,,,29-34,1,S. Curry makes free throw 1 of 2
1:20.0,,,29-35,1,S. Curry makes free throw 2 of 2
1:20.0,,,29-34,,P. McCaw enters the game for J. McGee
1:05.0,L. James misses 2-pt shot from 3 ft,,29-35,,
1:04.0,,,29-35,,Defensive rebound by D. Green
1:00.0,,,29-37,2,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala)
0:47.0,R. Jefferson makes 2-pt shot from 1 ft (assist by C. Frye),2,31-37,,
0:38.0,,,31-37,,Turnover by D. Green (bad pass; steal by K. Korver)
0:30.0,Shooting foul by D. Green (drawn by K. Korver),,31-37,,
0:30.0,K. Korver makes free throw 1 of 3,1,32-37,,
0:30.0,K. Korver makes free throw 2 of 3,1,33-37,,
0:30.0,K. Korver makes free throw 3 of 3,1,34-37,,
0:30.0,,,33-37,,K. Durant enters the game for D. Green
0:30.0,,,33-37,,I. Clark enters the game for S. Livingston
0:30.0,J. Smith enters the game for C. Frye,,33-37,,
0:30.0,I. Shumpert enters the game for L. James,,33-37,,
0:06.0,,,34-40,3,K. Durant makes 3-pt shot from 26 ft (assist by I. Clark)
0:02.0,Turnover by J. Smith (traveling),,34-40,,
0:02.0,,,34-40,,S. Curry misses 3-pt shot from 64 ft
0:00.0,,,34-40,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by D. Green (drawn by K. Irving),,34-40,,
11:50.0,K. Irving misses free throw 1 of 2,,34-40,,
11:50.0,Offensive rebound by Team,,34-40,,
11:50.0,K. Irving makes free throw 2 of 2,1,35-40,,
11:50.0,,,34-40,,K. Durant enters the game for D. Green
11:25.0,,,35-40,,K. Durant misses 2-pt shot from 14 ft
11:25.0,Defensive rebound by D. Williams,,35-40,,
11:18.0,K. Irving misses 2-pt shot from 2 ft,,35-40,,
11:17.0,,,35-40,,Defensive rebound by I. Clark
11:08.0,,,35-42,2,D. West makes 2-pt shot from 18 ft (assist by A. Iguodala)
10:53.0,Turnover by K. Irving (lost ball),,35-42,,
10:38.0,,,35-44,2,K. Durant makes 2-pt shot from 14 ft (assist by A. Iguodala)
10:25.0,C. Frye misses 2-pt shot from 4 ft (block by A. Iguodala),,35-44,,
10:24.0,,,35-44,,Defensive rebound by I. Clark
10:16.0,,,35-44,,I. Clark misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by C. Frye,,35-44,,
10:04.0,I. Shumpert misses 2-pt shot from 2 ft (block by D. West),,35-44,,
10:03.0,,,35-44,,Defensive rebound by K. Durant
9:57.0,,,35-47,3,K. Thompson makes 3-pt shot from 27 ft (assist by I. Clark)
9:57.0,Cleveland full timeout,,35-47,,
9:57.0,L. James enters the game for C. Frye,,35-47,,
