time,Memphis,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Noah (D. Rose gains possession),,,,Jump ball: M. Gasol vs. J. Noah (D. Rose gains possession)
11:49.0,Personal foul by J. Ennis (drawn by C. Anthony),,0-0,,
11:45.0,,,0-2,2,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Noah)
11:22.0,M. Conley makes 2-pt shot from 21 ft,2,2-2,,
11:04.0,,,2-4,2,C. Lee makes 2-pt shot from 5 ft (assist by D. Rose)
10:47.0,M. Conley misses 2-pt shot from 2 ft (block by D. Rose),,2-4,,
10:45.0,,,2-4,,Defensive rebound by C. Anthony
10:35.0,,,2-4,,Shooting foul by J. Ennis (drawn by K. Porzingis)
10:35.0,,,2-5,1,K. Porzingis makes free throw 1 of 2
10:35.0,,,2-6,1,K. Porzingis makes free throw 2 of 2
10:35.0,V. Carter enters the game for J. Ennis,,2-5,,
10:14.0,M. Gasol misses 2-pt shot from 13 ft,,2-6,,
10:12.0,Offensive rebound by M. Conley,,2-6,,
10:05.0,J. Green misses 3-pt shot from 25 ft,,2-6,,
10:03.0,,,2-6,,Defensive rebound by J. Noah
9:56.0,,,2-9,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Noah)
9:48.0,V. Carter misses 3-pt shot from 24 ft,,2-9,,
9:46.0,,,2-9,,Defensive rebound by C. Anthony
9:40.0,,,2-9,,Turnover by C. Anthony (lost ball)
9:27.0,A. Harrison misses 3-pt shot from 23 ft,,2-9,,
9:25.0,,,2-9,,Defensive rebound by K. Porzingis
9:20.0,,,2-11,2,C. Lee makes 2-pt shot from 14 ft
9:13.0,Memphis full timeout,,2-11,,
8:59.0,M. Conley makes 2-pt shot from 2 ft,2,4-11,,
8:40.0,,,4-11,,C. Anthony misses 3-pt shot from 23 ft
8:38.0,Defensive rebound by J. Green,,4-11,,
8:30.0,J. Green makes 2-pt shot from 18 ft (assist by A. Harrison),2,6-11,,
8:13.0,,,6-14,3,C. Lee makes 3-pt shot from 25 ft (assist by D. Rose)
7:50.0,Turnover by M. Conley (traveling),,6-14,,
7:34.0,,,6-16,2,J. Noah makes 2-pt shot at rim (assist by C. Anthony)
7:21.0,,,6-16,,Personal foul by J. Noah (drawn by M. Gasol)
7:14.0,M. Gasol misses 2-pt shot from 16 ft,,6-16,,
7:12.0,,,6-16,,Defensive rebound by C. Anthony
7:04.0,,,6-16,,D. Rose misses 2-pt shot from 13 ft
7:02.0,Defensive rebound by M. Conley,,6-16,,
6:54.0,J. Green misses 3-pt shot from 23 ft,,6-16,,
6:52.0,Offensive rebound by Team,,6-16,,
6:52.0,,,6-16,,Loose ball foul by D. Rose (drawn by M. Gasol)
6:45.0,M. Conley misses 3-pt shot from 24 ft,,6-16,,
6:43.0,,,6-16,,Defensive rebound by K. Porzingis
6:37.0,,,6-16,,D. Rose misses 2-pt shot from 12 ft
6:35.0,,,6-16,,Offensive rebound by D. Rose
6:28.0,,,6-18,2,C. Anthony makes 2-pt shot from 16 ft (assist by J. Noah)
6:10.0,J. Green misses 2-pt shot from 3 ft (block by J. Noah),,6-18,,
6:08.0,Offensive rebound by M. Conley,,6-18,,
6:05.0,V. Carter makes 3-pt shot from 23 ft (assist by M. Conley),3,9-18,,
5:52.0,,,9-18,,Shooting foul by J. Green (drawn by J. Noah)
5:52.0,,,9-18,,J. Noah misses free throw 1 of 2
5:52.0,,,9-18,,Offensive rebound by Team
5:52.0,,,9-18,,J. Noah misses free throw 2 of 2
5:52.0,W. Baldwin enters the game for M. Conley,,9-18,,
5:50.0,Defensive rebound by M. Gasol,,9-18,,
5:43.0,,,9-18,,Personal foul by K. Porzingis (drawn by J. Green)
5:35.0,Turnover by A. Harrison (traveling),,9-18,,
5:25.0,,,9-18,,B. Jennings enters the game for D. Rose
5:25.0,T. Daniels enters the game for A. Harrison,,9-18,,
5:20.0,,,9-20,2,C. Lee makes 2-pt shot from 2 ft (assist by C. Anthony)
5:00.0,M. Gasol misses 2-pt shot from 15 ft,,9-20,,
4:59.0,,,9-20,,Defensive rebound by K. Porzingis
4:53.0,,,9-20,,K. O'Quinn enters the game for J. Noah
4:46.0,,,9-22,2,K. O'Quinn makes 2-pt shot from 18 ft (assist by K. Porzingis)
4:31.0,M. Gasol makes 2-pt shot from 4 ft,2,11-22,,
4:31.0,Shooting foul by C. Anthony (drawn by M. Gasol),,11-22,,
4:31.0,M. Gasol makes free throw 1 of 1,1,12-22,,
4:24.0,,,12-24,2,K. Porzingis makes 2-pt shot from 1 ft (assist by B. Jennings)
4:13.0,Turnover by W. Baldwin (bad pass),,12-24,,
4:13.0,Loose ball foul by W. Baldwin (drawn by B. Jennings),,12-24,,
3:54.0,,,12-24,,C. Anthony misses 2-pt shot from 2 ft
3:52.0,,,12-24,,Offensive rebound by Team
3:52.0,Loose ball foul by T. Daniels (drawn by K. O'Quinn),,12-24,,
3:52.0,,,12-24,,Technical foul by C. Anthony
3:52.0,M. Gasol makes technical free throw,1,13-24,,
3:52.0,,,13-25,1,K. O'Quinn makes free throw 1 of 2
3:52.0,,,13-26,1,K. O'Quinn makes free throw 2 of 2
3:52.0,Z. Randolph enters the game for M. Gasol,,13-25,,
3:52.0,,,13-25,,L. Thomas enters the game for K. Porzingis
3:31.0,Z. Randolph misses 2-pt shot from 18 ft,,13-26,,
3:29.0,,,13-26,,Defensive rebound by L. Thomas
3:16.0,,,13-28,2,C. Anthony makes 2-pt shot from 17 ft
2:59.0,T. Daniels misses 2-pt shot from 20 ft,,13-28,,
2:57.0,,,13-28,,Defensive rebound by K. O'Quinn
2:47.0,,,13-28,,C. Lee misses 2-pt shot from 17 ft
2:45.0,Defensive rebound by V. Carter,,13-28,,
2:33.0,T. Daniels misses 3-pt shot from 24 ft,,13-28,,
2:31.0,,,13-28,,Defensive rebound by C. Lee
2:27.0,,,13-28,,New York full timeout
2:27.0,,,13-28,,J. Holiday enters the game for C. Anthony
2:27.0,J. Martin enters the game for J. Green,,13-28,,
2:15.0,,,13-28,,J. Holiday misses 3-pt shot from 24 ft
2:14.0,,,13-28,,Offensive rebound by Team
2:14.0,Loose ball foul by Z. Randolph (drawn by K. O'Quinn),,13-28,,
2:14.0,,,13-29,1,K. O'Quinn makes free throw 1 of 2
2:14.0,,,13-29,,K. O'Quinn misses free throw 2 of 2
