time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. McGee (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. McGee (J. Holiday gains possession)
11:46.0,,,0-2,2,B. Hield makes 2-pt shot from 11 ft (assist by J. Holiday)
11:23.0,S. Curry misses 3-pt shot from 25 ft,,0-2,,
11:21.0,Offensive rebound by J. McGee,,0-2,,
11:20.0,J. McGee makes 2-pt shot from 1 ft,2,2-2,,
11:11.0,,,2-5,3,B. Hield makes 3-pt shot from 27 ft (assist by J. Holiday)
11:11.0,J. McGee misses 2-pt shot from 3 ft,,2-5,,
11:11.0,,,2-5,,Defensive rebound by S. Hill
10:51.0,,,2-5,,S. Hill misses 2-pt shot from 10 ft
10:50.0,Defensive rebound by J. McGee,,2-5,,
10:43.0,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant),3,5-5,,
10:29.0,,,5-5,,S. Hill misses 2-pt shot from 2 ft (block by K. Thompson)
10:28.0,,,5-5,,Offensive rebound by J. Holiday
10:26.0,,,5-7,2,S. Hill makes 2-pt shot from 2 ft (assist by J. Holiday)
10:13.0,Turnover by D. Green (bad pass; steal by J. Holiday),,5-7,,
10:09.0,,,5-7,,B. Hield misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by K. Durant,,5-7,,
9:54.0,,,5-7,,Violation by B. Hield (kicked ball)
9:48.0,K. Thompson misses 2-pt shot from 11 ft,,5-7,,
9:47.0,,,5-7,,Defensive rebound by A. Ajinca
9:39.0,,,5-9,2,A. Davis makes 2-pt shot from 3 ft (assist by B. Hield)
9:15.0,K. Durant misses 2-pt shot from 3 ft,,5-9,,
9:14.0,,,5-9,,Defensive rebound by J. Holiday
9:09.0,,,5-9,,B. Hield misses 2-pt shot from 2 ft
9:08.0,,,5-9,,Offensive rebound by J. Holiday
9:07.0,,,5-9,,J. Holiday misses 2-pt shot from 3 ft
9:07.0,Defensive rebound by S. Curry,,5-9,,
8:58.0,Turnover by K. Thompson (bad pass; steal by A. Ajinca),,5-9,,
8:50.0,,,5-9,,Offensive charge foul by A. Davis
8:50.0,,,5-9,,Turnover by A. Davis (offensive foul)
8:36.0,D. Green misses 3-pt shot from 24 ft,,5-9,,
8:35.0,,,5-9,,Defensive rebound by B. Hield
8:23.0,,,5-9,,Shooting foul by K. Durant (drawn by A. Davis)
8:23.0,,,5-10,1,A. Davis makes free throw 1 of 2
8:23.0,,,5-11,1,A. Davis makes free throw 2 of 2
8:21.0,Turnover by K. Durant (bad pass; steal by J. Holiday),,5-11,,
8:21.0,,,5-13,2,J. Holiday makes 2-pt shot at rim
8:21.0,Golden State full timeout,,5-13,,
8:06.0,K. Durant makes 2-pt shot from 14 ft,2,7-13,,
7:48.0,,,7-13,,A. Ajinca misses 2-pt shot from 17 ft
7:47.0,Defensive rebound by D. Green,,7-13,,
7:31.0,K. Thompson misses 2-pt shot from 2 ft,,7-13,,
7:29.0,,,7-13,,Defensive rebound by J. Holiday
7:16.0,,,7-16,3,J. Holiday makes 3-pt shot from 23 ft (assist by A. Ajinca)
7:00.0,K. Thompson makes 2-pt shot from 4 ft (assist by S. Curry),2,9-16,,
6:39.0,,,9-18,2,A. Davis makes 2-pt shot from 6 ft
6:24.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,11-18,,
6:17.0,,,11-18,,J. Holiday misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by J. McGee,,11-18,,
6:06.0,Shooting foul by S. Hill (drawn by J. McGee),,11-18,,
6:06.0,J. McGee misses free throw 1 of 2,,11-18,,
6:06.0,Offensive rebound by Team,,11-18,,
6:06.0,J. McGee makes free throw 2 of 2,1,12-18,,
6:06.0,A. Iguodala enters the game for K. Durant,,11-18,,
5:43.0,,,12-20,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday)
5:17.0,S. Curry misses 2-pt shot from 13 ft,,12-20,,
5:17.0,,,12-20,,Defensive rebound by A. Davis
5:03.0,,,12-20,,B. Hield misses 2-pt shot from 16 ft
5:02.0,Defensive rebound by K. Thompson,,12-20,,
4:51.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,15-20,,
4:23.0,,,15-20,,Turnover by J. Holiday (lost ball; steal by D. Green)
4:16.0,S. Curry makes 3-pt shot from 24 ft (assist by K. Thompson),3,18-20,,
