time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (I. Smith gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (I. Smith gains possession)
11:44.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by A. Drummond)
11:29.0,E. Fournier misses 3-pt shot from 27 ft,,0-2,,
11:29.0,,,0-2,,Defensive rebound by Team
11:12.0,,,0-2,,T. Harris misses 2-pt shot from 15 ft
11:11.0,Defensive rebound by N. Vucevic,,0-2,,
11:02.0,E. Payton makes 2-pt shot from 1 ft,2,2-2,,
10:50.0,,,2-5,3,T. Harris makes 3-pt shot from 26 ft (assist by I. Smith)
10:34.0,N. Vucevic misses 2-pt shot from 19 ft,,2-5,,
10:34.0,,,2-5,,Defensive rebound by T. Harris
10:28.0,,,2-5,,A. Drummond misses 2-pt shot from 7 ft
10:27.0,Defensive rebound by S. Ibaka,,2-5,,
10:21.0,E. Payton makes 2-pt shot from 7 ft,2,4-5,,
10:05.0,,,4-5,,I. Smith misses 2-pt shot from 5 ft
10:04.0,,,4-5,,Offensive rebound by A. Drummond
10:02.0,,,4-7,2,A. Drummond makes 2-pt shot from 1 ft
9:44.0,E. Payton misses 3-pt shot from 26 ft,,4-7,,
9:44.0,,,4-7,,Defensive rebound by M. Morris
9:29.0,,,4-9,2,T. Harris makes 2-pt shot from 1 ft (assist by I. Smith)
9:13.0,E. Fournier misses 2-pt shot from 6 ft,,4-9,,
9:12.0,,,4-9,,Defensive rebound by A. Drummond
9:04.0,,,4-9,,T. Harris misses 3-pt shot from 26 ft
9:03.0,Defensive rebound by N. Vucevic,,4-9,,
8:52.0,N. Vucevic misses 2-pt shot from 21 ft,,4-9,,
8:52.0,,,4-9,,Defensive rebound by T. Harris
8:46.0,,,4-9,,A. Drummond misses 2-pt shot from 5 ft
8:45.0,Defensive rebound by E. Fournier,,4-9,,
8:39.0,E. Payton makes 2-pt shot from 7 ft,2,6-9,,
8:28.0,Personal foul by E. Fournier (drawn by K. Caldwell-Pope),,6-9,,
8:10.0,,,6-9,,I. Smith misses 2-pt shot from 10 ft
8:09.0,Defensive rebound by A. Gordon,,6-9,,
7:57.0,E. Payton misses 3-pt shot from 28 ft,,6-9,,
7:57.0,,,6-9,,Defensive rebound by T. Harris
7:49.0,,,6-9,,M. Morris misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by N. Vucevic,,6-9,,
7:28.0,A. Gordon misses 2-pt shot from 20 ft,,6-9,,
7:28.0,,,6-9,,Defensive rebound by A. Drummond
7:16.0,,,6-11,2,A. Drummond makes 2-pt shot from 8 ft (assist by T. Harris)
7:16.0,Orlando full timeout,,6-11,,
7:09.0,Shooting foul by T. Harris (drawn by A. Gordon),,6-11,,
7:09.0,A. Gordon makes free throw 1 of 2,1,7-11,,
7:09.0,A. Gordon makes free throw 2 of 2,1,8-11,,
6:54.0,,,8-14,3,T. Harris makes 3-pt shot from 23 ft (assist by M. Morris)
6:41.0,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier),2,10-14,,
6:22.0,,,10-14,,M. Morris misses 2-pt shot from 11 ft
6:20.0,Defensive rebound by N. Vucevic,,10-14,,
6:16.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,12-14,,
