time,Phoenix,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Mozgov (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. T. Mozgov (E. Bledsoe gains possession)
11:45.0,Turnover by D. Booker (bad pass; steal by N. Young),,0-0,,
11:42.0,Violation by E. Bledsoe (def goaltending),,0-0,,
11:42.0,,,0-2,2,N. Young makes 2-pt shot from 1 ft
11:24.0,J. Dudley misses 3-pt shot from 26 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by T. Mozgov
11:03.0,,,0-2,,T. Mozgov misses 2-pt shot from 18 ft
11:02.0,,,0-2,,Offensive rebound by N. Young
11:02.0,Loose ball foul by E. Bledsoe (drawn by N. Young),,0-2,,
10:48.0,,,0-2,,T. Mozgov misses 2-pt shot from 5 ft
10:46.0,Defensive rebound by E. Bledsoe,,0-2,,
10:40.0,T. Chandler makes 2-pt shot at rim (assist by T. Warren),2,2-2,,
10:20.0,,,2-4,2,J. Randle makes 2-pt shot from 4 ft
10:10.0,D. Booker misses 2-pt shot from 5 ft,,2-4,,
10:08.0,,,2-4,,Defensive rebound by N. Young
10:05.0,,,2-4,,Shooting foul by T. Warren (drawn by J. Randle)
10:05.0,,,2-5,1,J. Randle makes free throw 1 of 2
10:05.0,,,2-6,1,J. Randle makes free throw 2 of 2
9:50.0,T. Warren misses 2-pt shot from 20 ft,,2-6,,
9:48.0,Offensive rebound by E. Bledsoe,,2-6,,
9:46.0,E. Bledsoe misses 2-pt shot from 2 ft (block by N. Young),,2-6,,
9:45.0,,,2-6,,Defensive rebound by L. Deng
9:41.0,,,2-9,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell)
9:39.0,Phoenix full timeout,,2-9,,
9:25.0,Shooting foul by L. Deng,,2-9,,
9:25.0,T. Warren makes free throw 1 of 2,1,3-9,,
9:25.0,T. Warren makes free throw 2 of 2,1,4-9,,
9:10.0,,,4-9,,N. Young misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by T. Chandler,,4-9,,
9:00.0,E. Bledsoe misses 3-pt shot from 25 ft,,4-9,,
8:58.0,,,4-9,,Defensive rebound by L. Deng
8:53.0,Violation by T. Warren (kicked ball),,4-9,,
8:45.0,,,4-9,,D. Russell misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by J. Dudley,,4-9,,
8:33.0,E. Bledsoe misses 3-pt shot from 24 ft,,4-9,,
8:32.0,Offensive rebound by J. Dudley,,4-9,,
8:29.0,J. Dudley makes 2-pt shot at rim,2,6-9,,
8:08.0,,,6-9,,J. Randle misses 2-pt shot from 9 ft
8:07.0,Defensive rebound by T. Chandler,,6-9,,
8:00.0,Shooting foul by J. Randle (drawn by J. Dudley),,6-9,,
8:00.0,J. Dudley misses free throw 1 of 3,,6-9,,
8:00.0,Offensive rebound by Team,,6-9,,
8:00.0,J. Dudley misses free throw 2 of 3,,6-9,,
8:00.0,Offensive rebound by Team,,6-9,,
8:00.0,J. Dudley makes free throw 3 of 3,1,7-9,,
7:47.0,,,7-9,,D. Russell misses 2-pt shot from 17 ft
7:44.0,,,7-9,,Offensive rebound by T. Mozgov
7:40.0,,,7-9,,N. Young misses 2-pt shot from 12 ft
7:38.0,Defensive rebound by Team,,7-9,,
7:30.0,D. Booker makes 3-pt shot from 23 ft (assist by J. Dudley),3,10-9,,
7:11.0,,,10-9,,L. Deng misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by T. Chandler,,10-9,,
6:55.0,D. Booker misses 2-pt shot from 3 ft,,10-9,,
6:53.0,,,10-9,,Defensive rebound by L. Deng
6:50.0,,,10-9,,Turnover by D. Russell (bad pass; steal by T. Warren)
6:45.0,Turnover by E. Bledsoe (bad pass),,10-9,,
6:30.0,,,10-11,2,J. Randle makes 2-pt shot from 9 ft (assist by D. Russell)
6:21.0,T. Warren misses 2-pt shot from 10 ft,,10-11,,
6:18.0,,,10-11,,Defensive rebound by J. Randle
6:12.0,,,10-11,,N. Young misses 3-pt shot from 26 ft
6:11.0,Defensive rebound by T. Warren,,10-11,,
6:06.0,J. Dudley makes 2-pt shot from 1 ft (assist by T. Warren),2,12-11,,
5:53.0,,,12-13,2,J. Randle makes 2-pt shot from 21 ft (assist by D. Russell)
5:35.0,T. Warren misses 2-pt shot from 3 ft,,12-13,,
5:35.0,,,12-13,,Defensive rebound by L. Deng
5:23.0,,,12-15,2,T. Mozgov makes 2-pt shot from 17 ft (assist by J. Randle)
5:11.0,Turnover by E. Bledsoe (lost ball),,12-15,,
5:11.0,,,12-15,,J. Clarkson enters the game for N. Young
5:11.0,B. Knight enters the game for J. Dudley,,12-15,,
5:11.0,P. Tucker enters the game for E. Bledsoe,,12-15,,
4:55.0,,,12-15,,T. Mozgov misses 2-pt shot from 6 ft
4:54.0,Defensive rebound by T. Chandler,,12-15,,
4:30.0,Turnover by Team (shot clock),,12-15,,
4:30.0,A. Len enters the game for T. Chandler,,12-15,,
4:30.0,,,12-15,,B. Ingram enters the game for L. Deng
4:17.0,,,12-17,2,J. Clarkson makes 2-pt shot from 11 ft
4:00.0,D. Booker misses 2-pt shot from 20 ft,,12-17,,
3:58.0,Offensive rebound by D. Booker,,12-17,,
3:56.0,D. Booker misses 2-pt shot from 13 ft,,12-17,,
3:55.0,,,12-17,,Defensive rebound by T. Mozgov
3:47.0,,,12-17,,D. Russell misses 2-pt shot from 14 ft
3:44.0,,,12-17,,Offensive rebound by D. Russell
3:39.0,,,12-17,,D. Russell misses 2-pt shot from 5 ft
3:38.0,Defensive rebound by A. Len,,12-17,,
3:31.0,D. Booker makes 2-pt shot from 1 ft (assist by B. Knight),2,14-17,,
