time,Denver,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. K. Porzingis (J. Nelson gains possession),,,,Jump ball: N. Jokic vs. K. Porzingis (J. Nelson gains possession)
11:45.0,W. Chandler makes 2-pt shot from 6 ft,2,2-0,,
11:32.0,,,2-3,3,C. Lee makes 3-pt shot from 23 ft (assist by D. Rose)
11:13.0,D. Arthur makes 3-pt shot from 23 ft (assist by W. Chandler),3,5-3,,
10:59.0,,,5-6,3,K. Porzingis makes 3-pt shot from 25 ft (assist by D. Rose)
10:39.0,W. Chandler makes 2-pt shot from 5 ft,2,7-6,,
10:25.0,,,7-9,3,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony)
10:08.0,W. Chandler misses 2-pt shot from 1 ft,,7-9,,
10:06.0,,,7-9,,Defensive rebound by C. Anthony
9:59.0,,,7-9,,C. Anthony misses 3-pt shot from 25 ft
9:58.0,,,7-9,,Offensive rebound by D. Rose
9:53.0,,,7-9,,K. Porzingis misses 2-pt shot from 4 ft
9:51.0,Defensive rebound by D. Arthur,,7-9,,
9:35.0,J. Nelson misses 3-pt shot from 25 ft,,7-9,,
9:33.0,,,7-9,,Defensive rebound by D. Rose
9:27.0,,,7-11,2,D. Rose makes 2-pt shot from 1 ft
9:14.0,G. Harris misses 3-pt shot from 24 ft,,7-11,,
9:13.0,Offensive rebound by N. Jokic,,7-11,,
9:09.0,D. Arthur misses 3-pt shot from 25 ft,,7-11,,
9:07.0,Offensive rebound by Team,,7-11,,
8:50.0,J. Nelson makes 3-pt shot from 24 ft (assist by N. Jokic),3,10-11,,
8:38.0,,,10-13,2,C. Lee makes 2-pt shot from 16 ft (assist by B. Jennings)
8:17.0,G. Harris makes 3-pt shot from 24 ft (assist by D. Arthur),3,13-13,,
8:01.0,,,13-13,,B. Jennings misses 3-pt shot from 25 ft
7:59.0,Defensive rebound by G. Harris,,13-13,,
7:54.0,Turnover by G. Harris (lost ball; steal by C. Lee),,13-13,,
7:52.0,Personal foul by N. Jokic (drawn by D. Rose),,13-13,,
7:41.0,,,13-15,2,D. Rose makes 2-pt shot from 17 ft
7:21.0,W. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,15-15,,
7:13.0,,,15-15,,C. Lee misses 3-pt shot from 23 ft
7:11.0,Defensive rebound by G. Harris,,15-15,,
7:01.0,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson),2,17-15,,
7:00.0,,,17-15,,New York full timeout
6:47.0,,,17-17,2,C. Anthony makes 2-pt shot from 23 ft
6:34.0,D. Arthur makes 2-pt shot from 16 ft (assist by N. Jokic),2,19-17,,
6:18.0,,,19-17,,K. Porzingis misses 2-pt shot from 3 ft (block by W. Chandler)
6:16.0,Defensive rebound by J. Nelson,,19-17,,
6:09.0,D. Arthur makes 3-pt shot from 25 ft (assist by G. Harris),3,22-17,,
5:47.0,,,22-17,,C. Anthony misses 2-pt shot from 16 ft
5:46.0,Defensive rebound by J. Nelson,,22-17,,
5:36.0,,,22-17,,Personal foul by C. Lee (drawn by W. Chandler)
5:36.0,W. Barton enters the game for D. Arthur,,22-17,,
5:32.0,Turnover by N. Jokic (lost ball; steal by D. Rose),,22-17,,
5:28.0,Violation by W. Barton (def goaltending),,22-17,,
5:28.0,,,22-19,2,C. Lee makes 2-pt shot from 2 ft (assist by D. Rose)
5:13.0,Turnover by J. Nelson (bad pass; steal by K. Porzingis),,22-19,,
5:11.0,,,22-19,,K. O'Quinn enters the game for K. Porzingis
5:00.0,,,22-19,,D. Rose misses 2-pt shot from 7 ft
4:58.0,,,22-19,,Offensive rebound by C. Anthony
4:57.0,,,22-21,2,C. Anthony makes 2-pt shot from 19 ft
4:40.0,J. Nelson makes 2-pt shot from 2 ft,2,24-21,,
4:14.0,,,24-23,2,C. Anthony makes 2-pt shot from 17 ft
3:58.0,N. Jokic makes 2-pt shot from 2 ft,2,26-23,,
3:47.0,,,26-25,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by C. Lee)
3:36.0,W. Chandler makes 3-pt shot from 25 ft,3,29-25,,
3:19.0,,,29-25,,Turnover by C. Lee (bad pass; steal by W. Chandler)
3:16.0,,,29-25,,J. Holiday enters the game for B. Jennings
3:16.0,J. Hernangomez enters the game for G. Harris,,29-25,,
3:02.0,J. Hernangomez makes 3-pt shot from 24 ft (assist by W. Chandler),3,32-25,,
2:54.0,,,32-25,,C. Anthony misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by N. Jokic,,32-25,,
2:44.0,J. Nelson misses 2-pt shot from 7 ft,,32-25,,
2:42.0,,,32-25,,Defensive rebound by D. Rose
2:38.0,,,32-27,2,D. Rose makes 2-pt shot from 2 ft
2:25.0,N. Jokic misses 3-pt shot from 25 ft,,32-27,,
2:24.0,,,32-27,,Defensive rebound by C. Lee
2:18.0,,,32-27,,J. Holiday misses 3-pt shot from 23 ft
2:16.0,Defensive rebound by W. Barton,,32-27,,
2:11.0,W. Barton misses 2-pt shot from 6 ft (block by K. O'Quinn),,32-27,,
2:09.0,,,32-27,,Defensive rebound by K. O'Quinn
2:04.0,,,32-29,2,C. Lee makes 2-pt shot from 1 ft (assist by J. Holiday)
2:04.0,Denver full timeout,,32-29,,
2:04.0,J. Murray enters the game for N. Jokic,,32-29,,
2:04.0,J. Nurkic enters the game for J. Nelson,,32-29,,
1:52.0,Turnover by W. Chandler (bad pass; steal by C. Anthony),,32-29,,
1:47.0,,,32-29,,J. Holiday misses 3-pt shot from 24 ft
1:45.0,,,32-29,,Offensive rebound by Team
1:42.0,,,32-32,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Holiday)
1:22.0,,,32-32,,Personal foul by K. O'Quinn (drawn by J. Nurkic)
1:16.0,W. Barton makes 2-pt shot from 2 ft,2,34-32,,
0:49.0,,,34-32,,C. Lee misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Hernangomez,,34-32,,
0:38.0,Turnover by W. Barton (traveling),,34-32,,
0:29.0,,,34-32,,D. Rose misses 2-pt shot from 22 ft
0:27.0,Defensive rebound by W. Chandler,,34-32,,
0:09.0,J. Murray misses 3-pt shot from 25 ft,,34-32,,
0:08.0,Offensive rebound by W. Barton,,34-32,,
0:07.0,W. Barton misses 2-pt shot from 3 ft,,34-32,,
0:05.0,Offensive rebound by J. Nurkic,,34-32,,
0:04.0,J. Nurkic misses 2-pt shot from 2 ft,,34-32,,
0:02.0,Offensive rebound by W. Barton,,34-32,,
0:02.0,W. Barton misses 2-pt shot at rim,,34-32,,
0:01.0,Offensive rebound by W. Barton,,34-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,34-34,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by B. Jennings)
11:24.0,J. Hernangomez misses 3-pt shot from 25 ft,,34-34,,
11:22.0,,,34-34,,Defensive rebound by K. Porzingis
11:14.0,,,34-37,3,B. Jennings makes 3-pt shot from 24 ft
10:48.0,J. Murray misses 2-pt shot from 19 ft,,34-37,,
10:45.0,Offensive rebound by J. Nurkic,,34-37,,
10:44.0,J. Nurkic makes 2-pt shot from 2 ft,2,36-37,,
10:34.0,,,36-40,3,J. Holiday makes 3-pt shot from 22 ft (assist by R. Baker)
10:22.0,Turnover by J. Nurkic (bad pass; steal by J. Holiday),,36-40,,
10:15.0,,,36-42,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker)
10:15.0,Denver full timeout,,36-42,,
9:59.0,J. Nurkic misses 2-pt shot from 1 ft (block by K. O'Quinn),,36-42,,
9:56.0,Offensive rebound by W. Barton,,36-42,,
9:51.0,J. Hernangomez misses 3-pt shot from 24 ft,,36-42,,
9:50.0,Offensive rebound by Team,,36-42,,
9:38.0,Turnover by J. Murray (bad pass),,36-42,,
9:15.0,,,36-42,,B. Jennings misses 3-pt shot from 25 ft
9:13.0,Defensive rebound by J. Nurkic,,36-42,,
9:08.0,D. Arthur misses 3-pt shot from 25 ft,,36-42,,
9:06.0,,,36-42,,Defensive rebound by J. Holiday
8:53.0,,,36-44,2,K. Porzingis makes 2-pt shot at rim (assist by K. O'Quinn)
8:34.0,Shooting foul by K. Porzingis (drawn by W. Barton),,36-44,,
8:34.0,W. Barton makes free throw 1 of 3,1,37-44,,
8:34.0,W. Barton makes free throw 2 of 3,1,38-44,,
8:34.0,W. Barton misses free throw 3 of 3,,38-44,,
8:34.0,,,38-44,,W. Hernangomez enters the game for K. O'Quinn
8:33.0,,,38-44,,Defensive rebound by W. Hernangomez
8:18.0,,,38-47,3,J. Holiday makes 3-pt shot from 24 ft (assist by K. Porzingis)
8:11.0,D. Arthur makes 2-pt shot at rim (assist by W. Barton),2,40-47,,
8:00.0,,,40-47,,J. Holiday misses 3-pt shot from 23 ft
7:58.0,,,40-47,,Offensive rebound by B. Jennings
7:51.0,,,40-47,,Shooting foul by D. Arthur (drawn by K. Porzingis)
7:51.0,,,40-47,,K. Porzingis misses free throw 1 of 2
7:51.0,,,40-47,,Offensive rebound by Team
7:51.0,,,40-48,1,K. Porzingis makes free throw 2 of 2
7:34.0,Turnover by J. Murray (lost ball),,40-48,,
7:34.0,G. Harris enters the game for J. Hernangomez,,40-48,,
7:26.0,Personal foul by J. Nurkic (drawn by W. Hernangomez),,40-48,,
7:26.0,N. Jokic enters the game for J. Nurkic,,40-48,,
7:22.0,,,40-50,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by R. Baker)
7:06.0,D. Arthur misses 2-pt shot from 18 ft,,40-50,,
7:04.0,,,40-50,,Defensive rebound by B. Jennings
6:58.0,,,40-50,,R. Baker misses 3-pt shot from 23 ft
6:56.0,Defensive rebound by D. Arthur,,40-50,,
6:51.0,G. Harris misses 3-pt shot from 25 ft,,40-50,,
6:49.0,,,40-50,,Defensive rebound by W. Hernangomez
6:42.0,,,40-50,,B. Jennings misses 2-pt shot from 2 ft
6:40.0,,,40-50,,Offensive rebound by W. Hernangomez
6:40.0,,,40-52,2,W. Hernangomez makes 2-pt shot from 1 ft
6:23.0,N. Jokic makes 2-pt shot from 2 ft,2,42-52,,
6:17.0,,,42-54,2,R. Baker makes 2-pt shot from 2 ft (assist by B. Jennings)
6:15.0,Denver full timeout,,42-54,,
6:15.0,J. Nelson enters the game for D. Arthur,,42-54,,
6:15.0,W. Chandler enters the game for J. Murray,,42-54,,
5:53.0,N. Jokic makes 2-pt shot from 6 ft (assist by W. Barton),2,44-54,,
5:40.0,,,44-54,,K. Porzingis misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by W. Barton,,44-54,,
5:32.0,W. Barton misses 3-pt shot from 25 ft,,44-54,,
5:30.0,,,44-54,,Defensive rebound by Team
5:30.0,Official timeout,,44-54,,
5:30.0,,,44-54,,D. Rose enters the game for B. Jennings
5:30.0,,,44-54,,C. Lee enters the game for J. Holiday
5:30.0,,,44-54,,C. Anthony enters the game for R. Baker
5:16.0,,,44-54,,Turnover by C. Lee (bad pass)
5:04.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nelson),2,46-54,,
4:50.0,,,46-54,,Shooting foul by W. Barton (drawn by C. Anthony)
4:50.0,,,46-54,,C. Anthony misses free throw 1 of 2
4:50.0,,,46-54,,Offensive rebound by Team
4:50.0,,,46-55,1,C. Anthony makes free throw 2 of 2
4:27.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson),3,49-55,,
4:10.0,,,49-57,2,W. Hernangomez makes 2-pt shot from 1 ft
4:00.0,N. Jokic makes 2-pt shot from 2 ft,2,51-57,,
3:46.0,,,51-57,,W. Hernangomez misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by G. Harris,,51-57,,
3:39.0,W. Barton misses 2-pt shot from 2 ft,,51-57,,
3:38.0,Offensive rebound by G. Harris,,51-57,,
3:32.0,N. Jokic makes 2-pt shot from 6 ft (assist by J. Nelson),2,53-57,,
3:32.0,,,53-57,,New York full timeout
3:32.0,,,53-57,,R. Baker enters the game for K. Porzingis
3:32.0,,,53-57,,K. O'Quinn enters the game for W. Hernangomez
3:18.0,,,53-57,,D. Rose misses 2-pt shot from 2 ft (block by W. Chandler)
3:17.0,,,53-57,,Offensive rebound by K. O'Quinn
3:09.0,,,53-57,,C. Anthony misses 3-pt shot from 25 ft
