time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. D. Howard (D. Schroder gains possession),,,,Jump ball: J. Henson vs. D. Howard (D. Schroder gains possession)
11:44.0,T. Hardaway misses 2-pt shot from 2 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Henson
11:35.0,,,0-0,,Turnover by G. Antetokounmpo (lost ball)
11:22.0,Turnover by D. Schroder (bad pass; steal by J. Parker),,0-0,,
11:17.0,,,0-2,2,J. Parker makes 2-pt shot at rim
11:08.0,D. Howard makes 2-pt shot from 2 ft (assist by T. Hardaway),2,2-2,,
10:49.0,,,2-2,,J. Henson misses 2-pt shot from 6 ft
10:48.0,Defensive rebound by P. Millsap,,2-2,,
10:36.0,D. Schroder misses 3-pt shot from 25 ft,,2-2,,
10:34.0,,,2-2,,Defensive rebound by G. Antetokounmpo
10:17.0,,,2-2,,M. Dellavedova misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by D. Howard,,2-2,,
10:01.0,Turnover by P. Millsap (traveling),,2-2,,
9:51.0,,,2-2,,M. Dellavedova misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by Team,,2-2,,
9:32.0,,,2-2,,Violation by J. Henson (def goaltending)
9:32.0,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap),2,4-2,,
9:22.0,,,4-2,,J. Parker misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by T. Sefolosha,,4-2,,
9:07.0,T. Hardaway misses 3-pt shot from 27 ft,,4-2,,
9:06.0,,,4-2,,Defensive rebound by Team
8:45.0,,,4-4,2,M. Dellavedova makes 2-pt shot from 5 ft
8:34.0,T. Hardaway misses 3-pt shot from 26 ft,,4-4,,
8:33.0,,,4-4,,Defensive rebound by T. Snell
8:26.0,,,4-6,2,G. Antetokounmpo makes 2-pt shot from 19 ft
8:12.0,P. Millsap misses 2-pt shot from 13 ft,,4-6,,
8:10.0,,,4-6,,Defensive rebound by J. Parker
8:01.0,,,4-8,2,J. Henson makes 2-pt shot from 5 ft (assist by J. Parker)
7:35.0,T. Sefolosha misses 2-pt shot from 20 ft,,4-8,,
7:35.0,Offensive rebound by Team,,4-8,,
7:35.0,Turnover by Team (shot clock),,4-8,,
7:18.0,,,4-8,,J. Parker misses 2-pt shot at rim (block by P. Millsap)
7:16.0,,,4-8,,Offensive rebound by J. Parker
7:14.0,,,4-10,2,J. Parker makes 2-pt shot at rim
7:03.0,,,4-10,,Def 3 sec tech foul by J. Parker
7:03.0,D. Schroder makes technical free throw,1,5-10,,
7:03.0,K. Korver enters the game for D. Howard,,5-10,,
7:03.0,M. Muscala enters the game for T. Hardaway,,5-10,,
6:59.0,Turnover by D. Schroder (bad pass),,5-10,,
6:42.0,,,5-10,,Offensive foul by G. Antetokounmpo
6:42.0,,,5-10,,Turnover by G. Antetokounmpo (offensive foul)
6:34.0,D. Schroder misses 2-pt shot from 4 ft,,5-10,,
6:33.0,,,5-10,,Defensive rebound by J. Henson
6:28.0,,,5-12,2,G. Antetokounmpo makes 2-pt shot at rim
6:28.0,Atlanta full timeout,,5-12,,
6:28.0,,,5-12,,M. Beasley enters the game for G. Antetokounmpo
6:11.0,D. Schroder makes 2-pt shot from 2 ft (assist by T. Sefolosha),2,7-12,,
5:57.0,,,7-12,,Turnover by M. Dellavedova (bad pass)
5:42.0,D. Schroder makes 2-pt shot from 16 ft (assist by T. Sefolosha),2,9-12,,
5:42.0,Shooting foul by M. Beasley (drawn by D. Schroder),,9-12,,
5:42.0,D. Schroder makes free throw 1 of 1,1,10-12,,
5:42.0,T. Hardaway enters the game for T. Sefolosha,,9-12,,
5:42.0,,,9-12,,G. Monroe enters the game for J. Henson
5:23.0,,,10-12,,M. Dellavedova misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by T. Hardaway,,10-12,,
5:16.0,T. Hardaway misses 3-pt shot from 26 ft,,10-12,,
5:15.0,Offensive rebound by P. Millsap,,10-12,,
5:09.0,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Millsap),2,12-12,,
4:46.0,,,12-14,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
4:26.0,T. Hardaway misses 2-pt shot from 2 ft (block by M. Beasley),,12-14,,
4:23.0,Offensive rebound by T. Hardaway,,12-14,,
4:20.0,D. Schroder makes 3-pt shot from 26 ft (assist by T. Hardaway),3,15-14,,
4:09.0,,,15-16,2,G. Monroe makes 2-pt shot from 17 ft (assist by M. Dellavedova)
3:59.0,D. Schroder makes 3-pt shot from 26 ft (assist by M. Muscala),3,18-16,,
3:39.0,,,18-18,2,G. Monroe makes 2-pt shot at rim (assist by M. Dellavedova)
3:39.0,Violation by P. Millsap (def goaltending),,18-18,,
3:26.0,Turnover by D. Schroder (bad pass; steal by T. Snell),,18-18,,
3:13.0,,,18-18,,G. Monroe misses 2-pt shot from 4 ft
3:12.0,,,18-18,,Offensive rebound by G. Monroe
3:07.0,,,18-18,,G. Monroe misses 2-pt shot from 1 ft
3:06.0,,,18-18,,Offensive rebound by G. Monroe
3:06.0,,,18-18,,G. Monroe misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by T. Hardaway,,18-18,,
2:48.0,D. Schroder misses 3-pt shot from 25 ft,,18-18,,
2:47.0,,,18-18,,Defensive rebound by G. Monroe
2:36.0,,,18-21,3,M. Beasley makes 3-pt shot from 26 ft (assist by M. Dellavedova)
2:23.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Korver),2,20-21,,
2:23.0,Shooting foul by M. Dellavedova (drawn by D. Schroder),,20-21,,
2:23.0,,,20-21,,Milwaukee full timeout
2:23.0,D. Schroder makes free throw 1 of 1,1,21-21,,
2:23.0,D. Howard enters the game for P. Millsap,,20-21,,
2:23.0,,,20-21,,J. Terry enters the game for T. Snell
2:23.0,,,20-21,,M. Brogdon enters the game for M. Dellavedova
2:10.0,,,21-23,2,J. Parker makes 2-pt shot from 19 ft (assist by M. Brogdon)
2:00.0,T. Hardaway makes 2-pt shot from 1 ft (assist by M. Muscala),2,23-23,,
1:48.0,,,23-25,2,M. Brogdon makes 2-pt shot from 3 ft
1:33.0,Turnover by T. Hardaway (bad pass),,23-25,,
1:33.0,M. Delaney enters the game for D. Schroder,,23-25,,
1:20.0,,,23-25,,J. Parker misses 2-pt shot from 13 ft
1:19.0,Defensive rebound by D. Howard,,23-25,,
1:19.0,Turnover by D. Howard (bad pass),,23-25,,
1:12.0,,,23-27,2,J. Parker makes 2-pt shot from 9 ft (assist by G. Monroe)
0:57.0,Turnover by D. Howard (3 sec),,23-27,,
0:45.0,,,23-27,,M. Beasley misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by M. Delaney,,23-27,,
0:38.0,T. Hardaway misses 2-pt shot from 13 ft,,23-27,,
0:36.0,,,23-27,,Defensive rebound by M. Beasley
0:27.0,,,23-30,3,J. Terry makes 3-pt shot from 24 ft (assist by G. Monroe)
0:04.0,T. Hardaway misses 3-pt shot from 29 ft,,23-30,,
0:02.0,,,23-30,,Defensive rebound by M. Brogdon
0:00.0,,,23-30,,J. Terry misses 3-pt shot from 27 ft
0:00.0,,,23-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-30,,G. Monroe misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by M. Delaney,,23-30,,
11:23.0,M. Delaney makes 2-pt shot from 7 ft,2,25-30,,
10:59.0,,,25-33,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by J. Terry)
10:42.0,T. Waller-Prince misses 2-pt shot from 13 ft,,25-33,,
10:41.0,,,25-33,,Defensive rebound by G. Antetokounmpo
10:32.0,,,25-35,2,G. Monroe makes 2-pt shot at rim (assist by M. Beasley)
10:19.0,Turnover by M. Delaney (bad pass; steal by G. Monroe),,25-35,,
10:16.0,,,25-37,2,G. Monroe makes 2-pt shot at rim
10:16.0,Atlanta full timeout,,25-37,,
10:16.0,P. Millsap enters the game for D. Howard,,25-37,,
10:16.0,D. Schroder enters the game for T. Waller-Prince,,25-37,,
10:05.0,M. Delaney misses 3-pt shot from 23 ft,,25-37,,
10:03.0,,,25-37,,Defensive rebound by G. Antetokounmpo
9:59.0,,,25-37,,Turnover by G. Antetokounmpo (bad pass; steal by K. Korver)
9:48.0,D. Schroder misses 3-pt shot from 24 ft,,25-37,,
9:47.0,,,25-37,,Defensive rebound by M. Beasley
9:28.0,,,25-37,,G. Monroe misses 2-pt shot from 7 ft
9:27.0,Defensive rebound by M. Delaney,,25-37,,
9:20.0,K. Korver misses 3-pt shot from 26 ft,,25-37,,
9:18.0,,,25-37,,Defensive rebound by G. Antetokounmpo
9:15.0,,,25-37,,Offensive charge foul by G. Antetokounmpo
9:15.0,,,25-37,,Turnover by G. Antetokounmpo (offensive foul)
9:01.0,T. Sefolosha misses 2-pt shot from 1 ft,,25-37,,
8:59.0,,,25-37,,Defensive rebound by J. Terry
8:41.0,,,25-37,,M. Brogdon misses 2-pt shot from 1 ft
8:39.0,Defensive rebound by P. Millsap,,25-37,,
8:29.0,P. Millsap misses 2-pt shot from 5 ft,,25-37,,
8:27.0,,,25-37,,Defensive rebound by M. Beasley
8:20.0,,,25-37,,Turnover by G. Monroe (lost ball; steal by D. Schroder)
8:09.0,P. Millsap misses 3-pt shot from 26 ft,,25-37,,
8:08.0,,,25-37,,Defensive rebound by G. Monroe
7:53.0,,,25-37,,M. Brogdon misses 2-pt shot from 12 ft
7:51.0,Defensive rebound by K. Korver,,25-37,,
7:44.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver),2,27-37,,
7:44.0,Shooting foul by G. Monroe (drawn by P. Millsap),,27-37,,
7:44.0,P. Millsap misses free throw 1 of 1,,27-37,,
7:44.0,,,27-37,,J. Henson enters the game for G. Monroe
7:43.0,,,27-37,,Defensive rebound by G. Antetokounmpo
