time,Orlando,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: M. Turner vs. N. Vucevic (E. Payton gains possession)
11:43.0,N. Vucevic misses 2-pt shot from 14 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by M. Turner
11:32.0,,,0-0,,Offensive foul by M. Turner
11:32.0,,,0-0,,Turnover by M. Turner (offensive foul)
11:14.0,S. Ibaka misses 3-pt shot from 27 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by M. Ellis
10:58.0,,,0-2,2,T. Young makes 2-pt shot from 2 ft
10:48.0,E. Payton makes 2-pt shot at rim,2,2-2,,
10:34.0,,,2-2,,P. George misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by N. Vucevic,,2-2,,
10:17.0,E. Fournier misses 2-pt shot from 17 ft,,2-2,,
10:16.0,,,2-2,,Defensive rebound by P. George
10:09.0,Personal foul by N. Vucevic (drawn by M. Turner),,2-2,,
10:02.0,,,2-2,,J. Teague misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by S. Ibaka,,2-2,,
9:53.0,N. Vucevic misses 2-pt shot from 16 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by J. Teague
9:39.0,,,2-4,2,M. Ellis makes 2-pt shot from 2 ft
9:16.0,N. Vucevic misses 2-pt shot from 9 ft,,2-4,,
9:15.0,,,2-4,,Defensive rebound by P. George
9:09.0,,,2-4,,M. Turner misses 2-pt shot from 4 ft
9:08.0,Defensive rebound by N. Vucevic,,2-4,,
8:48.0,E. Fournier misses 3-pt shot from 26 ft,,2-4,,
8:47.0,Offensive rebound by S. Ibaka,,2-4,,
8:25.0,Turnover by N. Vucevic (lost ball; steal by T. Young),,2-4,,
8:18.0,,,2-6,2,M. Turner makes 2-pt shot at rim (assist by T. Young)
8:18.0,,,2-6,,Shooting foul by S. Ibaka (drawn by M. Turner)
8:18.0,,,2-7,1,M. Turner makes free throw 1 of 1
7:58.0,S. Ibaka misses 2-pt shot from 16 ft,,2-7,,
7:57.0,,,2-7,,Defensive rebound by M. Turner
7:42.0,,,2-7,,M. Turner misses 2-pt shot from 4 ft
7:41.0,Defensive rebound by N. Vucevic,,2-7,,
7:31.0,E. Payton misses 2-pt shot from 6 ft,,2-7,,
7:30.0,Offensive rebound by E. Payton,,2-7,,
7:24.0,S. Ibaka misses 3-pt shot from 25 ft,,2-7,,
7:23.0,,,2-7,,Defensive rebound by J. Teague
7:15.0,,,2-7,,M. Ellis misses 3-pt shot from 23 ft
7:14.0,Defensive rebound by E. Payton,,2-7,,
7:04.0,S. Ibaka misses 2-pt shot from 16 ft,,2-7,,
7:04.0,,,2-7,,Defensive rebound by J. Teague
6:56.0,Personal block foul by J. Green (drawn by J. Teague),,2-7,,
6:47.0,,,2-7,,Turnover by M. Turner (offensive goaltending)
6:29.0,E. Payton makes 2-pt shot from 1 ft,2,4-7,,
6:15.0,,,4-7,,M. Turner misses 2-pt shot from 15 ft
6:14.0,Defensive rebound by J. Green,,4-7,,
6:11.0,Offensive charge foul by E. Payton,,4-7,,
6:11.0,Turnover by E. Payton (offensive foul),,4-7,,
5:56.0,,,4-7,,P. George misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by S. Ibaka,,4-7,,
5:49.0,Orlando full timeout,,4-7,,
5:49.0,B. Biyombo enters the game for J. Green,,4-7,,
5:49.0,A. Gordon enters the game for N. Vucevic,,4-7,,
5:32.0,S. Ibaka makes 2-pt shot from 7 ft,2,6-7,,
5:14.0,,,6-7,,T. Young misses 2-pt shot from 16 ft
5:14.0,Defensive rebound by E. Payton,,6-7,,
5:01.0,S. Ibaka misses 2-pt shot from 16 ft,,6-7,,
5:00.0,Offensive rebound by B. Biyombo,,6-7,,
5:00.0,,,6-7,,Loose ball foul by M. Turner (drawn by B. Biyombo)
5:00.0,,,6-7,,A. Jefferson enters the game for M. Turner
4:46.0,A. Gordon misses 2-pt shot from 13 ft (block by J. Teague),,6-7,,
4:44.0,Offensive rebound by B. Biyombo,,6-7,,
4:43.0,B. Biyombo makes 2-pt shot from 1 ft,2,8-7,,
4:25.0,,,8-7,,P. George misses 3-pt shot from 27 ft
