time,Miami,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,S. Dinwiddie misses 2-pt shot from 2 ft (block by H. Whiteside)
12:00.0,Jump ball: B. Lopez vs. H. Whiteside (S. Dinwiddie gains possession),,,,Jump ball: B. Lopez vs. H. Whiteside (S. Dinwiddie gains possession)
11:37.0,Defensive rebound by Team,,0-0,,
11:19.0,D. Waiters makes 2-pt shot from 18 ft (assist by G. Dragic),2,2-0,,
11:00.0,,,2-2,2,B. Lopez makes 2-pt shot from 6 ft
10:51.0,Shooting foul by B. Bogdanovic (drawn by G. Dragic),,2-2,,
10:51.0,G. Dragic makes free throw 1 of 2,1,3-2,,
10:51.0,G. Dragic misses free throw 2 of 2,,3-2,,
10:50.0,,,3-2,,Defensive rebound by T. Booker
10:29.0,,,3-4,2,B. Lopez makes 2-pt shot from 5 ft (assist by R. Foye)
10:15.0,R. McGruder makes 3-pt shot from 23 ft (assist by D. Waiters),3,6-4,,
9:57.0,,,6-7,3,B. Lopez makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
9:43.0,H. Whiteside makes 2-pt shot from 8 ft (assist by G. Dragic),2,8-7,,
9:23.0,,,8-10,3,B. Lopez makes 3-pt shot from 26 ft
8:59.0,R. McGruder makes 2-pt shot from 3 ft (assist by L. Babbitt),2,10-10,,
8:49.0,Personal foul by H. Whiteside (drawn by B. Lopez),,10-10,,
8:49.0,,,10-10,,C. LeVert enters the game for B. Bogdanovic
8:41.0,,,10-10,,S. Dinwiddie misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by R. McGruder,,10-10,,
8:33.0,Shooting foul by S. Dinwiddie (drawn by G. Dragic),,10-10,,
8:33.0,G. Dragic makes free throw 1 of 2,1,11-10,,
8:33.0,G. Dragic makes free throw 2 of 2,1,12-10,,
8:33.0,,,11-10,,B. Bogdanovic enters the game for C. LeVert
8:24.0,,,12-10,,B. Lopez misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by G. Dragic,,12-10,,
8:10.0,L. Babbitt misses 3-pt shot from 25 ft,,12-10,,
8:08.0,Offensive rebound by G. Dragic,,12-10,,
7:58.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,14-10,,
7:33.0,,,14-10,,B. Bogdanovic misses 2-pt shot from 13 ft
7:32.0,,,14-10,,Offensive rebound by R. Foye
7:29.0,,,14-13,3,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye)
7:08.0,H. Whiteside misses 2-pt shot from 15 ft,,14-13,,
7:07.0,,,14-13,,Defensive rebound by B. Bogdanovic
6:56.0,Personal foul by R. McGruder (drawn by T. Booker),,14-13,,
6:49.0,,,14-13,,R. Foye misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by L. Babbitt,,14-13,,
6:37.0,G. Dragic misses 2-pt shot from 15 ft,,14-13,,
6:36.0,,,14-13,,Defensive rebound by B. Bogdanovic
6:22.0,,,14-13,,Shooting foul by R. McGruder (drawn by T. Booker)
6:22.0,,,14-13,,T. Booker misses free throw 1 of 2
6:22.0,,,14-13,,Offensive rebound by Team
6:22.0,,,14-14,1,T. Booker makes free throw 2 of 2
6:22.0,,,14-13,,C. LeVert enters the game for B. Bogdanovic
6:22.0,W. Ellington enters the game for G. Dragic,,14-13,,
5:59.0,W. Ellington makes 3-pt shot from 25 ft (assist by H. Whiteside),3,17-14,,
5:48.0,,,17-17,3,B. Lopez makes 3-pt shot from 26 ft (assist by R. Foye)
5:35.0,D. Waiters makes 2-pt shot from 1 ft,2,19-17,,
5:17.0,,,19-17,,B. Lopez misses 2-pt shot from 8 ft
5:15.0,Defensive rebound by L. Babbitt,,19-17,,
5:10.0,D. Waiters misses 2-pt shot from 3 ft,,19-17,,
5:09.0,,,19-17,,Defensive rebound by T. Booker
5:04.0,,,19-17,,Shooting foul by L. Babbitt (drawn by T. Booker)
5:04.0,,,19-17,,Brooklyn full timeout
5:04.0,,,19-18,1,T. Booker makes free throw 1 of 2
5:04.0,,,19-19,1,T. Booker makes free throw 2 of 2
5:04.0,,,19-17,,S. Kilpatrick enters the game for R. Foye
5:04.0,,,19-17,,I. Whitehead enters the game for S. Dinwiddie
5:04.0,,,19-17,,J. Hamilton enters the game for B. Lopez
5:04.0,J. Johnson enters the game for H. Whiteside,,19-17,,
5:04.0,W. Reed enters the game for L. Babbitt,,19-17,,
4:51.0,W. Ellington makes 2-pt shot from 21 ft (assist by W. Reed),2,21-19,,
4:32.0,,,21-19,,Turnover by T. Booker (lost ball; steal by J. Johnson)
4:12.0,D. Waiters misses 2-pt shot from 1 ft (block by T. Booker),,21-19,,
4:10.0,Offensive rebound by Team,,21-19,,
4:10.0,,,21-19,,R. Hollis-Jefferson enters the game for T. Booker
4:07.0,D. Waiters makes 2-pt shot from 20 ft (assist by R. McGruder),2,23-19,,
3:52.0,,,23-21,2,C. LeVert makes 2-pt shot from 18 ft
3:38.0,D. Waiters makes 2-pt shot from 8 ft,2,25-21,,
3:33.0,Personal foul by D. Waiters (drawn by I. Whitehead),,25-21,,
3:33.0,,,25-22,1,I. Whitehead makes free throw 1 of 2
3:33.0,,,25-23,1,I. Whitehead makes free throw 2 of 2
3:20.0,J. Johnson misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,25-23,,
3:18.0,,,25-23,,Defensive rebound by I. Whitehead
3:16.0,,,25-25,2,C. LeVert makes 2-pt shot from 3 ft
3:15.0,Miami full timeout,,25-25,,
2:57.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Johnson),,25-25,,
2:57.0,J. Johnson misses free throw 1 of 2,,25-25,,
2:57.0,Offensive rebound by Team,,25-25,,
2:57.0,J. Johnson makes free throw 2 of 2,1,26-25,,
2:43.0,,,26-25,,Turnover by I. Whitehead (bad pass; steal by J. Johnson)
2:38.0,Turnover by J. Johnson (bad pass),,26-25,,
2:27.0,,,26-25,,I. Whitehead misses 2-pt shot from 3 ft
2:26.0,,,26-25,,Offensive rebound by J. Hamilton
2:23.0,,,26-25,,C. LeVert misses 3-pt shot from 25 ft
2:21.0,Defensive rebound by D. Waiters,,26-25,,
2:10.0,W. Ellington makes 2-pt shot from 5 ft,2,28-25,,
1:57.0,,,28-25,,Turnover by J. Hamilton (offensive foul)
1:57.0,,,28-25,,Offensive foul by J. Hamilton
1:57.0,G. Dragic enters the game for R. McGruder,,28-25,,
1:57.0,L. Babbitt enters the game for D. Waiters,,28-25,,
1:38.0,Shooting foul by R. Hollis-Jefferson (drawn by W. Reed),,28-25,,
1:38.0,W. Reed makes free throw 1 of 2,1,29-25,,
1:38.0,W. Reed misses free throw 2 of 2,,29-25,,
1:37.0,,,29-25,,Defensive rebound by R. Hollis-Jefferson
1:27.0,,,29-27,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by J. Hamilton)
1:03.0,L. Babbitt misses 3-pt shot from 23 ft,,29-27,,
1:02.0,Offensive rebound by W. Ellington,,29-27,,
0:58.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,32-27,,
0:48.0,,,32-30,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by C. LeVert)
0:37.0,Shooting foul by J. Hamilton (drawn by W. Reed),,32-30,,
0:37.0,W. Reed makes free throw 1 of 2,1,33-30,,
0:37.0,W. Reed makes free throw 2 of 2,1,34-30,,
0:28.0,,,34-30,,J. Hamilton misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by W. Reed,,34-30,,
0:06.0,L. Babbitt misses 2-pt shot from 19 ft,,34-30,,
0:05.0,Offensive rebound by Team,,34-30,,
0:04.0,Turnover by Team (shot clock),,34-30,,
0:01.0,,,34-30,,R. Hollis-Jefferson misses 3-pt shot from 39 ft
0:00.0,,,34-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Johnson makes 2-pt shot from 14 ft (assist by G. Dragic),2,36-30,,
11:32.0,,,36-30,,Turnover by J. Hamilton (lost ball; steal by G. Dragic)
11:21.0,G. Dragic misses 3-pt shot from 24 ft,,36-30,,
11:19.0,,,36-30,,Defensive rebound by I. Whitehead
11:11.0,,,36-30,,I. Whitehead misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by G. Dragic,,36-30,,
11:04.0,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic),3,39-30,,
10:49.0,,,39-30,,Shooting foul by J. Johnson (drawn by B. Bogdanovic)
10:49.0,,,39-31,1,B. Bogdanovic makes free throw 1 of 2
10:49.0,,,39-32,1,B. Bogdanovic makes free throw 2 of 2
10:49.0,,,39-31,,S. Dinwiddie enters the game for I. Whitehead
10:40.0,G. Dragic makes 2-pt shot from 3 ft,2,41-32,,
10:40.0,Shooting foul by J. Hamilton (drawn by G. Dragic),,41-32,,
10:40.0,G. Dragic makes free throw 1 of 1,1,42-32,,
10:40.0,,,41-32,,I. Whitehead enters the game for S. Dinwiddie
10:40.0,H. Whiteside enters the game for W. Reed,,41-32,,
10:40.0,,,41-32,,B. Lopez enters the game for J. Hamilton
10:34.0,,,42-32,,Shooting foul by L. Babbitt (drawn by R. Hollis-Jefferson)
10:34.0,,,42-34,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft
10:34.0,,,42-35,1,R. Hollis-Jefferson makes free throw 1 of 1
10:17.0,Turnover by J. Johnson (bad pass),,42-35,,
10:17.0,O. White enters the game for L. Babbitt,,42-35,,
10:11.0,,,42-35,,Turnover by I. Whitehead (offensive foul)
10:11.0,,,42-35,,Offensive foul by I. Whitehead
9:53.0,H. Whiteside misses 2-pt shot from 6 ft,,42-35,,
9:52.0,,,42-35,,Defensive rebound by R. Hollis-Jefferson
9:38.0,,,42-35,,I. Whitehead misses 2-pt shot from 2 ft
9:37.0,Defensive rebound by H. Whiteside,,42-35,,
9:27.0,,,42-35,,Personal foul by R. Foye (drawn by H. Whiteside)
9:19.0,W. Ellington makes 2-pt shot from 21 ft (assist by G. Dragic),2,44-35,,
9:07.0,,,44-35,,B. Bogdanovic misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by O. White,,44-35,,
8:52.0,H. Whiteside misses 2-pt shot from 4 ft,,44-35,,
8:51.0,,,44-35,,Defensive rebound by B. Bogdanovic
8:45.0,Personal foul by W. Ellington (drawn by B. Lopez),,44-35,,
8:45.0,Official timeout,,44-35,,
8:45.0,,,44-35,,S. Dinwiddie enters the game for I. Whitehead
8:41.0,,,44-37,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
8:41.0,,,44-37,,Shooting foul by J. Johnson (drawn by B. Bogdanovic)
8:41.0,,,44-38,1,B. Bogdanovic makes free throw 1 of 1
8:33.0,,,44-38,,Personal foul by B. Lopez (drawn by J. Johnson)
8:28.0,,,44-38,,Personal foul by S. Dinwiddie (drawn by G. Dragic)
8:23.0,W. Ellington misses 3-pt shot from 25 ft,,44-38,,
8:21.0,,,44-38,,Defensive rebound by B. Bogdanovic
8:02.0,,,44-38,,B. Bogdanovic misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by O. White,,44-38,,
7:55.0,G. Dragic misses 2-pt shot from 2 ft,,44-38,,
7:54.0,,,44-38,,Defensive rebound by R. Hollis-Jefferson
7:38.0,,,44-40,2,B. Lopez makes 2-pt shot from 6 ft
7:29.0,Miami full timeout,,44-40,,
7:29.0,D. Waiters enters the game for G. Dragic,,44-40,,
7:29.0,R. McGruder enters the game for J. Johnson,,44-40,,
7:19.0,Turnover by D. Waiters (bad pass; steal by B. Bogdanovic),,44-40,,
7:16.0,,,44-42,2,S. Dinwiddie makes 2-pt shot at rim (assist by B. Bogdanovic)
7:03.0,Turnover by D. Waiters (bad pass),,44-42,,
6:47.0,,,44-44,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by B. Lopez)
6:47.0,,,44-44,,Shooting foul by O. White (drawn by R. Hollis-Jefferson)
6:47.0,,,44-45,1,R. Hollis-Jefferson makes free throw 1 of 1
6:34.0,D. Waiters misses 2-pt shot from 10 ft,,44-45,,
6:33.0,,,44-45,,Defensive rebound by R. Foye
6:23.0,,,44-47,2,B. Bogdanovic makes 2-pt shot from 1 ft
5:58.0,W. Ellington makes 3-pt shot from 28 ft (assist by D. Waiters),3,47-47,,
5:43.0,Personal foul by O. White (drawn by B. Bogdanovic),,47-47,,
5:43.0,,,47-48,1,B. Bogdanovic makes free throw 1 of 2
