time,Memphis,pts.away,score,pts.home,Oklahoma City
1:08.0,,,20-24,,Turnover by J. Grant (bad pass; steal by A. Harrison)
0:55.0,M. Gasol misses 2-pt shot from 12 ft,,20-24,,
0:55.0,,,20-24,,Defensive rebound by E. Kanter
0:36.0,,,20-24,,E. Kanter misses 2-pt shot from 1 ft (block by M. Gasol)
0:36.0,,,20-24,,Offensive rebound by Team
0:36.0,,,20-24,,Oklahoma City full timeout
0:34.0,,,20-26,2,E. Kanter makes 2-pt shot from 17 ft (assist by C. Payne)
0:17.0,M. Gasol makes 2-pt shot from 2 ft,2,22-26,,
0:17.0,A. Harrison misses 2-pt shot from 11 ft,,22-26,,
0:17.0,Offensive rebound by M. Gasol,,22-26,,
0:01.0,,,22-28,2,C. Payne makes 2-pt shot from 13 ft
0:00.0,A. Harrison misses 3-pt shot from 53 ft,,22-28,,
0:00.0,Offensive rebound by Team,,22-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,22-31,3,A. Abrines makes 3-pt shot from 25 ft (assist by E. Kanter)
11:22.0,Shooting foul by C. Payne (drawn by A. Harrison),,22-31,,
11:22.0,A. Harrison makes free throw 1 of 2,1,23-31,,
11:22.0,A. Harrison makes free throw 2 of 2,1,24-31,,
11:07.0,,,24-33,2,E. Kanter makes 2-pt shot from 1 ft
10:50.0,M. Gasol makes 2-pt shot from 9 ft (assist by V. Carter),2,26-33,,
10:29.0,,,26-33,,Turnover by N. Collison (bad pass; steal by M. Gasol)
10:19.0,,,26-33,,Personal foul by J. Grant (drawn by M. Gasol)
10:06.0,A. Harrison misses 2-pt shot from 4 ft,,26-33,,
10:05.0,Offensive rebound by Z. Randolph,,26-33,,
9:52.0,,,26-33,,Shooting block foul by C. Payne (drawn by V. Carter)
9:52.0,V. Carter makes free throw 1 of 2,1,27-33,,
9:52.0,V. Carter makes free throw 2 of 2,1,28-33,,
9:29.0,,,28-33,,E. Kanter misses 2-pt shot from 13 ft
9:28.0,Defensive rebound by M. Gasol,,28-33,,
9:24.0,Offensive foul by J. Ennis,,28-33,,
9:24.0,Turnover by J. Ennis (offensive foul),,28-33,,
9:11.0,,,28-35,2,J. Grant makes 2-pt shot at rim (assist by E. Kanter)
8:51.0,,,28-35,,Def 3 sec tech foul by C. Payne
8:51.0,Official timeout,,28-35,,
8:51.0,M. Gasol makes technical free throw,1,29-35,,
8:51.0,,,28-35,,S. Adams enters the game for C. Payne
8:51.0,,,28-35,,R. Westbrook enters the game for N. Collison
8:47.0,Shooting foul by A. Abrines (drawn by J. Ennis),,29-35,,
8:47.0,J. Ennis makes free throw 1 of 2,1,30-35,,
8:47.0,J. Ennis misses free throw 2 of 2,,30-35,,
8:47.0,,,30-35,,V. Oladipo enters the game for A. Abrines
8:46.0,,,30-35,,Defensive rebound by R. Westbrook
8:24.0,,,30-37,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:06.0,V. Carter misses 2-pt shot from 1 ft,,30-37,,
8:05.0,,,30-37,,Defensive rebound by E. Kanter
7:59.0,,,30-37,,Turnover by R. Westbrook (bad pass; steal by J. Ennis)
7:46.0,Z. Randolph misses 2-pt shot from 1 ft,,30-37,,
7:45.0,,,30-37,,Defensive rebound by S. Adams
7:40.0,,,30-37,,R. Westbrook misses 2-pt shot from 19 ft
7:39.0,Defensive rebound by M. Gasol,,30-37,,
7:28.0,A. Harrison makes 2-pt shot at rim,2,32-37,,
7:13.0,,,32-37,,J. Grant misses 3-pt shot from 24 ft
7:12.0,,,32-37,,Offensive rebound by E. Kanter
7:10.0,,,32-37,,E. Kanter misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by Z. Randolph,,32-37,,
6:57.0,Turnover by Z. Randolph (traveling),,32-37,,
6:57.0,J. Green enters the game for Z. Randolph,,32-37,,
6:57.0,M. Conley enters the game for A. Harrison,,32-37,,
