time,Sacramento,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. K. Koufos (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. K. Koufos (R. Jackson gains possession)
11:46.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 27 ft
11:46.0,Defensive rebound by D. Collison,,0-0,,
11:22.0,D. Cousins misses 2-pt shot from 17 ft,,0-0,,
11:21.0,Offensive rebound by G. Temple,,0-0,,
11:16.0,K. Koufos makes 2-pt shot at rim (assist by G. Temple),2,2-0,,
10:59.0,,,2-0,,K. Caldwell-Pope misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by D. Cousins,,2-0,,
10:40.0,G. Temple misses 2-pt shot from 10 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by A. Drummond
10:32.0,,,2-3,3,J. Leuer makes 3-pt shot from 25 ft (assist by R. Jackson)
10:07.0,K. Koufos misses 2-pt shot from 5 ft,,2-3,,
10:07.0,,,2-3,,Defensive rebound by J. Leuer
10:02.0,,,2-3,,Shooting foul by G. Temple (drawn by K. Caldwell-Pope)
10:02.0,,,2-4,1,K. Caldwell-Pope makes free throw 1 of 2
10:02.0,,,2-5,1,K. Caldwell-Pope makes free throw 2 of 2
9:44.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Cousins),3,5-5,,
9:27.0,,,5-8,3,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson)
9:09.0,Turnover by D. Cousins (bad pass),,5-8,,
8:59.0,,,5-8,,K. Caldwell-Pope misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by K. Koufos,,5-8,,
8:47.0,Turnover by D. Collison (bad pass),,5-8,,
8:31.0,,,5-10,2,M. Morris makes 2-pt shot from 12 ft (assist by R. Jackson)
8:12.0,A. Afflalo makes 3-pt shot from 27 ft (assist by G. Temple),3,8-10,,
7:55.0,,,8-10,,Turnover by J. Leuer (lost ball)
7:36.0,K. Koufos makes 2-pt shot from 5 ft,2,10-10,,
7:32.0,Personal foul by D. Collison (drawn by R. Jackson),,10-10,,
7:26.0,,,10-10,,A. Drummond misses 2-pt shot at rim
7:25.0,Defensive rebound by K. Koufos,,10-10,,
7:20.0,K. Koufos makes 2-pt shot at rim (assist by G. Temple),2,12-10,,
7:17.0,,,12-10,,Detroit full timeout
7:07.0,,,12-10,,R. Jackson misses 2-pt shot at rim
7:06.0,Defensive rebound by K. Koufos,,12-10,,
7:00.0,A. Afflalo misses 3-pt shot from 26 ft,,12-10,,
6:59.0,,,12-10,,Defensive rebound by R. Jackson
6:48.0,,,12-13,3,J. Leuer makes 3-pt shot from 24 ft (assist by R. Jackson)
6:34.0,Turnover by K. Koufos (bad pass; steal by K. Caldwell-Pope),,12-13,,
6:32.0,,,12-13,,Shooting foul by K. Koufos (drawn by K. Caldwell-Pope)
6:32.0,,,12-15,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
6:32.0,,,12-16,1,K. Caldwell-Pope makes free throw 1 of 1
6:32.0,A. Tolliver enters the game for K. Koufos,,12-15,,
6:17.0,Turnover by D. Cousins (lost ball; steal by A. Drummond),,12-16,,
6:13.0,,,12-18,2,J. Leuer makes 2-pt shot from 1 ft (assist by R. Jackson)
6:01.0,Sacramento full timeout,,12-18,,
5:47.0,A. Tolliver makes 3-pt shot from 27 ft (assist by D. Collison),3,15-18,,
5:31.0,,,15-20,2,A. Drummond makes 2-pt shot at rim (assist by J. Leuer)
5:08.0,D. Collison makes 3-pt shot from 26 ft (assist by D. Cousins),3,18-20,,
4:55.0,,,18-22,2,R. Jackson makes 2-pt shot from 9 ft
4:35.0,D. Cousins misses 3-pt shot from 27 ft,,18-22,,
4:35.0,,,18-22,,Defensive rebound by K. Caldwell-Pope
4:24.0,,,18-22,,A. Drummond misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by D. Cousins,,18-22,,
4:14.0,G. Temple makes 2-pt shot at rim (assist by D. Cousins),2,20-22,,
3:54.0,,,20-22,,K. Caldwell-Pope misses 2-pt shot from 9 ft
3:53.0,Defensive rebound by D. Cousins,,20-22,,
3:36.0,Shooting foul by J. Leuer (drawn by A. Tolliver),,20-22,,
3:36.0,A. Tolliver misses free throw 1 of 2,,20-22,,
3:36.0,Offensive rebound by Team,,20-22,,
3:36.0,A. Tolliver makes free throw 2 of 2,1,21-22,,
3:36.0,,,20-22,,T. Harris enters the game for M. Morris
3:36.0,M. Barnes enters the game for A. Afflalo,,20-22,,
3:36.0,T. Lawson enters the game for D. Collison,,20-22,,
3:22.0,,,21-25,3,R. Jackson makes 3-pt shot from 26 ft
3:05.0,M. Barnes makes 2-pt shot from 15 ft,2,23-25,,
2:51.0,,,23-25,,Turnover by R. Jackson (bad pass; steal by G. Temple)
2:49.0,G. Temple misses 2-pt shot from 3 ft (block by K. Caldwell-Pope),,23-25,,
2:49.0,Offensive rebound by M. Barnes,,23-25,,
2:48.0,M. Barnes misses 2-pt shot from 1 ft,,23-25,,
2:46.0,,,23-25,,Defensive rebound by K. Caldwell-Pope
2:42.0,,,23-25,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:41.0,,,23-25,,Offensive rebound by T. Harris
2:40.0,,,23-27,2,T. Harris makes 2-pt shot at rim
2:22.0,D. Cousins misses 2-pt shot from 5 ft,,23-27,,
2:22.0,,,23-27,,Defensive rebound by A. Drummond
2:12.0,,,23-29,2,J. Leuer makes 2-pt shot from 11 ft
1:50.0,Turnover by D. Cousins (bad pass; steal by K. Caldwell-Pope),,23-29,,
1:36.0,,,23-31,2,R. Jackson makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope)
1:08.0,D. Cousins makes 2-pt shot from 1 ft,2,25-31,,
0:49.0,,,25-33,2,J. Leuer makes 2-pt shot from 16 ft (assist by A. Drummond)
0:30.0,D. Cousins misses 2-pt shot from 1 ft,,25-33,,
0:30.0,,,25-33,,Defensive rebound by A. Drummond
0:21.0,,,25-36,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
