time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Turner (T. Young gains possession),,,,Jump ball: R. Lopez vs. M. Turner (T. Young gains possession)
11:44.0,,,0-2,2,M. Turner makes 2-pt shot from 19 ft (assist by J. Teague)
11:20.0,Turnover by D. Wade (bad pass),,0-2,,
10:59.0,,,0-2,,J. Teague misses 2-pt shot from 16 ft
10:59.0,Defensive rebound by R. Rondo,,0-2,,
10:51.0,R. Rondo misses 2-pt shot from 1 ft,,0-2,,
10:48.0,Offensive rebound by R. Lopez,,0-2,,
10:48.0,R. Lopez makes 2-pt shot at rim,2,2-2,,
10:35.0,,,2-2,,M. Turner misses 2-pt shot from 3 ft (block by T. Gibson)
10:35.0,,,2-2,,Offensive rebound by T. Young
10:35.0,,,2-4,2,T. Young makes 2-pt shot from 2 ft
10:27.0,Turnover by R. Rondo (lost ball),,2-4,,
10:14.0,,,2-4,,M. Turner misses 2-pt shot from 18 ft
10:13.0,Defensive rebound by D. Wade,,2-4,,
10:03.0,Turnover by D. Wade (bad pass; steal by P. George),,2-4,,
9:57.0,,,2-4,,T. Young misses 2-pt shot from 3 ft
9:55.0,,,2-4,,Offensive rebound by P. George
9:55.0,,,2-6,2,P. George makes 2-pt shot from 3 ft
9:30.0,J. Butler misses 2-pt shot from 21 ft,,2-6,,
9:29.0,,,2-6,,Defensive rebound by M. Ellis
9:07.0,,,2-8,2,J. Teague makes 2-pt shot from 21 ft
8:50.0,R. Lopez misses 2-pt shot from 4 ft (block by M. Turner),,2-8,,
8:49.0,,,2-8,,Defensive rebound by P. George
8:35.0,,,2-8,,Turnover by J. Teague (bad pass; steal by T. Gibson)
8:29.0,J. Butler misses 2-pt shot from 2 ft,,2-8,,
8:27.0,Offensive rebound by T. Gibson,,2-8,,
8:27.0,T. Gibson makes 2-pt shot from 1 ft,2,4-8,,
8:14.0,,,4-10,2,P. George makes 2-pt shot from 1 ft (assist by M. Ellis)
7:46.0,R. Rondo misses 2-pt shot from 20 ft,,4-10,,
7:45.0,Offensive rebound by T. Gibson,,4-10,,
7:40.0,T. Gibson misses 2-pt shot from 3 ft (block by M. Turner),,4-10,,
7:39.0,,,4-10,,Defensive rebound by J. Teague
7:34.0,,,4-10,,M. Turner misses 2-pt shot from 4 ft (block by R. Lopez)
7:33.0,Defensive rebound by T. Gibson,,4-10,,
7:22.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,6-10,,
7:02.0,,,6-12,2,M. Turner makes 2-pt shot from 19 ft (assist by P. George)
6:41.0,T. Gibson misses 2-pt shot from 20 ft,,6-12,,
6:39.0,,,6-12,,Defensive rebound by M. Ellis
6:32.0,,,6-15,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
6:32.0,Chicago full timeout,,6-15,,
6:07.0,T. Gibson misses 2-pt shot from 8 ft,,6-15,,
6:05.0,Offensive rebound by R. Lopez,,6-15,,
6:05.0,R. Lopez misses 2-pt shot from 2 ft,,6-15,,
6:05.0,,,6-15,,Defensive rebound by Team
5:47.0,,,6-15,,T. Young misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by T. Gibson,,6-15,,
5:23.0,Turnover by J. Butler (bad pass; steal by M. Turner),,6-15,,
5:14.0,,,6-18,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
4:59.0,T. Gibson makes 2-pt shot from 12 ft (assist by R. Rondo),2,8-18,,
4:59.0,Shooting foul by J. Teague (drawn by T. Gibson),,8-18,,
4:59.0,T. Gibson makes free throw 1 of 1,1,9-18,,
4:59.0,I. Canaan enters the game for D. Wade,,8-18,,
4:59.0,N. Mirotic enters the game for R. Lopez,,8-18,,
4:44.0,,,9-18,,J. Teague misses 2-pt shot from 12 ft
4:44.0,Defensive rebound by T. Gibson,,9-18,,
4:32.0,J. Butler makes 3-pt shot from 24 ft (assist by R. Rondo),3,12-18,,
4:16.0,,,12-18,,M. Ellis misses 3-pt shot from 26 ft
4:15.0,,,12-18,,Offensive rebound by M. Turner
4:04.0,,,12-20,2,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague)
4:04.0,,,12-20,,Shooting foul by N. Mirotic (drawn by M. Turner)
4:04.0,,,12-20,,M. Turner misses free throw 1 of 1
4:04.0,Defensive rebound by T. Gibson,,12-20,,
4:04.0,,,12-20,,A. Brooks enters the game for M. Ellis
3:49.0,N. Mirotic misses 2-pt shot from 2 ft (block by T. Young),,12-20,,
3:49.0,,,12-20,,Defensive rebound by Team
3:49.0,,,12-20,,A. Jefferson enters the game for M. Turner
3:30.0,,,12-22,2,T. Young makes 2-pt shot from 2 ft (assist by A. Jefferson)
3:16.0,J. Butler makes 2-pt shot from 17 ft,2,14-22,,
2:55.0,,,14-25,3,J. Teague makes 3-pt shot from 25 ft
2:43.0,Turnover by R. Rondo (bad pass),,14-25,,
2:43.0,,,14-25,,Indiana full timeout
2:43.0,,,14-25,,L. Allen enters the game for P. George
2:43.0,,,14-25,,C. Miles enters the game for T. Young
2:43.0,C. Felicio enters the game for T. Gibson,,14-25,,
2:43.0,D. McDermott enters the game for R. Rondo,,14-25,,
2:25.0,,,14-27,2,C. Miles makes 2-pt shot from 5 ft (assist by A. Jefferson)
2:13.0,Offensive charge foul by J. Butler,,14-27,,
2:13.0,Turnover by J. Butler (offensive foul),,14-27,,
2:13.0,,,14-27,,M. Ellis enters the game for J. Teague
1:57.0,Violation by N. Mirotic (def goaltending),,14-27,,
1:57.0,,,14-29,2,A. Jefferson makes 2-pt shot from 3 ft
1:45.0,Turnover by J. Butler (bad pass),,14-29,,
1:45.0,D. Wade enters the game for J. Butler,,14-29,,
1:34.0,,,14-29,,A. Brooks misses 2-pt shot from 8 ft
1:32.0,,,14-29,,Offensive rebound by Team
1:20.0,,,14-29,,Turnover by A. Brooks (bad pass; steal by I. Canaan)
1:13.0,D. Wade misses 2-pt shot from 2 ft,,14-29,,
1:12.0,Offensive rebound by C. Felicio,,14-29,,
1:12.0,C. Felicio misses 2-pt shot from 1 ft (block by A. Brooks),,14-29,,
1:11.0,Offensive rebound by Team,,14-29,,
0:59.0,D. Wade misses 2-pt shot from 21 ft,,14-29,,
0:58.0,,,14-29,,Defensive rebound by C. Miles
0:53.0,,,14-31,2,C. Miles makes 2-pt shot from 2 ft
0:38.0,Shooting foul by A. Brooks (drawn by D. McDermott),,14-31,,
0:38.0,D. McDermott misses free throw 1 of 2,,14-31,,
0:38.0,Offensive rebound by Team,,14-31,,
0:38.0,D. McDermott makes free throw 2 of 2,1,15-31,,
0:38.0,B. Portis enters the game for N. Mirotic,,14-31,,
0:23.0,,,15-31,,C. Miles misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by D. McDermott,,15-31,,
