time,Charlotte,pts.away,score,pts.home,Chicago
3:43.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,102-100,,
3:30.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Butler),,102-100,,
3:30.0,Technical foul by Team,,102-100,,
3:30.0,,,102-101,1,J. Butler makes technical free throw
3:20.0,,,102-101,,J. Butler misses 2-pt shot from 14 ft
3:18.0,,,102-101,,Offensive rebound by J. Butler
3:18.0,,,102-103,2,J. Butler makes 2-pt shot from 2 ft
3:01.0,K. Walker misses 3-pt shot from 26 ft,,102-103,,
2:59.0,Offensive rebound by Team,,102-103,,
2:51.0,M. Williams makes 2-pt shot from 9 ft (assist by K. Walker),2,104-103,,
2:34.0,,,104-105,2,M. Carter-Williams makes 2-pt shot from 4 ft
2:22.0,,,104-105,,Personal foul by M. Carter-Williams (drawn by K. Walker)
2:22.0,Charlotte full timeout,,104-105,,
2:10.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,104-105,,
2:07.0,,,104-105,,Defensive rebound by M. Carter-Williams
1:58.0,,,104-107,2,J. Butler makes 2-pt shot from 2 ft
1:58.0,Charlotte full timeout,,104-107,,
1:58.0,J. Lamb enters the game for M. Kidd-Gilchrist,,104-107,,
1:52.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,106-107,,
1:39.0,,,106-109,2,J. Butler makes 2-pt shot from 21 ft
1:21.0,S. Hawes misses 2-pt shot from 1 ft (block by T. Gibson),,106-109,,
1:20.0,,,106-109,,Defensive rebound by N. Mirotic
1:05.0,,,106-109,,D. McDermott misses 2-pt shot from 1 ft (block by S. Hawes)
1:03.0,,,106-109,,Offensive rebound by M. Carter-Williams
1:02.0,,,106-109,,T. Gibson misses 2-pt shot from 3 ft (block by K. Walker)
1:02.0,Defensive rebound by Team,,106-109,,
0:51.0,Turnover by N. Batum (bad pass; steal by N. Mirotic),,106-109,,
0:32.0,,,106-111,2,J. Butler makes 2-pt shot from 22 ft
0:32.0,Charlotte full timeout,,106-111,,
0:32.0,F. Kaminsky enters the game for M. Williams,,106-111,,
0:26.0,N. Batum misses 2-pt shot from 9 ft,,106-111,,
0:24.0,,,106-111,,Defensive rebound by J. Butler
0:23.0,Personal take foul by S. Hawes (drawn by J. Butler),,106-111,,
0:23.0,,,106-112,1,J. Butler makes free throw 1 of 2
0:23.0,,,106-113,1,J. Butler makes free throw 2 of 2
0:16.0,K. Walker makes 3-pt shot from 24 ft,3,109-113,,
0:15.0,Personal take foul by K. Walker (drawn by M. Carter-Williams),,109-113,,
0:15.0,,,109-114,1,M. Carter-Williams makes free throw 1 of 2
0:15.0,Technical foul by Team,,109-114,,
0:15.0,,,109-115,1,J. Butler makes technical free throw
0:15.0,,,109-116,1,M. Carter-Williams makes free throw 2 of 2
0:09.0,K. Walker makes 2-pt shot from 2 ft,2,111-116,,
0:09.0,,,111-116,,Chicago full timeout
0:09.0,,,111-116,,J. Grant enters the game for T. Gibson
0:09.0,M. Williams enters the game for J. Lamb,,111-116,,
0:09.0,M. Kidd-Gilchrist enters the game for S. Hawes,,111-116,,
0:07.0,Personal take foul by M. Kidd-Gilchrist (drawn by J. Butler),,111-116,,
0:07.0,,,111-117,1,J. Butler makes free throw 1 of 2
0:07.0,,,111-118,1,J. Butler makes free throw 2 of 2
0:07.0,Charlotte full timeout,,111-118,,
0:07.0,J. Lamb enters the game for M. Kidd-Gilchrist,,111-116,,
0:07.0,S. Hawes enters the game for M. Williams,,111-117,,
0:07.0,,,111-118,,T. Gibson enters the game for D. McDermott
0:04.0,J. Lamb misses 3-pt shot from 26 ft,,111-118,,
0:04.0,,,111-118,,Defensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
