time,New York,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Noah (B. Jennings gains possession),,,,Jump ball: D. Howard vs. J. Noah (B. Jennings gains possession)
11:40.0,C. Anthony makes 2-pt shot from 20 ft (assist by J. Noah),2,2-0,,
11:26.0,,,2-2,2,D. Schroder makes 2-pt shot from 17 ft (assist by T. Hardaway)
11:15.0,C. Lee misses 2-pt shot from 20 ft,,2-2,,
11:14.0,,,2-2,,Defensive rebound by D. Howard
11:10.0,,,2-4,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Howard)
10:57.0,Shooting foul by D. Schroder (drawn by B. Jennings),,2-4,,
10:57.0,B. Jennings makes free throw 1 of 2,1,3-4,,
10:57.0,B. Jennings makes free throw 2 of 2,1,4-4,,
10:43.0,,,4-6,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
10:36.0,C. Lee makes 3-pt shot from 24 ft (assist by B. Jennings),3,7-6,,
10:14.0,,,7-9,3,K. Bazemore makes 3-pt shot from 26 ft (assist by P. Millsap)
9:58.0,K. Porzingis misses 3-pt shot from 24 ft,,7-9,,
9:57.0,,,7-9,,Defensive rebound by D. Howard
9:45.0,,,7-11,2,P. Millsap makes 2-pt shot from 16 ft
9:23.0,K. Porzingis misses 2-pt shot from 21 ft,,7-11,,
9:22.0,Offensive rebound by Team,,7-11,,
9:20.0,C. Anthony makes 2-pt shot from 15 ft (assist by B. Jennings),2,9-11,,
8:58.0,,,9-11,,K. Bazemore misses 2-pt shot from 12 ft (block by K. Porzingis)
8:56.0,,,9-11,,Offensive rebound by K. Bazemore
8:54.0,,,9-11,,K. Bazemore misses 2-pt shot from 2 ft (block by K. Porzingis)
8:51.0,Defensive rebound by J. Noah,,9-11,,
8:34.0,C. Lee misses 2-pt shot from 15 ft,,9-11,,
8:32.0,,,9-11,,Defensive rebound by D. Howard
8:22.0,,,9-11,,T. Hardaway misses 3-pt shot from 23 ft
8:20.0,Defensive rebound by B. Jennings,,9-11,,
8:16.0,C. Anthony misses 3-pt shot from 26 ft,,9-11,,
