time,Sacramento,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Koufos (A. Tolliver gains possession),,,,Jump ball: C. Capela vs. K. Koufos (A. Tolliver gains possession)
11:47.0,D. Collison misses 3-pt shot from 25 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by T. Ariza
11:36.0,,,0-2,2,C. Capela makes 2-pt shot from 4 ft (assist by J. Harden)
11:12.0,G. Temple misses 2-pt shot from 17 ft,,0-2,,
11:11.0,Offensive rebound by A. Tolliver,,0-2,,
11:06.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Collison),2,2-2,,
10:51.0,,,2-2,,Turnover by J. Harden (bad pass; steal by A. Tolliver)
10:45.0,G. Temple makes 3-pt shot from 25 ft (assist by D. Collison),3,5-2,,
10:26.0,,,5-2,,R. Anderson misses 2-pt shot from 20 ft
10:24.0,,,5-2,,Offensive rebound by R. Anderson
10:18.0,,,5-2,,C. Capela misses 2-pt shot from 3 ft (block by G. Temple)
10:17.0,Defensive rebound by D. Collison,,5-2,,
10:03.0,D. Collison misses 2-pt shot from 2 ft,,5-2,,
10:02.0,,,5-2,,Defensive rebound by P. Beverley
9:56.0,,,5-2,,C. Capela misses 2-pt shot from 6 ft
9:55.0,,,5-2,,Offensive rebound by C. Capela
9:50.0,,,5-5,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
9:33.0,K. Koufos misses 2-pt shot from 7 ft,,5-5,,
9:31.0,,,5-5,,Defensive rebound by J. Harden
9:18.0,,,5-5,,Shooting foul by K. Koufos (drawn by R. Anderson)
9:18.0,,,5-6,1,R. Anderson makes free throw 1 of 2
9:18.0,,,5-6,,R. Anderson misses free throw 2 of 2
9:18.0,Defensive rebound by O. Casspi,,5-6,,
8:59.0,Turnover by D. Collison (bad pass; steal by C. Capela),,5-6,,
8:53.0,,,5-8,2,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley)
8:35.0,A. Tolliver makes 2-pt shot from 10 ft (assist by G. Temple),2,7-8,,
8:21.0,,,7-11,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
8:01.0,O. Casspi misses 2-pt shot from 2 ft,,7-11,,
8:00.0,,,7-11,,Defensive rebound by C. Capela
7:52.0,,,7-11,,P. Beverley misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by G. Temple,,7-11,,
7:34.0,G. Temple misses 3-pt shot from 24 ft,,7-11,,
7:33.0,,,7-11,,Defensive rebound by R. Anderson
7:23.0,,,7-13,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
7:12.0,D. Collison misses 2-pt shot from 20 ft,,7-13,,
7:10.0,Offensive rebound by A. Tolliver,,7-13,,
7:08.0,A. Tolliver misses 2-pt shot from 1 ft,,7-13,,
7:07.0,,,7-13,,Defensive rebound by R. Anderson
7:01.0,,,7-16,3,J. Harden makes 3-pt shot from 26 ft
6:44.0,O. Casspi misses 2-pt shot from 2 ft,,7-16,,
6:44.0,Offensive rebound by Team,,7-16,,
6:40.0,Turnover by O. Casspi (lost ball; steal by T. Ariza),,7-16,,
6:40.0,Personal foul by O. Casspi (drawn by T. Ariza),,7-16,,
6:25.0,,,7-19,3,P. Beverley makes 3-pt shot from 27 ft (assist by R. Anderson)
