time,Chicago,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. R. Lopez (T. Sefolosha gains possession),,,,Jump ball: D. Howard vs. R. Lopez (T. Sefolosha gains possession)
11:43.0,,,0-0,,Turnover by P. Millsap (lost ball)
11:32.0,,,0-0,,Personal foul by D. Schroder (drawn by M. Carter-Williams)
11:19.0,T. Gibson misses 3-pt shot from 24 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by K. Bazemore
11:05.0,,,0-0,,D. Howard misses 2-pt shot from 2 ft (block by R. Lopez)
11:03.0,Defensive rebound by D. Wade,,0-0,,
10:56.0,R. Lopez makes 2-pt shot from 20 ft (assist by D. Wade),2,2-0,,
10:38.0,,,2-2,2,D. Schroder makes 2-pt shot from 2 ft
10:13.0,M. Carter-Williams misses 2-pt shot from 16 ft,,2-2,,
10:12.0,,,2-2,,Defensive rebound by P. Millsap
10:06.0,,,2-2,,Turnover by P. Millsap (bad pass)
9:44.0,T. Gibson makes 2-pt shot from 1 ft,2,4-2,,
9:29.0,,,4-4,2,K. Bazemore makes 2-pt shot from 20 ft (assist by P. Millsap)
9:13.0,D. Wade misses 2-pt shot from 18 ft,,4-4,,
9:12.0,,,4-4,,Defensive rebound by P. Millsap
8:56.0,,,4-7,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore)
8:30.0,T. Gibson misses 2-pt shot from 15 ft,,4-7,,
8:28.0,Offensive rebound by T. Gibson,,4-7,,
8:16.0,J. Butler misses 2-pt shot from 20 ft,,4-7,,
8:16.0,,,4-7,,Defensive rebound by Team
8:16.0,Loose ball foul by T. Gibson (drawn by P. Millsap),,4-7,,
8:06.0,,,4-9,2,D. Schroder makes 2-pt shot from 2 ft
7:56.0,Turnover by M. Carter-Williams (lost ball; steal by K. Bazemore),,4-9,,
7:42.0,,,4-9,,Turnover by K. Bazemore (bad pass)
7:25.0,Turnover by D. Wade (bad pass; steal by D. Howard),,4-9,,
7:23.0,,,4-9,,Turnover by D. Howard (bad pass; steal by D. Wade)
7:15.0,R. Lopez makes 2-pt shot from 2 ft (assist by M. Carter-Williams),2,6-9,,
6:57.0,,,6-11,2,D. Schroder makes 2-pt shot from 2 ft
6:41.0,M. Carter-Williams misses 3-pt shot from 25 ft,,6-11,,
6:40.0,,,6-11,,Defensive rebound by D. Howard
6:31.0,,,6-11,,D. Schroder misses 3-pt shot from 26 ft
6:28.0,,,6-11,,Offensive rebound by T. Sefolosha
6:27.0,,,6-11,,T. Sefolosha misses 2-pt shot from 1 ft
6:27.0,,,6-11,,Offensive rebound by Team
6:27.0,R. Rondo enters the game for M. Carter-Williams,,6-11,,
6:24.0,,,6-13,2,D. Schroder makes 2-pt shot from 15 ft (assist by K. Bazemore)
6:23.0,Chicago full timeout,,6-13,,
6:23.0,D. McDermott enters the game for D. Wade,,6-13,,
6:11.0,J. Butler makes 2-pt shot from 20 ft (assist by R. Rondo),2,8-13,,
5:55.0,,,8-13,,Shooting foul by R. Lopez (drawn by D. Howard)
5:55.0,,,8-14,1,D. Howard makes free throw 1 of 2
5:55.0,,,8-14,,D. Howard misses free throw 2 of 2
5:55.0,,,8-14,,T. Hardaway enters the game for K. Bazemore
5:54.0,Defensive rebound by R. Rondo,,8-14,,
5:43.0,Turnover by R. Rondo (bad pass),,8-14,,
5:34.0,,,8-16,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder)
5:11.0,Turnover by J. Butler (bad pass; steal by D. Schroder),,8-16,,
5:07.0,,,8-18,2,D. Schroder makes 2-pt shot at rim
4:56.0,Turnover by J. Butler (bad pass; steal by D. Howard),,8-18,,
4:37.0,,,8-20,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
4:15.0,R. Lopez makes 2-pt shot from 4 ft,2,10-20,,
3:59.0,,,10-22,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
3:49.0,Turnover by R. Rondo (traveling),,10-22,,
3:36.0,,,10-22,,D. Schroder misses 2-pt shot from 15 ft
3:35.0,Defensive rebound by D. McDermott,,10-22,,
3:25.0,D. McDermott makes 2-pt shot from 1 ft (assist by R. Rondo),2,12-22,,
3:16.0,,,12-22,,Atlanta full timeout
3:16.0,,,12-22,,M. Delaney enters the game for D. Howard
3:16.0,,,12-22,,K. Humphries enters the game for D. Schroder
3:09.0,,,12-22,,Turnover by T. Hardaway (bad pass; steal by R. Rondo)
3:03.0,Turnover by D. McDermott (bad pass; steal by K. Humphries),,12-22,,
2:57.0,,,12-24,2,T. Hardaway makes 2-pt shot from 1 ft
2:41.0,,,12-24,,Def 3 sec tech foul by M. Delaney
2:41.0,J. Butler makes technical free throw,1,13-24,,
2:41.0,C. Felicio enters the game for R. Lopez,,13-24,,
2:25.0,D. McDermott misses 3-pt shot from 25 ft,,13-24,,
2:24.0,,,13-24,,Defensive rebound by P. Millsap
2:12.0,,,13-26,2,T. Sefolosha makes 2-pt shot from 2 ft (assist by K. Humphries)
1:49.0,N. Mirotic enters the game for T. Gibson,,13-26,,
1:45.0,C. Felicio misses 2-pt shot from 18 ft,,13-26,,
1:44.0,,,13-26,,Defensive rebound by T. Sefolosha
1:33.0,,,13-28,2,T. Sefolosha makes 2-pt shot from 16 ft (assist by M. Delaney)
1:32.0,Chicago full timeout,,13-28,,
1:16.0,N. Mirotic misses 3-pt shot from 24 ft,,13-28,,
1:14.0,,,13-28,,Defensive rebound by K. Humphries
1:02.0,,,13-28,,Shooting foul by N. Mirotic (drawn by P. Millsap)
1:02.0,,,13-29,1,P. Millsap makes free throw 1 of 2
1:02.0,,,13-30,1,P. Millsap makes free throw 2 of 2
1:02.0,,,13-29,,M. Dunleavy enters the game for T. Sefolosha
1:02.0,D. Wade enters the game for J. Butler,,13-29,,
0:45.0,R. Rondo misses 3-pt shot from 23 ft,,13-30,,
0:42.0,,,13-30,,Defensive rebound by K. Humphries
0:28.0,,,13-32,2,K. Humphries makes 2-pt shot at rim
0:06.0,D. Wade misses 2-pt shot from 21 ft,,13-32,,
0:05.0,Offensive rebound by C. Felicio,,13-32,,
0:03.0,Turnover by C. Felicio (bad pass; steal by T. Hardaway),,13-32,,
0:00.0,,,13-35,3,T. Hardaway makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by R. Rondo (bad pass),,13-35,,
11:34.0,,,13-38,3,M. Delaney makes 3-pt shot from 25 ft (assist by M. Scott)
11:06.0,D. Wade misses 3-pt shot from 25 ft,,13-38,,
11:04.0,Offensive rebound by R. Rondo,,13-38,,
10:58.0,N. Mirotic misses 3-pt shot from 26 ft,,13-38,,
10:56.0,,,13-38,,Defensive rebound by K. Humphries
10:39.0,,,13-38,,M. Scott misses 2-pt shot from 14 ft
10:38.0,Defensive rebound by D. McDermott,,13-38,,
10:36.0,Turnover by D. McDermott (bad pass; steal by M. Delaney),,13-38,,
10:31.0,,,13-38,,M. Dunleavy misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by N. Mirotic,,13-38,,
10:23.0,N. Mirotic misses 3-pt shot from 25 ft,,13-38,,
10:22.0,,,13-38,,Defensive rebound by K. Humphries
10:15.0,,,13-38,,T. Hardaway misses 3-pt shot from 26 ft
10:15.0,Defensive rebound by Team,,13-38,,
10:15.0,D. Valentine enters the game for D. McDermott,,13-38,,
10:02.0,D. Wade makes 2-pt shot from 8 ft,2,15-38,,
9:34.0,,,15-38,,Turnover by Team (shot clock)
9:16.0,D. Valentine misses 3-pt shot from 24 ft,,15-38,,
9:15.0,,,15-38,,Defensive rebound by M. Scott
9:06.0,,,15-40,2,T. Hardaway makes 2-pt shot at rim (assist by M. Scott)
9:06.0,Chicago full timeout,,15-40,,
9:06.0,M. Carter-Williams enters the game for R. Rondo,,15-40,,
9:06.0,J. Butler enters the game for N. Mirotic,,15-40,,
9:06.0,,,15-40,,D. Howard enters the game for K. Humphries
8:54.0,Turnover by D. Wade (bad pass; steal by T. Hardaway),,15-40,,
8:40.0,,,15-40,,Turnover by M. Delaney (bad pass; steal by D. Valentine)
8:35.0,D. Valentine misses 2-pt shot from 2 ft,,15-40,,
8:35.0,Offensive rebound by Team,,15-40,,
8:35.0,Turnover by D. Valentine (traveling),,15-40,,
8:26.0,,,15-40,,M. Dunleavy misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by M. Carter-Williams,,15-40,,
8:12.0,D. Valentine misses 3-pt shot from 24 ft,,15-40,,
8:11.0,,,15-40,,Defensive rebound by T. Hardaway
7:49.0,,,15-43,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by M. Scott)
7:41.0,Shooting foul by D. Howard (drawn by J. Butler),,15-43,,
7:41.0,J. Butler makes free throw 1 of 2,1,16-43,,
7:41.0,J. Butler makes free throw 2 of 2,1,17-43,,
7:41.0,,,16-43,,D. Schroder enters the game for M. Delaney
7:41.0,,,16-43,,K. Bazemore enters the game for T. Hardaway
7:26.0,,,17-46,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Schroder)
7:01.0,D. Valentine misses 3-pt shot from 25 ft,,17-46,,
7:00.0,Offensive rebound by D. Valentine,,17-46,,
6:56.0,D. Valentine makes 2-pt shot at rim,2,19-46,,
6:43.0,,,19-46,,Shooting foul by M. Carter-Williams (drawn by D. Schroder)
6:43.0,,,19-48,2,D. Schroder makes 2-pt shot from 1 ft
6:43.0,,,19-49,1,D. Schroder makes free throw 1 of 1
6:43.0,R. Lopez enters the game for C. Felicio,,19-48,,
6:43.0,P. Zipser enters the game for D. Valentine,,19-48,,
6:23.0,P. Zipser misses 2-pt shot from 17 ft,,19-49,,
6:21.0,,,19-49,,Defensive rebound by D. Howard
6:10.0,,,19-49,,D. Howard misses 2-pt shot from 2 ft
6:08.0,Defensive rebound by M. Carter-Williams,,19-49,,
5:56.0,Shooting foul by M. Dunleavy (drawn by J. Butler),,19-49,,
5:56.0,Official timeout,,19-49,,
5:56.0,J. Butler makes free throw 1 of 2,1,20-49,,
5:56.0,J. Butler makes free throw 2 of 2,1,21-49,,
