time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Okafor (D. Schroder gains possession),,,,Jump ball: D. Howard vs. J. Okafor (D. Schroder gains possession)
11:44.0,,,0-0,,Turnover by K. Bazemore (bad pass; steal by S. Rodriguez)
11:34.0,Turnover by J. Okafor (bad pass; steal by D. Schroder),,0-0,,
11:12.0,Personal foul by J. Okafor (drawn by P. Millsap),,0-0,,
11:12.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver)
10:48.0,J. Okafor misses 2-pt shot from 17 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by D. Howard
10:40.0,,,0-2,,D. Schroder misses 2-pt shot from 3 ft (block by J. Okafor)
10:36.0,,,0-2,,Offensive rebound by Team
10:29.0,,,0-4,2,D. Schroder makes 2-pt shot from 18 ft (assist by K. Korver)
10:05.0,G. Henderson makes 2-pt shot from 22 ft,2,2-4,,
9:55.0,,,2-4,,Turnover by D. Schroder (bad pass)
9:53.0,D. Saric makes 2-pt shot from 20 ft (assist by J. Okafor),2,4-4,,
9:41.0,,,4-4,,Turnover by K. Korver (bad pass; steal by R. Covington)
9:34.0,G. Henderson makes 2-pt shot at rim (assist by S. Rodriguez),2,6-4,,
9:16.0,,,6-6,2,P. Millsap makes 2-pt shot from 12 ft
9:08.0,S. Rodriguez misses 2-pt shot from 8 ft,,6-6,,
9:07.0,Offensive rebound by D. Saric,,6-6,,
9:06.0,D. Saric misses 2-pt shot from 2 ft (block by K. Korver),,6-6,,
9:05.0,,,6-6,,Defensive rebound by D. Schroder
9:01.0,,,6-6,,K. Bazemore misses 3-pt shot from 23 ft
8:59.0,,,6-6,,Offensive rebound by D. Howard
8:56.0,,,6-6,,P. Millsap misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by R. Covington,,6-6,,
8:49.0,D. Saric makes 2-pt shot from 16 ft (assist by S. Rodriguez),2,8-6,,
8:43.0,,,8-6,,Atlanta full timeout
8:33.0,,,8-8,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
8:16.0,J. Okafor makes 2-pt shot from 10 ft,2,10-8,,
8:00.0,,,10-8,,D. Schroder misses 2-pt shot at rim
7:59.0,Defensive rebound by J. Okafor,,10-8,,
7:45.0,D. Saric misses 2-pt shot from 3 ft (block by K. Korver),,10-8,,
7:43.0,,,10-8,,Defensive rebound by K. Bazemore
7:39.0,,,10-8,,Shooting foul by G. Henderson (drawn by D. Schroder)
7:39.0,,,10-8,,D. Schroder misses free throw 1 of 2
7:39.0,,,10-8,,Offensive rebound by Team
7:39.0,,,10-8,,D. Schroder misses free throw 2 of 2
7:39.0,Defensive rebound by D. Saric,,10-8,,
7:39.0,R. Holmes enters the game for J. Okafor,,10-8,,
7:20.0,G. Henderson misses 3-pt shot from 24 ft,,10-8,,
7:19.0,,,10-8,,Defensive rebound by D. Schroder
7:11.0,,,10-10,2,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder)
6:45.0,R. Holmes misses 2-pt shot from 7 ft,,10-10,,
6:43.0,,,10-10,,Defensive rebound by K. Bazemore
6:33.0,,,10-10,,Turnover by D. Schroder (bad pass; steal by R. Holmes)
6:28.0,,,10-10,,M. Muscala enters the game for P. Millsap
6:28.0,N. Stauskas enters the game for R. Covington,,10-10,,
6:28.0,H. Thompson enters the game for G. Henderson,,10-10,,
6:28.0,T. McConnell enters the game for S. Rodriguez,,10-10,,
6:19.0,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell),3,13-10,,
6:04.0,,,13-12,2,D. Schroder makes 2-pt shot from 20 ft
5:44.0,Turnover by N. Stauskas (bad pass; steal by M. Muscala),,13-12,,
5:38.0,,,13-12,,Turnover by K. Korver (lost ball; steal by N. Stauskas)
5:34.0,Shooting foul by K. Korver (drawn by N. Stauskas),,13-12,,
5:34.0,N. Stauskas makes free throw 1 of 2,1,14-12,,
5:34.0,N. Stauskas makes free throw 2 of 2,1,15-12,,
5:34.0,E. Ilyasova enters the game for D. Saric,,14-12,,
5:21.0,,,15-12,,K. Bazemore misses 2-pt shot from 17 ft
5:18.0,Defensive rebound by E. Ilyasova,,15-12,,
4:58.0,E. Ilyasova misses 3-pt shot from 26 ft,,15-12,,
4:57.0,,,15-12,,Defensive rebound by K. Bazemore
4:49.0,,,15-12,,Turnover by K. Bazemore (bad pass; steal by E. Ilyasova)
4:45.0,Offensive charge foul by H. Thompson,,15-12,,
4:45.0,Turnover by H. Thompson (offensive foul),,15-12,,
4:45.0,,,15-12,,T. Hardaway enters the game for K. Korver
4:36.0,,,15-14,2,D. Schroder makes 2-pt shot from 7 ft
4:15.0,R. Holmes misses 2-pt shot from 16 ft,,15-14,,
4:13.0,,,15-14,,Defensive rebound by T. Hardaway
4:03.0,,,15-14,,T. Hardaway misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by E. Ilyasova,,15-14,,
3:54.0,Philadelphia full timeout,,15-14,,
3:54.0,,,15-14,,T. Sefolosha enters the game for K. Bazemore
3:54.0,,,15-14,,M. Delaney enters the game for D. Schroder
3:42.0,E. Ilyasova misses 2-pt shot from 2 ft,,15-14,,
3:41.0,,,15-14,,Defensive rebound by D. Howard
3:39.0,,,15-14,,Shooting foul by N. Stauskas (drawn by T. Hardaway)
3:39.0,,,15-15,1,T. Hardaway makes free throw 1 of 2
3:39.0,,,15-15,,T. Hardaway misses free throw 2 of 2
3:39.0,J. Okafor enters the game for R. Holmes,,15-15,,
3:38.0,Defensive rebound by E. Ilyasova,,15-15,,
3:26.0,H. Thompson misses 3-pt shot from 25 ft,,15-15,,
3:25.0,,,15-15,,Defensive rebound by D. Howard
3:13.0,,,15-15,,Turnover by M. Delaney (bad pass; steal by N. Stauskas)
3:05.0,H. Thompson misses 3-pt shot from 25 ft,,15-15,,
3:02.0,,,15-15,,Defensive rebound by D. Howard
2:52.0,,,15-15,,M. Delaney misses 2-pt shot from 19 ft
2:50.0,,,15-15,,Offensive rebound by M. Muscala
2:46.0,,,15-15,,T. Sefolosha misses 3-pt shot from 25 ft
2:44.0,Defensive rebound by H. Thompson,,15-15,,
2:38.0,T. McConnell makes 2-pt shot from 16 ft,2,17-15,,
2:15.0,,,17-15,,Turnover by T. Sefolosha (lost ball; steal by N. Stauskas)
2:10.0,N. Stauskas makes 2-pt shot at rim,2,19-15,,
2:10.0,,,19-15,,Atlanta full timeout
2:10.0,,,19-15,,P. Millsap enters the game for D. Howard
2:10.0,,,19-15,,K. Humphries enters the game for M. Muscala
1:58.0,,,19-15,,Turnover by T. Hardaway (bad pass; steal by T. McConnell)
1:52.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,21-15,,
1:35.0,,,21-18,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. Humphries)
1:16.0,E. Ilyasova makes 2-pt shot from 17 ft (assist by N. Stauskas),2,23-18,,
1:05.0,,,23-21,3,K. Humphries makes 3-pt shot from 25 ft (assist by M. Delaney)
0:42.0,J. Okafor makes 2-pt shot from 2 ft,2,25-21,,
0:34.0,,,25-21,,Shooting foul by J. Okafor (drawn by M. Delaney)
0:34.0,,,25-22,1,M. Delaney makes free throw 1 of 2
0:34.0,,,25-23,1,M. Delaney makes free throw 2 of 2
0:34.0,R. Holmes enters the game for J. Okafor,,25-22,,
0:28.0,Turnover by E. Ilyasova (offensive foul),,25-23,,
0:28.0,Offensive foul by E. Ilyasova,,25-23,,
0:06.0,,,25-23,,P. Millsap misses 2-pt shot from 7 ft (block by E. Ilyasova)
0:04.0,Defensive rebound by E. Ilyasova,,25-23,,
0:02.0,N. Stauskas makes 2-pt shot from 3 ft (assist by T. McConnell),2,27-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,E. Ilyasova misses 3-pt shot from 24 ft,,27-23,,
11:43.0,,,27-23,,Defensive rebound by P. Millsap
11:26.0,,,27-23,,P. Millsap misses 2-pt shot from 9 ft
11:25.0,,,27-23,,Offensive rebound by K. Humphries
11:25.0,,,27-25,2,K. Humphries makes 2-pt shot from 1 ft
11:17.0,Turnover by E. Ilyasova (lost ball; steal by K. Korver),,27-25,,
