time,Utah,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (D. Exum gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (D. Exum gains possession)
11:42.0,G. Hayward makes 3-pt shot from 24 ft (assist by D. Exum),3,3-0,,
11:18.0,,,3-0,,M. Conley misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by D. Exum,,3-0,,
11:01.0,Turnover by D. Exum (bad pass; steal by T. Allen),,3-0,,
10:54.0,,,3-0,,M. Conley misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by R. Gobert,,3-0,,
10:44.0,,,3-0,,Personal foul by T. Daniels (drawn by G. Hayward)
10:29.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,5-0,,
10:17.0,,,5-2,2,J. Green makes 2-pt shot at rim (assist by T. Allen)
9:58.0,G. Hayward misses 3-pt shot from 26 ft,,5-2,,
9:57.0,,,5-2,,Defensive rebound by J. Green
9:43.0,,,5-2,,M. Conley misses 2-pt shot from 5 ft (block by G. Hayward)
9:42.0,Defensive rebound by G. Hayward,,5-2,,
9:30.0,,,5-2,,Personal foul by T. Allen (drawn by B. Diaw)
9:18.0,B. Diaw makes 2-pt shot from 1 ft (assist by G. Hayward),2,7-2,,
9:08.0,,,7-2,,Turnover by T. Daniels (bad pass; steal by R. Gobert)
8:58.0,D. Exum misses 3-pt shot from 25 ft,,7-2,,
8:57.0,,,7-2,,Defensive rebound by Team
8:44.0,,,7-2,,M. Gasol misses 2-pt shot from 14 ft
8:43.0,Defensive rebound by R. Gobert,,7-2,,
8:28.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,9-2,,
8:20.0,,,9-2,,Memphis full timeout
8:07.0,,,9-4,2,M. Conley makes 2-pt shot from 18 ft
7:38.0,G. Hayward misses 3-pt shot from 26 ft,,9-4,,
7:37.0,,,9-4,,Defensive rebound by T. Allen
7:27.0,,,9-4,,J. Green misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by R. Gobert,,9-4,,
7:20.0,,,9-4,,Personal foul by T. Daniels (drawn by G. Hayward)
7:20.0,,,9-4,,J. Ennis enters the game for T. Daniels
7:11.0,D. Exum misses 2-pt shot from 2 ft,,9-4,,
7:10.0,,,9-4,,Defensive rebound by M. Gasol
7:00.0,,,9-4,,M. Gasol misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by B. Diaw,,9-4,,
6:50.0,G. Hayward misses 2-pt shot from 6 ft,,9-4,,
