time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. Z. Pachulia (K. Durant gains possession),,,,Jump ball: T. Mozgov vs. Z. Pachulia (K. Durant gains possession)
11:39.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Green)
11:18.0,J. Calderon makes 2-pt shot from 20 ft (assist by T. Mozgov),2,2-2,,
11:01.0,,,2-2,,D. Green misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by J. Calderon,,2-2,,
10:53.0,J. Calderon makes 2-pt shot from 17 ft,2,4-2,,
10:46.0,,,4-4,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
10:26.0,T. Mozgov misses 2-pt shot from 8 ft,,4-4,,
10:26.0,Offensive rebound by Team,,4-4,,
10:26.0,,,4-4,,Personal foul by K. Thompson (drawn by L. Deng)
10:23.0,,,4-4,,Personal foul by Z. Pachulia (drawn by T. Mozgov)
10:14.0,Turnover by B. Ingram (bad pass; steal by Z. Pachulia),,4-4,,
10:08.0,,,4-4,,K. Durant misses 3-pt shot from 28 ft
10:07.0,Defensive rebound by B. Ingram,,4-4,,
9:59.0,Turnover by B. Ingram (lost ball; steal by D. Green),,4-4,,
9:53.0,,,4-7,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson)
9:29.0,T. Mozgov misses 2-pt shot from 10 ft,,4-7,,
9:29.0,,,4-7,,Defensive rebound by D. Green
9:20.0,,,4-10,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
9:20.0,LA Lakers full timeout,,4-10,,
9:04.0,Offensive charge foul by T. Mozgov,,4-10,,
9:04.0,Turnover by T. Mozgov (offensive foul),,4-10,,
8:52.0,,,4-10,,K. Durant misses 2-pt shot from 13 ft
8:52.0,,,4-10,,Offensive rebound by D. Green
8:46.0,,,4-13,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
8:38.0,L. Deng misses 2-pt shot from 2 ft,,4-13,,
8:38.0,,,4-13,,Defensive rebound by Z. Pachulia
8:38.0,Personal foul by L. Deng (drawn by S. Curry),,4-13,,
8:38.0,M. World Peace enters the game for B. Ingram,,4-13,,
8:27.0,,,4-16,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Curry)
8:14.0,J. Calderon makes 3-pt shot from 26 ft,3,7-16,,
8:03.0,,,7-18,2,K. Thompson makes 2-pt shot from 15 ft (assist by S. Curry)
7:39.0,M. World Peace makes 3-pt shot from 25 ft (assist by L. Deng),3,10-18,,
7:22.0,,,10-18,,Shooting foul by T. Mozgov (drawn by D. Green)
7:22.0,,,10-19,1,D. Green makes free throw 1 of 2
7:22.0,,,10-19,,D. Green misses free throw 2 of 2
7:21.0,Defensive rebound by M. World Peace,,10-19,,
7:09.0,L. Deng makes 2-pt shot from 2 ft (assist by N. Young),2,12-19,,
7:04.0,,,12-19,,Shooting foul by N. Young (drawn by K. Thompson)
7:04.0,,,12-20,1,K. Thompson makes free throw 1 of 2
7:04.0,,,12-21,1,K. Thompson makes free throw 2 of 2
6:46.0,N. Young makes 2-pt shot from 12 ft,2,14-21,,
6:37.0,Violation by L. Deng (kicked ball),,14-21,,
6:36.0,Personal foul by T. Mozgov (drawn by Z. Pachulia),,14-21,,
6:36.0,T. Black enters the game for T. Mozgov,,14-21,,
6:31.0,,,14-23,2,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia)
6:16.0,T. Black misses 2-pt shot from 2 ft,,14-23,,
6:16.0,,,14-23,,Defensive rebound by D. Green
6:08.0,,,14-23,,S. Curry misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by T. Black,,14-23,,
5:54.0,L. Deng misses 2-pt shot from 2 ft,,14-23,,
5:53.0,,,14-23,,Defensive rebound by K. Durant
5:48.0,,,14-23,,D. Green misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by T. Black,,14-23,,
5:41.0,N. Young makes 3-pt shot from 27 ft (assist by J. Calderon),3,17-23,,
5:26.0,,,17-25,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson)
5:11.0,T. Black misses 2-pt shot from 3 ft,,17-25,,
5:11.0,Offensive rebound by T. Black,,17-25,,
5:11.0,Shooting foul by S. Curry (drawn by T. Black),,17-25,,
5:11.0,T. Black makes free throw 1 of 2,1,18-25,,
5:11.0,T. Black makes free throw 2 of 2,1,19-25,,
5:11.0,,,18-25,,A. Iguodala enters the game for K. Durant
5:11.0,L. Nance enters the game for L. Deng,,18-25,,
5:11.0,L. Williams enters the game for J. Calderon,,18-25,,
4:56.0,,,19-27,2,K. Thompson makes 2-pt shot from 14 ft
4:41.0,T. Black misses 2-pt shot from 2 ft,,19-27,,
4:40.0,,,19-27,,Defensive rebound by Z. Pachulia
4:36.0,,,19-27,,D. Green misses 2-pt shot from 2 ft (block by L. Nance)
4:36.0,Defensive rebound by Team,,19-27,,
4:36.0,J. Clarkson enters the game for N. Young,,19-27,,
4:36.0,,,19-27,,J. McGee enters the game for Z. Pachulia
4:21.0,M. World Peace misses 3-pt shot from 27 ft,,19-27,,
4:20.0,,,19-27,,Defensive rebound by D. Green
4:10.0,,,19-29,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
3:51.0,L. Nance makes 2-pt shot from 18 ft (assist by M. World Peace),2,21-29,,
3:46.0,,,21-29,,Golden State full timeout
3:46.0,B. Ingram enters the game for M. World Peace,,21-29,,
3:46.0,,,21-29,,P. McCaw enters the game for K. Thompson
3:37.0,,,21-32,3,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala)
3:24.0,L. Williams misses 2-pt shot from 3 ft (block by D. Green),,21-32,,
3:23.0,,,21-32,,Defensive rebound by D. Green
3:19.0,,,21-34,2,S. Curry makes 2-pt shot from 5 ft (assist by D. Green)
3:19.0,,,21-34,,Shooting foul by J. Clarkson (drawn by S. Curry)
3:19.0,,,21-35,1,S. Curry makes free throw 1 of 1
3:03.0,B. Ingram misses 2-pt shot from 4 ft (block by J. McGee),,21-35,,
3:02.0,,,21-35,,Defensive rebound by J. McGee
2:53.0,,,21-37,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
2:37.0,J. Clarkson misses 2-pt shot from 19 ft,,21-37,,
2:37.0,,,21-37,,Defensive rebound by Team
2:37.0,Loose ball foul by T. Black (drawn by J. McGee),,21-37,,
2:37.0,,,21-37,,J. McGee misses free throw 1 of 2
2:37.0,,,21-37,,Offensive rebound by Team
2:37.0,,,21-37,,J. McGee misses free throw 2 of 2
2:35.0,Defensive rebound by L. Nance,,21-37,,
2:25.0,Turnover by J. Clarkson (step out of bounds),,21-37,,
2:13.0,,,21-37,,Turnover by J. McGee (lost ball)
2:13.0,,,21-37,,K. Durant enters the game for D. Green
2:02.0,Shooting foul by K. Durant (drawn by T. Black),,21-37,,
2:02.0,T. Black makes free throw 1 of 2,1,22-37,,
2:02.0,T. Black misses free throw 2 of 2,,22-37,,
2:01.0,,,22-37,,Defensive rebound by J. McGee
1:49.0,,,22-40,3,S. Curry makes 3-pt shot from 27 ft
1:33.0,,,22-40,,Personal foul by J. McGee (drawn by L. Nance)
1:33.0,L. Nance makes free throw 1 of 2,1,23-40,,
1:33.0,L. Nance makes free throw 2 of 2,1,24-40,,
1:33.0,L. Deng enters the game for T. Black,,23-40,,
1:23.0,Personal foul by J. Clarkson (drawn by K. Durant),,24-40,,
1:23.0,,,24-41,1,K. Durant makes free throw 1 of 2
1:23.0,,,24-41,,K. Durant misses free throw 2 of 2
1:23.0,,,24-41,,K. Thompson enters the game for J. McGee
1:21.0,Defensive rebound by L. Deng,,24-41,,
1:11.0,L. Williams misses 2-pt shot from 4 ft,,24-41,,
1:10.0,,,24-41,,Defensive rebound by K. Thompson
1:04.0,,,24-41,,Shooting foul by L. Nance (drawn by P. McCaw)
1:04.0,,,24-41,,P. McCaw misses free throw 1 of 2
1:04.0,,,24-41,,Offensive rebound by Team
1:04.0,,,24-41,,P. McCaw misses free throw 2 of 2
1:01.0,Defensive rebound by L. Nance,,24-41,,
0:58.0,,,24-41,,Technical foul by K. Durant
0:58.0,J. Clarkson misses technical free throw,,24-41,,
0:58.0,Offensive rebound by Team,,24-41,,
0:58.0,,,24-41,,D. West enters the game for S. Curry
0:51.0,Turnover by L. Williams (lost ball; steal by D. West),,24-41,,
0:46.0,,,24-41,,K. Thompson misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by B. Ingram,,24-41,,
0:38.0,J. Clarkson misses 2-pt shot from 3 ft,,24-41,,
0:37.0,,,24-41,,Defensive rebound by P. McCaw
0:28.0,,,24-41,,K. Durant misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by L. Nance,,24-41,,
0:10.0,Shooting foul by D. West (drawn by J. Clarkson),,24-41,,
0:10.0,J. Clarkson makes free throw 1 of 2,1,25-41,,
0:10.0,J. Clarkson makes free throw 2 of 2,1,26-41,,
0:10.0,,,25-41,,S. Curry enters the game for P. McCaw
0:05.0,,,26-41,,S. Curry misses 2-pt shot from 22 ft
0:03.0,Defensive rebound by L. Deng,,26-41,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Shooting foul by K. Thompson (drawn by L. Deng),,26-41,,
11:39.0,L. Deng makes free throw 1 of 2,1,27-41,,
11:39.0,L. Deng makes free throw 2 of 2,1,28-41,,
11:27.0,,,28-43,2,D. West makes 2-pt shot from 8 ft (assist by K. Durant)
11:20.0,,,28-43,,Violation by D. West (kicked ball)
11:13.0,B. Ingram makes 2-pt shot from 16 ft (assist by L. Williams),2,30-43,,
10:59.0,,,30-45,2,K. Durant makes 2-pt shot from 1 ft (assist by D. West)
10:42.0,L. Williams misses 2-pt shot from 2 ft,,30-45,,
10:42.0,,,30-45,,Defensive rebound by K. Durant
10:33.0,,,30-48,3,K. Thompson makes 3-pt shot from 28 ft (assist by K. Durant)
10:17.0,J. Clarkson misses 2-pt shot from 11 ft,,30-48,,
10:15.0,Offensive rebound by L. Deng,,30-48,,
10:15.0,L. Deng misses 2-pt shot from 2 ft,,30-48,,
10:12.0,,,30-48,,Defensive rebound by K. Durant
10:08.0,,,30-48,,K. Thompson misses 3-pt shot from 27 ft
10:08.0,Defensive rebound by L. Nance,,30-48,,
9:58.0,Shooting foul by K. Thompson (drawn by B. Ingram),,30-48,,
9:58.0,B. Ingram makes free throw 1 of 2,1,31-48,,
9:58.0,B. Ingram makes free throw 2 of 2,1,32-48,,
9:58.0,,,31-48,,I. Clark enters the game for K. Thompson
9:40.0,,,32-48,,A. Iguodala misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by L. Deng,,32-48,,
9:32.0,J. Clarkson makes 2-pt shot from 2 ft,2,34-48,,
9:32.0,,,34-48,,Golden State full timeout
9:32.0,,,34-48,,P. McCaw enters the game for A. Iguodala
9:23.0,,,34-48,,Shooting foul by L. Nance (drawn by K. Durant)
9:23.0,,,34-50,2,K. Durant makes 2-pt shot from 1 ft (assist by P. McCaw)
9:23.0,,,34-51,1,K. Durant makes free throw 1 of 1
9:11.0,J. Clarkson misses 2-pt shot from 18 ft,,34-51,,
9:10.0,,,34-51,,Defensive rebound by D. West
8:44.0,,,34-51,,D. West misses 2-pt shot from 6 ft
8:44.0,Defensive rebound by L. Nance,,34-51,,
8:32.0,L. Williams makes 2-pt shot from 10 ft,2,36-51,,
8:17.0,,,36-51,,P. McCaw misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by L. Deng,,36-51,,
8:00.0,B. Ingram makes 2-pt shot from 23 ft (assist by L. Nance),2,38-51,,
7:40.0,,,38-51,,Shooting foul by L. Williams (drawn by I. Clark)
7:40.0,,,38-51,,I. Clark misses free throw 1 of 2
7:40.0,,,38-51,,Offensive rebound by Team
7:40.0,,,38-52,1,I. Clark makes free throw 2 of 2
7:40.0,,,38-51,,D. Green enters the game for K. Durant
7:40.0,T. Robinson enters the game for L. Nance,,38-51,,
7:26.0,L. Deng misses 3-pt shot from 26 ft,,38-52,,
7:26.0,,,38-52,,Defensive rebound by I. Clark
7:18.0,,,38-54,2,S. Livingston makes 2-pt shot from 9 ft (assist by D. Green)
7:03.0,J. Clarkson makes 2-pt shot from 13 ft,2,40-54,,
6:52.0,,,40-54,,Offensive foul by D. West
6:52.0,,,40-54,,Turnover by D. West (offensive foul)
6:52.0,N. Young enters the game for J. Clarkson,,40-54,,
6:30.0,L. Williams makes 2-pt shot from 7 ft,2,42-54,,
6:03.0,,,42-57,3,I. Clark makes 3-pt shot from 25 ft (assist by D. West)
5:45.0,N. Young makes 3-pt shot from 24 ft (assist by L. Deng),3,45-57,,
5:34.0,,,45-57,,S. Livingston misses 2-pt shot from 18 ft
5:33.0,,,45-57,,Offensive rebound by D. West
5:33.0,,,45-57,,Shooting foul by T. Robinson (drawn by D. West)
5:33.0,Official timeout,,45-57,,
5:33.0,,,45-58,1,D. West makes free throw 1 of 2
5:33.0,,,45-58,,D. West misses free throw 2 of 2
5:33.0,,,45-57,,S. Curry enters the game for P. McCaw
5:33.0,L. Nance enters the game for L. Williams,,45-57,,
5:33.0,J. Calderon enters the game for L. Deng,,45-57,,
5:31.0,Defensive rebound by L. Nance,,45-58,,
5:08.0,N. Young misses 2-pt shot from 5 ft,,45-58,,
5:07.0,,,45-58,,Defensive rebound by S. Curry
5:03.0,,,45-61,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
4:43.0,T. Robinson misses 2-pt shot from 7 ft,,45-61,,
4:42.0,,,45-61,,Defensive rebound by D. West
4:32.0,,,45-61,,D. Green misses 3-pt shot from 27 ft
4:32.0,Defensive rebound by T. Robinson,,45-61,,
4:08.0,L. Nance misses 2-pt shot from 18 ft,,45-61,,
4:08.0,,,45-61,,Defensive rebound by D. Green
4:01.0,,,45-63,2,S. Livingston makes 2-pt shot at rim (assist by S. Curry)
4:00.0,LA Lakers full timeout,,45-63,,
4:00.0,,,45-63,,K. Durant enters the game for D. West
4:00.0,,,45-63,,Z. Pachulia enters the game for I. Clark
4:00.0,J. Clarkson enters the game for T. Robinson,,45-63,,
3:43.0,Turnover by L. Nance (lost ball; steal by Z. Pachulia),,45-63,,
3:26.0,,,45-66,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
3:12.0,J. Calderon misses 2-pt shot from 20 ft,,45-66,,
3:12.0,,,45-66,,Defensive rebound by S. Curry
3:02.0,,,45-66,,Shooting foul by L. Nance (drawn by D. Green)
3:02.0,,,45-66,,D. Green misses free throw 1 of 2
3:02.0,,,45-66,,Offensive rebound by Team
3:02.0,,,45-67,1,D. Green makes free throw 2 of 2
3:02.0,,,45-66,,A. Iguodala enters the game for S. Livingston
3:02.0,L. Deng enters the game for B. Ingram,,45-66,,
3:02.0,T. Black enters the game for L. Nance,,45-66,,
2:50.0,L. Deng misses 2-pt shot from 2 ft,,45-67,,
2:49.0,Offensive rebound by L. Deng,,45-67,,
2:49.0,L. Deng makes 2-pt shot from 1 ft,2,47-67,,
2:41.0,,,47-69,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
2:41.0,,,47-69,,Shooting foul by T. Black (drawn by S. Curry)
2:41.0,,,47-70,1,S. Curry makes free throw 1 of 1
2:27.0,N. Young misses 2-pt shot from 17 ft,,47-70,,
2:27.0,,,47-70,,Defensive rebound by A. Iguodala
2:19.0,,,47-70,,A. Iguodala misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by J. Calderon,,47-70,,
2:16.0,,,47-70,,Personal foul by D. Green (drawn by L. Deng)
2:06.0,Turnover by J. Calderon (bad pass; steal by Z. Pachulia),,47-70,,
2:01.0,,,47-73,3,K. Durant makes 3-pt shot from 28 ft (assist by A. Iguodala)
2:00.0,LA Lakers full timeout,,47-73,,
2:00.0,T. Robinson enters the game for T. Black,,47-73,,
1:35.0,Turnover by T. Robinson (lost ball; steal by S. Curry),,47-73,,
1:30.0,,,47-73,,Turnover by S. Curry (bad pass; steal by T. Robinson)
1:24.0,L. Deng makes 2-pt shot from 1 ft (assist by T. Robinson),2,49-73,,
1:06.0,,,49-75,2,K. Durant makes 2-pt shot from 3 ft (assist by A. Iguodala)
1:06.0,,,49-75,,Shooting foul by T. Robinson (drawn by K. Durant)
1:06.0,,,49-76,1,K. Durant makes free throw 1 of 1
0:49.0,Turnover by J. Calderon (bad pass; steal by K. Durant),,49-76,,
0:43.0,,,49-76,,S. Curry misses 3-pt shot from 26 ft
0:43.0,,,49-76,,Offensive rebound by K. Durant
0:42.0,,,49-78,2,K. Durant makes 2-pt shot from 1 ft
0:32.0,J. Clarkson misses 3-pt shot from 26 ft,,49-78,,
0:31.0,,,49-78,,Defensive rebound by S. Curry
0:27.0,,,49-80,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
0:06.0,T. Robinson misses 2-pt shot from 4 ft,,49-80,,
0:05.0,Offensive rebound by J. Clarkson,,49-80,,
0:03.0,Turnover by Team (shot clock),,49-80,,
0:01.0,,,49-80,,S. Curry misses 3-pt shot from 59 ft
0:00.0,,,49-80,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,49-80,,Personal foul by Z. Pachulia (drawn by T. Mozgov)
11:37.0,L. Deng misses 2-pt shot from 13 ft,,49-80,,
11:36.0,,,49-80,,Defensive rebound by D. Green
11:15.0,,,49-80,,D. Green misses 3-pt shot from 26 ft
11:15.0,Defensive rebound by L. Deng,,49-80,,
10:54.0,N. Young misses 2-pt shot from 12 ft,,49-80,,
10:53.0,,,49-80,,Defensive rebound by K. Durant
10:51.0,,,49-80,,Turnover by K. Durant (step out of bounds)
10:36.0,J. Calderon misses 2-pt shot from 8 ft,,49-80,,
10:35.0,Offensive rebound by J. Calderon,,49-80,,
10:30.0,T. Mozgov makes 2-pt shot from 18 ft (assist by J. Calderon),2,51-80,,
10:12.0,Personal foul by J. Calderon (drawn by K. Durant),,51-80,,
10:08.0,,,51-82,2,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green)
9:53.0,T. Mozgov makes 2-pt shot from 14 ft (assist by J. Calderon),2,53-82,,
9:36.0,,,53-84,2,S. Curry makes 2-pt shot from 2 ft (assist by D. Green)
9:20.0,B. Ingram makes 2-pt shot from 2 ft,2,55-84,,
