time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Noah (M. Morris gains possession),,,,Jump ball: A. Drummond vs. J. Noah (M. Morris gains possession)
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 7 ft (block by J. Noah)
11:39.0,Defensive rebound by J. Noah,,0-0,,
11:18.0,C. Anthony makes 2-pt shot from 17 ft,2,2-0,,
11:06.0,,,2-2,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by A. Drummond)
11:06.0,,,2-2,,Shooting foul by C. Lee (drawn by K. Caldwell-Pope)
11:06.0,,,2-3,1,K. Caldwell-Pope makes free throw 1 of 1
10:43.0,K. Porzingis misses 2-pt shot from 9 ft,,2-3,,
10:41.0,,,2-3,,Defensive rebound by A. Drummond
10:37.0,,,2-3,,Shooting foul by J. Noah (drawn by A. Drummond)
10:37.0,,,2-3,,A. Drummond misses free throw 1 of 2
10:37.0,,,2-3,,Offensive rebound by Team
10:37.0,,,2-3,,A. Drummond misses free throw 2 of 2
10:37.0,Defensive rebound by C. Lee,,2-3,,
10:18.0,C. Lee makes 2-pt shot from 15 ft,2,4-3,,
9:57.0,,,4-5,2,A. Drummond makes 2-pt shot from 8 ft (assist by K. Caldwell-Pope)
9:45.0,C. Anthony makes 2-pt shot from 20 ft (assist by J. Noah),2,6-5,,
9:26.0,,,6-7,2,M. Morris makes 2-pt shot from 18 ft
9:19.0,D. Rose misses 2-pt shot from 1 ft (block by T. Harris),,6-7,,
9:16.0,,,6-7,,Defensive rebound by A. Drummond
9:10.0,,,6-10,3,T. Harris makes 3-pt shot from 23 ft (assist by I. Smith)
8:58.0,D. Rose misses 2-pt shot from 6 ft,,6-10,,
8:57.0,,,6-10,,Defensive rebound by A. Drummond
8:41.0,,,6-10,,A. Drummond misses 2-pt shot from 4 ft
8:41.0,Defensive rebound by K. Porzingis,,6-10,,
8:37.0,D. Rose makes 2-pt shot from 1 ft,2,8-10,,
8:21.0,,,8-12,2,I. Smith makes 2-pt shot from 8 ft
8:11.0,J. Noah misses 2-pt shot from 18 ft,,8-12,,
8:10.0,,,8-12,,Defensive rebound by T. Harris
8:09.0,,,8-12,,Offensive foul by T. Harris
8:09.0,,,8-12,,Turnover by T. Harris (offensive foul)
7:57.0,K. Porzingis misses 3-pt shot from 26 ft,,8-12,,
7:57.0,,,8-12,,Defensive rebound by Team
