time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. B. Lopez (D. Schroder gains possession),,,,Jump ball: D. Howard vs. B. Lopez (D. Schroder gains possession)
11:44.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,2-0,,
11:30.0,,,2-0,,Shooting foul by D. Howard (drawn by B. Lopez)
11:30.0,,,2-1,1,B. Lopez makes free throw 1 of 2
11:30.0,,,2-1,,B. Lopez misses free throw 2 of 2
11:29.0,Defensive rebound by D. Howard,,2-1,,
11:06.0,D. Schroder makes 3-pt shot from 25 ft (assist by P. Millsap),3,5-1,,
10:52.0,,,5-4,3,I. Whitehead makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
10:28.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,7-4,,
10:12.0,,,7-4,,I. Whitehead misses 2-pt shot from 2 ft (block by P. Millsap)
10:11.0,,,7-4,,Offensive rebound by I. Whitehead
10:03.0,,,7-4,,Turnover by B. Lopez (bad pass; steal by D. Schroder)
9:57.0,K. Bazemore misses 2-pt shot from 16 ft,,7-4,,
9:55.0,Offensive rebound by D. Howard,,7-4,,
9:48.0,T. Sefolosha makes 2-pt shot from 2 ft,2,9-4,,
9:36.0,,,9-4,,B. Bogdanovic misses 2-pt shot from 2 ft (block by P. Millsap)
9:34.0,Defensive rebound by T. Sefolosha,,9-4,,
9:25.0,D. Schroder makes 2-pt shot from 19 ft,2,11-4,,
9:25.0,,,11-4,,Brooklyn full timeout
9:10.0,,,11-6,2,B. Lopez makes 2-pt shot from 7 ft (assist by R. Hollis-Jefferson)
8:50.0,P. Millsap misses 2-pt shot from 12 ft,,11-6,,
8:49.0,Offensive rebound by D. Howard,,11-6,,
8:48.0,D. Howard makes 2-pt shot from 1 ft,2,13-6,,
8:40.0,,,13-6,,Shooting foul by P. Millsap (drawn by R. Hollis-Jefferson)
8:40.0,,,13-7,1,R. Hollis-Jefferson makes free throw 1 of 2
8:40.0,,,13-8,1,R. Hollis-Jefferson makes free throw 2 of 2
8:27.0,T. Sefolosha misses 2-pt shot from 15 ft,,13-8,,
8:26.0,Offensive rebound by Team,,13-8,,
8:16.0,T. Sefolosha makes 2-pt shot from 13 ft,2,15-8,,
7:53.0,,,15-8,,Turnover by B. Bogdanovic (traveling)
7:43.0,Turnover by P. Millsap (traveling),,15-8,,
7:23.0,,,15-10,2,R. Hollis-Jefferson makes 2-pt shot from 7 ft
7:11.0,Turnover by D. Howard (3 sec),,15-10,,
7:11.0,,,15-10,,S. Kilpatrick enters the game for J. Harris
7:03.0,,,15-13,3,B. Bogdanovic makes 3-pt shot from 27 ft (assist by I. Whitehead)
6:52.0,D. Schroder makes 2-pt shot from 10 ft,2,17-13,,
6:40.0,,,17-13,,B. Lopez misses 3-pt shot from 26 ft
6:39.0,Defensive rebound by K. Bazemore,,17-13,,
6:32.0,Turnover by K. Bazemore (bad pass; steal by S. Kilpatrick),,17-13,,
6:26.0,,,17-15,2,S. Kilpatrick makes 2-pt shot from 2 ft
6:19.0,,,17-15,,Personal foul by B. Lopez (drawn by D. Howard)
6:19.0,,,17-15,,J. Hamilton enters the game for R. Hollis-Jefferson
6:19.0,T. Hardaway enters the game for K. Bazemore,,17-15,,
6:16.0,T. Hardaway makes 2-pt shot from 3 ft (assist by T. Sefolosha),2,19-15,,
6:01.0,,,19-15,,Turnover by B. Bogdanovic (lost ball; steal by P. Millsap)
5:47.0,D. Schroder makes 3-pt shot from 25 ft,3,22-15,,
5:38.0,,,22-15,,I. Whitehead misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by P. Millsap,,22-15,,
5:28.0,T. Hardaway makes 3-pt shot from 23 ft (assist by P. Millsap),3,25-15,,
5:07.0,,,25-18,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by I. Whitehead)
4:50.0,D. Schroder misses 2-pt shot from 13 ft,,25-18,,
4:49.0,Offensive rebound by D. Howard,,25-18,,
4:48.0,D. Howard misses 2-pt shot from 3 ft,,25-18,,
4:46.0,,,25-18,,Defensive rebound by J. Hamilton
4:37.0,,,25-21,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by B. Lopez)
4:17.0,T. Hardaway misses 3-pt shot from 25 ft,,25-21,,
4:15.0,,,25-21,,Defensive rebound by B. Bogdanovic
4:11.0,,,25-21,,S. Kilpatrick misses 2-pt shot from 1 ft
4:10.0,,,25-21,,Offensive rebound by S. Kilpatrick
4:09.0,,,25-21,,S. Kilpatrick misses 2-pt shot from 1 ft
4:08.0,,,25-21,,Offensive rebound by S. Kilpatrick
4:07.0,,,25-23,2,S. Kilpatrick makes 2-pt shot from 2 ft
4:07.0,Atlanta full timeout,,25-23,,
4:07.0,,,25-23,,S. Dinwiddie enters the game for I. Whitehead
4:07.0,,,25-23,,L. Scola enters the game for B. Lopez
4:07.0,,,25-23,,C. LeVert enters the game for B. Bogdanovic
4:07.0,K. Humphries enters the game for D. Howard,,25-23,,
4:07.0,T. Waller-Prince enters the game for T. Sefolosha,,25-23,,
3:53.0,P. Millsap misses 2-pt shot from 13 ft,,25-23,,
3:52.0,,,25-23,,Defensive rebound by C. LeVert
3:42.0,,,25-23,,C. LeVert misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by K. Humphries,,25-23,,
3:26.0,P. Millsap misses 2-pt shot from 12 ft,,25-23,,
3:24.0,,,25-23,,Defensive rebound by S. Dinwiddie
3:19.0,,,25-23,,J. Hamilton misses 3-pt shot from 24 ft
3:17.0,Defensive rebound by T. Hardaway,,25-23,,
3:04.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,28-23,,
2:45.0,,,28-23,,Brooklyn full timeout
2:45.0,M. Delaney enters the game for P. Millsap,,28-23,,
2:45.0,M. Muscala enters the game for D. Schroder,,28-23,,
2:38.0,,,28-23,,S. Kilpatrick misses 2-pt shot from 16 ft (block by T. Hardaway)
2:37.0,Defensive rebound by K. Humphries,,28-23,,
2:30.0,T. Hardaway makes 2-pt shot at rim (assist by M. Delaney),2,30-23,,
2:13.0,,,30-26,3,L. Scola makes 3-pt shot from 24 ft (assist by C. LeVert)
1:56.0,M. Muscala misses 2-pt shot from 8 ft,,30-26,,
1:55.0,,,30-26,,Defensive rebound by L. Scola
1:44.0,,,30-26,,L. Scola misses 2-pt shot from 6 ft
1:43.0,Defensive rebound by K. Humphries,,30-26,,
1:31.0,Shooting foul by S. Dinwiddie (drawn by M. Delaney),,30-26,,
1:31.0,M. Delaney misses free throw 1 of 2,,30-26,,
1:31.0,Offensive rebound by Team,,30-26,,
1:31.0,M. Delaney makes free throw 2 of 2,1,31-26,,
1:30.0,Personal foul by K. Humphries (drawn by S. Dinwiddie),,31-26,,
1:13.0,,,31-26,,J. Hamilton misses 2-pt shot from 7 ft
1:11.0,,,31-26,,Offensive rebound by J. Hamilton
1:08.0,,,31-26,,Turnover by J. Hamilton (bad pass; steal by T. Waller-Prince)
1:07.0,Turnover by T. Waller-Prince (bad pass),,31-26,,
0:52.0,,,31-28,2,C. LeVert makes 2-pt shot from 11 ft (assist by S. Dinwiddie)
0:52.0,,,31-28,,Shooting foul by T. Hardaway (drawn by C. LeVert)
0:52.0,,,31-29,1,C. LeVert makes free throw 1 of 1
0:38.0,M. Delaney makes 2-pt shot from 21 ft,2,33-29,,
0:28.0,,,33-29,,L. Scola misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by T. Waller-Prince,,33-29,,
0:06.0,K. Humphries makes 2-pt shot from 2 ft,2,35-29,,
0:02.0,,,35-29,,Offensive charge foul by S. Dinwiddie
0:02.0,,,35-29,,Turnover by S. Dinwiddie (offensive foul)
0:00.0,M. Delaney misses 3-pt shot from 52 ft,,35-29,,
0:00.0,Offensive rebound by Team,,35-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,35-29,,B. Bogdanovic misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by K. Humphries,,35-29,,
