time,Memphis,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: M. Gasol vs. J. Henson (G. Antetokounmpo gains possession)
11:45.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 5 ft
11:28.0,M. Conley misses 3-pt shot from 27 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by J. Parker
11:19.0,,,0-5,3,T. Snell makes 3-pt shot from 25 ft (assist by J. Henson)
10:56.0,Shooting foul by J. Henson (drawn by J. Ennis),,0-5,,
10:56.0,J. Ennis makes free throw 1 of 2,1,1-5,,
10:56.0,J. Ennis makes free throw 2 of 2,1,2-5,,
10:45.0,Personal foul by J. Ennis (drawn by G. Antetokounmpo),,2-5,,
10:35.0,,,2-7,2,G. Antetokounmpo makes 2-pt shot from 5 ft
10:20.0,J. Green misses 2-pt shot from 18 ft,,2-7,,
10:19.0,Offensive rebound by M. Gasol,,2-7,,
10:09.0,C. Parsons misses 3-pt shot from 25 ft,,2-7,,
10:08.0,,,2-7,,Defensive rebound by J. Henson
9:53.0,,,2-9,2,J. Henson makes 2-pt shot at rim (assist by T. Snell)
9:40.0,Turnover by J. Green (bad pass; steal by G. Antetokounmpo),,2-9,,
9:28.0,,,2-11,2,J. Parker makes 2-pt shot from 4 ft
9:18.0,Memphis full timeout,,2-11,,
9:08.0,J. Green misses 2-pt shot at rim (block by G. Antetokounmpo),,2-11,,
9:06.0,,,2-11,,Defensive rebound by J. Henson
8:51.0,,,2-11,,Offensive charge foul by J. Parker
8:51.0,,,2-11,,Turnover by J. Parker (offensive foul)
8:31.0,M. Conley makes 2-pt shot from 1 ft,2,4-11,,
8:19.0,,,4-11,,T. Snell misses 3-pt shot from 25 ft
8:18.0,Defensive rebound by C. Parsons,,4-11,,
8:05.0,J. Ennis makes 2-pt shot from 16 ft,2,6-11,,
7:52.0,,,6-11,,J. Parker misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by M. Gasol,,6-11,,
7:44.0,Turnover by M. Conley (bad pass; steal by G. Antetokounmpo),,6-11,,
7:41.0,,,6-11,,Shooting foul by M. Gasol (drawn by G. Antetokounmpo)
7:41.0,,,6-12,1,G. Antetokounmpo makes free throw 1 of 2
7:41.0,,,6-12,,G. Antetokounmpo misses free throw 2 of 2
7:40.0,Defensive rebound by J. Green,,6-12,,
7:18.0,J. Green misses 2-pt shot from 7 ft,,6-12,,
7:17.0,,,6-12,,Defensive rebound by G. Antetokounmpo
7:07.0,,,6-12,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by M. Gasol)
7:04.0,Defensive rebound by M. Conley,,6-12,,
7:00.0,J. Green makes 2-pt shot at rim (assist by J. Ennis),2,8-12,,
6:42.0,,,8-14,2,G. Antetokounmpo makes 2-pt shot from 18 ft
6:27.0,C. Parsons misses 3-pt shot from 27 ft,,8-14,,
6:26.0,,,8-14,,Defensive rebound by J. Henson
6:12.0,,,8-14,,J. Parker misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by M. Gasol,,8-14,,
6:00.0,M. Gasol misses 3-pt shot from 27 ft,,8-14,,
5:59.0,,,8-14,,Defensive rebound by J. Parker
5:46.0,,,8-14,,J. Parker misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by C. Parsons,,8-14,,
5:31.0,C. Parsons makes 3-pt shot from 25 ft (assist by M. Gasol),3,11-14,,
5:30.0,,,11-14,,Milwaukee full timeout
5:30.0,J. Martin enters the game for C. Parsons,,11-14,,
5:30.0,V. Carter enters the game for J. Green,,11-14,,
5:30.0,,,11-14,,G. Monroe enters the game for G. Antetokounmpo
5:30.0,,,11-14,,M. Beasley enters the game for J. Henson
5:10.0,,,11-14,,Shooting foul by V. Carter (drawn by M. Beasley)
5:10.0,,,11-15,1,M. Beasley makes free throw 1 of 2
5:10.0,,,11-15,,M. Beasley misses free throw 2 of 2
