time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (I. Smith gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (I. Smith gains possession)
11:41.0,J. Leuer misses 2-pt shot from 13 ft,,0-0,,
11:41.0,Offensive rebound by Team,,0-0,,
11:30.0,S. Johnson misses 2-pt shot from 10 ft,,0-0,,
11:27.0,Offensive rebound by A. Drummond,,0-0,,
11:24.0,A. Drummond misses 2-pt shot from 4 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by N. Vucevic
11:15.0,,,0-3,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
10:51.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,0-3,,
10:50.0,Offensive rebound by A. Drummond,,0-3,,
10:50.0,A. Drummond makes 2-pt shot at rim,2,2-3,,
10:28.0,,,2-5,2,A. Gordon makes 2-pt shot from 15 ft
10:11.0,K. Caldwell-Pope makes 2-pt shot from 10 ft (assist by A. Drummond),2,4-5,,
9:50.0,,,4-5,,E. Payton misses 2-pt shot from 10 ft
9:50.0,Defensive rebound by A. Drummond,,4-5,,
9:35.0,A. Drummond misses 2-pt shot from 6 ft,,4-5,,
9:34.0,,,4-5,,Defensive rebound by A. Gordon
9:25.0,,,4-8,3,A. Gordon makes 3-pt shot from 25 ft
8:54.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,4-8,,
8:54.0,,,4-8,,Defensive rebound by A. Gordon
8:43.0,,,4-8,,E. Fournier misses 3-pt shot from 23 ft
8:42.0,Defensive rebound by I. Smith,,4-8,,
8:34.0,S. Johnson misses 3-pt shot from 24 ft,,4-8,,
8:34.0,,,4-8,,Defensive rebound by E. Payton
8:27.0,,,4-8,,E. Payton misses 2-pt shot from 12 ft
8:26.0,Defensive rebound by A. Drummond,,4-8,,
8:19.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,4-8,,
8:18.0,,,4-8,,Defensive rebound by N. Vucevic
8:10.0,,,4-10,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
7:46.0,S. Johnson misses 3-pt shot from 25 ft,,4-10,,
7:45.0,,,4-10,,Defensive rebound by E. Fournier
7:36.0,,,4-13,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Fournier)
7:30.0,Detroit full timeout,,4-13,,
7:22.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,4-13,,
7:22.0,Offensive rebound by A. Drummond,,4-13,,
7:21.0,A. Drummond misses 2-pt shot from 2 ft,,4-13,,
7:18.0,,,4-13,,Defensive rebound by E. Fournier
7:05.0,,,4-16,3,E. Payton makes 3-pt shot from 24 ft (assist by E. Fournier)
6:52.0,Shooting foul by E. Payton (drawn by I. Smith),,4-16,,
6:52.0,I. Smith makes free throw 1 of 2,1,5-16,,
6:52.0,I. Smith makes free throw 2 of 2,1,6-16,,
6:40.0,,,6-16,,A. Gordon misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by I. Smith,,6-16,,
6:30.0,I. Smith misses 2-pt shot from 7 ft,,6-16,,
6:29.0,,,6-16,,Defensive rebound by A. Gordon
6:25.0,,,6-16,,Shooting foul by I. Smith (drawn by A. Gordon)
6:25.0,,,6-17,1,A. Gordon makes free throw 1 of 2
