time,Golden State,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: D. Dedmon vs. Z. Pachulia (D. Green gains possession)
11:34.0,,,0-0,,D. Green misses 3-pt shot from 24 ft
11:33.0,Defensive rebound by Team,,0-0,,
11:21.0,D. Green misses 2-pt shot from 1 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by D. Dedmon
11:11.0,,,0-0,,L. Aldridge misses 2-pt shot from 16 ft
11:10.0,,,0-0,,Offensive rebound by Team
10:58.0,,,0-0,,Shooting foul by Z. Pachulia (drawn by D. Dedmon)
10:58.0,,,0-1,1,D. Dedmon makes free throw 1 of 2
10:58.0,,,0-2,1,D. Dedmon makes free throw 2 of 2
10:46.0,K. Thompson misses 3-pt shot from 26 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by L. Aldridge
10:30.0,,,0-4,2,K. Leonard makes 2-pt shot from 8 ft
10:13.0,Turnover by Z. Pachulia (bad pass; steal by D. Green),,0-4,,
10:07.0,,,0-7,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
9:56.0,Offensive foul by D. Green,,0-7,,
9:56.0,Turnover by D. Green (offensive foul),,0-7,,
9:36.0,,,0-7,,K. Leonard misses 2-pt shot from 15 ft
9:35.0,,,0-7,,Offensive rebound by K. Leonard
9:31.0,,,0-7,,T. Parker misses 2-pt shot from 20 ft
9:30.0,,,0-7,,Offensive rebound by D. Green
9:26.0,,,0-10,3,D. Green makes 3-pt shot from 24 ft
9:26.0,Golden State full timeout,,0-10,,
9:09.0,S. Curry misses 2-pt shot from 21 ft,,0-10,,
9:08.0,,,0-10,,Defensive rebound by K. Leonard
8:51.0,,,0-10,,K. Leonard misses 2-pt shot from 1 ft
8:50.0,Defensive rebound by D. Green,,0-10,,
8:50.0,Turnover by D. Green (bad pass; steal by T. Parker),,0-10,,
8:45.0,,,0-10,,K. Leonard misses 3-pt shot from 25 ft
8:44.0,,,0-10,,Offensive rebound by D. Green
8:43.0,,,0-10,,Turnover by D. Green (bad pass; steal by S. Curry)
8:39.0,Turnover by S. Curry (traveling),,0-10,,
8:22.0,,,0-12,2,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Green)
8:11.0,D. Green misses 3-pt shot from 26 ft,,0-12,,
8:09.0,,,0-12,,Defensive rebound by K. Leonard
7:58.0,,,0-15,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
7:46.0,S. Curry makes 3-pt shot from 25 ft,3,3-15,,
7:36.0,,,3-15,,Turnover by T. Parker (bad pass; steal by D. Green)
7:24.0,Turnover by D. Green (bad pass),,3-15,,
7:24.0,J. McGee enters the game for Z. Pachulia,,3-15,,
