time,Washington,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. I. Zubac (J. Wall gains possession),,,,Jump ball: M. Gortat vs. I. Zubac (J. Wall gains possession)
11:36.0,J. Wall makes 2-pt shot from 17 ft,2,2-0,,
11:17.0,,,2-0,,J. Randle misses 2-pt shot from 3 ft
11:14.0,Defensive rebound by J. Wall,,2-0,,
11:08.0,J. Wall misses 2-pt shot from 2 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by I. Zubac
10:53.0,,,2-2,2,I. Zubac makes 2-pt shot from 3 ft (assist by J. Randle)
10:32.0,M. Morris misses 3-pt shot from 26 ft,,2-2,,
10:31.0,,,2-2,,Defensive rebound by D. Russell
10:24.0,,,2-2,,Turnover by C. Brewer (lost ball; steal by J. Wall)
10:19.0,Shooting foul by C. Brewer (drawn by J. Wall),,2-2,,
10:19.0,J. Wall makes free throw 1 of 2,1,3-2,,
10:19.0,J. Wall makes free throw 2 of 2,1,4-2,,
10:06.0,,,4-4,2,I. Zubac makes 2-pt shot from 6 ft (assist by D. Russell)
9:53.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,6-4,,
9:38.0,,,6-4,,J. Randle misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by M. Gortat,,6-4,,
9:27.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,9-4,,
9:10.0,,,9-4,,J. Clarkson misses 2-pt shot from 2 ft
9:07.0,Defensive rebound by M. Morris,,9-4,,
9:00.0,Turnover by J. Wall (bad pass; steal by I. Zubac),,9-4,,
8:54.0,,,9-6,2,I. Zubac makes 2-pt shot from 4 ft (assist by D. Russell)
8:31.0,B. Beal misses 2-pt shot from 11 ft (block by J. Randle),,9-6,,
8:27.0,Offensive rebound by M. Gortat,,9-6,,
8:27.0,M. Gortat makes 2-pt shot from 1 ft,2,11-6,,
8:21.0,,,11-6,,D. Russell misses 2-pt shot from 22 ft
8:18.0,Defensive rebound by J. Wall,,11-6,,
8:16.0,J. Wall misses 2-pt shot from 2 ft (block by C. Brewer),,11-6,,
8:12.0,Offensive rebound by O. Porter,,11-6,,
8:10.0,O. Porter makes 2-pt shot from 21 ft,2,13-6,,
8:04.0,,,13-8,2,C. Brewer makes 2-pt shot from 1 ft
7:47.0,M. Morris misses 2-pt shot from 19 ft,,13-8,,
7:47.0,Offensive rebound by Team,,13-8,,
7:47.0,,,13-8,,Loose ball foul by I. Zubac (drawn by M. Gortat)
7:40.0,M. Morris misses 2-pt shot from 19 ft,,13-8,,
7:36.0,,,13-8,,Defensive rebound by I. Zubac
7:30.0,,,13-8,,J. Clarkson misses 3-pt shot from 26 ft
7:29.0,Defensive rebound by J. Wall,,13-8,,
7:15.0,J. Wall makes 2-pt shot at rim,2,15-8,,
6:58.0,,,15-8,,C. Brewer misses 2-pt shot from 7 ft
6:56.0,Defensive rebound by O. Porter,,15-8,,
6:55.0,,,15-8,,LA Lakers full timeout
6:47.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,18-8,,
6:25.0,,,18-8,,J. Randle misses 2-pt shot from 4 ft
6:23.0,Defensive rebound by M. Gortat,,18-8,,
6:17.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,20-8,,
5:53.0,,,20-11,3,D. Russell makes 3-pt shot from 25 ft
5:34.0,J. Wall makes 2-pt shot from 18 ft,2,22-11,,
5:19.0,,,22-13,2,J. Clarkson makes 2-pt shot from 2 ft
5:04.0,M. Morris makes 2-pt shot from 2 ft (assist by O. Porter),2,24-13,,
4:54.0,,,24-13,,D. Russell misses 3-pt shot from 27 ft
4:53.0,Defensive rebound by M. Gortat,,24-13,,
4:44.0,J. Wall misses 2-pt shot from 18 ft,,24-13,,
4:42.0,,,24-13,,Defensive rebound by J. Randle
4:35.0,,,24-13,,Shooting foul by M. Morris (drawn by J. Randle)
4:35.0,,,24-14,1,J. Randle makes free throw 1 of 2
4:35.0,,,24-15,1,J. Randle makes free throw 2 of 2
4:35.0,J. Smith enters the game for M. Morris,,24-14,,
4:35.0,,,24-14,,D. Nwaba enters the game for C. Brewer
4:21.0,Turnover by B. Beal (bad pass; steal by D. Nwaba),,24-15,,
4:17.0,,,24-15,,Turnover by D. Nwaba (bad pass; steal by M. Gortat)
4:13.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,26-15,,
3:49.0,,,26-17,2,D. Nwaba makes 2-pt shot at rim (assist by J. Clarkson)
