time,Milwaukee,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. T. Maker (S. Labissiere gains possession),,,,Jump ball: W. Cauley-Stein vs. T. Maker (S. Labissiere gains possession)
11:41.0,,,0-2,2,B. Hield makes 2-pt shot from 20 ft (assist by W. Cauley-Stein)
11:27.0,,,0-2,,Personal foul by S. Labissiere (drawn by G. Antetokounmpo)
11:10.0,T. Maker makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,2-2,,
10:51.0,,,2-2,,A. Afflalo misses 2-pt shot from 22 ft
10:49.0,Defensive rebound by G. Antetokounmpo,,2-2,,
10:30.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,2-2,,
10:30.0,G. Antetokounmpo makes free throw 1 of 2,1,3-2,,
10:30.0,G. Antetokounmpo makes free throw 2 of 2,1,4-2,,
10:15.0,Def 3 sec tech foul by T. Maker,,4-2,,
10:15.0,,,4-3,1,D. Collison makes technical free throw
10:03.0,,,4-3,,Shooting foul by T. Maker (drawn by W. Cauley-Stein)
10:03.0,,,4-5,2,W. Cauley-Stein makes 2-pt shot from 3 ft
10:03.0,,,4-5,,W. Cauley-Stein misses free throw 1 of 1
10:02.0,Defensive rebound by G. Antetokounmpo,,4-5,,
9:53.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-5,,
9:34.0,,,6-5,,S. Labissiere misses 2-pt shot from 6 ft
9:34.0,Defensive rebound by T. Snell,,6-5,,
9:24.0,T. Maker makes 2-pt shot from 6 ft (assist by K. Middleton),2,8-5,,
9:13.0,,,8-5,,S. Labissiere misses 2-pt shot at rim (block by G. Antetokounmpo)
9:12.0,,,8-5,,Offensive rebound by W. Cauley-Stein
9:09.0,,,8-5,,W. Cauley-Stein misses 2-pt shot from 9 ft
9:08.0,Defensive rebound by G. Antetokounmpo,,8-5,,
8:49.0,M. Brogdon misses 3-pt shot from 25 ft,,8-5,,
8:48.0,,,8-5,,Defensive rebound by B. Hield
8:40.0,,,8-5,,B. Hield misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by G. Antetokounmpo,,8-5,,
8:29.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,8-5,,
8:29.0,G. Antetokounmpo misses free throw 1 of 2,,8-5,,
8:29.0,Offensive rebound by Team,,8-5,,
8:29.0,G. Antetokounmpo misses free throw 2 of 2,,8-5,,
8:28.0,,,8-5,,Defensive rebound by S. Labissiere
8:15.0,,,8-8,3,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Collison)
8:04.0,Turnover by M. Brogdon (dbl dribble),,8-8,,
7:54.0,,,8-10,2,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison)
7:32.0,Turnover by K. Middleton (bad pass; steal by S. Labissiere),,8-10,,
7:24.0,,,8-12,2,B. Hield makes 2-pt shot from 2 ft (assist by D. Collison)
7:14.0,M. Brogdon misses 2-pt shot from 2 ft (block by W. Cauley-Stein),,8-12,,
7:13.0,Offensive rebound by Team,,8-12,,
7:13.0,G. Monroe enters the game for T. Maker,,8-12,,
7:08.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,8-12,,
7:07.0,,,8-12,,Defensive rebound by A. Afflalo
6:58.0,,,8-12,,D. Collison misses 2-pt shot from 2 ft
6:57.0,Defensive rebound by G. Antetokounmpo,,8-12,,
6:46.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,11-12,,
6:27.0,M. Dellavedova enters the game for M. Brogdon,,11-12,,
6:27.0,,,11-12,,G. Papagiannis enters the game for W. Cauley-Stein
6:23.0,,,11-12,,Sacramento full timeout
6:19.0,,,11-12,,A. Afflalo misses 3-pt shot from 32 ft (block by K. Middleton)
6:18.0,,,11-12,,Offensive rebound by Team
6:18.0,,,11-12,,Turnover by Team (shot clock)
5:58.0,K. Middleton makes 2-pt shot from 15 ft,2,13-12,,
5:31.0,,,13-14,2,D. Collison makes 2-pt shot from 19 ft
5:17.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,15-14,,
5:02.0,,,15-14,,G. Papagiannis misses 2-pt shot from 12 ft
5:02.0,Defensive rebound by G. Monroe,,15-14,,
4:50.0,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe),2,17-14,,
4:25.0,,,17-14,,B. Hield misses 2-pt shot from 18 ft
4:23.0,,,17-14,,Offensive rebound by G. Papagiannis
4:23.0,,,17-14,,G. Papagiannis misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by G. Monroe,,17-14,,
4:14.0,K. Middleton misses 2-pt shot from 3 ft,,17-14,,
4:13.0,,,17-14,,Defensive rebound by S. Labissiere
4:04.0,,,17-14,,Turnover by D. Collison (bad pass; steal by G. Antetokounmpo)
3:59.0,G. Antetokounmpo makes 2-pt shot at rim,2,19-14,,
3:35.0,,,19-16,2,D. Collison makes 2-pt shot from 15 ft
3:16.0,K. Middleton misses 3-pt shot from 25 ft,,19-16,,
3:15.0,,,19-16,,Defensive rebound by G. Papagiannis
3:15.0,M. Teletovic enters the game for G. Antetokounmpo,,19-16,,
3:15.0,,,19-16,,G. Temple enters the game for S. Labissiere
3:15.0,,,19-16,,A. Tolliver enters the game for B. Hield
3:03.0,,,19-16,,Turnover by G. Papagiannis (lost ball; steal by K. Middleton)
2:55.0,M. Teletovic misses 3-pt shot from 22 ft,,19-16,,
2:55.0,,,19-16,,Defensive rebound by A. Afflalo
2:43.0,Personal foul by M. Dellavedova (drawn by A. Afflalo),,19-16,,
2:43.0,Milwaukee full timeout,,19-16,,
2:43.0,J. Terry enters the game for T. Snell,,19-16,,
2:31.0,,,19-16,,A. Tolliver misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by K. Middleton,,19-16,,
2:10.0,M. Dellavedova misses 2-pt shot from 8 ft (block by G. Papagiannis),,19-16,,
2:10.0,Offensive rebound by Team,,19-16,,
2:10.0,,,19-16,,B. McLemore enters the game for A. Afflalo
2:07.0,M. Teletovic makes 2-pt shot from 3 ft (assist by M. Dellavedova),2,21-16,,
1:51.0,,,21-19,3,G. Temple makes 3-pt shot from 25 ft (assist by A. Tolliver)
1:31.0,G. Monroe makes 2-pt shot from 5 ft,2,23-19,,
1:17.0,,,23-19,,Turnover by G. Temple (lost ball; steal by J. Terry)
1:09.0,M. Teletovic misses 3-pt shot from 24 ft,,23-19,,
1:08.0,,,23-19,,Defensive rebound by D. Collison
0:58.0,,,23-22,3,A. Tolliver makes 3-pt shot from 24 ft (assist by D. Collison)
0:40.0,M. Dellavedova misses 2-pt shot from 13 ft,,23-22,,
0:39.0,,,23-22,,Defensive rebound by G. Temple
0:27.0,,,23-24,2,G. Papagiannis makes 2-pt shot from 5 ft
0:07.0,G. Monroe makes 2-pt shot from 2 ft (assist by K. Middleton),2,25-24,,
0:00.0,,,25-24,,G. Papagiannis misses 2-pt shot from 4 ft
0:00.0,,,25-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
