time,Boston,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. B. Lopez (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. B. Lopez (J. Crowder gains possession)
11:43.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford),3,3-0,,
11:24.0,,,3-0,,C. LeVert misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by A. Johnson,,3-0,,
11:16.0,A. Bradley misses 2-pt shot from 5 ft,,3-0,,
11:15.0,Offensive rebound by A. Bradley,,3-0,,
11:13.0,A. Bradley misses 2-pt shot from 11 ft,,3-0,,
11:12.0,,,3-0,,Defensive rebound by R. Hollis-Jefferson
10:55.0,,,3-3,3,R. Foye makes 3-pt shot from 24 ft (assist by C. LeVert)
10:40.0,A. Horford misses 2-pt shot from 3 ft (block by J. Lin),,3-3,,
10:39.0,Offensive rebound by Team,,3-3,,
10:32.0,M. Smart misses 2-pt shot from 19 ft,,3-3,,
10:31.0,,,3-3,,Defensive rebound by R. Hollis-Jefferson
10:21.0,,,3-6,3,B. Lopez makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
10:04.0,A. Bradley misses 2-pt shot from 17 ft,,3-6,,
10:03.0,,,3-6,,Defensive rebound by R. Hollis-Jefferson
9:57.0,,,3-6,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by J. Crowder,,3-6,,
9:50.0,,,3-6,,Personal foul by R. Foye (drawn by A. Johnson)
9:50.0,A. Johnson makes free throw 1 of 2,1,4-6,,
9:50.0,A. Johnson makes free throw 2 of 2,1,5-6,,
9:37.0,,,5-6,,B. Lopez misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by A. Horford,,5-6,,
9:28.0,Turnover by A. Bradley (bad pass; steal by C. LeVert),,5-6,,
9:24.0,,,5-6,,Shooting foul by M. Smart (drawn by C. LeVert)
9:24.0,,,5-7,1,C. LeVert makes free throw 1 of 2
9:24.0,,,5-8,1,C. LeVert makes free throw 2 of 2
9:08.0,A. Horford makes 2-pt shot from 9 ft,2,7-8,,
8:54.0,,,7-8,,B. Lopez misses 2-pt shot from 7 ft
8:53.0,Defensive rebound by A. Bradley,,7-8,,
8:38.0,A. Horford misses 2-pt shot from 22 ft,,7-8,,
8:37.0,,,7-8,,Defensive rebound by J. Lin
8:31.0,,,7-10,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin)
8:12.0,A. Horford misses 2-pt shot from 16 ft,,7-10,,
8:11.0,,,7-10,,Defensive rebound by B. Lopez
