time,Toronto,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. N. Vucevic (D. Carroll gains possession),,,,Jump ball: J. Valanciunas vs. N. Vucevic (D. Carroll gains possession)
11:40.0,J. Valanciunas makes 2-pt shot from 7 ft,2,2-0,,
11:26.0,,,2-3,3,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton)
11:07.0,P. Patterson misses 3-pt shot from 24 ft (block by S. Ibaka),,2-3,,
11:04.0,Offensive rebound by K. Lowry,,2-3,,
11:02.0,D. Carroll misses 2-pt shot from 19 ft,,2-3,,
11:01.0,,,2-3,,Defensive rebound by S. Ibaka
10:57.0,,,2-3,,Shooting foul by N. Powell (drawn by E. Fournier)
10:57.0,,,2-3,,E. Fournier misses free throw 1 of 2
10:57.0,,,2-3,,Offensive rebound by Team
10:57.0,,,2-4,1,E. Fournier makes free throw 2 of 2
10:43.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,4-4,,
10:26.0,,,4-6,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Fournier)
10:11.0,K. Lowry misses 3-pt shot from 26 ft,,4-6,,
10:10.0,Offensive rebound by N. Powell,,4-6,,
9:51.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,6-6,,
9:33.0,,,6-6,,N. Vucevic misses 2-pt shot from 13 ft
9:32.0,,,6-6,,Offensive rebound by E. Fournier
9:18.0,,,6-9,3,S. Ibaka makes 3-pt shot from 27 ft (assist by N. Vucevic)
9:06.0,Offensive foul by K. Lowry,,6-9,,
9:06.0,Turnover by K. Lowry (offensive foul),,6-9,,
8:49.0,,,6-9,,Turnover by N. Vucevic (bad pass; steal by D. Carroll)
8:39.0,N. Powell makes 2-pt shot at rim,2,8-9,,
8:30.0,,,8-9,,E. Payton misses 2-pt shot from 2 ft (block by P. Patterson)
8:28.0,,,8-9,,Offensive rebound by S. Ibaka
8:28.0,,,8-11,2,S. Ibaka makes 2-pt shot at rim
8:18.0,,,8-11,,Personal foul by S. Ibaka (drawn by J. Valanciunas)
8:09.0,N. Powell makes 3-pt shot from 26 ft (assist by K. Lowry),3,11-11,,
7:50.0,,,11-13,2,S. Ibaka makes 2-pt shot from 8 ft (assist by N. Vucevic)
7:40.0,K. Lowry makes 2-pt shot from 2 ft,2,13-13,,
7:14.0,,,13-13,,E. Fournier misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by J. Valanciunas,,13-13,,
7:05.0,Toronto full timeout,,13-13,,
6:56.0,Shooting foul by N. Vucevic (drawn by J. Valanciunas),,13-13,,
6:56.0,J. Valanciunas makes free throw 1 of 2,1,14-13,,
6:56.0,J. Valanciunas misses free throw 2 of 2,,14-13,,
6:54.0,,,14-13,,Defensive rebound by N. Vucevic
6:37.0,,,14-13,,Turnover by N. Vucevic (back court)
6:18.0,N. Powell misses 2-pt shot from 14 ft,,14-13,,
6:17.0,,,14-13,,Defensive rebound by S. Ibaka
5:56.0,,,14-13,,N. Vucevic misses 2-pt shot from 19 ft
