time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (K. Durant gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (K. Durant gains possession)
11:41.0,,,0-2,2,S. Curry makes 2-pt shot from 3 ft (assist by D. Green)
11:24.0,K. Love misses 2-pt shot from 13 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by K. Durant
11:17.0,,,0-5,3,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant)
11:02.0,Turnover by T. Thompson (bad pass; steal by D. Green),,0-5,,
10:56.0,,,0-5,,S. Curry misses 3-pt shot from 30 ft
10:56.0,,,0-5,,Offensive rebound by D. Green
10:40.0,,,0-5,,K. Durant misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by I. Shumpert,,0-5,,
10:32.0,L. James misses 2-pt shot from 19 ft,,0-5,,
10:31.0,,,0-5,,Defensive rebound by Z. Pachulia
10:27.0,,,0-7,2,K. Durant makes 2-pt shot from 1 ft (assist by D. Green)
10:27.0,Cleveland full timeout,,0-7,,
10:15.0,I. Shumpert misses 3-pt shot from 24 ft,,0-7,,
10:14.0,,,0-7,,Defensive rebound by S. Curry
10:03.0,,,0-7,,S. Curry misses 3-pt shot from 23 ft
10:03.0,Defensive rebound by K. Irving,,0-7,,
9:56.0,K. Irving makes 2-pt shot from 2 ft,2,2-7,,
9:43.0,Personal foul by K. Irving (drawn by Z. Pachulia),,2-7,,
9:38.0,,,2-7,,Z. Pachulia misses 2-pt shot from 3 ft
9:38.0,,,2-7,,Offensive rebound by Z. Pachulia
9:38.0,,,2-7,,Z. Pachulia misses 2-pt shot from 3 ft
9:36.0,Defensive rebound by L. James,,2-7,,
9:27.0,Turnover by L. James (lost ball; steal by Z. Pachulia),,2-7,,
9:20.0,,,2-7,,K. Thompson misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by K. Irving,,2-7,,
9:12.0,K. Irving misses 3-pt shot from 27 ft (block by D. Green),,2-7,,
9:12.0,,,2-7,,Defensive rebound by Z. Pachulia
9:06.0,,,2-9,2,D. Green makes 2-pt shot from 1 ft (assist by K. Durant)
8:38.0,K. Love misses 2-pt shot from 7 ft (block by K. Durant),,2-9,,
8:37.0,,,2-9,,Defensive rebound by K. Thompson
8:30.0,,,2-9,,S. Curry misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by I. Shumpert,,2-9,,
8:22.0,I. Shumpert makes 2-pt shot from 3 ft,2,4-9,,
8:11.0,,,4-9,,K. Thompson misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by K. Love,,4-9,,
8:00.0,Turnover by K. Irving (lost ball),,4-9,,
7:42.0,,,4-9,,K. Durant misses 2-pt shot from 3 ft (block by T. Thompson)
7:40.0,Defensive rebound by L. James,,4-9,,
7:36.0,L. James misses 2-pt shot from 2 ft,,4-9,,
7:35.0,,,4-9,,Defensive rebound by Z. Pachulia
7:20.0,,,4-9,,K. Thompson misses 2-pt shot from 11 ft
7:20.0,,,4-9,,Offensive rebound by Team
7:20.0,Loose ball foul by K. Irving (drawn by D. Green),,4-9,,
7:20.0,,,4-9,,Golden State full timeout
7:20.0,K. Korver enters the game for K. Irving,,4-9,,
7:04.0,,,4-12,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
6:41.0,K. Korver misses 3-pt shot from 24 ft,,4-12,,
6:41.0,Offensive rebound by K. Love,,4-12,,
6:41.0,K. Love makes 2-pt shot from 10 ft,2,6-12,,
6:41.0,Shooting foul by S. Curry (drawn by K. Love),,6-12,,
6:41.0,K. Love makes free throw 1 of 1,1,7-12,,
6:28.0,,,7-14,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
6:19.0,,,7-14,,Personal foul by K. Thompson (drawn by K. Korver)
6:05.0,T. Thompson makes 2-pt shot from 4 ft,2,9-14,,
5:54.0,,,9-16,2,Z. Pachulia makes 2-pt shot from 6 ft (assist by D. Green)
5:44.0,I. Shumpert misses 3-pt shot from 24 ft,,9-16,,
5:44.0,,,9-16,,Defensive rebound by Z. Pachulia
5:26.0,,,9-19,3,K. Durant makes 3-pt shot from 25 ft
5:09.0,K. Korver makes 3-pt shot from 24 ft (assist by K. Love),3,12-19,,
4:57.0,,,12-19,,S. Curry misses 2-pt shot from 3 ft
4:57.0,,,12-19,,Offensive rebound by Z. Pachulia
4:57.0,,,12-19,,Z. Pachulia misses 2-pt shot from 1 ft
4:57.0,,,12-19,,Offensive rebound by Team
4:57.0,,,12-19,,A. Iguodala enters the game for D. Green
4:54.0,,,12-19,,K. Thompson misses 3-pt shot from 26 ft
4:53.0,Defensive rebound by T. Thompson,,12-19,,
4:41.0,Shooting foul by Z. Pachulia (drawn by T. Thompson),,12-19,,
4:41.0,T. Thompson makes free throw 1 of 2,1,13-19,,
4:41.0,T. Thompson makes free throw 2 of 2,1,14-19,,
4:31.0,Personal foul by K. Love (drawn by Z. Pachulia),,14-19,,
4:31.0,,,14-19,,J. McGee enters the game for Z. Pachulia
4:31.0,C. Frye enters the game for T. Thompson,,14-19,,
