time,Chicago,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Nurkic (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. J. Nurkic (T. Gibson gains possession)
11:41.0,T. Gibson misses 2-pt shot from 7 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Nurkic
11:18.0,,,0-0,,K. Faried misses 2-pt shot from 7 ft
11:18.0,Defensive rebound by R. Rondo,,0-0,,
11:07.0,J. Butler makes 2-pt shot from 19 ft (assist by R. Rondo),2,2-0,,
10:54.0,,,2-0,,W. Barton misses 2-pt shot from 20 ft
10:53.0,Defensive rebound by J. Butler,,2-0,,
10:45.0,Turnover by R. Rondo (bad pass; steal by K. Faried),,2-0,,
10:36.0,,,2-0,,D. Gallinari misses 2-pt shot from 2 ft
10:34.0,,,2-0,,Offensive rebound by K. Faried
10:33.0,,,2-2,2,K. Faried makes 2-pt shot from 3 ft
10:20.0,T. Gibson makes 2-pt shot from 6 ft,2,4-2,,
10:01.0,,,4-2,,W. Barton misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by R. Rondo,,4-2,,
9:50.0,R. Lopez makes 2-pt shot from 17 ft (assist by J. Butler),2,6-2,,
9:35.0,,,6-2,,W. Barton misses 2-pt shot from 3 ft (block by R. Lopez)
9:34.0,,,6-2,,Offensive rebound by W. Barton
9:31.0,,,6-2,,Turnover by W. Barton (bad pass; steal by R. Lopez)
9:16.0,D. Wade misses 2-pt shot from 8 ft,,6-2,,
9:15.0,,,6-2,,Defensive rebound by K. Faried
9:09.0,,,6-2,,W. Barton misses 2-pt shot from 3 ft (block by J. Butler)
9:07.0,Defensive rebound by R. Rondo,,6-2,,
9:01.0,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo),3,9-2,,
9:01.0,,,9-2,,Denver full timeout
8:45.0,Personal foul by D. Wade (drawn by K. Faried),,9-2,,
8:36.0,,,9-5,3,E. Mudiay makes 3-pt shot from 25 ft (assist by J. Nurkic)
8:24.0,D. Wade misses 2-pt shot from 3 ft (block by J. Nurkic),,9-5,,
8:23.0,,,9-5,,Defensive rebound by Team
8:08.0,,,9-5,,W. Barton misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by J. Butler,,9-5,,
7:51.0,J. Butler makes 2-pt shot from 14 ft,2,11-5,,
7:38.0,,,11-7,2,D. Gallinari makes 2-pt shot from 8 ft
7:21.0,R. Rondo makes 3-pt shot from 23 ft (assist by T. Gibson),3,14-7,,
7:04.0,,,14-9,2,D. Gallinari makes 2-pt shot at rim (assist by K. Faried)
6:48.0,R. Lopez misses 2-pt shot from 5 ft,,14-9,,
6:48.0,,,14-9,,Defensive rebound by K. Faried
6:41.0,,,14-9,,Shooting foul by T. Gibson (drawn by K. Faried)
6:41.0,,,14-10,1,K. Faried makes free throw 1 of 2
6:41.0,,,14-10,,K. Faried misses free throw 2 of 2
6:39.0,,,14-10,,Offensive rebound by Team
6:24.0,,,14-10,,J. Nurkic misses 2-pt shot from 6 ft
6:24.0,Defensive rebound by T. Gibson,,14-10,,
6:18.0,R. Rondo misses 2-pt shot from 3 ft (block by J. Nurkic),,14-10,,
6:18.0,Offensive rebound by Team,,14-10,,
6:01.0,D. Wade makes 3-pt shot from 23 ft (assist by R. Lopez),3,17-10,,
5:39.0,,,17-10,,Turnover by E. Mudiay (bad pass; steal by D. Wade)
5:34.0,D. Wade makes 2-pt shot at rim,2,19-10,,
5:10.0,,,19-12,2,D. Gallinari makes 2-pt shot from 2 ft
4:47.0,R. Rondo makes 2-pt shot from 1 ft,2,21-12,,
4:31.0,,,21-12,,E. Mudiay misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by J. Butler,,21-12,,
4:13.0,T. Gibson makes 2-pt shot from 12 ft (assist by R. Rondo),2,23-12,,
4:13.0,,,23-12,,Denver full timeout
4:13.0,I. Canaan enters the game for T. Gibson,,23-12,,
4:13.0,N. Mirotic enters the game for D. Wade,,23-12,,
4:13.0,D. Valentine enters the game for R. Rondo,,23-12,,
4:13.0,,,23-12,,J. Nelson enters the game for J. Nurkic
4:13.0,,,23-12,,N. Jokic enters the game for K. Faried
4:13.0,,,23-12,,W. Chandler enters the game for E. Mudiay
4:13.0,,,23-12,,J. Murray enters the game for W. Barton
3:47.0,,,23-14,2,J. Murray makes 2-pt shot from 22 ft (assist by J. Nelson)
3:26.0,Shooting foul by D. Gallinari (drawn by J. Butler),,23-14,,
3:26.0,J. Butler misses free throw 1 of 2,,23-14,,
3:26.0,Offensive rebound by Team,,23-14,,
3:26.0,J. Butler makes free throw 2 of 2,1,24-14,,
3:08.0,,,24-14,,W. Chandler misses 2-pt shot from 6 ft
3:07.0,Defensive rebound by N. Mirotic,,24-14,,
2:52.0,J. Butler makes 2-pt shot from 3 ft (assist by D. Valentine),2,26-14,,
2:30.0,,,26-17,3,J. Nelson makes 3-pt shot from 26 ft (assist by W. Chandler)
2:03.0,R. Lopez makes 2-pt shot from 7 ft,2,28-17,,
1:43.0,,,28-17,,W. Chandler misses 2-pt shot from 5 ft
1:42.0,Defensive rebound by R. Lopez,,28-17,,
1:29.0,N. Mirotic makes 3-pt shot from 28 ft (assist by J. Butler),3,31-17,,
1:11.0,,,31-19,2,N. Jokic makes 2-pt shot from 20 ft
0:53.0,N. Mirotic misses 2-pt shot from 15 ft,,31-19,,
0:52.0,,,31-19,,Defensive rebound by W. Chandler
0:40.0,,,31-19,,J. Nelson misses 2-pt shot from 6 ft
0:39.0,Defensive rebound by R. Lopez,,31-19,,
0:30.0,R. Lopez misses 2-pt shot from 20 ft,,31-19,,
0:29.0,,,31-19,,Defensive rebound by J. Nelson
0:20.0,,,31-19,,W. Chandler misses 3-pt shot from 25 ft
0:19.0,Defensive rebound by J. Butler,,31-19,,
0:04.0,,,31-19,,Personal take foul by J. Murray (drawn by J. Butler)
0:04.0,Chicago full timeout,,31-19,,
0:04.0,,,31-19,,J. Hernangomez enters the game for D. Gallinari
0:01.0,J. Butler misses 3-pt shot from 27 ft,,31-19,,
0:00.0,Offensive rebound by Team,,31-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,31-21,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
11:28.0,B. Portis misses 2-pt shot from 3 ft,,31-21,,
11:27.0,,,31-21,,Defensive rebound by N. Jokic
11:19.0,,,31-21,,W. Chandler misses 2-pt shot from 5 ft
11:17.0,,,31-21,,Offensive rebound by W. Chandler
11:17.0,,,31-23,2,W. Chandler makes 2-pt shot from 2 ft
10:56.0,D. Wade misses 2-pt shot from 4 ft,,31-23,,
10:53.0,,,31-23,,Defensive rebound by J. Nelson
10:51.0,,,31-25,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by J. Murray)
10:51.0,,,31-25,,Shooting foul by N. Mirotic
10:51.0,,,31-26,1,J. Hernangomez makes free throw 1 of 1
10:31.0,D. Wade misses 2-pt shot from 16 ft,,31-26,,
10:31.0,,,31-26,,Defensive rebound by J. Murray
10:21.0,,,31-26,,W. Chandler misses 2-pt shot from 20 ft
10:20.0,,,31-26,,Offensive rebound by J. Murray
10:19.0,,,31-28,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Murray)
10:18.0,Chicago full timeout,,31-28,,
10:02.0,I. Canaan misses 3-pt shot from 25 ft,,31-28,,
10:01.0,,,31-28,,Defensive rebound by W. Chandler
9:55.0,Personal foul by N. Mirotic (drawn by N. Jokic),,31-28,,
9:55.0,R. Rondo enters the game for D. Valentine,,31-28,,
9:46.0,,,31-30,2,J. Murray makes 2-pt shot from 14 ft (assist by J. Nelson)
9:37.0,B. Portis misses 2-pt shot from 1 ft (block by J. Nelson),,31-30,,
9:35.0,,,31-30,,Defensive rebound by N. Jokic
9:32.0,,,31-32,2,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic)
9:23.0,I. Canaan misses 3-pt shot from 25 ft,,31-32,,
9:22.0,,,31-32,,Defensive rebound by J. Nelson
9:13.0,,,31-35,3,J. Murray makes 3-pt shot from 26 ft (assist by J. Nelson)
9:12.0,Chicago full timeout,,31-35,,
9:12.0,T. Gibson enters the game for B. Portis,,31-35,,
8:58.0,R. Rondo misses 3-pt shot from 23 ft,,31-35,,
8:56.0,Offensive rebound by D. Wade,,31-35,,
8:53.0,D. Wade misses 2-pt shot from 8 ft,,31-35,,
8:52.0,,,31-35,,Defensive rebound by N. Jokic
8:46.0,,,31-38,3,J. Nelson makes 3-pt shot from 25 ft
8:40.0,Turnover by N. Mirotic (bad pass; steal by W. Chandler),,31-38,,
8:30.0,,,31-41,3,J. Murray makes 3-pt shot from 26 ft (assist by J. Hernangomez)
8:08.0,D. Wade makes 3-pt shot from 23 ft (assist by N. Mirotic),3,34-41,,
7:51.0,,,34-43,2,J. Murray makes 2-pt shot from 6 ft
7:51.0,,,34-43,,Shooting foul by I. Canaan (drawn by J. Murray)
7:51.0,,,34-44,1,J. Murray makes free throw 1 of 1
7:51.0,J. Butler enters the game for I. Canaan,,34-43,,
7:40.0,J. Butler makes 2-pt shot from 2 ft (assist by D. Wade),2,36-44,,
7:40.0,Shooting foul by N. Jokic (drawn by J. Butler),,36-44,,
7:40.0,J. Butler makes free throw 1 of 1,1,37-44,,
7:27.0,,,37-44,,J. Murray misses 3-pt shot from 25 ft
7:26.0,,,37-44,,Offensive rebound by Team
7:26.0,Loose ball foul by D. Wade,,37-44,,
7:18.0,,,37-44,,Shooting foul by T. Gibson (drawn by N. Jokic)
7:18.0,,,37-45,1,N. Jokic makes free throw 1 of 2
7:18.0,,,37-46,1,N. Jokic makes free throw 2 of 2
7:08.0,D. Wade makes 2-pt shot from 8 ft,2,39-46,,
6:53.0,,,39-48,2,J. Nelson makes 2-pt shot from 1 ft (assist by N. Jokic)
6:42.0,N. Mirotic makes 2-pt shot from 1 ft (assist by T. Gibson),2,41-48,,
6:42.0,Shooting foul by J. Hernangomez (drawn by N. Mirotic),,41-48,,
6:42.0,N. Mirotic makes free throw 1 of 1,1,42-48,,
6:17.0,,,42-48,,J. Murray misses 2-pt shot from 3 ft (block by N. Mirotic)
6:15.0,Defensive rebound by T. Gibson,,42-48,,
6:06.0,N. Mirotic misses 2-pt shot from 3 ft (block by J. Hernangomez),,42-48,,
6:04.0,Offensive rebound by T. Gibson,,42-48,,
6:03.0,T. Gibson makes 2-pt shot at rim,2,44-48,,
5:51.0,,,44-48,,Turnover by J. Nelson (bad pass; steal by N. Mirotic)
5:46.0,N. Mirotic makes 2-pt shot from 3 ft (assist by D. Wade),2,46-48,,
5:46.0,,,46-48,,Denver full timeout
5:46.0,D. Valentine enters the game for D. Wade,,46-48,,
5:46.0,,,46-48,,J. Nurkic enters the game for J. Nelson
5:46.0,,,46-48,,E. Mudiay enters the game for N. Jokic
5:46.0,,,46-48,,D. Gallinari enters the game for J. Murray
5:46.0,,,46-48,,W. Barton enters the game for J. Hernangomez
5:29.0,,,46-50,2,W. Chandler makes 2-pt shot from 2 ft (assist by E. Mudiay)
5:17.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,48-50,,
4:56.0,,,48-50,,W. Chandler misses 2-pt shot from 10 ft (block by R. Rondo)
4:54.0,Defensive rebound by D. Valentine,,48-50,,
4:50.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Butler),2,50-50,,
4:35.0,,,50-50,,D. Gallinari misses 2-pt shot from 22 ft
4:35.0,Defensive rebound by D. Valentine,,50-50,,
4:29.0,,,50-50,,Personal foul by D. Gallinari (drawn by T. Gibson)
4:29.0,R. Lopez enters the game for N. Mirotic,,50-50,,
4:12.0,T. Gibson misses 2-pt shot from 7 ft,,50-50,,
4:11.0,,,50-50,,Defensive rebound by J. Nurkic
4:09.0,,,50-52,2,W. Chandler makes 2-pt shot from 3 ft
4:09.0,,,50-52,,Shooting foul by R. Lopez (drawn by W. Chandler)
4:09.0,,,50-53,1,W. Chandler makes free throw 1 of 1
3:53.0,J. Butler misses 3-pt shot from 23 ft,,50-53,,
3:51.0,,,50-53,,Defensive rebound by W. Barton
3:46.0,,,50-53,,W. Barton misses 2-pt shot from 6 ft
3:45.0,,,50-53,,Offensive rebound by Team
3:32.0,,,50-56,3,W. Chandler makes 3-pt shot from 27 ft (assist by E. Mudiay)
3:15.0,R. Rondo makes 2-pt shot from 18 ft,2,52-56,,
3:04.0,,,52-56,,Turnover by E. Mudiay (traveling)
2:51.0,R. Rondo misses 2-pt shot from 5 ft,,52-56,,
2:51.0,,,52-56,,Defensive rebound by J. Nurkic
2:43.0,,,52-56,,W. Chandler misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by D. Valentine,,52-56,,
2:35.0,D. Valentine misses 3-pt shot from 24 ft,,52-56,,
2:33.0,Offensive rebound by T. Gibson,,52-56,,
2:31.0,T. Gibson makes 2-pt shot from 2 ft,2,54-56,,
2:15.0,,,54-56,,W. Chandler misses 2-pt shot from 2 ft
2:13.0,,,54-56,,Offensive rebound by W. Chandler
2:13.0,,,54-56,,W. Chandler misses 2-pt shot at rim
2:10.0,,,54-56,,Offensive rebound by W. Chandler
2:10.0,,,54-58,2,W. Chandler makes 2-pt shot at rim
1:48.0,J. Butler misses 2-pt shot from 17 ft,,54-58,,
1:48.0,,,54-58,,Defensive rebound by J. Nurkic
1:40.0,,,54-58,,Turnover by J. Nurkic (lost ball)
1:40.0,Official timeout,,54-58,,
1:40.0,D. Wade enters the game for D. Valentine,,54-58,,
1:25.0,J. Butler misses 2-pt shot from 20 ft,,54-58,,
1:24.0,,,54-58,,Defensive rebound by J. Nurkic
1:10.0,,,54-58,,W. Barton misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by R. Rondo,,54-58,,
1:00.0,J. Butler makes 2-pt shot from 7 ft,2,56-58,,
0:39.0,,,56-60,2,J. Nurkic makes 2-pt shot from 3 ft (assist by E. Mudiay)
0:33.0,R. Rondo makes 2-pt shot from 17 ft,2,58-60,,
0:16.0,,,58-60,,E. Mudiay misses 2-pt shot from 11 ft
0:15.0,Defensive rebound by T. Gibson,,58-60,,
0:15.0,,,58-60,,Loose ball foul by J. Nurkic (drawn by T. Gibson)
0:15.0,N. Mirotic enters the game for R. Lopez,,58-60,,
0:15.0,,,58-60,,J. Murray enters the game for D. Gallinari
