time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. H. Whiteside (M. Williams gains possession),,,,Jump ball: R. Hibbert vs. H. Whiteside (M. Williams gains possession)
11:43.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by H. Whiteside
11:30.0,,,0-0,,D. Waiters misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by R. Hibbert,,0-0,,
11:13.0,Turnover by N. Batum (bad pass; steal by G. Dragic),,0-0,,
11:09.0,,,0-0,,G. Dragic misses 2-pt shot from 4 ft (block by M. Kidd-Gilchrist)
11:08.0,,,0-0,,Offensive rebound by Team
11:04.0,,,0-0,,D. Waiters misses 2-pt shot from 3 ft
11:03.0,,,0-0,,Offensive rebound by H. Whiteside
11:02.0,,,0-2,2,H. Whiteside makes 2-pt shot from 3 ft
11:02.0,,,0-2,,Shooting foul by R. Hibbert (drawn by H. Whiteside)
11:02.0,,,0-3,1,H. Whiteside makes free throw 1 of 1
10:45.0,K. Walker misses 2-pt shot from 16 ft,,0-3,,
10:44.0,Offensive rebound by Team,,0-3,,
10:39.0,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker),2,2-3,,
10:20.0,,,2-6,3,G. Dragic makes 3-pt shot from 25 ft (assist by D. Waiters)
10:03.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,2-6,,
10:02.0,,,2-6,,Defensive rebound by H. Whiteside
9:56.0,,,2-6,,D. Waiters misses 2-pt shot from 21 ft
9:55.0,Defensive rebound by M. Williams,,2-6,,
9:40.0,R. Hibbert misses 2-pt shot from 10 ft,,2-6,,
9:39.0,,,2-6,,Defensive rebound by D. Waiters
9:30.0,Def 3 sec tech foul by R. Hibbert,,2-6,,
9:30.0,,,2-7,1,G. Dragic makes technical free throw
9:21.0,,,2-10,3,L. Babbitt makes 3-pt shot from 25 ft (assist by G. Dragic)
8:59.0,Turnover by N. Batum (bad pass),,2-10,,
8:49.0,,,2-10,,G. Dragic misses 2-pt shot from 14 ft
8:48.0,Defensive rebound by M. Williams,,2-10,,
8:40.0,K. Walker misses 2-pt shot from 14 ft,,2-10,,
