time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. C. Zeller (N. Batum gains possession),,,,Jump ball: T. Maker vs. C. Zeller (N. Batum gains possession)
11:45.0,,,0-0,,N. Batum misses 2-pt shot from 13 ft
11:44.0,Defensive rebound by T. Maker,,0-0,,
11:26.0,T. Snell makes 2-pt shot at rim (assist by T. Maker),2,2-0,,
11:06.0,,,2-2,2,K. Walker makes 2-pt shot at rim (assist by M. Williams)
10:52.0,M. Brogdon makes 2-pt shot from 16 ft (assist by T. Maker),2,4-2,,
10:29.0,,,4-2,,N. Batum misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by G. Antetokounmpo,,4-2,,
10:22.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-2,,
10:03.0,,,6-2,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by T. Snell,,6-2,,
9:55.0,Turnover by T. Snell (bad pass),,6-2,,
9:36.0,,,6-2,,M. Williams misses 3-pt shot from 23 ft
9:35.0,Defensive rebound by M. Brogdon,,6-2,,
9:30.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Maker),,6-2,,
9:30.0,T. Maker misses free throw 1 of 2,,6-2,,
9:30.0,Offensive rebound by Team,,6-2,,
9:30.0,T. Maker misses free throw 2 of 2,,6-2,,
9:29.0,,,6-2,,Defensive rebound by M. Kidd-Gilchrist
9:08.0,,,6-2,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by T. Maker)
9:07.0,Defensive rebound by K. Middleton,,6-2,,
8:52.0,T. Snell makes 2-pt shot from 10 ft,2,8-2,,
8:38.0,,,8-4,2,N. Batum makes 2-pt shot from 1 ft (assist by K. Walker)
8:28.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Batum),,8-4,,
8:05.0,,,8-4,,Turnover by M. Kidd-Gilchrist (bad pass)
7:54.0,T. Snell makes 3-pt shot from 24 ft (assist by M. Brogdon),3,11-4,,
7:46.0,,,11-4,,Charlotte full timeout
7:40.0,,,11-6,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
7:23.0,K. Middleton misses 3-pt shot from 24 ft,,11-6,,
7:22.0,,,11-6,,Defensive rebound by K. Walker
7:11.0,,,11-6,,N. Batum misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
7:11.0,,,11-6,,Offensive rebound by M. Kidd-Gilchrist
7:11.0,,,11-6,,Shooting foul by T. Maker (drawn by M. Kidd-Gilchrist)
7:11.0,,,11-7,1,M. Kidd-Gilchrist makes free throw 1 of 2
7:11.0,,,11-8,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:51.0,Shooting foul by M. Kidd-Gilchrist (drawn by K. Middleton),,11-8,,
6:51.0,K. Middleton makes free throw 1 of 2,1,12-8,,
6:51.0,K. Middleton makes free throw 2 of 2,1,13-8,,
6:35.0,,,13-8,,Shooting foul by T. Maker (drawn by M. Kidd-Gilchrist)
6:35.0,,,13-9,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:35.0,,,13-9,,M. Kidd-Gilchrist misses free throw 2 of 2
6:35.0,G. Monroe enters the game for T. Maker,,13-9,,
6:33.0,Defensive rebound by G. Monroe,,13-9,,
6:20.0,T. Snell makes 2-pt shot at rim (assist by G. Monroe),2,15-9,,
6:09.0,,,15-9,,K. Walker misses 3-pt shot from 25 ft
6:06.0,,,15-9,,Offensive rebound by M. Kidd-Gilchrist
6:06.0,,,15-9,,Shooting foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist)
6:06.0,,,15-10,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:06.0,,,15-10,,M. Kidd-Gilchrist misses free throw 2 of 2
6:06.0,,,15-10,,F. Kaminsky enters the game for M. Williams
6:05.0,Defensive rebound by G. Monroe,,15-10,,
5:41.0,M. Brogdon makes 3-pt shot from 23 ft (assist by G. Monroe),3,18-10,,
5:25.0,,,18-10,,Turnover by C. Zeller (lost ball; steal by M. Brogdon)
5:18.0,T. Snell misses 3-pt shot from 25 ft,,18-10,,
5:17.0,,,18-10,,Defensive rebound by F. Kaminsky
5:03.0,,,18-10,,K. Walker misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by M. Brogdon,,18-10,,
4:53.0,T. Snell makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,21-10,,
4:45.0,,,21-10,,Charlotte full timeout
4:45.0,J. Terry enters the game for K. Middleton,,21-10,,
4:45.0,M. Dellavedova enters the game for M. Brogdon,,21-10,,
4:45.0,,,21-10,,M. Belinelli enters the game for N. Batum
4:33.0,,,21-12,2,C. Zeller makes 2-pt shot from 1 ft (assist by M. Belinelli)
4:21.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova),2,23-12,,
4:03.0,,,23-12,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
4:02.0,Defensive rebound by J. Terry,,23-12,,
3:52.0,G. Monroe misses 2-pt shot from 8 ft (block by C. Zeller),,23-12,,
3:50.0,,,23-12,,Defensive rebound by M. Kidd-Gilchrist
3:42.0,,,23-12,,F. Kaminsky misses 3-pt shot from 25 ft
3:41.0,Defensive rebound by G. Monroe,,23-12,,
3:30.0,Turnover by M. Dellavedova (bad pass),,23-12,,
3:22.0,Personal foul by J. Terry (drawn by M. Belinelli),,23-12,,
3:22.0,,,23-12,,M. Williams enters the game for C. Zeller
3:22.0,,,23-12,,B. Weber enters the game for K. Walker
3:15.0,,,23-12,,M. Belinelli misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by J. Terry,,23-12,,
3:02.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,25-12,,
2:43.0,,,25-14,2,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Kidd-Gilchrist)
2:14.0,M. Dellavedova makes 3-pt shot from 26 ft (assist by J. Terry),3,28-14,,
2:05.0,Personal foul by M. Dellavedova (drawn by B. Weber),,28-14,,
2:05.0,Milwaukee full timeout,,28-14,,
2:05.0,,,28-15,1,B. Weber makes free throw 1 of 2
2:05.0,,,28-16,1,B. Weber makes free throw 2 of 2
2:05.0,,,28-14,,N. Batum enters the game for M. Kidd-Gilchrist
2:05.0,M. Teletovic enters the game for G. Antetokounmpo,,28-14,,
1:51.0,T. Snell misses 2-pt shot from 24 ft,,28-16,,
1:50.0,,,28-16,,Defensive rebound by B. Weber
1:42.0,Personal foul by M. Teletovic (drawn by M. Belinelli),,28-16,,
1:42.0,,,28-17,1,M. Belinelli makes free throw 1 of 2
1:42.0,,,28-18,1,M. Belinelli makes free throw 2 of 2
1:42.0,,,28-17,,J. Lamb enters the game for N. Batum
1:42.0,K. Middleton enters the game for T. Snell,,28-17,,
1:31.0,G. Monroe makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,30-18,,
1:31.0,Shooting foul by M. Williams (drawn by G. Monroe),,30-18,,
1:31.0,G. Monroe makes free throw 1 of 1,1,31-18,,
1:17.0,,,31-20,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by M. Belinelli)
1:02.0,K. Middleton misses 2-pt shot from 6 ft,,31-20,,
1:01.0,,,31-20,,Defensive rebound by M. Williams
0:53.0,,,31-20,,Shooting foul by M. Dellavedova (drawn by J. Lamb)
0:53.0,,,31-22,2,J. Lamb makes 2-pt shot from 8 ft (assist by F. Kaminsky)
0:53.0,,,31-22,,J. Lamb misses free throw 1 of 1
0:52.0,Defensive rebound by G. Monroe,,31-22,,
0:39.0,K. Middleton misses 3-pt shot from 24 ft,,31-22,,
0:36.0,Offensive rebound by G. Monroe,,31-22,,
0:36.0,G. Monroe makes 2-pt shot from 1 ft,2,33-22,,
0:13.0,,,33-24,2,J. Lamb makes 2-pt shot from 2 ft
0:00.0,K. Middleton makes 2-pt shot from 18 ft (assist by M. Dellavedova),2,35-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Teletovic makes 2-pt shot at rim (assist by G. Monroe),2,37-24,,
11:26.0,,,37-24,,F. Kaminsky misses 2-pt shot from 16 ft
11:25.0,Defensive rebound by M. Teletovic,,37-24,,
11:08.0,G. Monroe makes 2-pt shot from 6 ft,2,39-24,,
10:39.0,,,39-24,,B. Weber misses 2-pt shot from 17 ft
10:38.0,Defensive rebound by G. Monroe,,39-24,,
10:31.0,,,39-24,,Violation by F. Kaminsky (kicked ball)
10:19.0,Turnover by K. Middleton (bad pass; steal by M. Williams),,39-24,,
10:13.0,,,39-26,2,B. Weber makes 2-pt shot from 2 ft (assist by M. Belinelli)
10:00.0,M. Dellavedova makes 3-pt shot from 24 ft,3,42-26,,
9:44.0,,,42-26,,M. Belinelli misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by M. Dellavedova,,42-26,,
9:35.0,J. Terry makes 3-pt shot from 24 ft (assist by G. Monroe),3,45-26,,
9:27.0,,,45-26,,Charlotte full timeout
9:27.0,,,45-26,,K. Walker enters the game for B. Weber
9:27.0,M. Brogdon enters the game for M. Dellavedova,,45-26,,
