time,Golden State,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. Z. Pachulia (K. Olynyk gains possession),,,,Jump ball: A. Johnson vs. Z. Pachulia (K. Olynyk gains possession)
11:43.0,,,0-2,2,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas)
11:26.0,K. Durant makes 2-pt shot from 20 ft (assist by Z. Pachulia),2,2-2,,
11:10.0,,,2-2,,Turnover by I. Thomas (bad pass; steal by S. Curry)
11:06.0,S. Curry misses 2-pt shot from 1 ft,,2-2,,
11:03.0,,,2-2,,Defensive rebound by A. Bradley
10:59.0,,,2-5,3,M. Smart makes 3-pt shot from 25 ft (assist by A. Bradley)
10:40.0,Offensive charge foul by K. Durant,,2-5,,
10:40.0,Turnover by K. Durant (offensive foul),,2-5,,
10:27.0,,,2-5,,K. Olynyk misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by Z. Pachulia,,2-5,,
10:18.0,Z. Pachulia misses 2-pt shot from 1 ft,,2-5,,
10:17.0,,,2-5,,Defensive rebound by K. Olynyk
10:04.0,,,2-5,,A. Johnson misses 2-pt shot from 2 ft (block by S. Curry)
10:03.0,,,2-5,,Offensive rebound by Team
9:59.0,,,2-5,,A. Bradley misses 2-pt shot from 14 ft
9:58.0,Defensive rebound by Z. Pachulia,,2-5,,
9:52.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,5-5,,
9:22.0,,,5-8,3,M. Smart makes 3-pt shot from 25 ft (assist by K. Olynyk)
9:09.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,8-8,,
8:58.0,,,8-8,,K. Olynyk misses 3-pt shot from 25 ft
8:56.0,,,8-8,,Offensive rebound by A. Bradley
8:48.0,,,8-10,2,A. Johnson makes 2-pt shot at rim (assist by A. Bradley)
8:38.0,K. Durant misses 2-pt shot from 13 ft,,8-10,,
8:37.0,,,8-10,,Defensive rebound by I. Thomas
8:25.0,,,8-10,,A. Bradley misses 2-pt shot from 2 ft
8:24.0,Defensive rebound by Z. Pachulia,,8-10,,
8:17.0,Turnover by S. Curry (bad pass; steal by M. Smart),,8-10,,
8:11.0,,,8-10,,M. Smart misses 2-pt shot from 22 ft
8:10.0,Defensive rebound by Z. Pachulia,,8-10,,
7:48.0,D. Green makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,10-10,,
7:40.0,,,10-10,,Turnover by A. Johnson (bad pass; steal by S. Curry)
7:35.0,S. Curry misses 2-pt shot from 2 ft (block by A. Johnson),,10-10,,
7:33.0,Offensive rebound by Z. Pachulia,,10-10,,
7:28.0,S. Curry makes 2-pt shot from 6 ft (assist by Z. Pachulia),2,12-10,,
7:03.0,,,12-12,2,M. Smart makes 2-pt shot from 14 ft (assist by A. Johnson)
6:51.0,Shooting foul by K. Olynyk (drawn by K. Durant),,12-12,,
6:51.0,K. Durant makes free throw 1 of 2,1,13-12,,
6:51.0,K. Durant makes free throw 2 of 2,1,14-12,,
6:38.0,,,14-12,,Turnover by A. Bradley (bad pass; steal by Z. Pachulia)
6:30.0,K. Thompson misses 2-pt shot from 1 ft,,14-12,,
6:29.0,Offensive rebound by Z. Pachulia,,14-12,,
6:29.0,Z. Pachulia misses 2-pt shot from 2 ft,,14-12,,
6:28.0,Offensive rebound by K. Thompson,,14-12,,
6:26.0,K. Thompson misses 2-pt shot from 2 ft,,14-12,,
6:25.0,Offensive rebound by Z. Pachulia,,14-12,,
6:25.0,Z. Pachulia makes 2-pt shot at rim,2,16-12,,
6:18.0,,,16-12,,Boston full timeout
6:18.0,,,16-12,,J. Jerebko enters the game for K. Olynyk
6:06.0,,,16-12,,A. Johnson misses 2-pt shot from 8 ft
6:05.0,Defensive rebound by K. Durant,,16-12,,
5:54.0,K. Thompson makes 2-pt shot from 14 ft (assist by D. Green),2,18-12,,
5:36.0,,,18-12,,M. Smart misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by Z. Pachulia,,18-12,,
5:29.0,K. Durant makes 3-pt shot from 25 ft,3,21-12,,
5:10.0,,,21-14,2,I. Thomas makes 2-pt shot from 13 ft
5:00.0,D. Green misses 3-pt shot from 25 ft,,21-14,,
4:59.0,,,21-14,,Defensive rebound by A. Bradley
4:41.0,,,21-16,2,I. Thomas makes 2-pt shot from 10 ft
4:39.0,Golden State full timeout,,21-16,,
4:39.0,,,21-16,,J. Brown enters the game for A. Bradley
4:39.0,J. McAdoo enters the game for K. Durant,,21-16,,
4:39.0,A. Iguodala enters the game for Z. Pachulia,,21-16,,
4:26.0,Turnover by K. Thompson (lost ball; steal by M. Smart),,21-16,,
4:10.0,,,21-16,,J. Brown misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by J. McAdoo,,21-16,,
4:04.0,A. Iguodala makes 2-pt shot from 1 ft (assist by J. McAdoo),2,23-16,,
3:48.0,,,23-16,,Turnover by M. Smart (bad pass)
3:48.0,P. McCaw enters the game for K. Thompson,,23-16,,
3:36.0,A. Iguodala makes 2-pt shot at rim (assist by D. Green),2,25-16,,
3:13.0,,,25-16,,I. Thomas misses 3-pt shot from 25 ft
3:11.0,,,25-16,,Offensive rebound by A. Johnson
3:11.0,,,25-18,2,A. Johnson makes 2-pt shot at rim
3:02.0,S. Curry misses 3-pt shot from 26 ft,,25-18,,
3:01.0,,,25-18,,Defensive rebound by J. Jerebko
2:54.0,,,25-18,,Shooting foul by D. Green (drawn by I. Thomas)
2:54.0,,,25-19,1,I. Thomas makes free throw 1 of 2
2:54.0,,,25-20,1,I. Thomas makes free throw 2 of 2
2:54.0,,,25-19,,T. Rozier enters the game for M. Smart
2:54.0,,,25-19,,T. Zeller enters the game for A. Johnson
2:39.0,S. Curry misses 2-pt shot from 15 ft,,25-20,,
2:37.0,,,25-20,,Defensive rebound by I. Thomas
2:14.0,,,25-23,3,T. Rozier makes 3-pt shot from 26 ft (assist by J. Jerebko)
2:00.0,S. Curry misses 3-pt shot from 26 ft,,25-23,,
1:59.0,,,25-23,,Defensive rebound by T. Rozier
1:47.0,,,25-23,,Offensive foul by J. Jerebko
1:47.0,,,25-23,,Turnover by J. Jerebko (offensive foul)
1:47.0,,,25-23,,A. Bradley enters the game for I. Thomas
1:31.0,D. Green misses 2-pt shot from 8 ft,,25-23,,
1:29.0,Offensive rebound by D. Green,,25-23,,
1:29.0,D. Green misses 2-pt shot from 1 ft,,25-23,,
1:28.0,,,25-23,,Defensive rebound by T. Zeller
1:15.0,K. Thompson enters the game for S. Curry,,25-23,,
1:15.0,K. Durant enters the game for D. Green,,25-23,,
1:08.0,,,25-25,2,T. Zeller makes 2-pt shot from 19 ft (assist by T. Rozier)
0:47.0,K. Durant makes 2-pt shot from 13 ft (assist by K. Thompson),2,27-25,,
0:35.0,Personal foul by P. McCaw (drawn by T. Rozier),,27-25,,
0:30.0,,,27-27,2,T. Zeller makes 2-pt shot from 20 ft (assist by T. Rozier)
0:12.0,J. McAdoo makes 2-pt shot at rim (assist by K. Durant),2,29-27,,
0:00.0,,,29-27,,J. Brown misses 3-pt shot from 25 ft
0:00.0,,,29-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,29-27,,Technical foul by J. Brown
12:00.0,K. Thompson makes technical free throw,1,30-27,,
11:46.0,A. Iguodala misses 2-pt shot from 17 ft,,30-27,,
11:43.0,,,30-27,,Defensive rebound by T. Rozier
11:38.0,,,30-27,,Turnover by T. Rozier (lost ball)
11:19.0,K. Durant makes 2-pt shot from 14 ft,2,32-27,,
11:00.0,,,32-27,,Shooting foul by K. Thompson (drawn by T. Rozier)
11:00.0,,,32-27,,T. Rozier misses free throw 1 of 2
11:00.0,,,32-27,,Offensive rebound by Team
11:00.0,,,32-28,1,T. Rozier makes free throw 2 of 2
10:50.0,Turnover by D. West (bad pass; steal by A. Bradley),,32-28,,
10:44.0,,,32-28,,A. Bradley misses 2-pt shot from 1 ft (block by D. West)
10:42.0,Defensive rebound by K. Thompson,,32-28,,
10:35.0,K. Durant makes 2-pt shot from 16 ft,2,34-28,,
10:15.0,,,34-28,,A. Bradley misses 2-pt shot from 17 ft
10:14.0,Defensive rebound by A. Iguodala,,34-28,,
10:03.0,S. Livingston makes 2-pt shot at rim (assist by K. Durant),2,36-28,,
10:02.0,,,36-28,,Boston full timeout
10:02.0,,,36-28,,G. Green enters the game for J. Brown
9:43.0,,,36-30,2,A. Bradley makes 2-pt shot from 1 ft
9:27.0,Shooting foul by A. Bradley (drawn by K. Durant),,36-30,,
9:27.0,K. Durant misses free throw 1 of 2,,36-30,,
9:27.0,Offensive rebound by Team,,36-30,,
9:27.0,K. Durant misses free throw 2 of 2,,36-30,,
9:27.0,,,36-30,,Defensive rebound by G. Green
9:08.0,,,36-30,,Turnover by A. Bradley (lost ball; steal by S. Livingston)
8:53.0,D. West misses 2-pt shot from 19 ft,,36-30,,
8:52.0,Offensive rebound by Team,,36-30,,
8:52.0,,,36-30,,Loose ball foul by A. Bradley (drawn by S. Livingston)
8:52.0,,,36-30,,J. Jerebko enters the game for T. Zeller
8:49.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Iguodala),2,38-30,,
8:37.0,Personal foul by D. West (drawn by K. Olynyk),,38-30,,
8:37.0,P. McCaw enters the game for A. Iguodala,,38-30,,
8:25.0,,,38-30,,G. Green misses 2-pt shot from 21 ft
8:24.0,Defensive rebound by K. Durant,,38-30,,
8:17.0,Turnover by K. Durant (lost ball; steal by J. Jerebko),,38-30,,
8:12.0,,,38-32,2,A. Bradley makes 2-pt shot at rim (assist by T. Rozier)
7:47.0,Turnover by P. McCaw (bad pass; steal by A. Bradley),,38-32,,
7:39.0,,,38-32,,T. Rozier misses 2-pt shot from 11 ft
