time,Brooklyn,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. K. Towns (G. Dieng gains possession),,,,Jump ball: B. Lopez vs. K. Towns (G. Dieng gains possession)
11:46.0,,,0-2,2,K. Towns makes 2-pt shot from 18 ft (assist by A. Wiggins)
11:33.0,Turnover by B. Lopez (lost ball; steal by G. Dieng),,0-2,,
11:27.0,,,0-2,,K. Towns misses 2-pt shot from 1 ft
11:25.0,Defensive rebound by B. Lopez,,0-2,,
11:21.0,,,0-2,,Personal take foul by R. Rubio (drawn by R. Foye)
11:15.0,B. Lopez makes 2-pt shot from 1 ft (assist by T. Booker),2,2-2,,
11:06.0,,,2-4,2,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns)
11:06.0,,,2-4,,Shooting foul by T. Booker (drawn by A. Wiggins)
11:06.0,,,2-5,1,A. Wiggins makes free throw 1 of 1
10:50.0,S. Dinwiddie misses 2-pt shot from 13 ft,,2-5,,
10:49.0,,,2-5,,Defensive rebound by G. Dieng
10:36.0,,,2-5,,K. Towns misses 2-pt shot from 7 ft
10:35.0,Defensive rebound by T. Booker,,2-5,,
10:29.0,Turnover by T. Booker (lost ball; steal by Z. LaVine),,2-5,,
10:19.0,,,2-7,2,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine)
10:05.0,B. Lopez misses 2-pt shot from 12 ft,,2-7,,
10:04.0,,,2-7,,Defensive rebound by K. Towns
9:49.0,,,2-7,,Turnover by G. Dieng (3 sec)
9:34.0,B. Lopez makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,5-7,,
9:16.0,,,5-9,2,A. Wiggins makes 2-pt shot from 17 ft
9:07.0,Turnover by R. Foye (bad pass; steal by R. Rubio),,5-9,,
9:04.0,Violation by R. Foye (def goaltending),,5-9,,
9:04.0,,,5-11,2,R. Rubio makes 2-pt shot from 1 ft
8:56.0,Turnover by B. Bogdanovic (traveling),,5-11,,
8:40.0,,,5-11,,R. Rubio misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by B. Lopez,,5-11,,
8:21.0,R. Foye misses 3-pt shot from 23 ft (block by Z. LaVine),,5-11,,
8:20.0,,,5-11,,Defensive rebound by K. Towns
8:10.0,,,5-13,2,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio)
8:10.0,Brooklyn full timeout,,5-13,,
7:58.0,B. Lopez misses 2-pt shot from 8 ft,,5-13,,
7:57.0,,,5-13,,Defensive rebound by K. Towns
7:34.0,,,5-13,,G. Dieng misses 2-pt shot from 14 ft
7:33.0,Defensive rebound by T. Booker,,5-13,,
7:24.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by K. Towns),,5-13,,
7:23.0,Offensive rebound by Team,,5-13,,
7:23.0,Turnover by R. Foye (bad pass),,5-13,,
7:12.0,,,5-13,,Shooting foul by T. Booker (drawn by G. Dieng)
7:12.0,,,5-14,1,G. Dieng makes free throw 1 of 2
7:12.0,,,5-15,1,G. Dieng makes free throw 2 of 2
7:02.0,B. Bogdanovic misses 2-pt shot from 11 ft (block by K. Towns),,5-15,,
