time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Okafor (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Okafor (R. Jackson gains possession)
11:47.0,,,0-2,2,R. Jackson makes 2-pt shot from 2 ft
11:25.0,E. Ilyasova misses 2-pt shot from 16 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by A. Drummond
11:13.0,,,0-2,,A. Drummond misses 2-pt shot from 6 ft
11:12.0,,,0-2,,Offensive rebound by M. Morris
11:06.0,,,0-4,2,M. Morris makes 2-pt shot from 10 ft
10:43.0,J. Okafor makes 2-pt shot from 17 ft (assist by E. Ilyasova),2,2-4,,
10:29.0,,,2-7,3,J. Leuer makes 3-pt shot from 26 ft (assist by R. Jackson)
10:29.0,Philadelphia full timeout,,2-7,,
10:11.0,Turnover by J. Okafor (traveling),,2-7,,
10:01.0,,,2-7,,R. Jackson misses 3-pt shot from 26 ft
10:01.0,Defensive rebound by N. Stauskas,,2-7,,
9:45.0,T. McConnell makes 2-pt shot from 1 ft,2,4-7,,
9:33.0,,,4-9,2,K. Caldwell-Pope makes 2-pt shot from 14 ft (assist by R. Jackson)
9:17.0,E. Ilyasova misses 2-pt shot from 5 ft,,4-9,,
9:15.0,,,4-9,,Defensive rebound by A. Drummond
9:05.0,,,4-9,,M. Morris misses 3-pt shot from 24 ft
9:02.0,,,4-9,,Offensive rebound by J. Leuer
8:59.0,,,4-11,2,J. Leuer makes 2-pt shot from 5 ft
8:41.0,N. Stauskas misses 3-pt shot from 27 ft,,4-11,,
8:41.0,,,4-11,,Defensive rebound by R. Jackson
8:28.0,,,4-11,,J. Leuer misses 2-pt shot from 18 ft
8:27.0,Defensive rebound by R. Covington,,4-11,,
8:15.0,N. Stauskas makes 2-pt shot at rim (assist by T. McConnell),2,6-11,,
7:52.0,,,6-11,,M. Morris misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by R. Covington,,6-11,,
7:40.0,T. McConnell misses 2-pt shot at rim,,6-11,,
7:38.0,,,6-11,,Defensive rebound by A. Drummond
7:30.0,,,6-13,2,A. Drummond makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope)
7:21.0,N. Stauskas misses 3-pt shot from 25 ft,,6-13,,
7:21.0,,,6-13,,Defensive rebound by A. Drummond
7:13.0,,,6-13,,K. Caldwell-Pope misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by J. Okafor,,6-13,,
6:58.0,E. Ilyasova misses 3-pt shot from 25 ft,,6-13,,
6:58.0,,,6-13,,Defensive rebound by A. Drummond
6:48.0,,,6-13,,R. Jackson misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by N. Stauskas,,6-13,,
6:39.0,Shooting foul by A. Drummond (drawn by J. Okafor),,6-13,,
6:39.0,J. Okafor makes 2-pt shot from 1 ft (assist by T. McConnell),2,8-13,,
6:39.0,J. Okafor misses free throw 1 of 1,,8-13,,
6:39.0,D. Saric enters the game for E. Ilyasova,,8-13,,
6:38.0,,,8-13,,Defensive rebound by A. Drummond
6:23.0,,,8-15,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Leuer)
6:07.0,D. Saric misses 2-pt shot from 3 ft (block by J. Leuer),,8-15,,
6:05.0,Offensive rebound by D. Saric,,8-15,,
6:02.0,D. Saric makes 2-pt shot from 1 ft,2,10-15,,
5:51.0,,,10-15,,Turnover by M. Morris (bad pass; steal by J. Okafor)
5:44.0,Shooting foul by A. Drummond (drawn by J. Okafor),,10-15,,
5:44.0,J. Okafor misses free throw 1 of 2,,10-15,,
5:44.0,Offensive rebound by Team,,10-15,,
5:44.0,J. Okafor misses free throw 2 of 2,,10-15,,
5:44.0,G. Henderson enters the game for N. Stauskas,,10-15,,
5:44.0,,,10-15,,A. Baynes enters the game for A. Drummond
5:43.0,,,10-15,,Defensive rebound by M. Morris
5:31.0,,,10-15,,Turnover by M. Morris (bad pass; steal by R. Covington)
5:20.0,J. Okafor makes 2-pt shot from 7 ft (assist by R. Covington),2,12-15,,
5:09.0,,,12-15,,K. Caldwell-Pope misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by T. McConnell,,12-15,,
5:03.0,Shooting foul by J. Leuer (drawn by R. Covington),,12-15,,
5:03.0,R. Covington makes free throw 1 of 3,1,13-15,,
5:03.0,R. Covington misses free throw 2 of 3,,13-15,,
5:03.0,Offensive rebound by Team,,13-15,,
5:03.0,R. Covington makes free throw 3 of 3,1,14-15,,
5:03.0,N. Noel enters the game for J. Okafor,,13-15,,
5:03.0,,,13-15,,T. Harris enters the game for M. Morris
4:47.0,,,14-15,,Turnover by T. Harris (lost ball)
4:23.0,T. McConnell misses 2-pt shot from 14 ft,,14-15,,
4:23.0,Offensive rebound by D. Saric,,14-15,,
4:22.0,D. Saric makes 2-pt shot from 1 ft,2,16-15,,
4:06.0,,,16-15,,J. Leuer misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by N. Noel,,16-15,,
3:51.0,Shooting foul by T. Harris (drawn by R. Covington),,16-15,,
3:51.0,R. Covington makes free throw 1 of 2,1,17-15,,
3:51.0,R. Covington makes free throw 2 of 2,1,18-15,,
3:51.0,,,17-15,,I. Smith enters the game for R. Jackson
3:51.0,S. Rodriguez enters the game for T. McConnell,,17-15,,
3:33.0,,,18-17,2,I. Smith makes 2-pt shot from 15 ft
3:33.0,,,18-17,,Shooting foul by D. Saric (drawn by I. Smith)
3:33.0,,,18-18,1,I. Smith makes free throw 1 of 1
3:22.0,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric),3,21-18,,
3:04.0,,,21-18,,Turnover by K. Caldwell-Pope (bad pass)
2:50.0,Turnover by R. Covington (bad pass),,21-18,,
2:50.0,,,21-18,,Detroit full timeout
2:50.0,,,21-18,,S. Johnson enters the game for J. Leuer
2:50.0,,,21-18,,M. Morris enters the game for K. Caldwell-Pope
2:42.0,,,21-18,,I. Smith misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by S. Rodriguez,,21-18,,
2:33.0,R. Covington misses 3-pt shot from 27 ft,,21-18,,
2:32.0,,,21-18,,Defensive rebound by A. Baynes
2:21.0,,,21-18,,T. Harris misses 2-pt shot at rim
2:21.0,Defensive rebound by R. Covington,,21-18,,
2:10.0,D. Saric misses 3-pt shot from 26 ft,,21-18,,
2:10.0,Offensive rebound by Team,,21-18,,
2:02.0,S. Rodriguez misses 3-pt shot from 25 ft (block by I. Smith),,21-18,,
2:02.0,,,21-18,,Defensive rebound by A. Baynes
1:44.0,,,21-18,,Turnover by S. Johnson (bad pass)
1:30.0,G. Henderson makes 2-pt shot from 7 ft,2,23-18,,
1:09.0,,,23-18,,M. Morris misses 2-pt shot from 18 ft
1:09.0,Defensive rebound by N. Noel,,23-18,,
1:00.0,S. Rodriguez misses 2-pt shot from 1 ft,,23-18,,
0:59.0,,,23-18,,Defensive rebound by S. Johnson
0:57.0,,,23-18,,Shooting foul by R. Covington (drawn by S. Johnson)
0:57.0,,,23-19,1,S. Johnson makes free throw 1 of 2
0:57.0,,,23-20,1,S. Johnson makes free throw 2 of 2
0:47.0,G. Henderson makes 2-pt shot from 19 ft (assist by S. Rodriguez),2,25-20,,
0:37.0,,,25-20,,Shooting foul by R. Covington (drawn by T. Harris)
0:37.0,,,25-21,1,T. Harris makes free throw 1 of 2
