time,Phoenix,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. Z. Pachulia (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. Z. Pachulia (M. Chriss gains possession)
11:42.0,E. Bledsoe makes 3-pt shot from 25 ft (assist by M. Chriss),3,3-0,,
11:28.0,,,3-0,,Turnover by S. Curry (bad pass; steal by E. Bledsoe)
11:23.0,P. Tucker makes 2-pt shot at rim,2,5-0,,
11:06.0,,,5-0,,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe)
10:58.0,P. Tucker misses 3-pt shot from 24 ft,,5-0,,
10:57.0,,,5-0,,Defensive rebound by D. Green
10:51.0,,,5-3,3,K. Durant makes 3-pt shot from 23 ft
10:29.0,D. Booker misses 3-pt shot from 28 ft,,5-3,,
10:28.0,Offensive rebound by T. Chandler,,5-3,,
10:25.0,D. Booker misses 3-pt shot from 26 ft,,5-3,,
10:23.0,Offensive rebound by M. Chriss,,5-3,,
10:23.0,M. Chriss makes 2-pt shot from 2 ft,2,7-3,,
10:08.0,,,7-3,,K. Durant misses 2-pt shot from 15 ft
10:08.0,Defensive rebound by E. Bledsoe,,7-3,,
10:00.0,,,7-3,,Personal foul by S. Curry (drawn by E. Bledsoe)
9:49.0,D. Booker misses 3-pt shot from 25 ft,,7-3,,
9:48.0,Offensive rebound by P. Tucker,,7-3,,
9:39.0,E. Bledsoe makes 2-pt shot from 20 ft,2,9-3,,
9:30.0,,,9-5,2,D. Green makes 2-pt shot from 11 ft (assist by Z. Pachulia)
9:30.0,,,9-5,,Shooting foul by M. Chriss (drawn by D. Green)
9:30.0,,,9-6,1,D. Green makes free throw 1 of 1
9:16.0,Turnover by M. Chriss (bad pass; steal by K. Thompson),,9-6,,
9:11.0,,,9-8,2,K. Durant makes 2-pt shot at rim (assist by S. Curry)
8:52.0,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe),2,11-8,,
8:31.0,,,11-10,2,Z. Pachulia makes 2-pt shot from 3 ft
8:17.0,M. Chriss misses 2-pt shot from 18 ft,,11-10,,
8:16.0,,,11-10,,Defensive rebound by K. Thompson
8:09.0,Personal foul by E. Bledsoe (drawn by D. Green),,11-10,,
8:05.0,,,11-10,,Z. Pachulia misses 2-pt shot from 18 ft
8:05.0,Defensive rebound by T. Chandler,,11-10,,
7:56.0,M. Chriss makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,14-10,,
7:56.0,,,14-10,,Golden State full timeout
7:47.0,,,14-10,,Shooting foul by M. Chriss (drawn by D. Green)
7:47.0,,,14-11,1,D. Green makes free throw 1 of 2
7:47.0,,,14-12,1,D. Green makes free throw 2 of 2
7:31.0,D. Booker makes 2-pt shot from 15 ft,2,16-12,,
7:19.0,,,16-15,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
6:53.0,D. Booker misses 2-pt shot from 11 ft,,16-15,,
6:53.0,,,16-15,,Defensive rebound by K. Thompson
6:46.0,,,16-15,,D. Green misses 2-pt shot from 2 ft (block by M. Chriss)
6:44.0,Defensive rebound by E. Bledsoe,,16-15,,
6:30.0,Turnover by E. Bledsoe (bad pass; steal by S. Curry),,16-15,,
6:24.0,,,16-18,3,K. Thompson makes 3-pt shot from 24 ft (assist by K. Durant)
5:57.0,M. Chriss misses 2-pt shot from 1 ft,,16-18,,
5:57.0,,,16-18,,Defensive rebound by Z. Pachulia
5:52.0,Personal foul by T. Chandler (drawn by Z. Pachulia),,16-18,,
5:52.0,,,16-18,,A. Iguodala enters the game for K. Durant
5:52.0,J. Dudley enters the game for M. Chriss,,16-18,,
5:46.0,,,16-18,,K. Thompson misses 2-pt shot from 16 ft
5:45.0,Defensive rebound by P. Tucker,,16-18,,
5:45.0,Technical foul by Team,,16-18,,
5:45.0,,,16-19,1,S. Curry makes technical free throw
5:33.0,,,16-19,,Personal foul by Z. Pachulia (drawn by E. Bledsoe)
5:33.0,E. Bledsoe makes free throw 1 of 2,1,17-19,,
5:33.0,Violation by Team (jump ball),,17-19,,
5:33.0,E. Bledsoe makes free throw 2 of 2,1,18-19,,
5:33.0,A. Len enters the game for T. Chandler,,17-19,,
5:21.0,Personal foul by A. Len (drawn by Z. Pachulia),,18-19,,
5:21.0,,,18-19,,Z. Pachulia misses free throw 1 of 2
5:21.0,,,18-19,,Offensive rebound by Team
5:21.0,,,18-20,1,Z. Pachulia makes free throw 2 of 2
5:21.0,B. Knight enters the game for E. Bledsoe,,18-19,,
4:59.0,Turnover by J. Dudley (bad pass; steal by Z. Pachulia),,18-20,,
4:54.0,,,18-20,,Z. Pachulia misses 2-pt shot from 1 ft
4:54.0,Defensive rebound by J. Dudley,,18-20,,
4:41.0,B. Knight misses 3-pt shot from 26 ft,,18-20,,
4:39.0,,,18-20,,Defensive rebound by S. Curry
4:35.0,,,18-20,,Turnover by Z. Pachulia (3 sec)
4:35.0,,,18-20,,J. McGee enters the game for Z. Pachulia
4:23.0,D. Booker makes 2-pt shot from 11 ft,2,20-20,,
4:14.0,,,20-22,2,S. Curry makes 2-pt shot from 19 ft
3:55.0,B. Knight makes 2-pt shot from 1 ft (assist by A. Len),2,22-22,,
3:43.0,,,22-24,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
3:29.0,B. Knight makes 2-pt shot from 16 ft,2,24-24,,
3:19.0,,,24-24,,D. Green misses 2-pt shot from 3 ft
3:19.0,,,24-24,,Offensive rebound by Team
3:15.0,Loose ball foul by J. Dudley (drawn by J. McGee),,24-24,,
3:15.0,,,24-24,,J. McGee misses free throw 1 of 2
3:15.0,,,24-24,,Offensive rebound by Team
3:15.0,,,24-25,1,J. McGee makes free throw 2 of 2
3:15.0,E. Bledsoe enters the game for D. Booker,,24-24,,
3:15.0,,,24-24,,P. McCaw enters the game for K. Thompson
2:57.0,A. Len makes 2-pt shot at rim (assist by J. Dudley),2,26-25,,
2:43.0,,,26-27,2,A. Iguodala makes 2-pt shot from 19 ft (assist by D. Green)
2:30.0,B. Knight misses 2-pt shot from 16 ft,,26-27,,
2:29.0,,,26-27,,Defensive rebound by D. Green
2:23.0,,,26-30,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
