time,Miami,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. H. Whiteside (E. Davis gains possession),,,,Jump ball: M. Plumlee vs. H. Whiteside (E. Davis gains possession)
11:44.0,,,0-0,,C. McCollum misses 3-pt shot from 24 ft
11:44.0,,,0-0,,Offensive rebound by M. Plumlee
11:33.0,,,0-0,,Turnover by E. Davis (3 sec)
11:25.0,Turnover by R. McGruder (lost ball),,0-0,,
11:10.0,,,0-0,,E. Davis misses 2-pt shot from 9 ft
11:09.0,Defensive rebound by J. McRoberts,,0-0,,
10:58.0,J. McRoberts misses 2-pt shot from 15 ft,,0-0,,
10:58.0,,,0-0,,Defensive rebound by M. Plumlee
10:49.0,,,0-0,,C. McCollum misses 2-pt shot from 14 ft
10:47.0,Defensive rebound by R. McGruder,,0-0,,
10:38.0,W. Ellington makes 2-pt shot from 18 ft (assist by G. Dragic),2,2-0,,
10:17.0,,,2-0,,M. Harkless misses 2-pt shot from 3 ft (block by H. Whiteside)
10:16.0,Defensive rebound by G. Dragic,,2-0,,
10:10.0,G. Dragic makes 2-pt shot from 4 ft,2,4-0,,
9:46.0,,,4-0,,Turnover by Team (shot clock)
9:30.0,H. Whiteside makes 2-pt shot from 17 ft (assist by W. Ellington),2,6-0,,
9:13.0,,,6-0,,D. Lillard misses 2-pt shot from 16 ft
9:13.0,,,6-0,,Offensive rebound by E. Davis
9:10.0,,,6-2,2,E. Davis makes 2-pt shot at rim
8:59.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,8-2,,
8:47.0,,,8-5,3,M. Harkless makes 3-pt shot from 25 ft (assist by D. Lillard)
8:30.0,G. Dragic makes 2-pt shot from 4 ft,2,10-5,,
8:18.0,,,10-7,2,D. Lillard makes 2-pt shot from 12 ft
7:58.0,G. Dragic misses 2-pt shot from 11 ft,,10-7,,
7:58.0,,,10-7,,Defensive rebound by E. Davis
7:49.0,,,10-7,,D. Lillard misses 2-pt shot from 17 ft
7:47.0,Defensive rebound by Team,,10-7,,
7:34.0,W. Ellington makes 2-pt shot from 19 ft (assist by G. Dragic),2,12-7,,
7:18.0,,,12-7,,M. Harkless misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by G. Dragic,,12-7,,
7:08.0,,,12-7,,Personal foul by M. Harkless (drawn by R. McGruder)
6:53.0,H. Whiteside makes 2-pt shot from 16 ft,2,14-7,,
6:35.0,,,14-9,2,M. Plumlee makes 2-pt shot from 4 ft
6:23.0,G. Dragic misses 2-pt shot from 5 ft,,14-9,,
6:22.0,Offensive rebound by H. Whiteside,,14-9,,
6:22.0,H. Whiteside makes 2-pt shot from 1 ft,2,16-9,,
6:21.0,,,16-9,,Portland full timeout
6:13.0,,,16-11,2,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard)
5:56.0,J. McRoberts makes 2-pt shot from 2 ft (assist by G. Dragic),2,18-11,,
5:49.0,,,18-11,,Turnover by C. McCollum (lost ball; steal by J. McRoberts)
5:38.0,J. McRoberts makes 3-pt shot from 24 ft (assist by G. Dragic),3,21-11,,
5:18.0,,,21-11,,E. Davis misses 2-pt shot from 4 ft (block by H. Whiteside)
5:17.0,Defensive rebound by G. Dragic,,21-11,,
5:08.0,H. Whiteside makes 2-pt shot from 21 ft,2,23-11,,
4:45.0,,,23-13,2,M. Plumlee makes 2-pt shot from 7 ft (assist by M. Harkless)
4:34.0,Miami full timeout,,23-13,,
4:34.0,,,23-13,,E. Turner enters the game for M. Harkless
4:34.0,,,23-13,,A. Crabbe enters the game for M. Plumlee
4:34.0,,,23-13,,M. Leonard enters the game for C. McCollum
4:34.0,T. Johnson enters the game for R. McGruder,,23-13,,
4:24.0,W. Ellington misses 3-pt shot from 25 ft,,23-13,,
4:22.0,Offensive rebound by Team,,23-13,,
4:05.0,G. Dragic makes 2-pt shot from 10 ft,2,25-13,,
3:42.0,,,25-15,2,D. Lillard makes 2-pt shot from 1 ft
3:27.0,G. Dragic misses 2-pt shot from 2 ft (block by E. Davis),,25-15,,
3:27.0,,,25-15,,Defensive rebound by M. Leonard
3:27.0,Personal foul by J. McRoberts (drawn by M. Leonard),,25-15,,
3:27.0,J. Johnson enters the game for J. McRoberts,,25-15,,
3:12.0,,,25-15,,E. Turner misses 3-pt shot from 23 ft
3:10.0,,,25-15,,Offensive rebound by E. Davis
3:05.0,,,25-15,,D. Lillard misses 2-pt shot from 10 ft
3:05.0,,,25-15,,Offensive rebound by E. Davis
2:59.0,,,25-15,,M. Leonard misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by T. Johnson,,25-15,,
2:49.0,T. Johnson makes 2-pt shot from 2 ft,2,27-15,,
2:39.0,,,27-15,,E. Turner misses 2-pt shot from 14 ft
2:38.0,Defensive rebound by H. Whiteside,,27-15,,
2:25.0,,,27-15,,Personal foul by D. Lillard (drawn by G. Dragic)
2:25.0,Technical foul by J. Johnson,,27-15,,
2:25.0,,,27-16,1,D. Lillard makes technical free throw
2:25.0,R. McGruder enters the game for W. Ellington,,27-15,,
2:19.0,G. Dragic misses 2-pt shot from 14 ft,,27-16,,
2:18.0,,,27-16,,Defensive rebound by E. Turner
2:12.0,,,27-19,3,A. Crabbe makes 3-pt shot from 25 ft (assist by E. Turner)
1:54.0,Turnover by G. Dragic (bad pass; steal by E. Turner),,27-19,,
1:40.0,,,27-19,,E. Turner misses 2-pt shot from 10 ft
1:39.0,,,27-19,,Offensive rebound by E. Davis
1:39.0,,,27-19,,E. Davis misses 2-pt shot from 2 ft
1:37.0,Defensive rebound by Team,,27-19,,
1:25.0,Shooting foul by A. Crabbe (drawn by H. Whiteside),,27-19,,
1:25.0,H. Whiteside misses free throw 1 of 2,,27-19,,
1:25.0,Offensive rebound by Team,,27-19,,
1:25.0,H. Whiteside makes free throw 2 of 2,1,28-19,,
1:25.0,,,27-19,,C. McCollum enters the game for D. Lillard
1:25.0,,,27-19,,M. Plumlee enters the game for E. Davis
1:11.0,,,28-19,,Shooting foul by T. Johnson (drawn by E. Turner)
1:11.0,,,28-20,1,E. Turner makes free throw 1 of 2
1:11.0,,,28-21,1,E. Turner makes free throw 2 of 2
1:11.0,W. Reed enters the game for H. Whiteside,,28-19,,
0:57.0,T. Johnson misses 2-pt shot from 4 ft (block by C. McCollum),,28-21,,
0:57.0,Offensive rebound by W. Reed,,28-21,,
0:57.0,Shooting foul by E. Turner (drawn by W. Reed),,28-21,,
0:57.0,W. Reed misses free throw 1 of 2,,28-21,,
0:57.0,Offensive rebound by Team,,28-21,,
0:57.0,W. Reed makes free throw 2 of 2,1,29-21,,
0:41.0,,,29-21,,M. Plumlee misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by W. Reed,,29-21,,
0:34.0,Turnover by G. Dragic (bad pass; steal by E. Turner),,29-21,,
0:28.0,,,29-21,,A. Crabbe misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by R. McGruder,,29-21,,
0:06.0,G. Dragic misses 3-pt shot from 24 ft,,29-21,,
0:05.0,,,29-21,,Defensive rebound by E. Turner
0:00.0,,,29-21,,A. Crabbe misses 3-pt shot from 24 ft
0:00.0,,,29-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Johnson misses 2-pt shot from 2 ft,,29-21,,
11:43.0,,,29-21,,Defensive rebound by M. Plumlee
11:30.0,,,29-21,,M. Leonard misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by J. Johnson,,29-21,,
11:22.0,J. Johnson misses 2-pt shot from 1 ft,,29-21,,
11:21.0,,,29-21,,Defensive rebound by M. Plumlee
11:01.0,,,29-23,2,C. McCollum makes 2-pt shot from 14 ft
11:01.0,,,29-23,,Shooting foul by R. McGruder (drawn by C. McCollum)
11:01.0,,,29-24,1,C. McCollum makes free throw 1 of 1
10:43.0,W. Ellington misses 3-pt shot from 25 ft,,29-24,,
10:42.0,,,29-24,,Defensive rebound by E. Turner
10:36.0,,,29-26,2,C. McCollum makes 2-pt shot from 16 ft
10:23.0,Turnover by J. Johnson (bad pass),,29-26,,
10:05.0,,,29-26,,E. Turner misses 2-pt shot from 11 ft
10:05.0,,,29-26,,Offensive rebound by M. Leonard
10:05.0,,,29-26,,M. Leonard misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by T. Johnson,,29-26,,
9:55.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,31-26,,
9:40.0,,,31-26,,M. Plumlee misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by Team,,31-26,,
9:40.0,,,31-26,,Loose ball foul by M. Plumlee (drawn by J. Johnson)
9:25.0,T. Johnson misses 2-pt shot from 12 ft,,31-26,,
9:24.0,,,31-26,,Defensive rebound by M. Leonard
9:16.0,,,31-29,3,A. Crabbe makes 3-pt shot from 23 ft (assist by M. Plumlee)
8:56.0,T. Johnson misses 2-pt shot from 2 ft (block by C. McCollum),,31-29,,
8:56.0,,,31-29,,Defensive rebound by M. Leonard
8:56.0,Personal foul by W. Reed (drawn by M. Leonard),,31-29,,
8:56.0,Technical foul by Team,,31-29,,
8:56.0,Official timeout,,31-29,,
8:56.0,,,31-30,1,C. McCollum makes technical free throw
8:56.0,,,31-29,,N. Vonleh enters the game for M. Plumlee
8:41.0,,,31-30,,C. McCollum misses 3-pt shot from 24 ft
8:40.0,,,31-30,,Offensive rebound by C. McCollum
8:36.0,,,31-30,,C. McCollum misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by Team,,31-30,,
8:34.0,,,31-30,,Personal foul by N. Vonleh (drawn by W. Reed)
8:13.0,W. Ellington misses 2-pt shot from 16 ft,,31-30,,
8:13.0,,,31-30,,Defensive rebound by N. Vonleh
8:01.0,,,31-30,,Shooting foul by W. Reed (drawn by N. Vonleh)
8:01.0,,,31-30,,N. Vonleh misses free throw 1 of 2
8:01.0,,,31-30,,Offensive rebound by Team
8:01.0,,,31-31,1,N. Vonleh makes free throw 2 of 2
7:49.0,W. Reed makes 2-pt shot from 5 ft (assist by T. Johnson),2,33-31,,
7:35.0,,,33-31,,A. Crabbe misses 2-pt shot from 3 ft
7:34.0,Defensive rebound by J. Johnson,,33-31,,
7:23.0,T. Johnson misses 2-pt shot from 23 ft,,33-31,,
7:23.0,,,33-31,,Defensive rebound by N. Vonleh
7:13.0,,,33-34,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner)
7:00.0,W. Ellington makes 2-pt shot from 21 ft,2,35-34,,
6:37.0,,,35-34,,C. McCollum misses 2-pt shot from 19 ft
6:37.0,Defensive rebound by T. Johnson,,35-34,,
6:32.0,T. Johnson misses 2-pt shot from 1 ft (block by E. Turner),,35-34,,
6:31.0,,,35-34,,Defensive rebound by M. Leonard
6:23.0,,,35-34,,Shooting foul by W. Reed (drawn by E. Turner)
6:23.0,,,35-36,2,E. Turner makes 2-pt shot from 8 ft (assist by C. McCollum)
6:23.0,Technical foul by T. Johnson,,35-36,,
6:23.0,,,35-37,1,D. Lillard makes technical free throw
6:23.0,,,35-38,1,E. Turner makes free throw 1 of 1
6:23.0,,,35-36,,D. Lillard enters the game for C. McCollum
6:23.0,H. Whiteside enters the game for W. Reed,,35-36,,
6:23.0,G. Dragic enters the game for T. Johnson,,35-36,,
6:23.0,,,35-37,,M. Harkless enters the game for A. Crabbe
6:19.0,Miami full timeout,,35-38,,
6:05.0,R. McGruder misses 3-pt shot from 25 ft,,35-38,,
6:05.0,,,35-38,,Defensive rebound by E. Turner
5:55.0,,,35-40,2,M. Harkless makes 2-pt shot from 5 ft (assist by E. Turner)
5:35.0,R. McGruder makes 2-pt shot from 2 ft (assist by G. Dragic),2,37-40,,
5:15.0,,,37-40,,D. Lillard misses 2-pt shot from 20 ft
5:14.0,Defensive rebound by H. Whiteside,,37-40,,
5:08.0,G. Dragic makes 2-pt shot from 2 ft,2,39-40,,
4:39.0,Personal foul by R. McGruder (drawn by E. Turner),,39-40,,
4:39.0,,,39-40,,E. Turner misses free throw 1 of 2
4:39.0,,,39-40,,Offensive rebound by Team
4:39.0,,,39-40,,E. Turner misses free throw 2 of 2
4:39.0,T. Johnson enters the game for R. McGruder,,39-40,,
4:39.0,,,39-40,,M. Plumlee enters the game for M. Leonard
4:39.0,,,39-40,,E. Davis enters the game for N. Vonleh
4:38.0,Defensive rebound by G. Dragic,,39-40,,
4:33.0,Turnover by G. Dragic (bad pass; steal by E. Turner),,39-40,,
4:27.0,,,39-40,,Turnover by D. Lillard (bad pass; steal by T. Johnson)
4:21.0,T. Johnson misses 2-pt shot from 1 ft (block by E. Davis),,39-40,,
4:20.0,,,39-40,,Defensive rebound by D. Lillard
4:14.0,,,39-40,,E. Turner misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by G. Dragic,,39-40,,
4:00.0,J. Johnson misses 3-pt shot from 24 ft,,39-40,,
4:00.0,,,39-40,,Defensive rebound by M. Plumlee
3:53.0,,,39-40,,Shooting foul by G. Dragic (drawn by D. Lillard)
3:53.0,,,39-41,1,D. Lillard makes free throw 1 of 3
3:53.0,,,39-42,1,D. Lillard makes free throw 2 of 3
3:53.0,,,39-43,1,D. Lillard makes free throw 3 of 3
3:32.0,W. Ellington misses 3-pt shot from 25 ft,,39-43,,
3:30.0,,,39-43,,Defensive rebound by D. Lillard
3:19.0,,,39-43,,M. Plumlee misses 2-pt shot from 8 ft (block by H. Whiteside)
3:16.0,,,39-43,,Offensive rebound by E. Turner
3:15.0,,,39-43,,Shooting foul by G. Dragic (drawn by M. Harkless)
3:15.0,,,39-44,1,M. Harkless makes free throw 1 of 2
3:15.0,,,39-45,1,M. Harkless makes free throw 2 of 2
2:56.0,T. Johnson misses 3-pt shot from 25 ft,,39-45,,
