time,San Antonio,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Lee,,,,Jump ball: A. Davis vs. D. Lee
12:00.0,Violation by Team (jump ball),,0-0,,
11:42.0,,,0-3,3,S. Hill makes 3-pt shot from 26 ft (assist by A. Davis)
11:13.0,D. Lee misses 2-pt shot from 18 ft,,0-3,,
11:13.0,Offensive rebound by L. Aldridge,,0-3,,
11:13.0,Shooting foul by B. Hield (drawn by L. Aldridge),,0-3,,
11:13.0,L. Aldridge misses free throw 1 of 2,,0-3,,
11:13.0,Offensive rebound by Team,,0-3,,
11:13.0,L. Aldridge makes free throw 2 of 2,1,1-3,,
10:59.0,,,1-3,,Shooting foul by K. Leonard (drawn by A. Davis)
10:59.0,,,1-3,,A. Davis misses free throw 1 of 2
10:59.0,,,1-3,,Offensive rebound by Team
10:59.0,,,1-4,1,A. Davis makes free throw 2 of 2
10:37.0,L. Aldridge misses 2-pt shot from 8 ft,,1-4,,
10:36.0,,,1-4,,Defensive rebound by A. Davis
10:27.0,,,1-4,,Turnover by A. Davis (bad pass; steal by D. Green)
10:12.0,T. Parker makes 2-pt shot from 6 ft,2,3-4,,
9:56.0,,,3-4,,S. Hill misses 2-pt shot from 2 ft
9:55.0,Defensive rebound by L. Aldridge,,3-4,,
9:40.0,K. Leonard misses 3-pt shot from 25 ft,,3-4,,
9:39.0,,,3-4,,Defensive rebound by B. Hield
9:30.0,,,3-4,,B. Hield misses 2-pt shot from 14 ft
9:29.0,Defensive rebound by T. Parker,,3-4,,
9:19.0,T. Parker makes 2-pt shot from 2 ft,2,5-4,,
9:08.0,,,5-4,,Turnover by J. Holiday (lost ball; steal by D. Green)
8:57.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,8-4,,
8:57.0,,,8-4,,New Orleans full timeout
8:44.0,,,8-4,,A. Davis misses 2-pt shot from 6 ft
8:44.0,,,8-4,,Offensive rebound by A. Davis
8:44.0,,,8-4,,Turnover by A. Davis (offensive goaltending)
8:22.0,K. Leonard misses 2-pt shot from 21 ft,,8-4,,
8:21.0,,,8-4,,Defensive rebound by A. Davis
8:08.0,,,8-4,,S. Hill misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by D. Lee,,8-4,,
7:55.0,Turnover by D. Lee (lost ball; steal by J. Holiday),,8-4,,
7:48.0,,,8-4,,S. Hill misses 2-pt shot from 3 ft
7:46.0,,,8-4,,Offensive rebound by B. Hield
7:46.0,,,8-4,,B. Hield misses 2-pt shot from 1 ft
7:43.0,,,8-4,,Offensive rebound by S. Hill
7:43.0,,,8-4,,S. Hill misses 2-pt shot from 3 ft
7:41.0,Defensive rebound by L. Aldridge,,8-4,,
7:32.0,L. Aldridge makes 2-pt shot from 18 ft (assist by T. Parker),2,10-4,,
7:15.0,,,10-6,2,A. Davis makes 2-pt shot at rim (assist by B. Hield)
7:02.0,T. Parker misses 2-pt shot from 19 ft (block by J. Holiday),,10-6,,
7:00.0,,,10-6,,Defensive rebound by S. Hill
6:52.0,,,10-6,,Turnover by S. Hill (bad pass; steal by D. Green)
