time,Utah,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Turner (T. Young gains possession),,,,Jump ball: R. Gobert vs. M. Turner (T. Young gains possession)
11:38.0,,,0-0,,J. Teague misses 3-pt shot from 26 ft
11:38.0,Defensive rebound by R. Gobert,,0-0,,
11:13.0,J. Johnson misses 3-pt shot from 23 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by P. George
10:57.0,,,0-2,2,T. Young makes 2-pt shot from 4 ft (assist by M. Turner)
10:35.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hill),2,2-2,,
10:22.0,,,2-2,,P. George misses 2-pt shot from 20 ft
10:22.0,Defensive rebound by G. Hill,,2-2,,
10:04.0,R. Hood misses 2-pt shot from 19 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by M. Turner
9:48.0,,,2-2,,C. Miles misses 2-pt shot from 18 ft
9:47.0,,,2-2,,Offensive rebound by T. Young
9:34.0,,,2-2,,P. George misses 2-pt shot from 21 ft
9:33.0,,,2-2,,Offensive rebound by T. Young
9:29.0,,,2-5,3,J. Teague makes 3-pt shot from 26 ft (assist by T. Young)
9:10.0,G. Hayward makes 2-pt shot from 2 ft,2,4-5,,
8:55.0,,,4-5,,Shooting foul by R. Hood
8:55.0,,,4-6,1,C. Miles makes free throw 1 of 2
8:55.0,,,4-7,1,C. Miles makes free throw 2 of 2
8:34.0,G. Hayward makes 3-pt shot from 27 ft (assist by G. Hill),3,7-7,,
8:08.0,,,7-7,,M. Turner misses 2-pt shot from 12 ft
8:08.0,Defensive rebound by G. Hayward,,7-7,,
8:00.0,G. Hayward misses 2-pt shot from 2 ft (block by M. Turner),,7-7,,
7:58.0,,,7-7,,Defensive rebound by T. Young
7:58.0,Personal take foul by R. Hood (drawn by T. Young),,7-7,,
7:48.0,,,7-7,,P. George misses 3-pt shot from 28 ft
7:48.0,,,7-7,,Offensive rebound by C. Miles
7:48.0,Personal foul by R. Hood,,7-7,,
7:48.0,J. Ingles enters the game for R. Hood,,7-7,,
7:41.0,,,7-7,,Turnover by T. Young (bad pass; steal by G. Hayward)
7:37.0,G. Hayward makes 2-pt shot from 1 ft,2,9-7,,
7:21.0,,,9-10,3,C. Miles makes 3-pt shot from 25 ft (assist by P. George)
7:01.0,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hill),2,11-10,,
6:42.0,,,11-13,3,J. Teague makes 3-pt shot from 25 ft (assist by P. George)
6:27.0,Shooting foul by C. Miles (drawn by R. Gobert),,11-13,,
6:27.0,R. Gobert misses free throw 1 of 2,,11-13,,
6:27.0,Offensive rebound by Team,,11-13,,
6:27.0,R. Gobert misses free throw 2 of 2,,11-13,,
6:27.0,,,11-13,,Defensive rebound by M. Turner
6:03.0,,,11-13,,T. Young misses 2-pt shot from 13 ft
6:03.0,Defensive rebound by R. Gobert,,11-13,,
5:53.0,Turnover by G. Hill (bad pass; steal by C. Miles),,11-13,,
5:44.0,,,11-15,2,M. Turner makes 2-pt shot at rim (assist by T. Young)
5:44.0,Utah full timeout,,11-15,,
5:44.0,D. Exum enters the game for G. Hill,,11-15,,
5:25.0,Turnover by D. Exum (bad pass; steal by C. Miles),,11-15,,
5:18.0,,,11-18,3,C. Miles makes 3-pt shot from 27 ft (assist by J. Teague)
5:00.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,14-18,,
4:36.0,,,14-18,,J. Teague misses 2-pt shot from 18 ft (block by G. Hayward)
4:35.0,,,14-18,,Offensive rebound by T. Young
4:34.0,,,14-18,,J. Teague misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by D. Exum,,14-18,,
4:26.0,,,14-18,,Personal foul by T. Young (drawn by D. Exum)
4:26.0,B. Diaw enters the game for J. Johnson,,14-18,,
4:26.0,,,14-18,,Violation by C. Miles (kicked ball)
4:26.0,,,14-18,,L. Allen enters the game for T. Young
4:26.0,,,14-18,,M. Ellis enters the game for C. Miles
4:17.0,Turnover by G. Hayward (lost ball; steal by P. George),,14-18,,
4:13.0,,,14-18,,Shooting foul by D. Exum (drawn by M. Ellis)
4:13.0,,,14-19,1,M. Ellis makes free throw 1 of 2
4:13.0,,,14-19,,M. Ellis misses free throw 2 of 2
4:13.0,Defensive rebound by B. Diaw,,14-19,,
3:48.0,D. Exum misses 2-pt shot from 20 ft,,14-19,,
3:47.0,Offensive rebound by Team,,14-19,,
3:47.0,Turnover by Team (shot clock),,14-19,,
3:31.0,,,14-21,2,M. Ellis makes 2-pt shot from 17 ft
3:13.0,B. Diaw misses 3-pt shot from 27 ft,,14-21,,
3:09.0,,,14-21,,Defensive rebound by Team
3:09.0,R. Neto enters the game for D. Exum,,14-21,,
2:48.0,,,14-24,3,M. Ellis makes 3-pt shot from 27 ft (assist by P. George)
2:32.0,R. Gobert makes 2-pt shot from 2 ft,2,16-24,,
2:32.0,Shooting foul by M. Turner (drawn by R. Gobert),,16-24,,
2:32.0,,,16-24,,Indiana full timeout
2:32.0,R. Gobert misses free throw 1 of 1,,16-24,,
2:32.0,,,16-24,,Defensive rebound by Team
2:32.0,,,16-24,,A. Brooks enters the game for J. Teague
2:32.0,A. Burks enters the game for G. Hayward,,16-24,,
2:17.0,,,16-24,,P. George misses 2-pt shot from 2 ft (block by R. Gobert)
2:15.0,,,16-24,,Offensive rebound by L. Allen
2:12.0,,,16-24,,P. George misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by R. Gobert,,16-24,,
2:04.0,Shooting foul by P. George (drawn by J. Ingles),,16-24,,
2:04.0,J. Ingles makes free throw 1 of 2,1,17-24,,
2:04.0,J. Ingles misses free throw 2 of 2,,17-24,,
2:04.0,,,17-24,,A. Jefferson enters the game for M. Turner
2:04.0,,,17-24,,G. Robinson enters the game for P. George
2:04.0,G. Hill enters the game for R. Neto,,17-24,,
2:04.0,J. Withey enters the game for R. Gobert,,17-24,,
2:02.0,Offensive rebound by B. Diaw,,17-24,,
1:51.0,J. Ingles misses 3-pt shot from 24 ft,,17-24,,
1:50.0,,,17-24,,Defensive rebound by A. Brooks
1:41.0,,,17-26,2,L. Allen makes 2-pt shot from 21 ft (assist by A. Brooks)
1:20.0,B. Diaw makes 2-pt shot from 12 ft,2,19-26,,
1:07.0,,,19-26,,A. Brooks misses 3-pt shot from 27 ft
1:04.0,Defensive rebound by J. Ingles,,19-26,,
0:53.0,G. Hill makes 2-pt shot from 3 ft,2,21-26,,
0:44.0,Def 3 sec tech foul by J. Withey,,21-26,,
0:44.0,,,21-26,,A. Brooks misses technical free throw
0:44.0,,,21-26,,Offensive rebound by Team
0:37.0,,,21-26,,A. Jefferson misses 2-pt shot from 6 ft
0:37.0,Defensive rebound by J. Withey,,21-26,,
0:28.0,G. Hill makes 2-pt shot from 12 ft,2,23-26,,
0:09.0,,,23-28,2,A. Jefferson makes 2-pt shot from 1 ft (assist by A. Brooks)
0:00.0,G. Hill misses 3-pt shot from 28 ft,,23-28,,
0:00.0,Offensive rebound by Team,,23-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Hood misses 3-pt shot from 25 ft,,23-28,,
11:45.0,,,23-28,,Defensive rebound by A. Jefferson
11:27.0,,,23-30,2,M. Ellis makes 2-pt shot from 3 ft
11:06.0,R. Hood misses 2-pt shot from 13 ft,,23-30,,
11:05.0,,,23-30,,Defensive rebound by A. Jefferson
10:56.0,,,23-30,,M. Ellis misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by G. Hill,,23-30,,
10:47.0,,,23-30,,Personal foul by M. Ellis (drawn by A. Burks)
10:47.0,T. Lyles enters the game for B. Diaw,,23-30,,
10:41.0,G. Hill misses 3-pt shot from 26 ft,,23-30,,
10:39.0,Offensive rebound by T. Lyles,,23-30,,
10:39.0,T. Lyles misses 2-pt shot from 1 ft,,23-30,,
10:39.0,,,23-30,,Defensive rebound by G. Robinson
10:25.0,,,23-30,,G. Robinson misses 2-pt shot from 14 ft
10:24.0,Defensive rebound by R. Hood,,23-30,,
10:18.0,R. Hood makes 2-pt shot from 4 ft,2,25-30,,
10:18.0,Shooting foul by A. Jefferson (drawn by R. Hood),,25-30,,
10:18.0,R. Hood makes free throw 1 of 1,1,26-30,,
10:18.0,D. Exum enters the game for A. Burks,,25-30,,
9:59.0,,,26-30,,Turnover by A. Brooks (bad pass)
9:49.0,T. Lyles misses 2-pt shot from 3 ft,,26-30,,
9:48.0,Offensive rebound by J. Withey,,26-30,,
9:48.0,J. Withey makes 2-pt shot at rim,2,28-30,,
9:34.0,Violation by T. Lyles (kicked ball),,28-30,,
9:24.0,,,28-32,2,A. Jefferson makes 2-pt shot from 14 ft (assist by A. Brooks)
9:11.0,Turnover by D. Exum (lost ball; steal by M. Ellis),,28-32,,
9:02.0,,,28-34,2,A. Jefferson makes 2-pt shot from 6 ft (assist by A. Brooks)
8:55.0,Utah full timeout,,28-34,,
8:45.0,J. Withey misses 2-pt shot from 16 ft,,28-34,,
8:44.0,,,28-34,,Defensive rebound by G. Robinson
8:35.0,Def 3 sec tech foul by T. Lyles,,28-34,,
8:35.0,,,28-35,1,G. Robinson makes technical free throw
8:35.0,,,28-35,,M. Turner enters the game for A. Jefferson
8:35.0,,,28-35,,P. George enters the game for G. Robinson
8:35.0,A. Burks enters the game for R. Hood,,28-35,,
8:35.0,G. Hayward enters the game for G. Hill,,28-35,,
8:35.0,R. Gobert enters the game for J. Withey,,28-35,,
8:25.0,,,28-35,,M. Ellis misses 2-pt shot from 19 ft
8:24.0,Defensive rebound by R. Gobert,,28-35,,
8:16.0,Shooting foul by M. Turner (drawn by A. Burks),,28-35,,
8:16.0,A. Burks makes free throw 1 of 2,1,29-35,,
8:16.0,A. Burks makes free throw 2 of 2,1,30-35,,
8:16.0,,,29-35,,J. Teague enters the game for A. Brooks
8:00.0,,,30-35,,Shooting foul by R. Gobert (drawn by M. Turner)
8:00.0,,,30-36,1,M. Turner makes free throw 1 of 2
8:00.0,,,30-37,1,M. Turner makes free throw 2 of 2
7:49.0,R. Gobert misses 2-pt shot from 4 ft,,30-37,,
7:49.0,,,30-37,,Defensive rebound by M. Turner
7:40.0,,,30-37,,J. Teague misses 2-pt shot from 2 ft (block by R. Gobert)
7:39.0,Defensive rebound by R. Gobert,,30-37,,
7:28.0,D. Exum misses 2-pt shot from 3 ft,,30-37,,
7:28.0,,,30-37,,Defensive rebound by L. Allen
7:12.0,,,30-37,,M. Turner misses 2-pt shot from 22 ft
7:11.0,Defensive rebound by A. Burks,,30-37,,
7:05.0,A. Burks misses 2-pt shot from 12 ft,,30-37,,
7:04.0,Offensive rebound by A. Burks,,30-37,,
7:04.0,Shooting foul by M. Ellis (drawn by A. Burks),,30-37,,
7:04.0,A. Burks makes free throw 1 of 2,1,31-37,,
7:04.0,A. Burks makes free throw 2 of 2,1,32-37,,
7:04.0,J. Johnson enters the game for T. Lyles,,31-37,,
7:04.0,,,31-37,,T. Young enters the game for L. Allen
7:04.0,G. Hill enters the game for D. Exum,,31-37,,
6:49.0,,,32-37,,P. George misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by A. Burks,,32-37,,
6:44.0,Turnover by G. Hayward (lost ball; steal by M. Ellis),,32-37,,
6:36.0,,,32-39,2,T. Young makes 2-pt shot from 6 ft (assist by M. Ellis)
6:13.0,G. Hill misses 3-pt shot from 26 ft,,32-39,,
6:12.0,,,32-39,,Defensive rebound by T. Young
5:55.0,,,32-39,,Turnover by T. Young (lost ball)
5:55.0,Official timeout,,32-39,,
5:55.0,,,32-39,,C. Miles enters the game for M. Ellis
5:44.0,J. Johnson misses 2-pt shot from 6 ft (block by M. Turner),,32-39,,
5:42.0,Offensive rebound by Team,,32-39,,
5:30.0,J. Johnson makes 2-pt shot from 15 ft,2,34-39,,
5:11.0,,,34-39,,J. Teague misses 2-pt shot from 9 ft
5:10.0,,,34-39,,Offensive rebound by J. Teague
5:10.0,,,34-39,,J. Teague misses 2-pt shot from 2 ft
5:08.0,,,34-39,,Offensive rebound by T. Young
4:55.0,,,34-39,,T. Young misses 2-pt shot from 6 ft (block by R. Gobert)
4:53.0,Defensive rebound by J. Johnson,,34-39,,
4:35.0,G. Hill makes 2-pt shot from 5 ft,2,36-39,,
4:14.0,,,36-39,,P. George misses 2-pt shot from 18 ft
4:13.0,Defensive rebound by R. Gobert,,36-39,,
4:11.0,Turnover by R. Gobert (lost ball; steal by C. Miles),,36-39,,
4:08.0,,,36-41,2,C. Miles makes 2-pt shot from 12 ft
3:42.0,J. Johnson misses 3-pt shot from 30 ft,,36-41,,
3:41.0,,,36-41,,Defensive rebound by P. George
3:33.0,,,36-41,,Shooting foul by G. Hayward (drawn by P. George)
3:33.0,,,36-42,1,P. George makes free throw 1 of 2
3:33.0,,,36-43,1,P. George makes free throw 2 of 2
3:33.0,J. Ingles enters the game for A. Burks,,36-42,,
3:14.0,G. Hayward makes 2-pt shot from 20 ft,2,38-43,,
3:00.0,,,38-45,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
2:34.0,G. Hill misses 2-pt shot from 1 ft,,38-45,,
2:34.0,Offensive rebound by R. Gobert,,38-45,,
2:32.0,R. Gobert misses 2-pt shot from 1 ft (block by M. Turner),,38-45,,
2:31.0,Offensive rebound by G. Hill,,38-45,,
2:22.0,Turnover by G. Hayward (bad pass; steal by T. Young),,38-45,,
2:07.0,,,38-45,,J. Teague misses 2-pt shot from 17 ft
2:06.0,Defensive rebound by G. Hayward,,38-45,,
2:01.0,,,38-45,,Personal foul by P. George (drawn by G. Hayward)
2:01.0,,,38-45,,Indiana full timeout
2:01.0,G. Hayward makes free throw 1 of 2,1,39-45,,
2:01.0,G. Hayward makes free throw 2 of 2,1,40-45,,
2:01.0,,,38-45,,R. Christmas enters the game for M. Turner
1:48.0,,,40-48,3,C. Miles makes 3-pt shot from 24 ft (assist by P. George)
1:33.0,R. Gobert misses 2-pt shot from 1 ft (block by P. George),,40-48,,
1:32.0,,,40-48,,Defensive rebound by R. Christmas
1:25.0,,,40-48,,P. George misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by R. Gobert,,40-48,,
1:11.0,Turnover by G. Hill (bad pass; steal by P. George),,40-48,,
1:05.0,,,40-48,,Turnover by P. George (lost ball; steal by J. Johnson)
1:00.0,G. Hayward makes 2-pt shot from 3 ft (assist by G. Hill),2,42-48,,
1:00.0,,,42-48,,Indiana full timeout
1:00.0,,,42-48,,G. Robinson enters the game for P. George
0:46.0,,,42-48,,R. Christmas misses 2-pt shot from 1 ft
0:45.0,Defensive rebound by J. Ingles,,42-48,,
0:41.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,44-48,,
0:26.0,,,44-48,,T. Young misses 2-pt shot from 5 ft
0:25.0,Defensive rebound by J. Johnson,,44-48,,
0:04.0,G. Hayward makes 2-pt shot from 18 ft,2,46-48,,
0:00.0,,,46-51,3,G. Robinson makes 3-pt shot from 32 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,G. Hayward makes 2-pt shot from 20 ft (assist by J. Johnson),2,48-51,,
11:26.0,,,48-51,,P. George misses 2-pt shot from 1 ft (block by R. Gobert)
11:25.0,Defensive rebound by J. Johnson,,48-51,,
11:19.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,50-51,,
10:59.0,,,50-53,2,M. Turner makes 2-pt shot from 13 ft
10:47.0,,,50-53,,Personal foul by C. Miles
10:39.0,G. Hayward misses 2-pt shot from 4 ft,,50-53,,
10:37.0,Offensive rebound by R. Gobert,,50-53,,
10:37.0,R. Gobert makes 2-pt shot from 2 ft,2,52-53,,
10:21.0,,,52-53,,M. Turner misses 2-pt shot from 12 ft
10:20.0,Defensive rebound by G. Hill,,52-53,,
10:10.0,Offensive charge foul by R. Hood,,52-53,,
10:10.0,Turnover by R. Hood (offensive foul),,52-53,,
9:55.0,,,52-53,,C. Miles misses 2-pt shot from 20 ft
9:55.0,Defensive rebound by G. Hayward,,52-53,,
9:38.0,J. Johnson misses 3-pt shot from 23 ft,,52-53,,
9:38.0,,,52-53,,Defensive rebound by Team
9:25.0,,,52-55,2,T. Young makes 2-pt shot from 1 ft (assist by P. George)
9:05.0,G. Hayward makes 2-pt shot from 1 ft,2,54-55,,
8:41.0,,,54-57,2,P. George makes 2-pt shot from 17 ft (assist by J. Teague)
8:25.0,G. Hayward misses 3-pt shot from 28 ft,,54-57,,
8:24.0,,,54-57,,Defensive rebound by T. Young
8:17.0,,,54-60,3,J. Teague makes 3-pt shot from 25 ft
8:00.0,G. Hayward misses 2-pt shot at rim,,54-60,,
7:58.0,Offensive rebound by R. Gobert,,54-60,,
7:58.0,R. Gobert makes 2-pt shot from 1 ft,2,56-60,,
7:48.0,,,56-62,2,J. Teague makes 2-pt shot from 2 ft
7:35.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hill),3,59-62,,
7:13.0,Personal foul by G. Hill (drawn by M. Turner),,59-62,,
7:13.0,B. Diaw enters the game for J. Johnson,,59-62,,
7:13.0,R. Neto enters the game for G. Hill,,59-62,,
7:02.0,,,59-64,2,J. Teague makes 2-pt shot from 10 ft
6:47.0,R. Hood makes 3-pt shot from 28 ft (assist by B. Diaw),3,62-64,,
6:28.0,,,62-64,,M. Turner misses 2-pt shot from 14 ft
6:28.0,Defensive rebound by R. Hood,,62-64,,
6:11.0,R. Hood misses 3-pt shot from 27 ft,,62-64,,
6:10.0,,,62-64,,Defensive rebound by P. George
6:02.0,,,62-64,,P. George misses 2-pt shot from 2 ft
6:01.0,,,62-64,,Offensive rebound by M. Turner
6:01.0,,,62-66,2,M. Turner makes 2-pt shot from 1 ft
6:00.0,Utah full timeout,,62-66,,
6:00.0,J. Ingles enters the game for R. Hood,,62-66,,
5:43.0,G. Hayward misses 3-pt shot from 27 ft,,62-66,,
5:43.0,,,62-66,,Defensive rebound by C. Miles
5:27.0,,,62-66,,J. Teague misses 2-pt shot from 2 ft (block by R. Neto)
5:27.0,,,62-66,,Offensive rebound by Team
5:25.0,,,62-66,,Shooting foul by R. Gobert
5:25.0,,,62-67,1,C. Miles makes free throw 1 of 2
5:25.0,,,62-68,1,C. Miles makes free throw 2 of 2
5:16.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,64-68,,
