time,Denver,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. R. Lopez (G. Harris gains possession),,,,Jump ball: N. Jokic vs. R. Lopez (G. Harris gains possession)
11:39.0,Turnover by N. Jokic (bad pass; steal by B. Portis),,0-0,,
11:34.0,,,0-3,3,J. Grant makes 3-pt shot from 25 ft (assist by D. Wade)
11:22.0,G. Harris misses 3-pt shot from 25 ft,,0-3,,
11:21.0,,,0-3,,Defensive rebound by B. Portis
10:58.0,,,0-3,,R. Lopez misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by N. Jokic,,0-3,,
10:43.0,Turnover by J. Nelson (bad pass),,0-3,,
10:26.0,,,0-3,,D. Wade misses 2-pt shot from 6 ft
10:25.0,Defensive rebound by N. Jokic,,0-3,,
10:16.0,D. Gallinari makes 2-pt shot from 17 ft,2,2-3,,
9:57.0,,,2-3,,B. Portis misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by N. Jokic,,2-3,,
9:49.0,Turnover by N. Jokic (lost ball; steal by B. Portis),,2-3,,
9:41.0,,,2-5,2,J. Butler makes 2-pt shot from 1 ft (assist by D. Wade)
9:33.0,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic),2,4-5,,
9:07.0,,,4-5,,R. Lopez misses 2-pt shot from 6 ft
9:06.0,,,4-5,,Offensive rebound by Team
9:06.0,Loose ball foul by D. Gallinari (drawn by R. Lopez),,4-5,,
8:49.0,,,4-7,2,D. Wade makes 2-pt shot from 1 ft (assist by R. Lopez)
8:33.0,G. Harris makes 2-pt shot from 2 ft,2,6-7,,
8:15.0,,,6-7,,B. Portis misses 2-pt shot from 7 ft (block by W. Chandler)
8:14.0,Defensive rebound by D. Gallinari,,6-7,,
8:01.0,W. Chandler misses 2-pt shot from 1 ft,,6-7,,
8:00.0,,,6-7,,Defensive rebound by B. Portis
7:52.0,,,6-7,,Turnover by D. Wade (bad pass; steal by D. Gallinari)
7:43.0,D. Gallinari makes 2-pt shot from 21 ft (assist by W. Chandler),2,8-7,,
7:20.0,,,8-7,,J. Butler misses 2-pt shot from 3 ft
7:19.0,Defensive rebound by N. Jokic,,8-7,,
7:13.0,Turnover by W. Chandler (bad pass; steal by J. Butler),,8-7,,
7:13.0,Loose ball foul by J. Nelson (drawn by J. Butler),,8-7,,
6:52.0,,,8-10,3,B. Portis makes 3-pt shot from 24 ft (assist by D. Wade)
6:39.0,J. Nelson makes 2-pt shot from 22 ft (assist by N. Jokic),2,10-10,,
6:23.0,,,10-12,2,R. Lopez makes 2-pt shot from 20 ft (assist by D. Wade)
6:06.0,N. Jokic makes 2-pt shot from 20 ft,2,12-12,,
5:46.0,,,12-14,2,B. Portis makes 2-pt shot from 9 ft (assist by J. Grant)
5:35.0,W. Chandler misses 3-pt shot from 26 ft,,12-14,,
5:35.0,,,12-14,,Defensive rebound by Team
5:35.0,,,12-14,,Chicago full timeout
5:35.0,W. Barton enters the game for D. Gallinari,,12-14,,
5:35.0,M. Plumlee enters the game for G. Harris,,12-14,,
5:34.0,,,12-14,,R. Rondo enters the game for J. Grant
5:24.0,,,12-14,,J. Butler misses 2-pt shot at rim
5:23.0,Defensive rebound by N. Jokic,,12-14,,
5:21.0,W. Chandler makes 2-pt shot from 1 ft (assist by N. Jokic),2,14-14,,
5:21.0,Shooting foul by B. Portis (drawn by W. Chandler),,14-14,,
5:21.0,W. Chandler makes free throw 1 of 1,1,15-14,,
5:04.0,,,15-16,2,R. Lopez makes 2-pt shot from 6 ft
4:46.0,W. Chandler misses 3-pt shot from 25 ft,,15-16,,
4:45.0,,,15-16,,Defensive rebound by D. Wade
4:40.0,,,15-16,,R. Rondo misses 2-pt shot from 1 ft (block by W. Barton)
4:39.0,,,15-16,,Offensive rebound by R. Rondo
4:20.0,,,15-16,,D. Wade misses 2-pt shot from 15 ft
4:19.0,Defensive rebound by J. Nelson,,15-16,,
4:13.0,N. Jokic makes 2-pt shot from 8 ft (assist by M. Plumlee),2,17-16,,
3:55.0,,,17-16,,N. Mirotic enters the game for B. Portis
3:55.0,,,17-16,,D. Valentine enters the game for D. Wade
