time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (T. Frazier gains possession),,,,Jump ball: A. Bogut vs. A. Davis (T. Frazier gains possession)
11:45.0,A. Davis misses 2-pt shot from 6 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by A. Bogut
11:33.0,,,0-2,2,H. Barnes makes 2-pt shot from 1 ft (assist by A. Bogut)
11:16.0,A. Davis makes 2-pt shot from 13 ft (assist by E. Moore),2,2-2,,
11:16.0,Shooting foul by D. Finney-Smith (drawn by A. Davis),,2-2,,
11:16.0,A. Davis makes free throw 1 of 1,1,3-2,,
11:05.0,,,3-4,2,D. Williams makes 2-pt shot from 16 ft (assist by W. Matthews)
10:58.0,Shooting foul by D. Williams (drawn by T. Frazier),,3-4,,
10:58.0,T. Frazier makes free throw 1 of 2,1,4-4,,
10:58.0,T. Frazier makes free throw 2 of 2,1,5-4,,
10:36.0,,,5-4,,D. Finney-Smith misses 2-pt shot from 4 ft (block by S. Hill)
10:34.0,Defensive rebound by S. Hill,,5-4,,
10:24.0,E. Moore misses 3-pt shot from 22 ft,,5-4,,
10:23.0,Offensive rebound by O. Asik,,5-4,,
10:18.0,A. Davis misses 2-pt shot from 17 ft,,5-4,,
10:17.0,,,5-4,,Defensive rebound by D. Williams
10:12.0,,,5-6,2,D. Finney-Smith makes 2-pt shot from 1 ft (assist by D. Williams)
10:00.0,O. Asik makes 2-pt shot at rim (assist by T. Frazier),2,7-6,,
9:47.0,,,7-6,,H. Barnes misses 2-pt shot from 23 ft
9:47.0,Defensive rebound by O. Asik,,7-6,,
9:39.0,T. Frazier misses 2-pt shot from 9 ft,,7-6,,
9:38.0,Offensive rebound by O. Asik,,7-6,,
9:22.0,E. Moore misses 2-pt shot from 16 ft,,7-6,,
9:21.0,Offensive rebound by E. Moore,,7-6,,
9:14.0,E. Moore misses 2-pt shot from 3 ft (block by D. Finney-Smith),,7-6,,
9:13.0,,,7-6,,Defensive rebound by H. Barnes
9:07.0,,,7-6,,D. Williams misses 3-pt shot from 25 ft
9:06.0,,,7-6,,Offensive rebound by A. Bogut
9:03.0,,,7-6,,W. Matthews misses 3-pt shot from 26 ft
9:03.0,,,7-6,,Offensive rebound by D. Finney-Smith
8:47.0,,,7-9,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by H. Barnes)
8:42.0,New Orleans full timeout,,7-9,,
8:42.0,,,7-9,,D. Powell enters the game for A. Bogut
8:22.0,E. Moore misses 2-pt shot from 15 ft,,7-9,,
8:21.0,Offensive rebound by E. Moore,,7-9,,
8:08.0,A. Davis makes 2-pt shot from 11 ft,2,9-9,,
7:48.0,,,9-9,,D. Williams misses 2-pt shot from 19 ft
7:48.0,Defensive rebound by O. Asik,,9-9,,
7:40.0,Turnover by S. Hill (lost ball; steal by D. Powell),,9-9,,
7:32.0,,,9-11,2,D. Williams makes 2-pt shot from 10 ft (assist by W. Matthews)
7:16.0,A. Davis makes 2-pt shot from 7 ft,2,11-11,,
7:02.0,,,11-11,,Turnover by D. Williams (bad pass; steal by S. Hill)
6:48.0,A. Davis makes 2-pt shot from 12 ft,2,13-11,,
6:24.0,,,13-14,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
6:12.0,,,13-14,,Personal foul by W. Matthews (drawn by A. Davis)
6:12.0,,,13-14,,A. Bogut enters the game for H. Barnes
6:04.0,Shooting foul by D. Powell (drawn by A. Davis),,13-14,,
6:04.0,A. Davis makes free throw 1 of 2,1,14-14,,
6:04.0,A. Davis makes free throw 2 of 2,1,15-14,,
5:52.0,Def 3 sec tech foul by O. Asik,,15-14,,
5:52.0,,,15-15,1,D. Williams makes technical free throw
5:43.0,,,15-15,,W. Matthews misses 2-pt shot from 3 ft (block by E. Moore)
5:41.0,Defensive rebound by E. Moore,,15-15,,
5:33.0,A. Davis misses 2-pt shot from 4 ft,,15-15,,
5:31.0,,,15-15,,Defensive rebound by A. Bogut
5:25.0,,,15-15,,Turnover by D. Williams (bad pass; steal by T. Frazier)
5:17.0,Turnover by T. Frazier (bad pass; steal by D. Powell),,15-15,,
5:12.0,,,15-15,,D. Williams misses 3-pt shot from 25 ft
5:11.0,,,15-15,,Offensive rebound by W. Matthews
5:09.0,,,15-15,,Dallas full timeout
5:09.0,,,15-15,,S. Curry enters the game for D. Williams
5:09.0,T. Jones enters the game for O. Asik,,15-15,,
5:09.0,J. Holiday enters the game for E. Moore,,15-15,,
5:01.0,,,15-15,,D. Finney-Smith misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by Team,,15-15,,
4:39.0,A. Davis makes 2-pt shot from 14 ft,2,17-15,,
4:23.0,Violation by J. Holiday (kicked ball),,17-15,,
4:23.0,,,17-15,,J. Anderson enters the game for D. Powell
4:23.0,,,17-15,,H. Barnes enters the game for D. Finney-Smith
4:15.0,,,17-15,,H. Barnes misses 2-pt shot from 17 ft
4:14.0,Defensive rebound by J. Holiday,,17-15,,
4:03.0,A. Davis misses 2-pt shot from 1 ft,,17-15,,
4:02.0,,,17-15,,Defensive rebound by S. Curry
3:53.0,,,17-15,,J. Anderson misses 3-pt shot from 24 ft
3:52.0,Defensive rebound by S. Hill,,17-15,,
3:42.0,A. Davis misses 3-pt shot from 25 ft,,17-15,,
3:41.0,,,17-15,,Defensive rebound by S. Curry
3:29.0,,,17-15,,S. Curry misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by A. Davis,,17-15,,
3:14.0,J. Holiday misses 3-pt shot from 24 ft,,17-15,,
3:13.0,,,17-15,,Defensive rebound by A. Bogut
2:56.0,,,17-17,2,J. Anderson makes 2-pt shot at rim (assist by H. Barnes)
2:40.0,S. Hill misses 3-pt shot from 24 ft,,17-17,,
2:39.0,,,17-17,,Defensive rebound by W. Matthews
2:21.0,,,17-19,2,S. Curry makes 2-pt shot from 1 ft (assist by J. Anderson)
2:15.0,New Orleans full timeout,,17-19,,
2:15.0,B. Hield enters the game for S. Hill,,17-19,,
2:00.0,T. Jones misses 2-pt shot from 6 ft,,17-19,,
1:59.0,,,17-19,,Defensive rebound by J. Anderson
1:49.0,Personal foul by B. Hield (drawn by H. Barnes),,17-19,,
1:49.0,L. Galloway enters the game for T. Frazier,,17-19,,
1:36.0,Shooting block foul by T. Jones (drawn by H. Barnes),,17-19,,
1:36.0,,,17-20,1,H. Barnes makes free throw 1 of 2
1:36.0,,,17-21,1,H. Barnes makes free throw 2 of 2
1:27.0,Turnover by J. Holiday (lost ball; steal by H. Barnes),,17-21,,
1:11.0,,,17-23,2,H. Barnes makes 2-pt shot from 2 ft
0:50.0,,,17-23,,D. Powell enters the game for A. Bogut
0:44.0,T. Jones misses 2-pt shot from 7 ft,,17-23,,
0:43.0,,,17-23,,Defensive rebound by J. Anderson
0:27.0,,,17-26,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Curry)
0:07.0,B. Hield makes 3-pt shot from 24 ft (assist by J. Holiday),3,20-26,,
0:01.0,,,20-26,,S. Curry misses 2-pt shot from 11 ft
0:00.0,Defensive rebound by J. Holiday,,20-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
