time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,T. Harris misses 2-pt shot from 7 ft
12:00.0,Jump ball: B. Biyombo vs. A. Drummond (T. Harris gains possession),,,,Jump ball: B. Biyombo vs. A. Drummond (T. Harris gains possession)
11:37.0,,,0-0,,Offensive rebound by A. Drummond
11:27.0,,,0-3,3,R. Jackson makes 3-pt shot from 25 ft
11:12.0,A. Gordon makes 2-pt shot at rim (assist by S. Ibaka),2,2-3,,
11:12.0,Shooting foul by M. Morris (drawn by A. Gordon),,2-3,,
11:12.0,A. Gordon makes free throw 1 of 1,1,3-3,,
10:59.0,,,3-6,3,M. Morris makes 3-pt shot from 26 ft (assist by A. Drummond)
10:36.0,E. Fournier misses 2-pt shot from 7 ft (block by A. Drummond),,3-6,,
10:35.0,,,3-6,,Defensive rebound by M. Morris
10:22.0,,,3-6,,R. Jackson misses 2-pt shot at rim
10:21.0,Defensive rebound by A. Gordon,,3-6,,
10:16.0,A. Gordon misses 2-pt shot from 6 ft,,3-6,,
10:16.0,,,3-6,,Defensive rebound by T. Harris
10:01.0,,,3-6,,K. Caldwell-Pope misses 2-pt shot from 8 ft
9:59.0,Defensive rebound by B. Biyombo,,3-6,,
9:47.0,B. Biyombo misses 2-pt shot from 1 ft,,3-6,,
9:46.0,,,3-6,,Defensive rebound by A. Drummond
9:37.0,,,3-6,,A. Drummond misses 2-pt shot from 6 ft
9:36.0,Defensive rebound by S. Ibaka,,3-6,,
9:24.0,S. Ibaka makes 3-pt shot from 26 ft (assist by D. Augustin),3,6-6,,
9:01.0,,,6-6,,A. Drummond misses 2-pt shot from 8 ft
8:59.0,Defensive rebound by S. Ibaka,,6-6,,
8:47.0,Turnover by D. Augustin (bad pass; steal by A. Drummond),,6-6,,
8:41.0,,,6-6,,R. Jackson misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by S. Ibaka,,6-6,,
8:23.0,D. Augustin makes 2-pt shot from 1 ft,2,8-6,,
7:59.0,,,8-8,2,M. Morris makes 2-pt shot from 18 ft
7:38.0,A. Gordon makes 2-pt shot from 15 ft,2,10-8,,
7:18.0,,,10-8,,R. Jackson misses 2-pt shot from 1 ft
7:16.0,,,10-8,,Offensive rebound by A. Drummond
7:14.0,,,10-10,2,A. Drummond makes 2-pt shot at rim
7:00.0,E. Fournier misses 2-pt shot from 1 ft,,10-10,,
6:59.0,,,10-10,,Defensive rebound by A. Drummond
6:50.0,,,10-13,3,M. Morris makes 3-pt shot from 26 ft (assist by R. Jackson)
6:31.0,A. Gordon misses 3-pt shot from 26 ft,,10-13,,
6:30.0,,,10-13,,Defensive rebound by K. Caldwell-Pope
6:20.0,,,10-16,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Harris)
6:10.0,Orlando full timeout,,10-16,,
6:10.0,,,10-16,,J. Leuer enters the game for T. Harris
6:10.0,,,10-16,,I. Smith enters the game for R. Jackson
5:46.0,S. Ibaka makes 2-pt shot from 6 ft,2,12-16,,
5:28.0,,,12-19,3,M. Morris makes 3-pt shot from 23 ft (assist by K. Caldwell-Pope)
5:07.0,S. Ibaka makes 2-pt shot from 10 ft (assist by E. Fournier),2,14-19,,
4:49.0,,,14-21,2,J. Leuer makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope)
4:27.0,D. Augustin misses 3-pt shot from 25 ft,,14-21,,
4:26.0,,,14-21,,Defensive rebound by K. Caldwell-Pope
4:16.0,,,14-23,2,A. Drummond makes 2-pt shot at rim (assist by I. Smith)
4:10.0,Orlando full timeout,,14-23,,
4:10.0,N. Vucevic enters the game for B. Biyombo,,14-23,,
4:10.0,E. Payton enters the game for D. Augustin,,14-23,,
4:02.0,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),,14-23,,
4:02.0,E. Fournier makes free throw 1 of 2,1,15-23,,
4:02.0,E. Fournier makes free throw 2 of 2,1,16-23,,
3:42.0,,,16-23,,A. Drummond misses 2-pt shot from 4 ft
3:42.0,,,16-23,,Offensive rebound by A. Drummond
3:38.0,,,16-23,,Turnover by A. Drummond (bad pass; steal by S. Ibaka)
3:12.0,E. Fournier misses 3-pt shot from 26 ft,,16-23,,
3:12.0,,,16-23,,Defensive rebound by A. Drummond
3:05.0,,,16-25,2,I. Smith makes 2-pt shot from 1 ft
2:51.0,E. Payton makes 2-pt shot at rim,2,18-25,,
2:30.0,,,18-27,2,K. Caldwell-Pope makes 2-pt shot from 15 ft (assist by A. Drummond)
2:14.0,Shooting foul by K. Caldwell-Pope (drawn by S. Ibaka),,18-27,,
2:14.0,,,18-27,,Detroit full timeout
2:14.0,S. Ibaka makes free throw 1 of 2,1,19-27,,
2:14.0,S. Ibaka misses free throw 2 of 2,,19-27,,
2:14.0,J. Green enters the game for A. Gordon,,18-27,,
2:14.0,,,18-27,,A. Baynes enters the game for A. Drummond
2:14.0,,,18-27,,D. Hilliard enters the game for K. Caldwell-Pope
2:13.0,,,19-27,,Defensive rebound by A. Baynes
1:54.0,,,19-27,,Turnover by D. Hilliard (bad pass; steal by S. Ibaka)
1:44.0,N. Vucevic makes 2-pt shot from 1 ft (assist by S. Ibaka),2,21-27,,
1:22.0,,,21-27,,D. Hilliard misses 2-pt shot from 20 ft
1:21.0,Defensive rebound by N. Vucevic,,21-27,,
1:13.0,N. Vucevic misses 3-pt shot from 27 ft,,21-27,,
1:13.0,Offensive rebound by E. Payton,,21-27,,
1:08.0,S. Ibaka misses 3-pt shot from 27 ft,,21-27,,
1:08.0,,,21-27,,Defensive rebound by Team
0:56.0,,,21-27,,M. Morris misses 3-pt shot from 26 ft
0:55.0,Defensive rebound by N. Vucevic,,21-27,,
0:49.0,Shooting foul by I. Smith (drawn by E. Payton),,21-27,,
0:49.0,E. Payton misses free throw 1 of 2,,21-27,,
0:49.0,Offensive rebound by Team,,21-27,,
0:49.0,E. Payton misses free throw 2 of 2,,21-27,,
0:46.0,,,21-27,,Defensive rebound by M. Morris
0:38.0,Personal foul by E. Fournier (drawn by J. Leuer),,21-27,,
0:28.0,,,21-27,,M. Morris misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Green,,21-27,,
0:18.0,S. Ibaka makes 2-pt shot from 16 ft,2,23-27,,
0:02.0,,,23-27,,A. Baynes misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by E. Fournier,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,N. Vucevic misses 2-pt shot from 2 ft,,23-27,,
11:44.0,,,23-27,,Defensive rebound by A. Baynes
11:33.0,,,23-27,,D. Hilliard misses 2-pt shot from 12 ft
11:33.0,Defensive rebound by B. Biyombo,,23-27,,
11:18.0,J. Green makes 3-pt shot from 26 ft (assist by N. Vucevic),3,26-27,,
11:13.0,,,26-27,,Detroit full timeout
10:59.0,,,26-29,2,A. Baynes makes 2-pt shot at rim (assist by R. Jackson)
10:32.0,N. Vucevic makes 2-pt shot from 14 ft,2,28-29,,
10:12.0,,,28-31,2,R. Jackson makes 2-pt shot from 1 ft
10:00.0,,,28-31,,Personal foul by R. Jackson (drawn by E. Payton)
9:42.0,J. Meeks makes 2-pt shot from 17 ft (assist by B. Biyombo),2,30-31,,
9:33.0,,,30-31,,J. Leuer misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Green,,30-31,,
9:26.0,J. Green makes 2-pt shot at rim,2,32-31,,
9:00.0,,,32-33,2,D. Hilliard makes 2-pt shot from 7 ft
8:50.0,Turnover by J. Green (bad pass),,32-33,,
8:38.0,,,32-35,2,T. Harris makes 2-pt shot at rim
8:38.0,,,32-35,,Shooting foul by B. Biyombo (drawn by T. Harris)
8:38.0,,,32-35,,T. Harris misses free throw 1 of 1
8:36.0,Defensive rebound by E. Payton,,32-35,,
8:25.0,E. Payton misses 2-pt shot from 5 ft,,32-35,,
8:25.0,,,32-35,,Defensive rebound by J. Leuer
8:15.0,,,32-37,2,R. Jackson makes 2-pt shot from 19 ft
8:01.0,J. Meeks makes 2-pt shot from 19 ft (assist by B. Biyombo),2,34-37,,
8:01.0,Shooting foul by D. Hilliard (drawn by J. Meeks),,34-37,,
8:01.0,J. Meeks makes free throw 1 of 1,1,35-37,,
8:01.0,,,34-37,,A. Drummond enters the game for A. Baynes
7:46.0,,,35-37,,D. Hilliard misses 2-pt shot from 15 ft
7:45.0,Defensive rebound by J. Green,,35-37,,
7:30.0,Turnover by J. Green (lost ball; steal by J. Leuer),,35-37,,
7:19.0,,,35-37,,Turnover by R. Jackson (bad pass; steal by J. Meeks)
7:13.0,B. Biyombo makes 2-pt shot at rim (assist by E. Payton),2,37-37,,
6:55.0,,,37-37,,Shooting foul by B. Biyombo (drawn by A. Drummond)
6:55.0,,,37-37,,A. Drummond misses free throw 1 of 2
6:55.0,,,37-37,,Offensive rebound by Team
6:55.0,,,37-37,,A. Drummond misses free throw 2 of 2
6:55.0,,,37-37,,I. Smith enters the game for R. Jackson
6:55.0,,,37-37,,K. Caldwell-Pope enters the game for D. Hilliard
6:54.0,Defensive rebound by N. Vucevic,,37-37,,
6:40.0,E. Payton makes 2-pt shot from 5 ft,2,39-37,,
6:28.0,,,39-37,,T. Harris misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by B. Biyombo,,39-37,,
6:09.0,E. Payton misses 3-pt shot from 26 ft,,39-37,,
6:09.0,,,39-37,,Defensive rebound by J. Leuer
6:00.0,,,39-39,2,I. Smith makes 2-pt shot from 1 ft
5:47.0,J. Meeks makes 2-pt shot from 10 ft (assist by E. Payton),2,41-39,,
5:28.0,,,41-42,3,J. Leuer makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
5:11.0,E. Payton misses 3-pt shot from 26 ft,,41-42,,
5:11.0,,,41-42,,Defensive rebound by A. Drummond
5:04.0,,,41-42,,Shooting foul by J. Meeks (drawn by A. Drummond)
5:04.0,Official timeout,,41-42,,
5:04.0,,,41-42,,A. Drummond misses free throw 1 of 2
5:04.0,,,41-42,,Offensive rebound by Team
5:04.0,,,41-42,,A. Drummond misses free throw 2 of 2
5:04.0,S. Ibaka enters the game for N. Vucevic,,41-42,,
5:04.0,,,41-42,,M. Morris enters the game for J. Leuer
5:03.0,,,41-42,,Offensive rebound by T. Harris
4:54.0,,,41-44,2,T. Harris makes 2-pt shot at rim (assist by I. Smith)
4:35.0,J. Meeks misses 3-pt shot from 27 ft,,41-44,,
4:35.0,Offensive rebound by E. Payton,,41-44,,
4:29.0,S. Ibaka makes 2-pt shot from 18 ft (assist by J. Green),2,43-44,,
4:07.0,,,43-46,2,I. Smith makes 2-pt shot from 5 ft
3:41.0,J. Green makes 3-pt shot from 27 ft (assist by S. Ibaka),3,46-46,,
3:25.0,,,46-46,,I. Smith misses 2-pt shot at rim
3:24.0,Defensive rebound by S. Ibaka,,46-46,,
3:04.0,B. Biyombo makes 2-pt shot at rim (assist by J. Green),2,48-46,,
2:51.0,,,48-48,2,M. Morris makes 2-pt shot from 18 ft (assist by A. Drummond)
2:37.0,S. Ibaka makes 2-pt shot from 10 ft (assist by J. Meeks),2,50-48,,
2:20.0,,,50-48,,Turnover by K. Caldwell-Pope (bad pass; steal by B. Biyombo)
2:13.0,Orlando full timeout,,50-48,,
2:13.0,E. Fournier enters the game for B. Biyombo,,50-48,,
2:13.0,D. Augustin enters the game for E. Payton,,50-48,,
2:13.0,N. Vucevic enters the game for J. Meeks,,50-48,,
2:13.0,,,50-48,,D. Hilliard enters the game for K. Caldwell-Pope
2:02.0,J. Green makes 2-pt shot at rim (assist by N. Vucevic),2,52-48,,
1:41.0,,,52-48,,Turnover by D. Hilliard (bad pass; steal by E. Fournier)
1:35.0,E. Fournier misses 2-pt shot from 2 ft,,52-48,,
1:32.0,Offensive rebound by S. Ibaka,,52-48,,
1:30.0,S. Ibaka makes 2-pt shot at rim,2,54-48,,
1:30.0,,,54-48,,Detroit full timeout
1:30.0,,,54-48,,S. Johnson enters the game for D. Hilliard
1:18.0,,,54-48,,M. Morris misses 3-pt shot from 26 ft
1:18.0,,,54-48,,Offensive rebound by S. Johnson
1:15.0,,,54-48,,S. Johnson misses 2-pt shot from 5 ft (block by S. Ibaka)
1:14.0,Defensive rebound by N. Vucevic,,54-48,,
1:01.0,Turnover by S. Ibaka (bad pass; steal by S. Johnson),,54-48,,
0:43.0,,,54-50,2,T. Harris makes 2-pt shot from 11 ft
0:32.0,J. Green makes 2-pt shot from 8 ft,2,56-50,,
0:11.0,,,56-50,,T. Harris misses 2-pt shot from 14 ft
0:10.0,Defensive rebound by J. Green,,56-50,,
0:02.0,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin),2,58-50,,
0:01.0,,,58-50,,M. Morris misses 3-pt shot from 63 ft
0:00.0,,,58-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,S. Ibaka misses 3-pt shot from 25 ft,,58-50,,
11:40.0,,,58-50,,Defensive rebound by K. Caldwell-Pope
11:36.0,,,58-50,,Turnover by R. Jackson (bad pass; steal by S. Ibaka)
11:22.0,D. Augustin makes 3-pt shot from 25 ft (assist by S. Ibaka),3,61-50,,
11:03.0,,,61-50,,T. Harris misses 3-pt shot from 26 ft
11:03.0,,,61-50,,Offensive rebound by Team
11:03.0,Loose ball foul by B. Biyombo (drawn by A. Drummond),,61-50,,
10:56.0,,,61-52,2,R. Jackson makes 2-pt shot from 14 ft
10:35.0,Offensive charge foul by B. Biyombo,,61-52,,
10:35.0,Turnover by B. Biyombo (offensive foul),,61-52,,
10:35.0,N. Vucevic enters the game for B. Biyombo,,61-52,,
10:24.0,,,61-52,,R. Jackson misses 2-pt shot from 13 ft
10:22.0,,,61-52,,Offensive rebound by K. Caldwell-Pope
10:13.0,,,61-54,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:56.0,D. Augustin misses 3-pt shot from 27 ft,,61-54,,
9:55.0,,,61-54,,Defensive rebound by K. Caldwell-Pope
9:47.0,,,61-54,,Turnover by K. Caldwell-Pope (bad pass; steal by E. Fournier)
9:39.0,A. Gordon misses 2-pt shot from 6 ft (block by A. Drummond),,61-54,,
9:38.0,,,61-54,,Defensive rebound by R. Jackson
9:32.0,,,61-57,3,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson)
9:32.0,Orlando full timeout,,61-57,,
9:12.0,E. Fournier misses 3-pt shot from 26 ft,,61-57,,
9:12.0,,,61-57,,Defensive rebound by M. Morris
8:56.0,,,61-59,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
8:34.0,A. Gordon makes 2-pt shot from 1 ft,2,63-59,,
8:22.0,Personal foul by D. Augustin (drawn by R. Jackson),,63-59,,
8:14.0,,,63-59,,Turnover by A. Drummond (traveling)
7:54.0,D. Augustin makes 2-pt shot from 1 ft,2,65-59,,
7:36.0,,,65-62,3,R. Jackson makes 3-pt shot from 26 ft
7:19.0,N. Vucevic makes 2-pt shot from 8 ft,2,67-62,,
7:03.0,,,67-62,,A. Drummond misses 2-pt shot from 4 ft (block by N. Vucevic)
6:59.0,,,67-62,,Offensive rebound by T. Harris
6:54.0,,,67-62,,T. Harris misses 2-pt shot at rim
6:52.0,Defensive rebound by N. Vucevic,,67-62,,
6:33.0,A. Gordon misses 3-pt shot from 24 ft,,67-62,,
6:32.0,,,67-62,,Defensive rebound by K. Caldwell-Pope
6:28.0,,,67-62,,Shooting foul by A. Gordon (drawn by R. Jackson)
6:28.0,,,67-63,1,R. Jackson makes free throw 1 of 2
6:28.0,,,67-64,1,R. Jackson makes free throw 2 of 2
6:05.0,N. Vucevic makes 2-pt shot from 13 ft,2,69-64,,
5:53.0,,,69-64,,A. Drummond misses 2-pt shot from 1 ft (block by S. Ibaka)
5:52.0,Defensive rebound by N. Vucevic,,69-64,,
5:47.0,,,69-64,,I. Smith enters the game for R. Jackson
5:46.0,Jump ball: M. Morris vs. N. Vucevic (D. Augustin gains possession),,,,Jump ball: M. Morris vs. N. Vucevic (D. Augustin gains possession)
5:34.0,Turnover by N. Vucevic (lost ball; steal by A. Drummond),,69-64,,
5:32.0,,,69-64,,Shooting foul by E. Fournier (drawn by I. Smith)
5:32.0,,,69-64,,I. Smith misses free throw 1 of 2
5:32.0,,,69-64,,Offensive rebound by Team
5:32.0,,,69-65,1,I. Smith makes free throw 2 of 2
5:19.0,N. Vucevic makes 2-pt shot from 20 ft (assist by D. Augustin),2,71-65,,
