time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (L. Babbitt gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (L. Babbitt gains possession)
11:34.0,,,0-3,3,J. Richardson makes 3-pt shot from 25 ft (assist by H. Whiteside)
11:15.0,D. Carroll makes 2-pt shot from 2 ft (assist by D. DeRozan),2,2-3,,
10:56.0,,,2-5,2,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder)
10:37.0,P. Tucker misses 2-pt shot from 12 ft,,2-5,,
10:36.0,,,2-5,,Defensive rebound by H. Whiteside
10:28.0,,,2-7,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
10:23.0,Toronto full timeout,,2-7,,
10:15.0,C. Joseph makes 2-pt shot from 15 ft,2,4-7,,
9:57.0,,,4-7,,L. Babbitt misses 3-pt shot from 25 ft
9:56.0,,,4-7,,Offensive rebound by H. Whiteside
9:48.0,,,4-9,2,G. Dragic makes 2-pt shot from 2 ft (assist by H. Whiteside)
9:36.0,Shooting foul by R. McGruder (drawn by D. DeRozan),,4-9,,
9:36.0,D. DeRozan makes free throw 1 of 2,1,5-9,,
9:36.0,D. DeRozan misses free throw 2 of 2,,5-9,,
9:35.0,,,5-9,,Defensive rebound by H. Whiteside
9:26.0,,,5-9,,J. Richardson misses 2-pt shot from 1 ft
9:25.0,Defensive rebound by P. Tucker,,5-9,,
9:13.0,D. Carroll misses 3-pt shot from 23 ft,,5-9,,
9:12.0,,,5-9,,Defensive rebound by Team
8:52.0,,,5-12,3,R. McGruder makes 3-pt shot from 25 ft (assist by G. Dragic)
8:41.0,Turnover by C. Joseph (bad pass; steal by G. Dragic),,5-12,,
8:33.0,,,5-14,2,G. Dragic makes 2-pt shot from 16 ft
8:13.0,C. Joseph misses 2-pt shot from 13 ft,,5-14,,
8:12.0,,,5-14,,Defensive rebound by G. Dragic
8:06.0,,,5-14,,G. Dragic misses 2-pt shot from 2 ft
8:05.0,Defensive rebound by C. Joseph,,5-14,,
7:55.0,D. DeRozan makes 2-pt shot from 14 ft,2,7-14,,
7:39.0,,,7-14,,G. Dragic misses 2-pt shot from 7 ft
7:38.0,Defensive rebound by C. Joseph,,7-14,,
7:23.0,J. Valanciunas misses 2-pt shot from 2 ft (block by R. McGruder),,7-14,,
7:22.0,Offensive rebound by P. Tucker,,7-14,,
7:18.0,Turnover by P. Tucker (traveling),,7-14,,
7:02.0,,,7-14,,G. Dragic misses 2-pt shot at rim
7:01.0,,,7-14,,Offensive rebound by H. Whiteside
6:56.0,,,7-14,,H. Whiteside misses 2-pt shot from 6 ft
6:55.0,Defensive rebound by D. DeRozan,,7-14,,
6:52.0,Shooting foul by L. Babbitt (drawn by D. DeRozan),,7-14,,
6:52.0,D. DeRozan makes 2-pt shot from 2 ft,2,9-14,,
6:52.0,D. DeRozan makes free throw 1 of 1,1,10-14,,
