time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:38.0,,,0-0,,A. Roberson misses 2-pt shot from 4 ft (block by G. Dieng)
12:00.0,Jump ball: S. Adams vs. K. Towns (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. K. Towns (V. Oladipo gains possession)
11:36.0,,,0-0,,Offensive rebound by D. Sabonis
11:33.0,,,0-2,2,S. Adams makes 2-pt shot from 2 ft (assist by D. Sabonis)
11:13.0,K. Towns makes 2-pt shot from 4 ft,2,2-2,,
10:55.0,,,2-4,2,D. Sabonis makes 2-pt shot from 3 ft
10:43.0,Turnover by G. Dieng (traveling),,2-4,,
10:29.0,,,2-6,2,S. Adams makes 2-pt shot from 2 ft
10:12.0,K. Towns makes 2-pt shot from 1 ft,2,4-6,,
9:46.0,,,4-6,,D. Sabonis misses 3-pt shot from 23 ft
9:45.0,Defensive rebound by Z. LaVine,,4-6,,
9:34.0,K. Towns misses 2-pt shot from 5 ft,,4-6,,
9:33.0,Offensive rebound by G. Dieng,,4-6,,
9:33.0,G. Dieng misses 2-pt shot from 2 ft,,4-6,,
9:32.0,Offensive rebound by K. Towns,,4-6,,
9:30.0,K. Towns makes 2-pt shot from 2 ft,2,6-6,,
9:19.0,,,6-8,2,R. Westbrook makes 2-pt shot from 9 ft
9:03.0,Z. LaVine misses 2-pt shot from 21 ft,,6-8,,
9:02.0,,,6-8,,Defensive rebound by R. Westbrook
8:52.0,,,6-8,,A. Roberson misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by G. Dieng,,6-8,,
8:43.0,A. Wiggins makes 2-pt shot from 14 ft,2,8-8,,
8:33.0,Personal foul by K. Dunn (drawn by R. Westbrook),,8-8,,
8:18.0,,,8-11,3,A. Roberson makes 3-pt shot from 24 ft (assist by D. Sabonis)
8:03.0,A. Wiggins misses 2-pt shot from 9 ft,,8-11,,
8:02.0,,,8-11,,Defensive rebound by R. Westbrook
7:58.0,,,8-13,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:42.0,G. Dieng makes 2-pt shot from 17 ft,2,10-13,,
7:23.0,Shooting block foul by G. Dieng (drawn by V. Oladipo),,10-13,,
7:23.0,,,10-13,,V. Oladipo misses free throw 1 of 2
7:23.0,,,10-13,,Offensive rebound by Team
7:23.0,,,10-13,,V. Oladipo misses free throw 2 of 2
7:22.0,Defensive rebound by A. Wiggins,,10-13,,
7:06.0,Z. LaVine misses 3-pt shot from 25 ft,,10-13,,
7:06.0,,,10-13,,Defensive rebound by R. Westbrook
6:54.0,,,10-15,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:43.0,Shooting foul by A. Roberson (drawn by A. Wiggins),,10-15,,
6:43.0,A. Wiggins misses free throw 1 of 2,,10-15,,
6:43.0,Offensive rebound by Team,,10-15,,
6:43.0,A. Wiggins makes free throw 2 of 2,1,11-15,,
6:24.0,,,11-17,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
6:09.0,K. Towns makes 3-pt shot from 24 ft,3,14-17,,
5:54.0,,,14-17,,Shooting foul by A. Wiggins (drawn by R. Westbrook)
5:54.0,,,14-17,,Oklahoma City full timeout
5:54.0,Violation by Team (delay of game),,14-17,,
5:54.0,,,14-18,1,R. Westbrook makes free throw 1 of 2
5:54.0,,,14-19,1,R. Westbrook makes free throw 2 of 2
5:36.0,K. Dunn misses 2-pt shot from 2 ft,,14-19,,
5:36.0,,,14-19,,Defensive rebound by V. Oladipo
5:19.0,,,14-19,,Turnover by R. Westbrook (bad pass; steal by A. Wiggins)
5:15.0,A. Wiggins misses 2-pt shot from 1 ft (block by A. Roberson),,14-19,,
5:14.0,,,14-19,,Defensive rebound by V. Oladipo
5:03.0,,,14-21,2,R. Westbrook makes 2-pt shot from 14 ft
4:48.0,G. Dieng misses 2-pt shot from 17 ft,,14-21,,
4:48.0,,,14-21,,Defensive rebound by R. Westbrook
4:41.0,,,14-21,,D. Sabonis misses 3-pt shot from 22 ft
4:40.0,,,14-21,,Offensive rebound by S. Adams
4:35.0,,,14-23,2,D. Sabonis makes 2-pt shot at rim (assist by S. Adams)
4:22.0,,,14-23,,Personal foul by A. Roberson (drawn by A. Wiggins)
4:22.0,,,14-23,,E. Kanter enters the game for D. Sabonis
4:13.0,K. Towns makes 2-pt shot at rim (assist by A. Wiggins),2,16-23,,
3:50.0,,,16-23,,A. Abrines enters the game for V. Oladipo
3:50.0,,,16-23,,Oklahoma City full timeout
3:44.0,,,16-23,,A. Roberson misses 2-pt shot from 17 ft (block by A. Wiggins)
3:43.0,Defensive rebound by K. Dunn,,16-23,,
3:42.0,Turnover by A. Wiggins (lost ball; steal by A. Abrines),,16-23,,
3:26.0,,,16-25,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
3:18.0,,,16-25,,Violation by A. Roberson (kicked ball)
3:10.0,Z. LaVine makes 3-pt shot from 25 ft (assist by K. Dunn),3,19-25,,
2:54.0,,,19-27,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:34.0,G. Dieng makes 2-pt shot from 8 ft (assist by Z. LaVine),2,21-27,,
2:20.0,,,21-27,,E. Kanter misses 2-pt shot from 2 ft (block by G. Dieng)
2:19.0,Defensive rebound by A. Wiggins,,21-27,,
2:01.0,K. Towns misses 2-pt shot from 4 ft (block by E. Kanter),,21-27,,
2:01.0,,,21-27,,Defensive rebound by S. Adams
1:54.0,,,21-29,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
1:46.0,Minnesota full timeout,,21-29,,
1:45.0,,,21-29,,S. Christon enters the game for A. Roberson
1:45.0,,,21-29,,J. Lauvergne enters the game for S. Adams
1:45.0,,,21-29,,J. Grant enters the game for R. Westbrook
1:45.0,C. Aldrich enters the game for G. Dieng,,21-29,,
1:32.0,K. Towns makes 2-pt shot from 6 ft,2,23-29,,
1:27.0,Technical foul by Team,,23-29,,
1:27.0,,,23-30,1,A. Abrines makes technical free throw
1:14.0,,,23-32,2,S. Christon makes 2-pt shot from 12 ft
0:54.0,A. Wiggins misses 2-pt shot from 3 ft (block by J. Grant),,23-32,,
0:53.0,,,23-32,,Defensive rebound by J. Grant
0:48.0,,,23-32,,J. Lauvergne misses 2-pt shot from 2 ft (block by K. Towns)
0:46.0,Defensive rebound by C. Aldrich,,23-32,,
0:39.0,A. Wiggins misses 2-pt shot from 2 ft (block by J. Grant),,23-32,,
0:39.0,Offensive rebound by Z. LaVine,,23-32,,
0:37.0,Z. LaVine misses 2-pt shot from 1 ft (block by J. Grant),,23-32,,
0:34.0,Offensive rebound by K. Towns,,23-32,,
0:33.0,K. Towns misses 2-pt shot from 2 ft,,23-32,,
0:32.0,Offensive rebound by A. Wiggins,,23-32,,
0:25.0,A. Wiggins makes 2-pt shot from 5 ft,2,25-32,,
0:02.0,,,25-32,,S. Christon misses 2-pt shot from 14 ft
0:01.0,Defensive rebound by Team,,25-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-32,,Personal foul by J. Grant (drawn by C. Aldrich)
11:37.0,K. Towns misses 2-pt shot from 7 ft (block by J. Grant),,25-32,,
11:36.0,Offensive rebound by C. Aldrich,,25-32,,
11:36.0,,,25-32,,Violation by J. Grant (def goaltending)
11:36.0,C. Aldrich makes 2-pt shot from 2 ft,2,27-32,,
11:23.0,,,27-32,,Turnover by E. Kanter (traveling)
11:23.0,N. Bjelica enters the game for K. Towns,,27-32,,
11:23.0,,,27-32,,V. Oladipo enters the game for A. Abrines
11:04.0,T. Jones misses 2-pt shot from 6 ft,,27-32,,
11:04.0,,,27-32,,Defensive rebound by E. Kanter
10:50.0,,,27-32,,V. Oladipo misses 2-pt shot from 9 ft
10:49.0,Defensive rebound by B. Rush,,27-32,,
