time,Milwaukee,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Nurkic (N. Vonleh gains possession),,,,Jump ball: T. Maker vs. J. Nurkic (N. Vonleh gains possession)
11:44.0,,,0-2,2,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic)
11:26.0,T. Snell misses 3-pt shot from 24 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by C. McCollum
11:16.0,,,0-4,2,C. McCollum makes 2-pt shot from 1 ft
11:02.0,Turnover by K. Middleton (bad pass; steal by D. Lillard),,0-4,,
10:36.0,,,0-6,2,D. Lillard makes 2-pt shot from 1 ft
10:17.0,T. Snell misses 2-pt shot from 20 ft,,0-6,,
10:16.0,,,0-6,,Defensive rebound by N. Vonleh
9:58.0,,,0-6,,C. McCollum misses 2-pt shot from 2 ft
9:57.0,,,0-6,,Offensive rebound by J. Nurkic
9:57.0,,,0-6,,J. Nurkic misses 2-pt shot at rim
9:55.0,,,0-6,,Offensive rebound by J. Nurkic
9:43.0,,,0-6,,Shooting foul by T. Maker (drawn by D. Lillard)
9:43.0,,,0-6,,D. Lillard misses free throw 1 of 2
9:43.0,,,0-6,,Offensive rebound by Team
9:43.0,,,0-6,,D. Lillard misses free throw 2 of 2
9:42.0,Defensive rebound by T. Snell,,0-6,,
9:23.0,K. Middleton misses 2-pt shot from 9 ft,,0-6,,
9:22.0,,,0-6,,Defensive rebound by J. Nurkic
9:13.0,,,0-8,2,D. Lillard makes 2-pt shot from 12 ft
9:13.0,Milwaukee full timeout,,0-8,,
9:13.0,G. Monroe enters the game for T. Maker,,0-8,,
8:50.0,K. Middleton misses 2-pt shot from 17 ft,,0-8,,
8:48.0,Offensive rebound by G. Monroe,,0-8,,
8:48.0,G. Monroe misses 2-pt shot from 1 ft (block by J. Nurkic),,0-8,,
8:46.0,,,0-8,,Defensive rebound by D. Lillard
8:44.0,Personal block foul by G. Antetokounmpo (drawn by D. Lillard),,0-8,,
8:42.0,,,0-8,,Turnover by M. Harkless (bad pass; steal by M. Brogdon)
8:38.0,M. Brogdon makes 2-pt shot from 2 ft,2,2-8,,
8:20.0,,,2-10,2,C. McCollum makes 2-pt shot from 9 ft
8:04.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by J. Nurkic),,2-10,,
8:03.0,,,2-10,,Defensive rebound by J. Nurkic
7:53.0,,,2-10,,Turnover by J. Nurkic (lost ball)
7:38.0,M. Brogdon makes 2-pt shot from 2 ft,2,4-10,,
7:21.0,,,4-12,2,C. McCollum makes 2-pt shot from 5 ft (assist by D. Lillard)
7:09.0,M. Brogdon misses 3-pt shot from 25 ft,,4-12,,
7:08.0,,,4-12,,Defensive rebound by J. Nurkic
6:58.0,,,4-12,,D. Lillard misses 3-pt shot from 26 ft
6:57.0,Defensive rebound by G. Monroe,,4-12,,
6:48.0,K. Middleton makes 2-pt shot from 17 ft,2,6-12,,
