time,Orlando,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. N. Vucevic (S. Ibaka gains possession),,,,Jump ball: C. Capela vs. N. Vucevic (S. Ibaka gains possession)
11:34.0,E. Payton misses 3-pt shot from 24 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by P. Beverley
11:19.0,,,0-0,,Shooting foul by E. Payton (drawn by C. Capela)
11:19.0,,,0-0,,C. Capela misses free throw 1 of 2
11:19.0,,,0-0,,Offensive rebound by Team
11:19.0,,,0-0,,C. Capela misses free throw 2 of 2
11:19.0,Defensive rebound by S. Ibaka,,0-0,,
11:08.0,Turnover by S. Ibaka (bad pass; steal by J. Harden),,0-0,,
11:03.0,,,0-0,,T. Ariza misses 2-pt shot from 21 ft
11:00.0,,,0-0,,Offensive rebound by C. Capela
10:53.0,,,0-0,,C. Capela misses 2-pt shot from 1 ft
10:52.0,Defensive rebound by N. Vucevic,,0-0,,
10:45.0,S. Ibaka makes 2-pt shot from 2 ft (assist by E. Fournier),2,2-0,,
10:27.0,,,2-2,2,C. Capela makes 2-pt shot from 3 ft (assist by P. Beverley)
10:10.0,S. Ibaka misses 3-pt shot from 25 ft,,2-2,,
10:07.0,Offensive rebound by N. Vucevic,,2-2,,
10:04.0,E. Fournier misses 3-pt shot from 24 ft,,2-2,,
10:03.0,,,2-2,,Defensive rebound by P. Beverley
9:50.0,,,2-4,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
9:30.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,5-4,,
9:21.0,,,5-4,,Shooting foul by S. Ibaka (drawn by T. Ariza)
9:21.0,,,5-5,1,T. Ariza makes free throw 1 of 3
9:21.0,,,5-5,,T. Ariza misses free throw 2 of 3
9:21.0,,,5-5,,Offensive rebound by Team
9:21.0,,,5-6,1,T. Ariza makes free throw 3 of 3
9:07.0,N. Vucevic makes 2-pt shot from 9 ft,2,7-6,,
8:57.0,,,7-6,,P. Beverley misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by N. Vucevic,,7-6,,
8:48.0,E. Fournier misses 3-pt shot from 24 ft,,7-6,,
8:47.0,,,7-6,,Defensive rebound by C. Capela
8:38.0,,,7-6,,J. Harden misses 3-pt shot from 26 ft
8:37.0,,,7-6,,Offensive rebound by R. Anderson
8:37.0,,,7-6,,R. Anderson misses 2-pt shot at rim
8:36.0,Defensive rebound by N. Vucevic,,7-6,,
8:29.0,S. Ibaka makes 2-pt shot from 6 ft (assist by E. Payton),2,9-6,,
8:10.0,,,9-6,,R. Anderson misses 2-pt shot from 9 ft
8:09.0,Defensive rebound by S. Ibaka,,9-6,,
7:51.0,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic),3,12-6,,
7:34.0,,,12-6,,Turnover by P. Beverley (bad pass; steal by E. Payton)
7:29.0,E. Payton makes 2-pt shot from 3 ft,2,14-6,,
7:13.0,,,14-9,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden)
6:55.0,N. Vucevic makes 2-pt shot from 10 ft,2,16-9,,
6:30.0,,,16-9,,J. Harden misses 3-pt shot from 25 ft
6:29.0,,,16-9,,Offensive rebound by C. Capela
6:23.0,,,16-9,,T. Ariza misses 3-pt shot from 22 ft
6:22.0,,,16-9,,Offensive rebound by R. Anderson
6:22.0,,,16-9,,R. Anderson misses 2-pt shot from 1 ft
6:21.0,,,16-9,,Offensive rebound by R. Anderson
6:21.0,,,16-9,,R. Anderson misses 2-pt shot from 1 ft
6:19.0,Defensive rebound by A. Gordon,,16-9,,
6:11.0,A. Gordon makes 2-pt shot from 3 ft,2,18-9,,
6:04.0,,,18-11,2,J. Harden makes 2-pt shot from 3 ft
6:04.0,,,18-11,,Shooting foul by N. Vucevic (drawn by J. Harden)
6:04.0,,,18-11,,J. Harden misses free throw 1 of 1
