time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,T. Gibson misses 2-pt shot from 16 ft
12:00.0,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. M. Turner (T. Gibson gains possession)
11:38.0,Defensive rebound by G. Robinson,,0-0,,
11:28.0,M. Turner makes 2-pt shot from 17 ft (assist by P. George),2,2-0,,
11:13.0,,,2-2,2,D. Wade makes 2-pt shot from 2 ft
10:56.0,M. Turner misses 2-pt shot from 16 ft,,2-2,,
10:53.0,Offensive rebound by J. Teague,,2-2,,
10:53.0,Shooting foul by T. Gibson (drawn by J. Teague),,2-2,,
10:53.0,J. Teague misses free throw 1 of 2,,2-2,,
10:53.0,Offensive rebound by Team,,2-2,,
10:53.0,J. Teague makes free throw 2 of 2,1,3-2,,
10:37.0,,,3-2,,R. Rondo misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by M. Turner,,3-2,,
10:33.0,J. Teague misses 3-pt shot from 24 ft,,3-2,,
10:31.0,Offensive rebound by G. Robinson,,3-2,,
10:16.0,T. Young misses 3-pt shot from 24 ft,,3-2,,
10:15.0,,,3-2,,Defensive rebound by J. Butler
10:04.0,,,3-5,3,J. Butler makes 3-pt shot from 25 ft (assist by R. Rondo)
9:39.0,M. Turner misses 2-pt shot from 16 ft,,3-5,,
9:38.0,,,3-5,,Defensive rebound by R. Rondo
9:32.0,,,3-5,,J. Butler misses 2-pt shot from 3 ft
9:29.0,,,3-5,,Offensive rebound by R. Rondo
9:29.0,,,3-7,2,R. Rondo makes 2-pt shot from 2 ft
9:13.0,P. George makes 2-pt shot from 15 ft (assist by G. Robinson),2,5-7,,
9:02.0,,,5-7,,D. Wade misses 2-pt shot from 2 ft (block by G. Robinson)
9:02.0,,,5-7,,Offensive rebound by D. Wade
9:02.0,,,5-9,2,D. Wade makes 2-pt shot from 2 ft
8:47.0,J. Teague misses 2-pt shot from 3 ft,,5-9,,
8:46.0,,,5-9,,Defensive rebound by R. Rondo
8:39.0,,,5-9,,Turnover by T. Gibson (lost ball)
8:24.0,T. Young misses 2-pt shot from 6 ft,,5-9,,
8:23.0,,,5-9,,Defensive rebound by T. Gibson
8:07.0,,,5-9,,Shooting foul by G. Robinson (drawn by D. Wade)
8:07.0,,,5-10,1,D. Wade makes free throw 1 of 2
8:07.0,,,5-11,1,D. Wade makes free throw 2 of 2
7:53.0,P. George misses 2-pt shot from 21 ft,,5-11,,
7:53.0,,,5-11,,Defensive rebound by Team
7:36.0,,,5-11,,T. Gibson misses 2-pt shot from 12 ft
7:36.0,Defensive rebound by G. Robinson,,5-11,,
7:27.0,M. Turner makes 2-pt shot from 12 ft (assist by J. Teague),2,7-11,,
7:01.0,,,7-11,,R. Rondo misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by G. Robinson,,7-11,,
6:48.0,Turnover by J. Teague (bad pass; steal by J. Butler),,7-11,,
6:45.0,,,7-13,2,J. Butler makes 2-pt shot at rim
6:23.0,M. Turner makes 2-pt shot at rim (assist by P. George),2,9-13,,
6:07.0,,,9-13,,Turnover by R. Lopez (bad pass; steal by T. Young)
6:01.0,M. Turner misses 2-pt shot from 3 ft,,9-13,,
6:00.0,,,9-13,,Defensive rebound by R. Lopez
5:44.0,,,9-15,2,T. Gibson makes 2-pt shot from 2 ft
5:30.0,G. Robinson makes 3-pt shot from 25 ft (assist by P. George),3,12-15,,
5:13.0,,,12-17,2,D. Wade makes 2-pt shot from 13 ft
4:59.0,T. Young misses 2-pt shot from 2 ft,,12-17,,
4:58.0,,,12-17,,Defensive rebound by T. Gibson
4:48.0,,,12-19,2,R. Lopez makes 2-pt shot from 4 ft (assist by J. Butler)
4:40.0,Indiana full timeout,,12-19,,
4:40.0,,,12-19,,M. Carter-Williams enters the game for T. Gibson
4:40.0,,,12-19,,N. Mirotic enters the game for D. Wade
4:40.0,R. Stuckey enters the game for G. Robinson,,12-19,,
4:35.0,P. George makes 2-pt shot from 17 ft (assist by J. Teague),2,14-19,,
4:14.0,,,14-19,,J. Butler misses 2-pt shot from 18 ft
4:13.0,,,14-19,,Offensive rebound by R. Rondo
4:08.0,,,14-19,,N. Mirotic misses 3-pt shot from 26 ft
4:07.0,,,14-19,,Offensive rebound by R. Rondo
4:03.0,,,14-19,,J. Butler misses 3-pt shot from 25 ft
4:01.0,,,14-19,,Offensive rebound by R. Rondo
3:52.0,,,14-22,3,N. Mirotic makes 3-pt shot from 22 ft (assist by R. Rondo)
3:39.0,Turnover by J. Teague (lost ball; steal by M. Carter-Williams),,14-22,,
3:35.0,,,14-22,,Shooting foul by M. Turner (drawn by J. Butler)
3:35.0,,,14-23,1,J. Butler makes free throw 1 of 2
3:35.0,,,14-24,1,J. Butler makes free throw 2 of 2
3:35.0,A. Jefferson enters the game for T. Young,,14-23,,
3:35.0,C. Miles enters the game for M. Turner,,14-23,,
3:18.0,Turnover by P. George (lost ball),,14-24,,
2:58.0,,,14-24,,M. Carter-Williams misses 2-pt shot from 15 ft
2:56.0,,,14-24,,Offensive rebound by R. Lopez
2:54.0,,,14-24,,R. Rondo misses 3-pt shot from 27 ft
2:54.0,,,14-24,,Offensive rebound by Team
2:54.0,,,14-24,,Turnover by Team (shot clock)
2:54.0,,,14-24,,Chicago full timeout
2:36.0,J. Teague misses 2-pt shot from 1 ft (block by R. Lopez),,14-24,,
2:34.0,,,14-24,,Defensive rebound by J. Butler
2:16.0,,,14-27,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Butler)
1:58.0,C. Miles misses 3-pt shot from 25 ft,,14-27,,
1:57.0,,,14-27,,Defensive rebound by R. Rondo
1:42.0,,,14-27,,N. Mirotic misses 3-pt shot from 25 ft
1:41.0,Defensive rebound by A. Jefferson,,14-27,,
1:35.0,,,14-27,,Personal foul by J. Butler (drawn by P. George)
1:35.0,A. Brooks enters the game for P. George,,14-27,,
1:35.0,G. Robinson enters the game for J. Teague,,14-27,,
1:35.0,,,14-27,,J. Grant enters the game for R. Rondo
1:26.0,Turnover by A. Brooks (bad pass),,14-27,,
1:09.0,,,14-27,,M. Carter-Williams misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by C. Miles,,14-27,,
0:58.0,C. Miles misses 3-pt shot from 25 ft,,14-27,,
0:57.0,,,14-27,,Defensive rebound by M. Carter-Williams
0:50.0,Personal foul by C. Miles (drawn by J. Butler),,14-27,,
0:38.0,,,14-27,,Turnover by M. Carter-Williams (bad pass; steal by G. Robinson)
0:32.0,R. Stuckey makes 2-pt shot from 2 ft (assist by A. Brooks),2,16-27,,
0:17.0,,,16-27,,M. Carter-Williams misses 3-pt shot from 23 ft
0:17.0,,,16-27,,Offensive rebound by N. Mirotic
0:17.0,,,16-27,,Shooting foul by C. Miles (drawn by N. Mirotic)
0:17.0,,,16-27,,N. Mirotic misses free throw 1 of 2
0:17.0,,,16-27,,Offensive rebound by Team
0:17.0,,,16-27,,Violation by Team (jump ball)
0:17.0,,,16-28,1,N. Mirotic makes free throw 2 of 2
0:17.0,,,16-27,,R. Rondo enters the game for J. Butler
0:17.0,M. Turner enters the game for A. Jefferson,,16-27,,
0:17.0,,,16-27,,C. Felicio enters the game for R. Lopez
0:05.0,A. Brooks makes 3-pt shot from 26 ft,3,19-28,,
0:00.0,,,19-28,,N. Mirotic misses 3-pt shot from 27 ft
0:00.0,,,19-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Jefferson makes 2-pt shot from 7 ft (assist by A. Brooks),2,21-28,,
11:32.0,,,21-28,,Turnover by D. Wade (bad pass)
11:15.0,C. Miles misses 2-pt shot from 2 ft (block by D. Wade),,21-28,,
11:13.0,,,21-28,,Defensive rebound by M. Carter-Williams
11:04.0,,,21-30,2,N. Mirotic makes 2-pt shot from 3 ft (assist by D. Wade)
10:53.0,A. Jefferson makes 2-pt shot from 8 ft (assist by A. Brooks),2,23-30,,
10:35.0,,,23-30,,J. Grant misses 2-pt shot from 9 ft
10:33.0,Defensive rebound by C. Miles,,23-30,,
10:28.0,R. Stuckey misses 2-pt shot from 3 ft,,23-30,,
10:26.0,,,23-30,,Defensive rebound by M. Carter-Williams
10:23.0,,,23-30,,Shooting foul by A. Jefferson (drawn by N. Mirotic)
10:23.0,,,23-31,1,N. Mirotic makes free throw 1 of 2
10:23.0,,,23-32,1,N. Mirotic makes free throw 2 of 2
10:23.0,P. George enters the game for R. Stuckey,,23-31,,
10:11.0,Turnover by G. Robinson (lost ball; steal by D. Wade),,23-32,,
10:08.0,,,23-34,2,D. Wade makes 2-pt shot from 2 ft
9:51.0,C. Miles misses 2-pt shot from 8 ft,,23-34,,
9:50.0,,,23-34,,Defensive rebound by M. Carter-Williams
9:45.0,,,23-36,2,J. Grant makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
9:24.0,A. Brooks misses 3-pt shot from 25 ft,,23-36,,
9:24.0,,,23-36,,Defensive rebound by Team
9:11.0,,,23-36,,D. Wade misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by Team,,23-36,,
8:50.0,A. Jefferson misses 2-pt shot from 3 ft,,23-36,,
8:48.0,,,23-36,,Defensive rebound by J. Grant
8:41.0,,,23-36,,M. Carter-Williams misses 2-pt shot from 22 ft
8:40.0,Defensive rebound by P. George,,23-36,,
8:23.0,A. Jefferson makes 2-pt shot from 1 ft (assist by A. Brooks),2,25-36,,
8:20.0,,,25-36,,Chicago full timeout
8:20.0,T. Young enters the game for G. Robinson,,25-36,,
8:20.0,,,25-36,,J. Butler enters the game for M. Carter-Williams
8:10.0,Personal foul by P. George (drawn by J. Butler),,25-36,,
8:04.0,,,25-39,3,N. Mirotic makes 3-pt shot from 22 ft (assist by J. Butler)
7:55.0,,,25-39,,Personal foul by N. Mirotic (drawn by T. Young)
7:52.0,Turnover by A. Jefferson (bad pass),,25-39,,
7:33.0,,,25-41,2,J. Grant makes 2-pt shot from 19 ft (assist by D. Wade)
7:16.0,P. George misses 2-pt shot from 4 ft,,25-41,,
7:14.0,Offensive rebound by A. Jefferson,,25-41,,
7:11.0,T. Young makes 2-pt shot from 3 ft (assist by A. Jefferson),2,27-41,,
6:42.0,,,27-41,,J. Butler misses 2-pt shot from 20 ft
6:41.0,Defensive rebound by A. Brooks,,27-41,,
6:33.0,A. Jefferson makes 2-pt shot from 19 ft (assist by A. Brooks),2,29-41,,
6:12.0,,,29-41,,N. Mirotic misses 3-pt shot from 27 ft
6:11.0,Defensive rebound by A. Brooks,,29-41,,
6:06.0,A. Brooks misses 2-pt shot from 1 ft,,29-41,,
6:06.0,Offensive rebound by A. Jefferson,,29-41,,
6:06.0,A. Jefferson misses 2-pt shot from 1 ft,,29-41,,
6:05.0,,,29-41,,Defensive rebound by J. Butler
5:59.0,,,29-41,,D. Wade misses 3-pt shot from 24 ft
5:57.0,,,29-41,,Offensive rebound by N. Mirotic
